Target_genes	Irf9|Average	SRX4178758|Macrophages	SRX4178759|Macrophages	SRX4178764|Macrophages	SRX4178765|Macrophages	SRX4178770|Macrophages	SRX4178771|Macrophages	SRX18239628|MEF	SRX18239631|MEF	SRX5503046|MEF	SRX5503049|MEF	SRX14818053|Naive_T_cells	SRX14818054|Naive_T_cells	SRX14818055|Naive_T_cells	SRX14818056|Naive_T_cells	SRX14818057|Naive_T_cells	SRX14818058|Naive_T_cells	SRX14818065|Naive_T_cells	SRX14818066|Naive_T_cells	SRX14818067|Naive_T_cells	SRX14818068|Naive_T_cells	SRX14818069|Naive_T_cells	SRX14818070|Naive_T_cells	SRX4348502|Natural_killer_cells	SRX4348504|Natural_killer_cells	SRX4348506|Natural_killer_cells	STRING
Ifi47	546.76	351	0	2956	2264	934	1716	165	1052	1249	0	0	0	570	1428	0	211	0	0	415	358	0	0	0	0	0	0
Slfn8	541.16	613	159	2881	1984	975	1923	0	290	244	0	0	0	924	1622	269	264	322	0	714	345	0	0	0	0	0	0
Tap1	539.88	422	0	1877	997	674	1201	112	1025	636	0	216	0	1085	1419	186	264	850	245	1178	657	328	0	125	0	0	0
Psmb9	539.88	422	0	1877	997	674	1201	112	1025	636	0	216	0	1085	1419	186	264	850	245	1178	657	328	0	125	0	0	0
Mrpl30	538.2	343	0	2447	1772	658	1765	321	1321	847	0	0	0	680	1227	0	370	209	0	769	554	0	0	172	0	0	0
Mitd1	538.2	343	0	2447	1772	658	1765	321	1321	847	0	0	0	680	1227	0	370	209	0	769	554	0	0	172	0	0	0
Oas3	530.4	622	174	2670	1882	770	1785	0	460	824	0	0	0	1172	1934	226	264	0	0	334	143	0	0	0	0	0	0
Ifi213	525.44	235	0	2510	1738	709	1703	0	0	291	0	0	0	1037	1850	0	180	298	265	1009	1093	218	0	0	0	0	0
Ddx60	523.92	879	302	2861	2066	781	1524	383	1715	1253	0	0	0	250	490	0	0	0	0	432	162	0	0	0	0	0	0
Isg15	523.84	376	135	2905	2139	770	1597	431	1832	901	0	0	0	557	1006	0	180	0	0	0	0	0	0	267	0	0	0
Agrn	523.84	376	135	2905	2139	770	1597	431	1832	901	0	0	0	557	1006	0	180	0	0	0	0	0	0	267	0	0	0
Irgm2	505.96	779	247	2548	1710	726	1615	368	1422	1587	102	0	0	219	544	0	0	0	0	328	241	0	0	213	0	0	0
Ifit2	502.92	202	0	2982	2587	1294	2472	197	1403	1436	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Ifi211	502.84	669	211	3062	2466	1025	2254	208	1403	1273	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Ifitm3	471.28	578	0	3029	2066	1078	1835	211	945	1196	0	0	0	272	444	0	0	0	0	0	128	0	0	0	0	0	0
Samd9l	468.08	736	216	2349	1454	823	1719	188	1313	662	0	0	0	529	1175	0	0	0	0	316	0	0	0	222	0	0	0
Trim30d	467.72	561	133	2722	1935	584	1661	0	0	0	0	0	0	825	1380	0	211	298	0	714	559	0	0	110	0	0	0
Igtp	466.24	484	168	2487	1611	719	1655	208	1138	1565	0	0	0	240	597	0	0	131	0	345	308	0	0	0	0	0	0
Gbp7	460.24	402	0	3146	2075	809	1678	90	1013	1453	0	0	0	240	389	0	0	0	0	211	0	0	0	0	0	0	0
Uba7	457.16	389	0	2893	1853	865	2037	195	952	1103	0	0	0	339	411	0	0	139	0	253	0	0	0	0	0	0	0
Ifi203	455.56	447	111	2697	1958	1029	1936	0	238	783	0	0	0	491	1231	0	0	0	0	253	215	0	0	0	0	0	0
Parp12	451.24	755	235	3111	1741	1054	1570	242	1156	748	0	0	0	159	314	0	0	0	0	196	0	0	0	0	0	0	0
Cmtr1	451.12	330	0	2294	1199	978	1141	204	735	1000	0	0	0	549	875	0	0	376	0	477	228	0	0	611	158	123	0
Smg7	449.72	0	0	2989	2159	827	1256	81	1084	1808	0	0	0	178	662	0	0	0	0	0	0	0	0	199	0	0	0
Gvin1	448.32	453	123	3170	2178	671	1756	0	0	130	0	0	0	729	1581	0	264	0	0	0	0	0	0	153	0	0	0
Gm4070	448.32	453	123	3170	2178	671	1756	0	0	130	0	0	0	729	1581	0	264	0	0	0	0	0	0	153	0	0	0
Slfn4	446.32	282	0	2814	2109	875	2128	0	0	560	0	0	0	571	1339	0	0	0	0	152	328	0	0	0	0	0	0
Cmpk2	445.32	347	157	2334	1584	835	1509	103	873	1629	0	0	0	219	647	0	0	0	0	291	348	0	0	257	0	0	0
Ascc3	441.24	459	0	2677	1674	753	1134	309	1282	949	0	0	0	364	1001	0	0	0	0	170	0	0	0	259	0	0	0
Tgtp2	439.52	403	0	2598	1668	603	1524	0	978	571	0	0	0	362	668	0	0	241	113	728	531	0	0	0	0	0	0
Mx2	434.64	753	261	2241	1632	706	1375	405	1334	958	0	0	0	312	627	0	0	0	0	262	0	0	0	0	0	0	0
Zc3hav1	431.96	650	150	2208	1307	613	882	252	1040	926	0	0	0	711	964	0	0	204	0	504	198	0	0	190	0	0	0
Gbp3	429.64	190	0	2580	1816	789	1820	425	1908	1213	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Ifi208	425.88	0	0	2017	1376	389	1401	0	0	368	0	0	0	835	1653	0	142	394	282	879	911	0	0	0	0	0	0
Parp9	424.6	706	156	2111	1117	606	1130	268	688	927	0	0	0	435	937	0	0	306	0	639	589	0	0	0	0	0	0
Dtx3l	424.6	706	156	2111	1117	606	1130	268	688	927	0	0	0	435	937	0	0	306	0	639	589	0	0	0	0	0	0
Mndal	414.92	503	214	2535	1539	1023	1957	0	0	577	0	0	0	619	1046	0	0	0	0	187	173	0	0	0	0	0	0
Trim5	411.44	502	132	2502	1640	579	1425	246	542	0	0	0	0	595	1285	0	0	0	0	337	186	0	0	315	0	0	0
Tent4a	403.12	525	139	2222	1399	457	990	206	756	836	0	0	0	878	973	0	0	0	0	240	0	0	0	457	0	0	0
Casp8	392.6	335	0	2628	1925	564	1590	0	0	0	0	0	0	740	1162	0	253	0	0	281	337	0	0	0	0	0	0
Enpp4	388.76	0	0	3093	2132	753	1803	0	555	898	0	0	0	0	0	0	0	0	0	0	0	0	0	362	123	0	0
Trim69	382.4	297	81	2336	1582	494	1154	0	742	1605	0	0	0	445	585	0	0	0	0	144	95	0	0	0	0	0	0
Oas2	380.44	1352	368	2138	1566	1020	1772	0	645	419	0	0	0	0	0	0	0	0	0	0	231	0	0	0	0	0	0
Parp11	379.92	188	0	2329	1492	590	1478	107	789	836	0	0	0	178	597	0	0	215	0	376	234	0	0	89	0	0	0
Naa25	377.88	396	0	2866	2186	973	2173	0	0	720	0	0	0	0	0	0	0	0	0	0	0	0	0	133	0	0	0
Irf7	372.56	241	89	1544	908	511	953	182	840	464	0	0	0	839	1255	0	0	323	0	684	481	0	0	0	0	0	0
Phf11d	367.0	354	0	2685	1763	532	1386	83	1019	1353	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Asmt	361.88	266	423	297	161	111	231	597	372	255	260	325	341	445	233	467	275	201	191	279	285	398	224	831	870	709	0
Gm12185	360.12	0	0	2109	1452	498	1205	103	908	903	0	0	0	354	707	0	0	0	0	352	412	0	0	0	0	0	0
Trim12a	359.88	536	102	2305	1561	396	1259	0	0	0	0	0	0	614	1177	0	211	0	0	321	208	0	0	307	0	0	0
H2-T10	357.52	433	137	2728	1287	340	786	0	365	338	0	0	0	450	716	0	0	279	0	657	183	0	0	239	0	0	0
Pxk	357.48	168	0	2860	2095	715	1826	0	232	0	0	0	0	178	223	0	0	0	0	120	245	0	0	275	0	0	0
Trim25	356.88	507	94	1880	980	494	894	177	676	451	0	0	0	631	1101	0	161	0	0	514	140	0	0	222	0	0	0
B2m	356.16	521	0	1687	1054	554	1204	93	598	520	0	0	0	456	720	0	0	215	0	366	359	0	0	389	168	0	0
Nampt	354.72	244	0	1775	1239	538	1251	109	635	438	0	0	0	450	863	0	0	160	0	361	466	0	0	339	0	0	0
Lgals3bp	353.4	518	190	1716	1046	369	870	230	574	781	0	0	0	595	1077	0	232	129	0	322	186	0	0	0	0	0	0
Oas1a	352.68	654	182	2222	1419	709	1471	320	1454	386	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Ifi35	351.76	486	134	2535	1353	590	1195	149	551	803	0	0	0	178	513	0	0	0	0	197	0	0	0	110	0	0	0
Ifih1	351.2	360	137	2075	1306	452	972	201	822	960	0	0	0	305	566	0	0	141	0	261	222	0	0	0	0	0	0
Slfn9	348.96	146	0	2566	1408	918	1685	86	791	1124	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Gm8369	348.08	0	0	2040	1625	701	1641	0	0	156	0	0	0	409	847	0	132	175	0	484	492	0	0	0	0	0	0
H2-T9	347.68	357	154	2104	1404	239	793	225	1022	721	0	0	0	440	720	0	0	0	0	238	0	0	0	275	0	0	0
H2-T22	347.68	357	154	2104	1404	239	793	225	1022	721	0	0	0	440	720	0	0	0	0	238	0	0	0	275	0	0	0
Gm6034	347.68	357	154	2104	1404	239	793	225	1022	721	0	0	0	440	720	0	0	0	0	238	0	0	0	275	0	0	0
Cxcl9	346.72	0	0	2733	1755	1127	1960	0	75	1018	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Art3	346.72	0	0	2733	1755	1127	1960	0	75	1018	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Daxx	344.88	158	0	2166	1514	619	1353	125	711	891	0	0	0	261	619	0	0	0	0	0	0	0	0	205	0	0	0
Smim40	339.88	158	0	2166	1514	619	1353	0	711	891	0	0	0	261	619	0	0	0	0	0	0	0	0	205	0	0	0
Ap3m2	336.6	439	0	1963	1505	527	1689	155	565	841	0	0	0	168	335	0	0	0	0	0	0	0	0	228	0	0	0
Rsad2	331.64	354	0	1947	1423	503	1264	87	826	595	0	0	0	356	742	0	0	0	0	194	0	0	0	0	0	0	0
Elmod2	328.92	115	0	2824	1835	719	1596	0	0	1134	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Cd274	328.16	125	0	2133	1388	482	1014	0	428	1277	0	0	0	294	685	0	0	0	0	152	226	0	0	0	0	0	0
Cxcl10	326.6	100	0	2269	1908	592	1504	0	602	976	0	0	0	0	214	0	0	0	0	0	0	0	0	0	0	0	0
Oas1g	322.64	586	91	2357	1356	668	1312	269	1193	234	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Tor3a	321.64	202	0	2488	1488	460	733	120	846	1471	0	0	0	0	233	0	0	0	0	0	0	0	0	0	0	0	0
Mx1	319.56	308	0	2147	1488	464	1053	0	868	545	0	0	0	283	833	0	0	0	0	0	0	0	0	0	0	0	0
Nmi	318.92	398	133	2158	1227	537	1131	0	180	1379	0	0	0	168	442	0	0	0	0	220	0	0	0	0	0	0	0
Tmem140	313.68	164	0	2550	1555	801	1669	0	310	570	0	0	0	0	223	0	0	0	0	0	0	0	0	0	0	0	0
Cox18	313.44	241	80	2121	1258	302	770	127	837	633	0	0	0	250	293	0	0	0	0	0	0	0	0	634	130	160	0
Gbp6	310.92	0	0	1707	637	345	826	0	786	197	0	0	0	557	1122	0	222	374	0	672	328	0	0	0	0	0	0
Tdrd7	307.84	313	0	2504	1462	524	879	204	716	589	0	0	0	0	283	0	0	0	0	0	0	0	0	222	0	0	0
Ms4a4b	306.2	262	0	2206	1993	445	1288	0	0	0	0	0	0	409	897	0	0	0	0	0	155	0	0	0	0	0	0
Ms4a4c	303.84	0	0	2388	1930	655	1409	0	0	0	0	0	0	208	1006	0	0	0	0	0	0	0	0	0	0	0	0
Iigp1	302.0	0	0	1257	764	437	948	0	678	624	0	0	0	397	719	0	0	317	227	662	520	0	0	0	0	0	0
Keap1	301.68	0	0	2509	1914	362	1200	0	119	372	0	0	0	188	733	0	0	0	0	0	0	0	0	145	0	0	0
Clec2d	297.84	231	0	1693	1106	283	900	189	975	409	0	0	0	305	708	0	0	0	0	282	225	0	0	140	0	0	0
Siglec1	297.36	686	212	2550	1842	572	1572	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Batf2	296.16	0	0	2414	1564	987	2096	0	0	343	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Apol9b	294.04	0	0	1077	484	119	367	635	2082	1982	204	0	0	0	0	0	0	0	0	0	0	0	0	401	0	0	0
Gna13	293.96	0	0	2251	1303	898	1600	121	547	337	0	0	0	0	0	0	0	0	0	0	0	0	0	292	0	0	0
Tmem184b	293.08	0	0	2270	1367	365	725	78	817	681	0	0	0	327	549	0	0	0	0	0	0	0	0	148	0	0	0
Pnp	286.92	447	139	2275	1337	648	1176	0	203	800	0	0	0	0	0	0	0	0	0	0	0	0	0	148	0	0	0
B4galt5	286.88	280	0	1963	1321	461	833	0	491	490	0	0	0	219	569	0	0	0	0	199	151	0	0	195	0	0	0
Chmp4b	278.32	101	0	2082	1417	459	993	0	167	443	0	0	0	272	758	0	0	0	0	0	0	0	0	266	0	0	0
Pml	277.36	0	0	1752	999	392	730	0	542	951	0	0	0	250	549	0	0	0	0	173	205	0	0	391	0	0	0
Parp14	277.0	337	108	1440	920	560	1029	147	637	1028	0	0	0	181	538	0	0	0	0	0	0	0	0	0	0	0	0
Ifi44	275.56	0	0	1879	1232	407	777	142	1529	923	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Trim21	274.48	0	0	1971	1118	659	1437	68	360	318	0	0	0	0	214	0	0	141	0	297	279	0	0	0	0	0	0
Sppl2a	274.08	446	0	2406	1006	524	1090	0	453	927	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Usp25	272.28	0	0	1873	1290	362	1058	0	281	537	0	0	0	219	813	0	0	0	0	0	0	0	0	374	0	0	0
Ankfy1	271.96	317	0	2090	1038	444	760	143	235	666	0	0	0	433	673	0	0	0	0	0	0	0	0	0	0	0	0
Apol9a	271.28	0	0	1137	597	141	287	619	1863	2012	126	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Eif2ak2	270.24	302	82	1441	885	316	786	350	1128	534	0	0	0	294	419	0	0	0	0	219	0	0	0	0	0	0	0
Ifi205	269.68	0	0	2426	1719	474	1442	0	0	681	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Fcgr4	266.44	0	0	2317	1540	1003	1801	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Tnp2	262.04	0	0	1664	862	435	1145	0	597	672	0	0	0	250	490	0	0	0	0	246	0	0	0	190	0	0	0
Socs1	262.04	0	0	1664	862	435	1145	0	597	672	0	0	0	250	490	0	0	0	0	246	0	0	0	190	0	0	0
Fam241a	260.24	0	0	2546	1630	613	1569	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	148	0	0	0
Stard3	260.2	299	0	2291	1576	498	1636	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	205	0	0	0
Trim56	259.76	0	0	2262	1034	258	580	160	550	579	0	0	0	305	490	0	0	0	0	143	0	0	0	133	0	0	0
Znfx1	256.56	379	124	1925	1411	338	1038	127	597	250	0	0	0	0	0	0	0	0	0	0	0	0	0	225	0	0	0
Trim26	255.4	0	0	2122	984	272	377	217	687	1026	0	0	0	178	283	0	0	0	0	0	0	0	0	239	0	0	0
Misp	255.04	0	0	2470	1539	420	742	0	164	1041	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
BC147527	253.2	132	0	2557	1536	370	1209	0	0	0	0	0	0	159	367	0	0	0	0	0	0	0	0	0	0	0	0
Tgtp1	251.56	0	0	1424	701	207	574	88	751	694	0	0	0	250	686	0	0	0	0	529	385	0	0	0	0	0	0
Ccl12	249.24	0	0	2459	1637	624	1511	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Rab5c	246.88	0	0	2098	1400	412	1132	0	230	406	0	0	0	0	263	0	0	0	0	0	0	0	0	231	0	0	0
Vps54	245.16	0	0	1650	1446	363	1453	0	238	468	0	0	0	0	324	0	0	0	0	187	0	0	0	0	0	0	0
Asb13	244.56	0	0	2118	1520	242	687	0	149	319	0	0	0	316	763	0	0	0	0	0	0	0	0	0	0	0	0
Ifi207	243.56	551	205	2032	1502	373	1225	0	0	201	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Slfn1	240.44	0	0	1616	1185	332	957	0	169	310	0	0	0	580	862	0	0	0	0	0	0	0	0	0	0	0	0
Trafd1	240.0	376	125	1713	1112	308	894	0	371	371	0	0	0	0	597	0	0	0	0	0	0	0	0	133	0	0	0
Unk	239.28	333	0	1698	1424	638	1318	0	166	0	0	0	0	0	0	0	0	0	0	0	0	0	0	405	0	0	0
Ube2l6	237.6	242	0	1902	1212	379	1107	0	420	678	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Rhoh	236.92	0	0	2111	1339	791	1593	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	89	0	0	0
Akr1a1	235.72	0	0	2298	1606	540	1244	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	205	0	0	0
Spats2l	234.68	0	0	1751	1030	0	389	198	1194	1305	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
C2	232.72	0	0	1885	1239	347	919	0	688	319	0	0	0	0	421	0	0	0	0	0	0	0	0	0	0	0	0
Nsd3	232.68	0	0	1895	1559	362	1070	0	103	293	0	0	0	0	324	0	0	0	0	0	0	0	0	211	0	0	0
Letm2	232.68	0	0	1895	1559	362	1070	0	103	293	0	0	0	0	324	0	0	0	0	0	0	0	0	211	0	0	0
Sp100	232.16	310	0	1650	959	394	855	0	0	301	0	0	0	397	788	0	0	0	0	150	0	0	0	0	0	0	0
H3f3b	232.08	333	0	1698	1424	638	1318	0	166	0	0	0	0	0	0	0	0	0	0	0	0	0	0	225	0	0	0
Ranbp2	231.24	135	0	1667	1177	458	907	0	0	293	0	0	0	0	400	0	0	0	0	0	0	0	0	594	0	150	0
Dnaja2	225.52	0	0	2269	1774	326	897	0	0	232	0	0	0	0	0	0	0	0	0	0	0	0	0	140	0	0	0
Cd40	224.72	0	0	2476	1501	456	1185	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Dpysl2	223.64	186	0	2022	1447	480	1190	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	266	0	0	0
Ifi209	222.24	148	0	1954	1183	414	1034	0	0	0	0	0	0	250	573	0	0	0	0	0	0	0	0	0	0	0	0
Tmem219	220.92	190	0	2146	1592	350	1014	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	231	0	0	0
Trim30c	219.6	204	0	1721	1175	431	1064	0	307	588	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Lgals9	215.12	248	128	2020	1066	416	819	0	221	274	0	0	0	0	186	0	0	0	0	0	0	0	0	0	0	0	0
Tbc1d13	212.44	0	0	1808	1228	386	1098	0	0	339	0	0	0	0	0	0	0	0	0	0	0	0	0	452	0	0	0
P2rx4	211.72	126	0	2189	1451	466	1061	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Atp10a	210.52	0	0	1855	1272	246	666	0	0	301	0	0	0	362	561	0	0	0	0	0	0	0	0	0	0	0	0
Il18bp	209.68	0	0	2091	1365	395	806	0	203	382	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Rnf135	209.36	0	0	2165	1635	289	826	0	0	319	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Rnf19b	208.72	0	0	2050	1284	321	828	0	171	443	0	0	0	0	0	0	0	0	0	0	0	0	0	121	0	0	0
Fcho2	208.72	0	0	2081	1492	273	914	0	110	275	0	0	0	0	0	0	0	0	0	0	0	0	0	73	0	0	0
Gbp5	208.64	0	0	2036	1426	397	1125	0	0	232	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Ccrl2	208.44	0	0	1653	1332	378	848	0	513	254	0	0	0	0	233	0	0	0	0	0	0	0	0	0	0	0	0
Tanc1	206.88	0	0	2290	1518	317	900	0	0	147	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Susd6	206.72	0	0	2619	1884	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	457	208	0	0
Atf3	206.52	0	0	1800	1333	550	1321	0	0	159	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Dcp2	206.24	0	0	1758	1218	305	935	0	183	473	0	0	0	0	0	0	0	0	0	0	0	0	0	284	0	0	0
Cep192	205.12	137	0	2396	1343	260	625	0	0	227	0	0	0	0	0	0	0	0	0	0	0	0	0	140	0	0	0
S1pr2	204.8	0	0	2007	1137	784	1192	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Xrn2	204.48	113	0	1751	973	219	863	0	186	609	0	0	0	0	223	0	0	0	0	0	0	0	0	175	0	0	0
Zbtb22	204.36	0	0	1657	714	328	644	102	449	556	0	0	0	0	335	0	0	0	0	120	0	0	0	204	0	0	0
Tapbp	204.36	0	0	1657	714	328	644	102	449	556	0	0	0	0	335	0	0	0	0	120	0	0	0	204	0	0	0
Gm5431	203.92	422	0	1940	1225	282	970	0	0	259	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Meig1	203.32	200	0	2192	1254	340	830	0	98	0	0	0	0	0	0	0	0	0	0	0	0	0	0	169	0	0	0
