Target_genes	Sp7|Average	SRX18740507|Oligodendrocytes	SRX1702412|Osteoblasts	STRING
Capn15	93.0	186	0	0
Megf8	92.5	185	0	0
Kbtbd8	92.5	185	0	0
Tcp1	92.0	184	0	0
Snrnp40	92.0	184	0	0
Ppfibp2	92.0	184	0	0
Mrtfa	92.0	184	0	0
Mrpl18	92.0	184	0	0
Gatad2a	92.0	184	0	0
Tcerg1	91.5	183	0	0
Pld1	91.5	183	0	0
Cadm1	91.5	183	0	0
Mpzl1	90.5	181	0	0
Tle4	90.0	180	0	0
Rae1	90.0	0	180	0
Pla2g6	90.0	180	0	0
Mlh1	90.0	180	0	0
Epm2aip1	90.0	180	0	0
Ephb3	90.0	180	0	0
Usp1	89.0	178	0	0
Tmem119	89.0	0	178	0
Med6	89.0	178	0	0
Gins4	89.0	178	0	0
Anks3	89.0	178	0	0
4930451G09Rik	89.0	178	0	0
Kctd7	88.5	177	0	0
Rfx1	88.0	176	0	0
Qtrt2	88.0	176	0	0
Pcdh9	88.0	176	0	0
Dct	88.0	176	0	0
Ccdc191	88.0	176	0	0
Tssc4	87.5	175	0	0
Ska2	87.5	175	0	0
Prr11	87.5	175	0	0
Kmt5c	87.5	175	0	0
Irf6	87.5	175	0	0
Zfp317	87.0	174	0	0
Chchd5	87.0	174	0	0
Zfyve1	86.5	173	0	0
Pcx	86.5	173	0	0
Fzd1	86.5	173	0	0
Stil	85.5	171	0	0
Pebp1	85.5	171	0	0
Crebl2	85.5	171	0	0
Trmt1l	85.0	170	0	0
Swt1	85.0	170	0	0
Pafah2	85.0	170	0	0
Hexim2	85.0	170	0	0
Vpreb1	84.5	169	0	0
Top3b	84.5	169	0	0
Srpr	84.5	169	0	0
Mtss2	84.5	169	0	0
Foxred1	84.5	169	0	0
Fam222b	84.5	169	0	0
Emsy	84.5	169	0	0
Dynll1	84.5	169	0	0
Dusp10	84.5	169	0	0
Ankrd39	84.5	169	0	0
1700056E22Rik	84.5	169	0	0
Timm13	84.0	168	0	0
Tcstv3	84.0	168	0	0
Rundc3a	84.0	168	0	0
Kif19a	84.0	168	0	0
Gle1	84.0	168	0	0
Dgat1	84.0	168	0	0
Uspl1	83.5	0	167	0
Spata19	83.5	167	0	0
Reck	83.5	167	0	0
Pms2	83.5	167	0	0
Bahcc1	83.5	167	0	0
Aimp2	83.5	167	0	0
Spsb3	83.0	166	0	0
Nubp2	83.0	166	0	0
Khsrp	83.0	166	0	0
Mtmr2	82.5	165	0	0
Mettl23	82.5	165	0	0
Map4	82.5	76	89	0
Ift140	82.5	165	0	0
Flad1	82.5	165	0	0
Csf2ra	82.5	0	165	0
Cramp1l	82.5	165	0	0
Poln	82.0	164	0	0
Parm1	82.0	164	0	0
Haus3	82.0	164	0	0
Cfap298	82.0	164	0	0
Ankzf1	82.0	164	0	0
Ttc41	81.5	163	0	0
M6pr	81.5	163	0	0
Hsp90b1	81.5	163	0	0
Spring1	81.0	162	0	0
Sesn3	81.0	162	0	0
Sdf2l1	81.0	162	0	0
Rnft2	81.0	162	0	0
Ehbp1	81.0	162	0	0
Trim26	80.5	161	0	0
Snx11	80.5	161	0	0
Smim40	80.5	161	0	0
Nmt1	80.5	161	0	0
Hnrnpc	80.5	161	0	0
Fmn1	80.5	0	161	0
Dbi	80.5	161	0	0
Daxx	80.5	161	0	0
Top2b	80.0	160	0	0
Ice1	80.0	160	0	0
Fnbp4	80.0	160	0	0
Eef1g	80.0	160	0	0
Tepsin	79.5	159	0	0
Ppp1r12b	79.5	159	0	0
Ndufaf8	79.5	159	0	0
Map3k3	79.5	159	0	0
Kdm4b	79.5	159	0	0
Invs	79.5	159	0	0
Hip1	79.5	159	0	0
Erp44	79.5	159	0	0
Mtmr4	79.0	158	0	0
Mtf2	79.0	158	0	0
Lrrtm2	79.0	158	0	0
Armc1	79.0	158	0	0
Poc5	78.5	157	0	0
Zfp846	78.0	156	0	0
Zfp277	78.0	156	0	0
Rab30	78.0	156	0	0
Pacs2	78.0	156	0	0
Otud6b	78.0	156	0	0
Orai1	78.0	156	0	0
Nup214	78.0	156	0	0
Ndufs8	78.0	156	0	0
Gosr2	78.0	0	156	0
Edrf1	78.0	156	0	0
Dock4	78.0	156	0	0
Dcaf7	78.0	156	0	0
Ccnf	78.0	156	0	0
Brpf1	78.0	156	0	0
Abcc10	78.0	156	0	0
Tcf4	77.5	0	155	0
Ptpn14	77.5	155	0	0
Nop14	77.5	155	0	0
Lmbr1l	77.5	155	0	0
Ifrd2	77.5	155	0	0
Grk4	77.5	155	0	0
Zfp513	77.0	154	0	0
Tial1	77.0	154	0	0
Mmut	77.0	154	0	0
Mmachc	77.0	154	0	0
Ing3	77.0	154	0	0
Fbxl19	77.0	154	0	0
Dhodh	77.0	154	0	0
Cenpq	77.0	154	0	0
Ccdc163	77.0	154	0	0
Zfp667	76.5	0	153	0
Tab1	76.5	153	0	0
Kdm4d	76.5	153	0	0
Cwc15	76.5	153	0	0
Znrd1as	76.0	152	0	0
Znrd1	76.0	152	0	0
Mtrex	76.0	152	0	0
Dhx29	76.0	152	0	0
Ankhd1	76.0	152	0	0
Zkscan5	75.5	151	0	0
Zkscan14	75.5	151	0	0
Tcte3	75.5	151	0	0
Sarnp	75.5	151	0	0
Rab5b	75.5	151	0	0
Ormdl2	75.5	151	0	0
Mrps16	75.5	151	0	0
Gm3448	75.5	151	0	0
Gm3435	75.5	151	0	0
Gm3417	75.5	151	0	0
Dnm3	75.5	151	0	0
Dnajc9	75.5	151	0	0
Cks2	75.5	151	0	0
Bambi	75.5	0	151	0
Polr3f	75.0	150	0	0
Nme1	75.0	150	0	0
Napa	75.0	150	0	0
N4bp2l2	75.0	150	0	0
Dzank1	75.0	150	0	0
Tdrkh	74.5	149	0	0
Rpa2	74.5	149	0	0
Lars	74.5	149	0	0
Cdyl	74.5	0	149	0
Rab40b	74.0	148	0	0
Pwwp2a	74.0	148	0	0
Psmd5	74.0	148	0	0
Ndufb5	74.0	148	0	0
Mrpl47	74.0	148	0	0
Gpd1	74.0	148	0	0
Cutal	74.0	148	0	0
Arhgap19	74.0	148	0	0
Aplf	74.0	148	0	0
Alcam	74.0	148	0	0
Abhd2	74.0	148	0	0
Rmnd5a	73.5	147	0	0
Per2	73.5	147	0	0
Paip2b	73.5	147	0	0
Elac2	73.5	147	0	0
Ecsit	73.5	147	0	0
Rsbn1	73.0	146	0	0
Mpc2	73.0	146	0	0
Lrif1	73.0	146	0	0
Krt40	73.0	146	0	0
Hmgcr	73.0	146	0	0
Dcaf6	73.0	146	0	0
Tut1	72.5	145	0	0
Ttll13	72.5	145	0	0
Tcf3	72.5	145	0	0
Snx17	72.5	145	0	0
Rsrc2	72.5	145	0	0
Rnf181	72.5	145	0	0
Ptbp1	72.5	145	0	0
Mrpl39	72.5	145	0	0
Map1lc3b	72.5	145	0	0
Kntc1	72.5	145	0	0
Khdc4	72.5	145	0	0
Ints4	72.5	145	0	0
Eif2b4	72.5	145	0	0
Dguok	72.5	145	0	0
Cdk11b	72.5	145	0	0
Nceh1	72.0	144	0	0
Itgb1	72.0	0	144	0
Irf2	72.0	0	144	0
Wbp1	71.5	143	0	0
Txndc11	71.5	143	0	0
Tasor2	71.5	143	0	0
Sf3a3	71.5	143	0	0
Mrpl21	71.5	143	0	0
Ino80b	71.5	143	0	0
Ighmbp2	71.5	143	0	0
Gorasp2	71.5	143	0	0
Akap8l	71.5	143	0	0
Ttc23	71.0	142	0	0
Lrrc28	71.0	142	0	0
Hspa2	71.0	142	0	0
Ttbk2	70.5	141	0	0
Rinl	70.5	141	0	0
Lcmt1	70.5	141	0	0
Gatb	70.5	141	0	0
Eri3	70.5	141	0	0
Cltc	70.5	141	0	0
Cdk20	70.5	141	0	0
B3gntl1	70.5	141	0	0
Antxr1	70.5	0	141	0
Zmym6	70.0	140	0	0
Vipas39	70.0	140	0	0
Tma16	70.0	140	0	0
Slc4a2	70.0	140	0	0
Rlf	70.0	140	0	0
Ilf2	70.0	140	0	0
Cdk5	70.0	140	0	0
Aktip	70.0	140	0	0
Ahsa1	70.0	140	0	0
Traf7	69.5	139	0	0
Tmem222	69.5	139	0	0
Nr1d1	69.5	139	0	0
Nedd8	69.5	139	0	0
Men1	69.5	139	0	0
Il25	69.5	139	0	0
H4c18	69.5	139	0	0
H4bc24	69.5	139	0	0
H2bc23	69.5	139	0	0
H2ac24	69.5	139	0	0
H2ac23	69.5	139	0	0
Gmpr2	69.5	139	0	0
Ercc6l2	69.5	139	0	0
Cmtm5	69.5	139	0	0
Zfp386	69.0	138	0	0
Tubb5	69.0	138	0	0
Spata13	69.0	0	138	0
Rag2	69.0	138	0	0
Mdc1	69.0	138	0	0
Iftap	69.0	138	0	0
Akr1b3	69.0	138	0	0
1110004F10Rik	69.0	138	0	0
Zfp446	68.0	136	0	0
Stard7	68.0	136	0	0
Slc25a29	68.0	136	0	0
Prpf19	68.0	136	0	0
Zfp608	67.5	0	135	0
Usp8	67.5	135	0	0
Urm1	67.5	135	0	0
Pcca	67.5	135	0	0
Ly6g6f	67.5	135	0	0
Ly6g6e	67.5	135	0	0
Hbp1	67.5	135	0	0
Esyt2	67.5	135	0	0
Dpysl3	67.5	0	135	0
Zcchc4	67.0	134	0	0
Uvrag	67.0	134	0	0
Slc9a1	67.0	134	0	0
Ptch1	67.0	0	134	0
Ppox	67.0	134	0	0
G3bp1	67.0	134	0	0
Coa4	67.0	134	0	0
Chchd3	67.0	134	0	0
Bsdc1	67.0	134	0	0
Abat	67.0	134	0	0
Rheb	66.5	133	0	0
Phlpp1	66.5	133	0	0
Gpr142	66.5	133	0	0
Fam89a	66.5	133	0	0
Eif2b2	66.5	133	0	0
Btbd17	66.5	133	0	0
Tacc1	66.0	132	0	0
Ibsp	66.0	0	132	0
Hectd1	66.0	132	0	0
Cdc37l1	66.0	132	0	0
Ahctf1	66.0	132	0	0
Trip10	65.5	131	0	0
Sec23a	65.5	131	0	0
Gpr108	65.5	131	0	0
Gemin2	65.5	131	0	0
Ensa	65.5	131	0	0
Asf1b	65.5	131	0	0
Umad1	65.0	130	0	0
Slc35b4	65.0	130	0	0
Rpa3	65.0	130	0	0
Bdh1	65.0	130	0	0
Zfp36l1	64.5	0	129	0
Scly	64.5	129	0	0
Ppp2r5e	64.5	129	0	0
Ndufv1	64.5	129	0	0
Ino80c	64.5	0	129	0
Get1	64.5	129	0	0
Pdhb	64.0	128	0	0
1700037H04Rik	64.0	128	0	0
Zfp143	63.5	127	0	0
Uchl5	63.5	127	0	0
Trim80	63.5	0	127	0
Tesk1	63.5	127	0	0
Ro60	63.5	127	0	0
Rbm15b	63.5	127	0	0
Nabp1	63.5	127	0	0
Mydgf	63.5	127	0	0
Manf	63.5	127	0	0
Incenp	63.5	127	0	0
Creld2	63.5	127	0	0
Alg12	63.5	127	0	0
Rab1a	63.0	126	0	0
Per1	63.0	126	0	0
Pa2g4	63.0	126	0	0
Mis18bp1	63.0	126	0	0
Efna1	63.0	0	126	0
Ckap2l	63.0	126	0	0
Wdr19	62.5	125	0	0
Pdia4	62.5	125	0	0
Kctd14	62.5	125	0	0
Cnot1	62.5	125	0	0
Angptl2	62.5	0	125	0
Togaram1	62.0	124	0	0
Tmem129	62.0	124	0	0
Tacc3	62.0	124	0	0
Slc35b1	62.0	124	0	0
Nde1	62.0	124	0	0
Myrf	62.0	124	0	0
Marf1	62.0	124	0	0
Klhl28	62.0	124	0	0
Fam185a	62.0	124	0	0
Chgb	62.0	124	0	0
Ccdc146	62.0	124	0	0
Ankrd11	62.0	124	0	0
Acin1	62.0	124	0	0
1700123O20Rik	62.0	124	0	0
Zfp607b	61.5	123	0	0
Zfp41	61.5	123	0	0
Tbccd1	61.5	123	0	0
Map3k10	61.5	123	0	0
Lrrc51	61.5	123	0	0
Dnajb11	61.5	123	0	0
Atxn3	61.5	123	0	0
Ube2n	61.0	122	0	0
Sorbs3	61.0	122	0	0
Prkdc	61.0	122	0	0
Mx2	61.0	122	0	0
Mcm4	61.0	122	0	0
Galm	61.0	0	122	0
Eml6	61.0	122	0	0
Atxn7l3b	61.0	122	0	0
Txnl4b	60.5	121	0	0
Smurf2	60.5	0	121	0
Ift27	60.5	121	0	0
Fam149b	60.5	121	0	0
Ecd	60.5	121	0	0
Dhx38	60.5	121	0	0
Arf2	60.5	121	0	0
4921504E06Rik	60.5	0	121	0
Myt1	60.0	120	0	0
Mthfd1	60.0	120	0	0
Gins2	60.0	120	0	0
Eif4g2	60.0	120	0	0
Ubash3b	59.5	0	119	0
Swsap1	59.5	119	0	0
Scamp2	59.5	119	0	0
Rnmt	59.5	119	0	0
Fam210a	59.5	119	0	0
Arhgef37	59.5	119	0	0
Alg14	59.5	119	0	0
Tmtc3	59.0	118	0	0
Stt3a	59.0	118	0	0
Spg7	59.0	0	118	0
Nol8	59.0	118	0	0
Itgav	59.0	0	118	0
Gspt1	59.0	118	0	0
Cep290	59.0	118	0	0
Cenpp	59.0	118	0	0
Apcdd1	59.0	0	118	0
Sp4	58.5	117	0	0
Slc26a8	58.5	117	0	0
Mbnl2	58.5	117	0	0
Mapk14	58.5	117	0	0
Il18	58.5	117	0	0
Eif2ak3	58.5	117	0	0
Cspg4	58.5	117	0	0
Clasp2	58.5	117	0	0
Bco2	58.5	117	0	0
Ywhaq	58.0	116	0	0
Ttyh1	58.0	116	0	0
Tmx2	58.0	116	0	0
Nf2	58.0	116	0	0
Med19	58.0	116	0	0
Ep400	58.0	116	0	0
Ybx1	57.5	115	0	0
Xpo1	57.5	115	0	0
Rbfox2	57.5	115	0	0
Calm3	57.5	115	0	0
Txndc16	57.0	114	0	0
Tox4	57.0	114	0	0
Stx18	57.0	114	0	0
Slc25a42	57.0	114	0	0
Rab2b	57.0	114	0	0
Hnrnpr	57.0	114	0	0
Gpr137c	57.0	114	0	0
Tpp2	56.5	113	0	0
Nudcd1	56.5	113	0	0
Etf1	56.5	113	0	0
Eny2	56.5	113	0	0
1810055G02Rik	56.5	113	0	0
1700030J22Rik	56.5	113	0	0
Kdm4a	56.0	112	0	0
Josd1	56.0	112	0	0
Ing1	56.0	112	0	0
Gtpbp1	56.0	112	0	0
Eloc	56.0	112	0	0
Pik3ip1	55.5	0	111	0
Metrnl	55.5	0	111	0
Dnm2	55.5	111	0	0
Rnf170	55.0	0	110	0
Osbp	55.0	110	0	0
Hook3	55.0	0	110	0
Tmeff2	54.5	109	0	0
Smpd3	54.5	109	0	0
Sacm1l	54.5	109	0	0
Ppp2r5d	54.5	109	0	0
Myl4	54.5	109	0	0
Max	54.5	109	0	0
Cdc27	54.5	109	0	0
Ngdn	54.0	108	0	0
Mad2l1	54.0	108	0	0
Lin52	54.0	108	0	0
Hes1	54.0	0	108	0
Fgfrl1	54.0	108	0	0
Aldh6a1	54.0	108	0	0
Folr2	53.5	0	107	0
Fam171a2	53.5	0	107	0
Zcwpw2	53.0	106	0	0
Kcnj2	53.0	106	0	0
Dis3l	53.0	106	0	0
Dcbld2	53.0	106	0	0
Azi2	53.0	106	0	0
Atp5b	53.0	106	0	0
Paf1	52.5	105	0	0
Med29	52.5	105	0	0
Lrig2	52.5	105	0	0
Inpp5k	52.5	105	0	0
Ubr7	52.0	104	0	0
Thrap3	52.0	104	0	0
Mis12	52.0	104	0	0
Gon7	52.0	104	0	0
Gm20604	52.0	104	0	0
Derl2	52.0	104	0	0
Btbd1	52.0	0	104	0
Pop5	51.5	0	103	0
Pik3c2a	51.5	103	0	0
Klf9	51.5	103	0	0
Ttc32	51.0	102	0	0
Sp2	51.0	102	0	0
Sod1	51.0	102	0	0
Nip7	51.0	102	0	0
Lman2	51.0	102	0	0
Gm6712	51.0	102	0	0
Dimt1	51.0	102	0	0
Cog8	51.0	102	0	0
Col1a2	50.5	0	101	0
Ccdc61	50.5	101	0	0
Rps21	50.0	100	0	0
Nacc2	50.0	100	0	0
Hsd17b12	50.0	100	0	0
Ufsp2	49.5	99	0	0
Rassf5	49.5	0	99	0
AW549877	49.5	99	0	0
1700029J07Rik	49.5	99	0	0
Smim5	49.0	98	0	0
Mrpl45	49.0	0	98	0
Gtpbp4	49.0	98	0	0
Ddx17	49.0	98	0	0
Ccno	49.0	98	0	0
Aph1b	49.0	98	0	0
Slc5a5	48.5	97	0	0
Sirt2	48.5	97	0	0
Rpl18a	48.5	97	0	0
Nfkbib	48.5	97	0	0
Myh10	48.5	97	0	0
Mfsd8	48.5	97	0	0
Dusp6	48.5	97	0	0
Zfp488	48.0	96	0	0
Sptlc2	48.0	96	0	0
Sp1	48.0	96	0	0
Mmadhc	48.0	96	0	0
Map3k14	48.0	96	0	0
Ibtk	47.5	95	0	0
Ube2i	47.0	94	0	0
H4c3	47.0	94	0	0
H1f6	47.0	94	0	0
Desi2	47.0	94	0	0
Ap2a1	47.0	94	0	0
Mbd4	46.5	93	0	0
Ift122	46.5	93	0	0
Tmc8	46.0	92	0	0
Tmc6	46.0	92	0	0
Sec63	46.0	0	92	0
Nucb2	46.0	92	0	0
Lrrc45	46.0	92	0	0
Insc	46.0	92	0	0
Cic	46.0	92	0	0
Cenpx	46.0	92	0	0
Smndc1	45.5	91	0	0
S1pr4	45.5	91	0	0
Ncln	45.5	91	0	0
Msantd4	45.5	91	0	0
Shank1	45.0	0	90	0
Ehd3	45.0	90	0	0
Rpl27	44.5	89	0	0
Ints9	44.5	89	0	0
Hmbox1	44.5	89	0	0
Zbtb40	44.0	0	88	0
Stap2	44.0	88	0	0
St7	44.0	0	88	0
Myh14	44.0	88	0	0
Mpnd	44.0	88	0	0
Garem1	43.5	87	0	0
Derl1	43.5	87	0	0
Cycs	43.5	87	0	0
Ccdc30	42.5	0	85	0
Arid4a	42.0	84	0	0
Rgs20	41.0	82	0	0
Ptov1	41.0	82	0	0
Lig4	41.0	82	0	0
Kyat3	41.0	82	0	0
Abhd13	41.0	82	0	0
Atad2	40.5	81	0	0
Rpl3	40.0	80	0	0
Ppp6r3	40.0	80	0	0
Klhl18	40.0	80	0	0
Kif9	40.0	80	0	0
Bag2	40.0	0	80	0
Sfxn5	39.0	78	0	0
Polg	39.0	78	0	0
Myo1e	39.0	0	78	0
Edem1	38.5	0	77	0
Ndufs7	38.0	76	0	0
Hmgcs1	36.5	73	0	0
Satb2	0.0	0	0	627
Mmp13	0.0	0	0	524
Sost	0.0	0	0	503
Il6	0.0	0	0	440
Dlx5	0.0	0	0	438
Bglap	0.0	0	0	436
Spp1	0.0	0	0	426
Lef1	0.0	0	0	401
Bglap2	0.0	0	0	401
Zbtb16	0.0	0	0	230
Vegfa	0.0	0	0	192
