Target_genes	Junb|Average	SRX520196|3T3-L1	SRX10652554|CD4+_T_cells	SRX974255|CD4+_T_cells	SRX974256|CD4+_T_cells	SRX437450|CD8+_T_cells	SRX671663|Cortical_neuron	SRX671668|Cortical_neuron	SRX122410|Dendritic_Cells	SRX122411|Dendritic_Cells	SRX122412|Dendritic_Cells	SRX122413|Dendritic_Cells	SRX122414|Dendritic_Cells	SRX122415|Dendritic_Cells	SRX122416|Dendritic_Cells	SRX122417|Dendritic_Cells	SRX3380971|Dendritic_Cells	SRX3380972|Dendritic_Cells	SRX3380973|Dendritic_Cells	SRX390506|Dendritic_Cells	SRX197289|Macrophages	SRX197290|Macrophages	SRX2417357|Macrophages	SRX2417358|Macrophages	SRX2417359|Macrophages	SRX2901290|Macrophages	SRX2901291|Macrophages	SRX2901292|Macrophages	SRX2901293|Macrophages	SRX2901294|Macrophages	SRX3723668|Neutrophils	SRX3723669|Neutrophils	SRX3723671|Neutrophils	SRX3723672|Neutrophils	SRX6437850|Pancreatic_adenocarcinoma	SRX9344838|RAW_264.7	SRX9344839|RAW_264.7	SRX9344840|RAW_264.7	SRX9344876|RAW_264.7	SRX9344877|RAW_264.7	SRX9344878|RAW_264.7	SRX9344879|RAW_264.7	SRX9344880|RAW_264.7	SRX9344881|RAW_264.7	SRX9344882|RAW_264.7	SRX9344883|RAW_264.7	SRX9344884|RAW_264.7	SRX9344885|RAW_264.7	SRX9344886|RAW_264.7	SRX9344887|RAW_264.7	SRX172345|Th17_Cells	SRX2145549|Th17_Cells	SRX2145550|Th17_Cells	SRX2773918|Th17_Cells	SRX2773920|Th17_Cells	SRX18275256|Th2_Cells	SRX18275258|Th2_Cells	SRX4891576|Treg	STRING
Hmces	464.087719	183	139	0	156	0	0	0	0	0	0	0	0	0	0	0	512	514	0	0	203	1598	337	664	611	461	700	930	2132	2300	0	0	0	0	663	0	200	230	1426	1249	293	192	1410	1350	119	272	863	756	1699	1454	0	0	0	1629	1208	0	0	0	0
Rmc1	462.877193	205	0	0	0	0	0	118	0	0	0	0	0	0	0	0	219	195	0	0	95	1472	315	354	303	739	1094	1530	2705	2558	0	0	0	0	833	0	172	225	1098	1016	442	298	1649	1541	316	320	821	612	1757	1725	220	0	0	652	695	0	90	0	0
Rab7b	460.561404	354	0	0	0	0	0	0	0	0	0	0	0	0	0	0	371	298	0	0	355	2075	781	570	640	734	728	1307	2182	2305	0	0	0	0	1272	137	194	171	1488	1254	395	215	1280	1404	363	349	934	757	1472	1445	0	0	0	181	241	0	0	0	0
Gda	460.122807	700	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	269	2084	616	823	699	644	615	1036	2284	2146	0	0	0	0	118	164	220	243	1720	1794	614	551	1502	1482	225	344	991	943	1673	1727	0	0	0	0	0	0	0	0	0
Furin	459.54386	242	0	0	279	0	0	129	0	0	0	0	0	0	0	0	768	558	120	0	287	1874	564	1166	747	565	801	1152	1823	1722	0	0	0	0	679	0	288	196	1076	1022	315	172	941	1138	243	372	723	724	1256	1159	200	0	0	1260	1633	0	0	0	0
Syne3	459.333333	0	0	0	320	0	0	0	0	0	0	0	0	0	0	0	171	0	0	0	213	1659	692	730	387	697	769	1146	1820	1779	0	0	0	0	867	0	244	222	1870	1648	487	339	1069	1205	304	295	883	932	1226	1154	375	0	0	876	1640	0	163	0	0
Rara	456.22807	205	0	0	120	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	631	1555	374	327	487	931	988	1468	2060	2317	0	0	0	0	2429	0	249	365	1316	1166	252	244	1212	1393	331	365	737	812	1392	1366	183	0	0	154	576	0	0	0	0
Klra2	455.596491	510	0	0	0	0	0	0	0	0	0	0	0	0	0	0	558	559	0	0	204	2808	704	1149	840	605	935	1532	2477	2526	0	0	0	0	181	73	183	250	808	555	277	224	1606	1648	174	136	670	310	1591	1417	0	0	0	181	278	0	0	0	0
Htatip2	454.701754	513	0	0	0	0	0	269	0	0	0	0	0	0	0	0	0	0	0	0	199	2112	392	278	293	516	562	1157	2193	2416	0	0	0	0	3053	0	347	402	1261	1180	366	281	1376	1551	344	400	755	691	1469	1542	0	0	0	0	0	0	0	0	0
Anxa1	441.122807	636	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	396	1135	750	240	255	772	634	1051	1480	1333	0	0	0	0	2929	0	287	372	1691	1394	476	326	1194	1198	346	421	918	884	1388	1536	251	0	0	283	568	0	0	0	0
Mefv	427.649123	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	795	913	0	0	222	2756	537	317	360	656	1131	1544	2325	2373	0	0	0	0	284	0	0	164	577	616	132	115	1116	1699	130	134	497	551	1928	1836	0	0	0	268	400	0	0	0	0
Card19	423.684211	191	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	176	920	316	227	186	779	943	1380	2260	2230	0	0	0	0	2539	130	0	346	1199	1090	255	201	1416	1396	318	361	773	635	1547	1577	178	0	0	303	278	0	0	0	0
Kpna1	421.912281	260	1475	1091	164	651	427	463	0	0	0	0	0	0	0	0	443	327	299	0	171	202	558	281	431	431	471	487	413	531	0	0	0	0	0	640	761	725	661	655	1096	834	989	1099	458	555	418	314	1663	1580	198	0	0	743	658	0	426	0	0
Plec	418.736842	198	0	0	572	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	856	343	279	225	417	656	876	1417	1407	0	0	0	0	1940	231	396	446	1573	1277	286	264	956	977	202	397	998	916	1224	1085	446	0	0	972	1794	0	242	0	0
Spag9	412.631579	329	165	0	181	0	0	297	0	0	0	0	0	0	0	0	422	453	0	165	270	1679	511	426	440	525	524	1116	2465	2580	0	0	0	0	1764	0	194	211	875	792	100	169	1044	1115	288	274	345	402	1214	1180	180	0	0	329	496	0	0	0	0
Ninj2	411.175439	433	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1100	351	149	186	622	708	1059	1854	1834	0	0	0	0	1419	142	229	410	1240	964	347	261	1329	1457	411	346	832	646	1544	1428	253	0	0	843	854	0	186	0	0
Rabggta	411.157895	110	106	0	98	0	0	0	0	0	0	0	0	0	0	0	477	497	109	0	216	2224	452	1030	827	448	604	1061	2235	2556	0	0	0	0	623	0	0	150	775	580	298	130	1174	1330	153	245	378	375	1229	957	110	0	0	733	1047	0	99	0	0
Mideas	410.578947	582	0	0	0	0	0	325	0	0	0	0	0	0	0	0	0	0	0	0	271	937	872	342	355	320	321	648	1151	1205	0	0	0	0	1823	149	273	472	1637	1536	454	319	1433	1568	304	367	923	915	1542	1582	0	0	0	273	440	0	64	0	0
Trib1	409.105263	435	0	0	0	0	0	0	0	0	0	0	0	0	0	0	355	346	0	0	0	846	674	496	279	493	484	735	1426	1732	0	0	0	0	2884	237	390	378	1439	1214	458	279	1041	1154	450	346	734	657	1256	1216	0	0	0	406	383	0	96	0	0
H1f8	408.315789	213	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	122	1377	225	0	444	428	765	1276	2238	2246	0	0	0	0	471	128	256	277	1131	1307	306	148	1289	1475	270	302	1103	782	1545	1413	123	0	0	650	762	0	202	0	0
Cetn4	403.122807	216	0	0	301	0	0	135	0	0	0	0	0	0	0	0	834	828	278	168	133	1037	313	413	428	606	654	943	2156	2254	0	0	0	0	688	0	0	172	919	592	301	107	759	980	129	213	533	613	1212	1274	0	0	0	1254	1381	0	154	0	0
Bbs12	403.122807	216	0	0	301	0	0	135	0	0	0	0	0	0	0	0	834	828	278	168	133	1037	313	413	428	606	654	943	2156	2254	0	0	0	0	688	0	0	172	919	592	301	107	759	980	129	213	533	613	1212	1274	0	0	0	1254	1381	0	154	0	0
AI413582	402.736842	693	181	0	344	0	0	478	0	0	0	0	0	0	0	0	0	179	0	0	191	1635	359	173	428	545	530	1085	1902	1855	0	0	0	0	2421	0	175	294	1094	911	311	166	945	1189	306	253	651	507	1339	1126	0	0	0	281	409	0	0	0	0
Parvb	401.280702	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	327	378	0	0	0	1042	286	218	327	891	763	1222	2361	2344	0	0	0	0	864	0	162	309	1554	1362	431	261	1281	1635	167	306	730	624	1441	1587	0	0	0	0	0	0	0	0	0
Atp6v0e2	395.807018	131	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	838	0	0	0	226	470	861	1440	1494	0	0	0	0	387	175	397	524	1763	1626	404	475	1861	2036	412	477	1328	1161	2145	1930	0	0	0	0	0	0	0	0	0
Rtn4	390.070175	449	0	0	0	0	0	137	0	0	0	0	0	0	0	0	0	0	0	0	245	1184	507	218	128	727	720	1292	1803	1811	0	0	0	0	1709	0	151	123	1066	883	391	271	1240	1374	230	243	540	531	1780	1875	171	0	0	0	349	0	86	0	0
Dyrk1a	388.964912	265	271	0	0	0	0	0	0	0	0	0	0	0	0	0	155	241	0	0	0	623	249	317	230	588	413	788	1932	2000	0	0	0	0	755	0	0	0	1248	932	242	169	1058	1317	193	303	472	629	1628	1427	0	0	0	2015	1433	136	142	0	0
Cd36	387.140351	205	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1603	1573	985	0	0	1900	238	2222	2005	396	371	749	1957	1927	0	0	0	0	0	0	0	0	360	189	188	0	1126	1061	0	0	187	143	1109	950	0	0	0	332	291	0	0	0	0
Crk	382.684211	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1078	362	183	126	649	700	1488	1867	1950	0	0	0	0	1729	0	178	222	1014	928	352	217	1216	1405	310	238	618	567	1689	1522	0	0	0	433	772	0	0	0	0
Guca2b	382.175439	138	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1143	0	0	0	683	723	1402	2271	2508	0	0	0	0	833	0	226	262	1093	825	303	223	1552	1731	288	399	645	588	1629	1552	276	0	0	287	204	0	0	0	0
Enthd1	381.684211	234	0	0	0	0	0	153	0	0	0	0	0	0	0	0	660	785	215	94	239	1591	306	834	761	622	676	1081	1639	1700	0	0	0	0	1523	0	0	270	757	692	217	202	872	1051	113	218	648	545	947	953	0	0	0	431	634	0	93	0	0
Kbtbd7	380.982456	0	0	0	352	0	0	0	0	0	0	0	0	0	0	0	196	161	0	0	130	596	0	0	137	544	628	987	1706	1516	0	0	0	0	1254	0	253	131	1561	1371	356	241	1250	1383	518	509	771	562	1476	1440	389	0	0	423	743	0	132	0	0
Zfp280d	377.175439	471	0	0	0	0	0	0	0	0	0	0	0	0	0	0	319	379	0	0	0	2051	259	0	0	270	250	703	2351	1625	0	0	0	0	2577	104	164	167	566	565	206	0	1548	1627	0	0	413	412	1536	1396	0	0	0	567	856	117	0	0	0
Olfr432	376.614035	664	0	0	0	0	0	0	0	0	0	0	0	0	0	0	620	713	392	118	0	2579	0	469	173	461	778	1347	2344	2237	0	0	0	0	375	0	120	95	322	302	109	112	780	953	122	123	336	244	1102	1135	0	0	0	1297	948	0	97	0	0
Rhov	375.421053	146	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1332	135	0	0	844	822	1249	2181	2128	0	0	0	0	522	99	329	349	1216	805	399	316	1428	1575	323	425	797	712	1594	1525	0	0	0	0	148	0	0	0	0
Eif4e	374.157895	288	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	255	0	0	0	1302	0	0	185	410	520	858	2080	2213	0	0	0	0	1987	0	229	210	585	446	271	0	1481	1693	255	314	425	265	1827	1782	318	0	0	547	504	0	77	0	0
Il7r	374.140351	0	196	0	224	0	0	0	0	0	118	0	0	0	0	0	0	0	0	0	312	2301	505	254	564	466	547	985	2076	2008	0	0	0	0	0	105	222	386	416	333	340	236	1277	1618	231	107	375	320	1578	1366	0	0	0	871	870	0	119	0	0
Syne1	373.719298	665	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1342	1329	829	0	326	3090	401	2110	1514	301	320	542	1492	1616	0	0	0	0	631	129	191	182	155	0	0	0	593	485	145	0	159	130	1118	910	0	0	0	270	327	0	0	0	0
Adgre5	372.982456	204	0	0	0	0	0	0	0	0	0	0	0	0	0	0	250	399	124	0	207	748	668	464	448	395	541	925	1420	1259	0	0	0	0	1862	0	148	193	1470	1125	542	236	1188	1443	247	237	621	599	1439	1381	0	0	0	160	317	0	0	0	0
Raet1d	370.877193	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	312	261	0	0	0	945	0	0	0	515	534	1175	1531	1583	0	0	0	0	1694	0	303	398	1394	1215	387	303	1134	1255	365	557	1010	858	1208	1120	231	0	0	224	528	0	100	0	0
Ppt1	369.350877	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	849	673	744	0	0	2092	0	2237	1640	278	221	465	1189	1520	0	0	0	0	323	0	0	171	949	695	323	115	835	812	183	226	501	512	1303	1110	197	0	0	324	566	0	0	0	0
Opa3	368.210526	0	123	0	220	0	0	137	0	0	0	0	0	0	0	0	200	122	0	0	0	1602	0	0	0	239	952	1422	2555	2670	0	0	0	0	631	140	276	293	260	153	0	0	1526	1694	0	189	164	206	1588	1756	232	0	0	617	898	0	123	0	0
Klf2	368.052632	121	0	0	0	0	0	0	0	0	0	0	0	0	0	0	896	839	310	0	121	1676	356	519	538	454	393	930	1947	1854	0	0	0	0	156	0	192	162	971	674	200	137	949	1102	139	150	705	574	1098	1247	0	0	0	830	739	0	0	0	0
Emp1	366.596491	656	234	0	173	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	739	0	0	0	506	462	833	1882	1941	0	0	0	0	1913	0	215	144	984	934	348	126	1024	1135	140	138	486	610	1385	1256	190	0	0	1217	1225	0	0	0	0
Dennd2c	365.736842	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	366	418	136	0	140	657	396	260	234	595	910	913	2325	2330	0	0	0	0	0	0	0	181	1231	1126	357	214	1328	1445	182	197	621	724	1561	1637	0	0	0	136	227	0	0	0	0
E2f2	364.403509	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	818	473	165	0	220	2189	765	1939	1492	351	493	847	1505	1443	0	0	0	0	339	0	0	202	732	646	190	164	758	1018	125	0	364	398	1270	1373	284	0	0	0	208	0	0	0	0
Cavin1	363.614035	666	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	865	0	0	0	205	420	801	1522	1757	0	0	0	0	2060	0	239	195	1258	1137	292	234	1520	1772	324	279	558	793	1889	1760	0	0	0	0	180	0	0	0	0
Rbpj	362.052632	134	142	0	160	0	0	323	0	0	0	0	0	0	0	0	140	227	0	0	0	1364	207	211	242	300	665	817	1335	1201	0	0	0	0	1456	176	176	334	958	798	330	397	1101	1097	382	312	556	574	1151	1198	350	0	0	722	1101	0	0	0	0
Vim	361.54386	482	0	0	162	0	0	0	0	0	0	0	0	0	0	0	157	0	0	0	157	853	511	392	336	652	546	986	1476	1570	0	0	0	0	2103	0	0	272	983	974	299	169	1082	982	183	383	491	495	1344	1333	0	0	0	514	603	0	118	0	0
Pkm	360.421053	703	0	0	165	0	0	0	0	0	0	0	0	0	0	0	135	231	0	0	205	1660	316	347	228	465	364	757	1406	1347	0	0	0	0	1445	0	89	166	1166	1026	234	129	951	975	152	305	668	569	1113	1225	0	0	0	1101	901	0	0	0	0
Cyth4	360.210526	0	0	0	333	0	0	0	0	0	0	0	0	0	0	0	765	545	0	0	0	1834	354	164	162	488	587	843	1993	1980	0	0	0	0	0	0	197	191	938	714	258	196	1026	1382	220	178	550	396	1330	1091	135	0	0	799	883	0	0	0	0
Creb5	360.105263	375	0	0	0	0	0	171	0	0	0	0	0	0	0	0	0	112	0	0	466	1196	680	732	473	674	702	969	2217	2013	0	0	0	0	2367	0	0	177	714	818	278	214	856	837	197	171	382	315	1062	951	0	0	0	0	407	0	0	0	0
Slc25a45	359.964912	180	141	0	0	0	0	0	0	0	0	0	0	0	0	0	111	210	0	0	0	653	91	0	0	216	259	535	1197	1082	0	0	0	0	1842	0	0	148	1143	898	310	145	1089	1099	290	261	565	628	1357	1507	537	0	0	1521	2177	88	238	0	0
Frmd8	359.964912	180	141	0	0	0	0	0	0	0	0	0	0	0	0	0	111	210	0	0	0	653	91	0	0	216	259	535	1197	1082	0	0	0	0	1842	0	0	148	1143	898	310	145	1089	1099	290	261	565	628	1357	1507	537	0	0	1521	2177	88	238	0	0
Rhoq	359.140351	605	126	0	248	0	0	312	0	0	0	0	0	0	0	0	0	0	0	0	0	1169	0	139	733	380	397	817	2060	1884	0	0	0	0	480	0	241	279	923	652	319	228	1267	1343	202	197	448	481	1282	1239	243	0	0	679	1098	0	0	0	0
Lpxn	356.245614	132	142	0	268	0	0	0	0	0	0	0	0	0	0	0	578	670	0	0	0	1783	133	298	386	356	346	800	1487	1459	0	0	0	0	1282	0	0	0	338	322	142	72	797	843	0	0	109	182	1107	965	595	0	0	2231	2245	0	238	0	0
Htra4	354.403509	542	243	0	0	0	0	0	0	0	0	0	0	0	0	0	149	120	0	0	174	1421	273	385	244	398	477	943	1409	1623	0	0	0	0	1766	142	202	352	985	1015	208	0	975	1161	228	141	569	691	1071	1196	129	0	0	366	603	0	0	0	0
Cln3	354.017544	0	0	0	108	0	0	0	0	0	0	0	0	0	0	0	556	315	99	0	0	558	190	211	220	385	428	814	2183	1885	0	0	0	0	525	0	215	189	1065	948	431	371	1195	1440	243	222	688	632	1574	1505	172	0	0	430	382	0	0	0	0
Itgav	353.22807	138	112	0	0	0	0	187	0	0	0	0	0	0	0	0	422	422	0	0	224	1461	469	476	471	674	557	1205	1709	1936	0	0	0	0	1154	0	0	0	858	650	252	124	752	858	155	244	582	500	1382	1150	0	0	0	465	545	0	0	0	0
Slfn10-ps	352.947368	203	0	0	124	0	0	0	0	0	0	0	0	0	0	0	184	224	0	0	0	1718	206	677	536	374	554	691	1124	1014	0	0	0	0	260	80	108	237	1029	904	284	219	844	955	273	177	561	431	1181	1247	318	0	0	1708	1673	0	0	0	0
Il31ra	352.649123	96	1552	915	0	229	231	246	0	0	0	0	0	0	0	0	0	0	0	0	0	183	269	162	333	0	224	223	240	213	0	0	0	0	0	743	769	907	602	620	973	976	1049	1119	604	545	385	330	1679	1612	310	0	0	632	594	0	536	0	0
