Target_genes	Nfia|Average	SRX2663110|3T3-F442A	SRX1879656|Brown_adipose_tissue	SRX1879657|Brown_adipose_tissue	SRX7895558|Cerebellum_neural_progenitors	SRX7895559|Cerebellum_neural_progenitors	SRX7815174|Hippocampus	SRX7815175|Hippocampus	SRX7815176|Hippocampus	SRX7815177|Hippocampus	SRX7815178|Hippocampus	SRX4496824|mESC_derived_glial_cells	SRX4496825|mESC_derived_glial_cells	SRX24715252|Neural_tube	SRX7815179|Olfactory_Bulb	SRX7815180|Olfactory_Bulb	SRX7815181|Olfactory_Bulb	SRX7815182|Olfactory_Bulb	SRX7815183|Olfactory_Bulb	SRX7815184|Olfactory_Bulb	SRX7815185|Olfactory_Bulb	SRX7815186|Olfactory_Bulb	SRX7815187|Olfactory_Bulb	SRX7815188|Olfactory_Bulb	SRX7815189|Olfactory_Bulb	SRX7815190|Olfactory_Bulb	SRX7815191|Olfactory_Bulb	SRX7815192|Olfactory_Bulb	SRX11929789|Retina	SRX11929790|Retina	STRING
Itm2b	174.034483	0	79	163	441	434	0	0	0	0	0	0	0	1419	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1459	1052	0
Stard9	169.551724	0	0	243	392	623	0	0	0	0	0	0	0	1698	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1172	789	0
Nudcd1	166.551724	0	72	188	374	350	0	0	0	0	0	0	0	1565	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1344	937	0
Eny2	166.551724	0	72	188	374	350	0	0	0	0	0	0	0	1565	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1344	937	0
Angptl7	165.275862	0	0	0	1123	1242	0	0	0	0	0	0	0	1895	0	0	0	0	0	0	0	0	0	0	0	0	0	0	368	165	0
St3gal5	164.793103	0	0	0	366	358	0	0	0	0	0	0	0	1873	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1328	854	0
Aanat	163.793103	0	0	0	830	670	0	0	0	0	0	0	0	572	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1603	1075	0
Bcl2l13	162.172414	0	89	193	192	432	0	0	0	0	0	0	0	1534	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1291	972	0
Aldh4a1	160.241379	0	0	0	194	252	0	0	0	0	0	0	0	1940	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1310	951	0
Pik3r3	158.482759	0	0	128	256	310	0	0	0	0	0	0	0	1625	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1373	904	0
Kdm1a	158.344828	0	0	0	511	788	0	0	0	0	0	0	0	1678	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1054	561	0
Eif1b	157.37931	0	0	0	163	515	0	0	0	0	0	0	0	1807	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1119	960	0
Kctd14	156.862069	0	90	272	496	671	0	0	0	0	0	0	0	1215	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1191	614	0
Alas1	156.448276	0	90	313	476	506	0	0	0	0	0	0	0	1033	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1236	883	0
Kdelr3	156.275862	0	101	0	453	836	0	0	0	0	0	0	0	683	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1495	964	0
Pappa	156.172414	0	0	0	404	419	0	0	0	0	0	0	0	1649	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1185	872	0
Trp53inp1	154.655172	0	170	235	239	281	0	0	0	0	0	0	0	960	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1390	1210	0
Dhrs13	153.344828	0	108	0	207	216	0	0	0	0	0	0	0	423	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1945	1548	0
Vdac3	152.931034	0	0	0	268	189	0	0	0	0	0	0	0	1737	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1391	850	0
Egr1	152.103448	0	109	282	250	338	0	0	0	0	0	0	0	1092	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1510	830	0
Cmpk2	151.103448	0	0	0	130	164	0	0	0	0	0	0	0	1720	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1339	1029	0
Hes6	149.965517	0	0	0	917	921	0	0	0	0	0	0	0	820	0	0	0	0	0	0	0	0	0	0	0	0	0	0	931	760	0
Il12b	149.344828	0	0	0	1051	1406	0	0	0	0	0	0	0	1361	0	0	0	0	0	0	0	0	0	0	0	0	0	0	327	186	0
Adora2b	144.103448	0	68	0	238	133	0	0	0	0	0	0	0	1667	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1324	749	0
Mrpl34	143.137931	114	0	206	854	1185	0	0	0	0	0	0	0	767	0	0	0	0	0	0	0	0	0	0	0	0	0	0	683	342	0
Dda1	143.137931	114	0	206	854	1185	0	0	0	0	0	0	0	767	0	0	0	0	0	0	0	0	0	0	0	0	0	0	683	342	0
Abhd8	143.137931	114	0	206	854	1185	0	0	0	0	0	0	0	767	0	0	0	0	0	0	0	0	0	0	0	0	0	0	683	342	0
Prkaa1	142.793103	0	0	0	138	152	0	0	0	0	0	0	0	1591	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1387	873	0
Zfp933	141.551724	0	0	0	345	651	0	0	0	0	0	0	0	1174	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1184	751	0
Chd3	141.103448	0	0	153	631	649	0	0	0	0	0	0	0	948	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1043	668	0
Aym1	140.586207	0	0	0	435	608	0	0	0	0	0	0	0	1215	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1040	779	0
Ttyh3	140.413793	0	0	0	274	442	0	0	0	0	0	0	0	1947	0	0	0	0	0	0	0	0	0	0	0	0	0	0	779	630	0
Cyth3	140.413793	524	303	0	299	365	0	0	0	0	0	0	0	913	0	0	0	0	0	0	0	0	0	0	0	0	0	0	962	706	0
Zbtb40	139.413793	0	0	119	424	802	0	0	0	0	0	0	0	1407	0	0	0	0	0	0	0	0	0	0	0	0	0	0	725	566	0
Mvd	138.517241	0	0	109	245	358	0	0	0	0	0	0	0	1117	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1280	908	0
Rab8a	135.965517	0	150	202	201	336	0	0	0	0	0	0	0	1039	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1230	785	0
Vim	135.724138	0	0	125	189	617	0	0	0	0	0	0	0	1282	0	0	0	0	0	0	0	0	0	0	0	0	0	0	955	768	0
Hk1	134.034483	0	0	0	305	445	0	0	0	0	0	0	0	1993	0	0	0	0	0	0	0	0	0	0	0	0	0	0	762	382	0
Ccdc85c	133.896552	0	0	157	404	366	0	0	0	0	0	0	0	1066	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1153	737	0
Rpl8	133.724138	0	0	115	178	331	0	0	0	0	0	0	0	127	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1744	1383	0
Commd5	133.724138	0	0	115	178	331	0	0	0	0	0	0	0	127	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1744	1383	0
Elavl2	133.344828	0	0	0	326	475	0	0	0	0	0	0	0	1985	0	0	0	0	0	0	0	0	0	0	0	0	0	0	610	471	0
Zkscan17	131.448276	0	0	0	213	418	0	0	0	0	0	0	0	1562	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1054	565	0
Dck	131.448276	0	0	0	176	168	0	0	0	0	0	0	0	1403	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1144	921	0
Akirin1	131.37931	0	0	0	301	369	0	0	0	0	0	0	0	1825	0	0	0	0	0	0	0	0	0	0	0	0	0	0	849	466	0
Tmem125	130.551724	566	604	325	185	272	0	0	0	0	100	0	0	194	0	0	0	0	0	0	0	0	93	140	0	0	160	0	484	663	0
Rrp7a	130.034483	0	0	0	378	477	0	0	0	0	0	0	0	1657	0	0	0	0	0	0	0	0	0	0	0	0	0	0	788	471	0
Trim9	128.793103	0	0	0	161	213	0	0	0	0	0	0	0	1663	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1043	655	0
Vwa7	128.758621	0	0	0	845	1206	0	0	0	0	0	0	0	1240	0	0	0	0	0	0	0	0	0	0	0	0	0	0	260	183	0
Mpp6	128.137931	0	0	0	167	370	0	0	0	0	0	0	0	1121	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1186	872	0
Zmynd8	127.758621	0	0	0	264	317	0	0	0	0	0	0	0	1296	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1149	679	0
Cilp	127.103448	0	0	0	297	436	0	0	0	0	0	0	0	753	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1286	914	0
Abcb4	126.206897	0	131	0	159	252	0	0	0	0	0	0	0	742	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1339	1037	0
Cfap20	125.793103	0	86	125	202	545	0	0	0	0	0	0	0	1157	0	0	0	0	0	0	0	0	0	0	0	0	0	0	963	570	0
Hrh1	125.206897	0	0	0	241	369	0	0	0	0	0	0	0	1638	0	0	0	0	0	0	0	0	0	0	0	0	0	0	788	595	0
Gatb	125.103448	0	72	0	339	576	0	0	0	0	0	0	0	1347	0	0	0	0	0	0	0	0	0	0	0	0	0	0	685	609	0
Tmem91	124.413793	0	0	0	789	978	0	0	0	0	0	0	0	638	0	0	0	0	0	0	0	0	0	0	0	0	0	0	765	438	0
B9d2	124.413793	0	0	0	789	978	0	0	0	0	0	0	0	638	0	0	0	0	0	0	0	0	0	0	0	0	0	0	765	438	0
Cs	124.241379	0	0	0	233	366	0	0	0	0	0	0	0	929	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1258	817	0
Pcdh10	122.62069	0	0	0	136	164	0	0	0	0	0	0	0	1264	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1170	822	0
Pgf	122.241379	0	0	0	153	147	0	0	0	0	0	0	0	1066	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1212	967	0
Mrpl23	122.206897	0	0	0	251	224	0	0	0	0	0	0	0	1669	0	0	0	0	0	0	0	0	0	0	0	0	0	0	824	576	0
Acat1	120.758621	0	130	292	290	381	0	0	0	0	0	0	0	1084	0	0	0	0	0	0	0	0	0	0	0	0	0	0	872	453	0
Kcnh2	118.862069	0	0	0	198	363	0	0	0	0	0	0	0	1291	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1008	587	0
Dzip3	118.689655	0	68	0	323	365	0	0	0	0	0	0	0	1129	0	0	0	0	0	0	0	0	0	0	0	0	0	0	924	633	0
Cip2a	118.689655	0	68	0	323	365	0	0	0	0	0	0	0	1129	0	0	0	0	0	0	0	0	0	0	0	0	0	0	924	633	0
Ncaph	118.551724	0	0	0	171	385	0	0	0	0	0	0	0	1288	0	0	0	0	0	0	0	0	0	0	0	0	0	0	962	632	0
Scrn3	118.517241	0	0	0	301	592	0	0	0	0	0	0	0	1417	0	0	0	0	0	0	0	0	0	0	0	0	0	0	638	489	0
Cir1	118.517241	0	0	0	301	592	0	0	0	0	0	0	0	1417	0	0	0	0	0	0	0	0	0	0	0	0	0	0	638	489	0
Nup50	116.586207	0	106	391	171	140	0	0	0	0	0	0	0	492	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1277	804	0
Fam32a	116.103448	0	0	0	231	306	0	0	0	0	0	0	0	1459	0	0	0	0	0	0	0	0	0	0	0	0	0	0	804	567	0
Il31ra	115.724138	720	726	779	275	418	0	0	0	0	0	0	0	231	0	0	0	0	0	0	0	0	0	0	0	0	0	0	207	0	0
Atad2	115.241379	0	61	164	328	321	0	0	0	0	0	0	0	717	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1085	666	0
Mycbp2	114.827586	0	0	0	147	469	0	0	0	0	0	0	0	82	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1663	969	0
Zer1	114.62069	0	0	232	236	353	0	0	0	0	0	0	0	1115	0	0	0	0	0	0	0	0	0	0	0	0	0	0	929	459	0
Pvalb	114.241379	0	0	0	273	290	0	0	0	0	0	0	0	1089	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1000	661	0
Nkx1-1	113.793103	0	0	0	0	0	0	0	0	0	0	0	0	823	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1416	1061	0
Hif3a	111.896552	0	0	177	0	117	0	0	0	0	0	0	0	544	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1308	1099	0
Gpr179	111.793103	0	0	0	0	0	0	0	0	0	0	0	0	1261	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1159	822	0
Glipr2	110.448276	0	0	0	0	136	0	0	0	0	0	0	0	1472	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1007	588	0
Plat	110.137931	0	0	0	266	576	0	0	0	0	0	0	0	1234	0	0	0	0	0	0	0	0	0	0	0	0	0	0	742	376	0
Ubash3b	110.034483	0	0	0	556	1129	0	0	0	0	0	0	0	517	0	0	0	0	0	0	0	0	0	0	0	0	0	0	644	345	0
Jun	109.862069	0	0	0	185	209	0	0	0	0	0	0	0	688	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1323	781	0
Rab6a	109.724138	0	0	0	110	143	0	0	0	0	0	0	0	237	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1526	1166	0
Txndc16	109.37931	0	0	0	146	0	0	0	0	0	0	0	0	1399	0	0	0	0	0	0	0	0	0	0	0	0	0	0	884	743	0
Gpr137c	109.37931	0	0	0	146	0	0	0	0	0	0	0	0	1399	0	0	0	0	0	0	0	0	0	0	0	0	0	0	884	743	0
Tacr1	109.344828	0	0	0	342	601	0	0	0	0	0	0	0	1137	0	0	0	0	0	0	0	0	0	0	0	0	0	0	635	456	0
Pipox	108.517241	0	0	0	92	133	0	0	0	0	0	0	0	953	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1153	816	0
Zfp768	108.413793	0	0	0	382	629	0	0	0	0	0	0	0	1060	0	0	0	0	0	0	0	0	0	0	0	0	0	0	599	474	0
Dixdc1	108.206897	0	0	0	313	298	0	0	0	0	0	0	0	878	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1160	489	0
Nfia	108.103448	0	0	0	350	485	0	0	0	0	0	0	0	1021	0	0	0	0	0	0	0	0	0	0	0	0	0	0	761	518	0
1600014C23Rik	107.655172	0	0	0	111	269	0	0	0	0	0	0	0	1138	0	0	0	0	0	0	0	0	0	0	0	0	0	0	962	642	0
1700010I14Rik	106.551724	0	0	0	127	153	0	0	0	0	0	0	0	663	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1393	754	0
Cnot6	106.448276	0	0	137	402	791	0	0	0	0	0	0	0	641	0	0	0	0	0	0	0	0	0	0	0	0	0	0	715	401	0
Nup210	106.413793	0	0	0	266	361	0	0	0	0	0	0	0	868	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1034	557	0
Usp36	105.655172	0	70	238	313	165	0	0	0	0	0	0	0	463	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1041	774	0
Ube2j2	105.310345	0	0	0	467	626	0	0	0	0	0	0	0	809	0	0	0	0	0	0	0	0	0	0	0	0	0	0	789	363	0
Nr2c2	105.275862	0	0	198	375	294	0	0	0	0	0	0	0	656	0	0	0	0	0	0	0	0	0	0	0	0	0	0	865	665	0
Cic	105.103448	0	0	112	322	333	0	0	0	0	0	0	0	1021	0	0	0	0	0	0	0	0	0	0	0	0	0	0	800	460	0
Abhd6	104.965517	439	216	0	343	239	0	0	0	0	0	205	0	818	0	0	0	0	0	0	0	0	0	0	0	0	0	0	541	243	0
Dnmt3a	104.551724	0	0	0	0	113	0	0	0	0	0	0	0	1367	0	0	0	0	0	0	0	0	0	0	0	0	0	0	928	624	0
Cyp4f16	104.551724	0	0	0	0	176	0	0	0	0	0	0	0	727	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1212	917	0
Tra2b	104.517241	0	0	0	258	313	0	0	0	0	0	0	0	595	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1156	709	0
Glyctk	104.068966	0	0	0	227	412	0	0	0	0	0	0	0	1294	0	0	0	0	0	0	0	0	0	0	0	0	0	0	700	385	0
Ntsr2	103.206897	0	0	0	166	261	0	0	0	0	0	0	0	1058	0	0	0	0	0	0	0	0	0	0	0	0	0	0	879	629	0
Hdac2	102.862069	0	0	0	285	354	0	0	0	0	0	0	0	1327	0	0	0	0	0	0	0	0	0	0	0	0	0	0	639	378	0
Ift46	102.827586	0	0	0	308	341	0	0	0	0	0	0	0	1060	0	0	0	0	0	0	0	0	0	0	0	0	0	0	758	515	0
Il1r1	102.758621	0	114	0	144	259	0	0	0	0	0	0	0	831	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1054	578	0
3300002I08Rik	102.689655	0	0	0	113	244	0	0	0	0	0	0	0	1214	0	0	0	0	0	0	0	0	0	0	0	0	0	0	872	535	0
Rbm15b	102.655172	0	0	93	298	423	0	0	0	0	0	0	0	1198	0	0	0	0	0	0	0	0	0	0	0	0	0	0	515	450	0
Manf	102.655172	0	0	93	298	423	0	0	0	0	0	0	0	1198	0	0	0	0	0	0	0	0	0	0	0	0	0	0	515	450	0
Nwd1	102.551724	0	0	0	421	520	0	0	0	0	0	0	0	896	0	0	0	0	0	0	0	0	0	0	0	0	0	0	771	366	0
Zfp120	102.344828	0	0	0	267	556	0	0	0	0	0	0	0	955	0	0	0	0	0	0	0	0	0	0	0	0	0	0	823	367	0
Kbtbd11	102.241379	0	0	0	337	702	0	0	0	0	0	0	0	659	0	0	0	0	0	0	0	0	0	0	0	0	0	0	746	521	0
Trim36	101.896552	0	0	0	287	344	0	0	0	0	0	0	0	629	0	0	0	0	0	0	0	0	0	0	0	0	0	0	961	734	0
Fzd7	101.206897	0	0	0	399	696	0	0	0	0	0	0	0	854	0	0	0	0	0	0	0	0	0	0	0	0	0	0	488	498	0
Tprn	101.103448	0	0	0	464	949	0	0	0	0	0	0	0	457	0	0	0	0	0	0	0	0	0	0	0	0	0	0	665	397	0
Kpna1	101.068966	780	449	504	489	522	0	0	0	0	0	0	0	187	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Nphp3	101.034483	0	0	254	175	209	0	0	0	0	0	0	0	979	0	0	0	0	0	0	0	0	0	0	0	0	0	0	763	550	0
Atxn1l	100.793103	0	0	107	173	313	0	0	0	0	0	0	0	816	0	0	0	0	0	0	0	0	0	0	0	0	0	0	865	649	0
Pold2	100.62069	0	0	159	153	269	0	0	0	0	0	0	0	1375	0	0	0	0	0	0	0	0	0	0	0	0	0	0	543	419	0
Ghrh	100.482759	0	0	0	297	321	0	0	0	0	0	0	0	1329	0	0	0	0	0	0	0	0	0	0	0	0	0	0	536	431	0
Styxl1	100.37931	0	0	122	0	107	0	0	0	0	0	0	0	2682	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Mdh2	100.37931	0	0	122	0	107	0	0	0	0	0	0	0	2682	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Trpm3	100.172414	0	0	344	272	451	0	0	0	0	0	0	0	758	0	0	0	0	0	0	0	0	0	0	0	0	0	0	658	422	0
Denr	100.137931	0	0	0	0	130	0	0	0	0	0	0	0	2774	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Syt8	99.551724	0	0	0	223	299	0	0	0	0	0	0	0	1113	0	0	0	0	0	0	0	0	0	0	0	0	0	0	724	528	0
Ern1	99.275862	0	0	0	349	288	0	0	0	0	0	0	0	683	0	0	0	0	0	0	0	0	0	0	0	0	0	0	836	723	0
Eml2	98.344828	0	0	0	0	0	0	0	0	0	0	0	0	1197	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1002	653	0
Ltbp3	98.275862	0	0	167	219	322	0	0	0	0	0	0	0	812	0	0	0	0	0	0	0	0	0	0	0	0	0	0	922	408	0
Hey1	97.344828	0	0	192	303	396	0	0	0	0	0	0	0	231	0	0	0	0	0	0	0	0	0	0	0	0	0	0	924	777	0
Ptbp1	97.103448	0	0	0	254	210	0	0	0	0	0	0	0	605	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1010	737	0
Msra	96.896552	0	0	90	429	648	0	0	0	0	0	0	0	798	0	0	0	0	0	0	0	0	0	0	0	0	0	0	543	302	0
Cox5a	96.862069	0	0	0	369	422	0	0	0	0	0	0	0	985	0	0	0	0	0	0	0	0	0	0	0	0	0	0	611	422	0
Rem2	96.793103	0	0	0	273	246	0	0	0	0	0	0	0	1629	0	0	0	0	0	0	0	0	0	0	0	0	0	0	462	197	0
Cop1	96.689655	0	0	94	168	227	0	0	0	0	0	0	0	1199	0	0	0	0	0	0	0	0	0	0	0	0	0	0	703	413	0
Pnpla7	96.551724	0	0	0	192	360	0	0	0	0	0	0	0	1346	0	0	0	0	0	0	0	0	0	0	0	0	0	0	619	283	0
Mrpl41	96.551724	0	0	0	192	360	0	0	0	0	0	0	0	1346	0	0	0	0	0	0	0	0	0	0	0	0	0	0	619	283	0
Dydc2	96.344828	0	0	0	166	239	0	0	0	0	0	0	0	1327	0	0	0	0	0	0	0	0	0	0	0	0	0	0	619	443	0
Dydc1	96.344828	0	0	0	166	239	0	0	0	0	0	0	0	1327	0	0	0	0	0	0	0	0	0	0	0	0	0	0	619	443	0
Srebf1	95.103448	0	0	194	368	564	0	0	0	0	0	0	0	804	0	0	0	0	0	0	0	0	0	0	0	0	0	0	543	285	0
Lima1	94.931034	1170	1281	302	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Pebp1	94.862069	0	0	0	228	584	0	0	0	0	0	0	0	925	0	0	0	0	0	0	0	0	0	0	0	0	0	0	660	354	0
Cdk12	94.448276	0	0	0	0	120	0	0	0	0	0	0	0	2619	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Gsdmd	94.241379	0	0	0	345	297	0	0	0	0	0	0	0	731	0	0	0	0	0	0	0	0	0	0	0	0	0	0	816	544	0
Rbm39	92.862069	0	0	0	135	244	0	0	0	0	0	0	0	2120	0	0	0	0	0	0	0	0	0	0	0	0	0	0	109	85	0
Csf1	92.758621	0	0	0	105	299	0	0	0	0	0	0	0	1204	0	0	0	0	0	0	0	0	0	0	0	0	0	0	551	531	0
Aacs	91.862069	0	0	151	239	338	0	0	0	0	0	0	0	543	0	0	0	0	0	0	0	0	0	0	0	0	0	0	968	425	0
