Target_genes	Irf1|Average	SRX15048388|AT-3	SRX15048389|AT-3	SRX15048390|AT-3	SRX15048394|AT-3	SRX2522392|AT-3	SRX2522393|AT-3	SRX2522394|AT-3	SRX2522395|AT-3	SRX122406|Dendritic_Cells	SRX122407|Dendritic_Cells	SRX122408|Dendritic_Cells	SRX122409|Dendritic_Cells	SRX1583883|Macrophages	SRX1583884|Macrophages	SRX1583885|Macrophages	SRX2417354|Macrophages	SRX2417355|Macrophages	SRX2417356|Macrophages	SRX2991442|Macrophages	SRX2991443|Macrophages	SRX2991444|Macrophages	SRX2991445|Macrophages	SRX805965|Macrophages	SRX805966|Macrophages	SRX805967|Macrophages	SRX7270469|NMuMG	SRX7270470|NMuMG	SRX7270471|NMuMG	SRX7270472|NMuMG	SRX885792|Small_intestine	SRX885793|Small_intestine	SRX885798|Small_intestine	SRX885799|Small_intestine	STRING
Brox	1210.212121	1414	0	1550	101	359	237	438	608	512	291	655	482	2461	2541	2777	1585	1384	1053	1234	1605	1620	1027	1568	632	915	2430	2593	2776	2565	844	524	562	594	0
Aida	1210.212121	1414	0	1550	101	359	237	438	608	512	291	655	482	2461	2541	2777	1585	1384	1053	1234	1605	1620	1027	1568	632	915	2430	2593	2776	2565	844	524	562	594	0
Xaf1	1170.878788	0	0	0	621	168	86	1169	1020	0	584	0	161	1054	1431	3212	171	2066	1564	1009	770	1597	1282	2881	4157	4216	941	1687	2312	2746	672	601	217	244	0
Tcstv3	1159.454545	529	179	369	0	0	0	0	0	1111	1110	1147	1111	1792	1706	1708	2102	1720	1728	2178	1931	2166	1535	1738	973	1223	0	0	289	148	2456	2538	2449	2326	0
H2-T9	1134.515152	0	0	0	0	0	0	831	738	0	405	0	232	865	1070	2678	184	1656	1246	878	636	1071	907	3739	4479	4338	1850	2023	2891	2906	824	554	180	258	0
H2-T22	1134.515152	0	0	0	0	0	0	831	738	0	405	0	232	865	1070	2678	184	1656	1246	878	636	1071	907	3739	4479	4338	1850	2023	2891	2906	824	554	180	258	0
Gm6034	1134.515152	0	0	0	0	0	0	831	738	0	405	0	232	865	1070	2678	184	1656	1246	878	636	1071	907	3739	4479	4338	1850	2023	2891	2906	824	554	180	258	0
Rbck1	1121.151515	150	130	0	2034	142	87	1440	1668	0	977	139	232	593	884	2961	117	2317	1865	838	870	1724	1381	1409	2426	2580	1437	1792	2971	2821	328	328	155	202	0
Clic5	1106.060606	0	0	0	0	0	0	2439	2274	0	2193	115	318	218	342	3448	0	2837	2858	999	962	1778	1705	1158	4239	4108	339	0	874	278	1282	1161	258	317	0
Irgm2	1102.606061	0	101	0	728	185	0	699	695	0	424	0	0	1187	1207	3218	303	1503	1374	1010	706	1387	1029	2614	3594	3664	1448	1488	2601	2601	1099	760	239	522	0
Psmb10	1099.939394	0	0	0	530	0	0	1179	1077	133	868	147	275	808	1113	3152	214	2191	1898	774	972	1673	1383	2490	4207	4221	755	766	1878	1723	853	644	155	219	0
Ctrl	1099.939394	0	0	0	530	0	0	1179	1077	133	868	147	275	808	1113	3152	214	2191	1898	774	972	1673	1383	2490	4207	4221	755	766	1878	1723	853	644	155	219	0
Nmi	1072.939394	224	161	0	1274	440	182	1621	1384	0	536	0	140	495	537	2467	173	2127	1589	677	571	1426	591	2053	3528	3495	1347	1612	2280	2327	921	540	226	463	0
Ifit1bl2	1065.909091	0	0	0	0	0	0	856	923	0	572	133	318	997	1026	3456	226	2369	1907	1452	955	2022	1362	2596	3527	3850	821	703	1619	1154	1054	698	260	319	0
Ifit1	1065.909091	0	0	0	0	0	0	856	923	0	572	133	318	997	1026	3456	226	2369	1907	1452	955	2022	1362	2596	3527	3850	821	703	1619	1154	1054	698	260	319	0
Trim30c	1041.878788	0	0	0	0	0	0	2432	2386	0	2615	0	571	180	300	3060	0	3271	3255	789	706	1795	1575	745	4162	4233	155	195	395	463	432	667	0	0	0
Ifi35	1012.272727	0	0	0	489	0	0	1309	1312	0	574	0	139	618	776	2928	0	1835	1407	449	678	1045	794	2011	3840	3875	1371	1391	2521	2182	744	621	322	174	0
Rtp4	1001.181818	0	0	0	156	271	0	785	584	0	538	0	0	1306	1704	3380	228	2239	2038	1103	880	1822	1213	3492	4490	4442	122	0	452	462	676	506	150	0	0
Uba7	995.272727	0	0	0	0	0	0	699	725	0	291	63	127	708	909	2793	137	1376	1448	658	566	1244	974	3050	3634	3737	1396	1670	2552	2658	576	493	0	360	0
Oasl2	972.848485	0	0	0	0	0	0	928	878	0	594	0	141	896	944	3131	159	1793	1344	748	769	1441	1289	2752	3868	4048	478	622	1373	1266	1189	687	368	398	0
Oas1c	934.575758	0	0	0	195	0	0	574	473	0	333	0	0	937	1071	2930	251	1706	1289	852	653	1238	839	3239	3364	3094	862	984	1799	1956	861	642	250	449	0
Oas1b	934.575758	0	0	0	195	0	0	574	473	0	333	0	0	937	1071	2930	251	1706	1289	852	653	1238	839	3239	3364	3094	862	984	1799	1956	861	642	250	449	0
Igtp	927.969697	0	0	0	474	0	0	665	598	0	459	0	160	606	935	2826	215	1365	1035	911	796	1349	1040	2644	3413	3470	698	898	1910	1584	998	881	268	425	0
Ms4a4d	924.818182	0	0	0	0	0	0	761	773	0	895	0	0	1040	1373	3179	181	2203	1775	1436	1015	1813	1418	3317	4774	4566	0	0	0	0	0	0	0	0	0
Rnf31	905.787879	0	0	0	1003	0	83	736	669	0	417	0	176	814	985	2628	106	1999	1235	1132	927	1590	1117	2149	2868	2626	604	833	1745	1386	819	532	174	538	0
Psme2	905.787879	0	0	0	1003	0	83	736	669	0	417	0	176	814	985	2628	106	1999	1235	1132	927	1590	1117	2149	2868	2626	604	833	1745	1386	819	532	174	538	0
Zbtb22	896.090909	0	0	0	327	85	96	1091	830	0	478	0	0	507	771	2390	150	1663	1312	685	722	1103	1025	1877	3055	2910	1412	1334	2703	2370	430	111	0	134	0
Tapbp	896.090909	0	0	0	327	85	96	1091	830	0	478	0	0	507	771	2390	150	1663	1312	685	722	1103	1025	1877	3055	2910	1412	1334	2703	2370	430	111	0	134	0
Usf1	890.909091	119	0	0	78	0	0	906	833	0	598	0	141	684	1069	2634	175	1426	1285	892	480	1179	1191	3006	3723	3751	567	631	1567	1418	585	313	0	149	0
H2-T10	889.69697	0	0	0	0	0	0	636	632	0	360	0	0	896	1274	2899	201	1706	1489	988	569	1247	942	3603	4464	4459	0	125	278	294	883	776	302	337	0
Bst2	882.393939	0	0	0	518	0	0	641	604	0	668	0	165	879	1268	3052	111	1714	1318	487	424	910	833	2523	4130	4047	512	629	1388	1333	427	399	0	139	0
Trafd1	882.30303	0	0	0	111	0	0	603	476	139	639	0	194	964	1041	3087	269	1920	1538	1220	815	1605	1608	3785	4125	4144	0	0	0	0	422	411	0	0	0
Usp18	878.030303	115	247	98	1307	135	0	582	588	0	105	0	0	568	901	2614	0	1811	1560	934	1074	1757	1215	1755	1585	1362	1036	1147	2401	2431	705	442	179	321	0
Psmb8	875.424242	0	0	0	886	0	0	1187	1237	0	414	0	212	1181	1663	2908	154	1748	1482	1208	1020	1581	1550	2459	2952	3503	0	0	0	0	764	513	156	111	0
Nub1	875.151515	0	100	0	260	178	0	1283	982	0	383	0	0	180	409	2316	0	1710	1083	488	340	852	661	1802	3454	3828	1174	1524	2436	2429	637	371	0	0	0
S1pr4	872.181818	0	0	0	0	0	0	905	658	0	481	0	210	699	671	2380	0	1364	1454	403	439	851	745	2026	4205	3970	1153	1178	2122	1994	493	381	0	0	0
Ncln	872.181818	0	0	0	0	0	0	905	658	0	481	0	210	699	671	2380	0	1364	1454	403	439	851	745	2026	4205	3970	1153	1178	2122	1994	493	381	0	0	0
Parp12	864.666667	0	252	93	1803	271	169	1283	1226	0	0	0	0	593	776	2950	0	1980	1558	941	1172	1598	1395	1191	1047	1059	662	586	2044	1554	978	655	345	353	0
Ddx60	860.181818	0	0	0	515	126	0	922	747	0	630	145	206	436	624	2589	200	1569	1477	892	843	1383	919	2494	3246	3550	547	483	1415	944	676	495	158	155	0
Gm12250	859.333333	0	0	0	0	0	0	1151	828	0	808	0	120	606	1244	3206	295	2045	1889	840	723	1373	1350	2218	4149	4004	0	0	0	0	754	485	0	270	0
Ran	842.666667	114	0	121	96	0	0	1567	1707	0	1490	0	122	0	0	2678	0	2530	2853	919	702	1951	1491	699	4358	4003	0	0	0	0	287	120	0	0	0
Cmpk2	834.121212	108	145	122	1417	0	0	644	759	0	328	0	0	543	1026	2985	0	1931	1698	783	777	1432	1161	1160	2634	2869	330	801	1267	1615	378	241	189	183	0
Tmem140	833.636364	0	0	0	0	0	0	973	925	0	496	0	220	290	610	2177	0	1357	1123	327	334	913	680	1898	3251	3560	1311	1643	2431	2343	173	313	0	162	0
Parp4	832.060606	0	123	0	603	0	0	1041	725	0	515	0	124	323	454	2328	0	1908	1425	539	489	910	683	1945	3444	3467	845	1005	1984	2153	212	213	0	0	0
Cenpj	832.060606	0	123	0	603	0	0	1041	725	0	515	0	124	323	454	2328	0	1908	1425	539	489	910	683	1945	3444	3467	845	1005	1984	2153	212	213	0	0	0
Ogfr	821.69697	104	101	0	1446	0	0	955	873	0	522	183	141	345	586	2137	0	1540	1131	1027	932	1617	995	824	2253	2582	731	1009	2044	1643	578	416	184	217	0
Mx2	818.121212	0	0	0	0	0	0	379	490	0	282	0	0	378	561	2371	0	1230	1262	338	506	978	665	2199	2821	2662	1361	1425	2735	2707	777	590	0	281	0
Mov10	809.636364	87	116	114	1085	0	0	809	587	0	390	0	0	301	463	2507	0	1854	1510	565	541	1129	928	1214	3017	3209	651	691	1756	1879	598	407	134	176	0
Irgm1	803.515152	0	0	0	209	107	139	724	472	0	203	0	116	471	1879	1832	0	1086	953	673	675	1255	798	1937	1534	1928	1469	1593	2788	2454	609	348	0	264	0
Isg15	802.969697	0	0	0	104	0	0	859	487	116	525	0	140	761	936	2838	135	1576	1364	988	726	1384	966	2246	3865	3960	239	109	677	671	523	303	0	0	0
Agrn	802.606061	92	0	0	0	0	0	859	487	116	525	0	140	761	936	2838	135	1576	1364	988	726	1384	966	2246	3865	3960	239	109	677	671	523	303	0	0	0
Serpinb9	784.484848	0	83	0	380	0	0	703	390	0	392	0	131	389	540	2583	171	1285	1208	858	554	1303	1039	2101	2906	3014	742	1010	1690	1976	279	0	0	161	0
Trim21	781.909091	0	0	0	240	0	0	683	513	0	540	0	147	580	860	2621	95	1535	1167	1116	724	1269	1217	1922	2651	3009	533	618	1655	1156	340	353	0	259	0
Trim26	780.272727	0	0	0	1062	0	0	608	399	0	503	0	204	189	431	2217	0	1717	1315	644	577	1260	1135	1177	2865	3338	826	697	1939	1873	295	173	125	180	0
Apobec4	778.909091	0	0	0	0	0	0	1627	1894	0	1332	0	165	0	0	2995	0	1868	2429	473	587	1426	1070	829	4151	3994	0	0	0	0	440	424	0	0	0
Gbp7	770.090909	0	116	0	0	0	0	643	419	183	406	0	127	708	948	2617	0	1173	1218	931	499	1377	1009	2702	3742	3881	136	160	541	407	577	640	0	253	0
1110038F14Rik	761.939394	0	0	0	238	0	0	1622	2067	0	1354	0	129	0	0	2468	0	1989	2294	444	520	1699	918	399	4235	4076	0	0	290	0	206	196	0	0	0
Ggnbp1	760.757576	0	0	0	0	0	0	717	608	0	336	0	0	401	610	2704	0	1420	1279	245	315	791	666	1626	3354	3528	771	909	2252	1760	344	141	122	206	0
Bak1	760.757576	0	0	0	0	0	0	717	608	0	336	0	0	401	610	2704	0	1420	1279	245	315	791	666	1626	3354	3528	771	909	2252	1760	344	141	122	206	0
Tapbpl	752.121212	0	0	0	306	0	0	928	918	0	714	198	324	367	431	2376	0	1666	1435	863	732	1174	1026	1322	2546	2864	605	494	1337	1291	415	375	113	0	0
Psma4	751.333333	0	0	0	247	0	0	848	561	0	423	0	188	334	557	2332	0	1238	1333	383	699	1371	854	1876	3503	3375	523	814	1569	1500	266	0	0	0	0
AY074887	751.333333	0	0	0	247	0	0	848	561	0	423	0	188	334	557	2332	0	1238	1333	383	699	1371	854	1876	3503	3375	523	814	1569	1500	266	0	0	0	0
Parp9	746.484848	0	0	98	814	0	0	591	709	0	281	0	127	519	743	2445	0	1473	1026	739	463	1075	773	1327	2383	2413	750	688	1905	1852	765	406	118	151	0
Dtx3l	746.484848	0	0	98	814	0	0	591	709	0	281	0	127	519	743	2445	0	1473	1026	739	463	1075	773	1327	2383	2413	750	688	1905	1852	765	406	118	151	0
Prkn	741.060606	188	0	89	183	0	0	1951	2065	0	1124	0	173	0	0	1987	0	1422	1863	626	526	1631	1031	621	3772	3679	0	0	168	260	598	498	0	0	0
Pacrg	741.060606	188	0	89	183	0	0	1951	2065	0	1124	0	173	0	0	1987	0	1422	1863	626	526	1631	1031	621	3772	3679	0	0	168	260	598	498	0	0	0
Lancl2	733.060606	0	95	0	99	0	0	332	317	177	175	255	82	345	342	2380	676	806	829	306	234	577	453	2017	4127	3775	893	800	1959	2014	0	126	0	0	0
Kcnab1	725.090909	0	0	0	0	0	0	575	707	118	591	0	291	208	498	2586	0	1531	1402	745	592	1402	1259	2745	4316	4362	0	0	0	0	0	0	0	0	0
H2-T24	724.909091	0	0	0	0	0	0	973	504	0	433	0	176	1043	1641	2526	108	1590	1241	622	486	979	816	2429	3597	3525	0	0	0	0	585	363	131	154	0
Psme1	717.787879	0	0	0	1049	0	0	628	406	0	415	0	183	606	789	2860	110	1460	1329	734	685	1491	1223	1133	2548	2748	299	283	731	721	536	332	193	195	0
Fitm1	717.787879	0	0	0	1049	0	0	628	406	0	415	0	183	606	789	2860	110	1460	1329	734	685	1491	1223	1133	2548	2748	299	283	731	721	536	332	193	195	0
Pomp	716.060606	0	95	84	367	201	0	653	755	0	838	0	255	238	375	2655	0	1888	1565	436	505	1477	742	961	3840	3896	0	205	253	488	442	262	0	154	0
Il18bp	714.181818	0	0	0	0	0	0	633	561	0	352	0	238	269	627	2787	0	1730	1409	796	586	1305	1054	1955	4043	3721	331	0	503	301	161	206	0	0	0
Rnf19b	712.818182	156	0	115	0	0	0	961	838	0	490	0	109	312	466	2768	0	1220	1089	173	335	727	542	1452	3632	3593	536	758	1319	1512	302	0	0	118	0
Tmem229b	711.272727	0	0	108	605	0	0	343	353	0	376	0	139	519	771	2151	105	1202	1401	774	1009	1574	1505	2189	2763	2908	0	410	540	866	318	294	106	143	0
Cd274	710.909091	0	0	0	149	174	145	1202	1062	0	539	0	0	259	372	1464	0	759	1084	508	579	767	684	1410	2710	2800	1352	1394	1420	1577	504	363	0	183	475
H2-M3	708.454545	0	0	0	572	0	0	757	713	98	565	0	164	249	398	2150	0	1240	1110	564	638	1015	586	1409	2374	2361	703	1146	1696	2171	308	279	0	113	0
Inhba	696.606061	0	114	0	1427	0	0	872	848	0	342	0	0	389	342	2151	0	1504	1217	871	552	1509	1021	1291	2447	2519	362	205	1111	644	505	387	166	192	0
Trim69	693.151515	0	0	0	367	0	0	360	339	0	627	0	141	678	1097	2929	0	1577	1334	803	533	1304	841	2025	3666	3765	0	0	0	325	163	0	0	0	0
Ifit3b	692.69697	0	0	0	0	0	0	360	511	0	442	0	123	304	481	2456	0	1530	1522	1080	723	1710	1165	2399	3244	3457	0	0	260	147	351	435	0	159	0
Flt3l	678.636364	0	0	0	613	0	0	401	247	0	306	0	0	459	660	2585	215	1588	1289	604	451	875	825	1987	2447	2404	345	421	1309	1051	471	401	210	231	0
Acyp2	678.424242	0	0	122	191	0	0	1926	2046	0	1246	0	166	0	0	2324	0	844	1380	609	613	1686	1103	248	3411	3146	0	0	0	0	618	560	0	149	0
Tbrg1	674.242424	0	134	172	205	0	0	1152	996	0	646	125	136	367	409	1856	0	793	715	491	427	786	601	1833	2702	2539	299	526	1186	1195	876	503	234	346	0
Stat2	669.969697	0	0	0	237	0	0	723	626	0	356	0	0	290	855	2700	0	1446	930	503	278	1003	819	1688	3919	4120	0	0	262	209	686	459	0	0	0
Apof	669.969697	0	0	0	237	0	0	723	626	0	356	0	0	290	855	2700	0	1446	930	503	278	1003	819	1688	3919	4120	0	0	262	209	686	459	0	0	0
Hcar2	669.878788	0	0	0	0	0	0	148	277	128	410	0	142	568	911	2339	122	1107	1269	1005	878	1618	1458	2403	3628	3461	0	0	0	0	234	0	0	0	0
Enpp4	667.30303	105	0	0	82	0	0	157	0	0	398	0	167	471	778	2610	0	1240	713	485	569	999	553	1871	3592	3497	632	453	1718	931	0	0	0	0	0
Htr3b	662.121212	0	0	0	0	0	0	1588	1822	0	788	0	0	0	0	2296	0	2375	2860	241	324	1410	824	0	3390	3633	0	0	0	0	299	0	0	0	0
Rab21	658.606061	0	0	0	132	0	0	966	816	0	465	0	211	269	490	2020	0	1281	889	400	233	694	483	1624	3228	3376	410	490	1035	1049	592	386	0	195	0
Tmem100	655.242424	0	0	0	234	0	0	420	459	0	422	0	0	334	431	2412	0	1614	1494	779	529	1226	1079	1925	3427	3472	173	159	520	514	0	0	0	0	0
Nmral1	645.090909	0	0	0	0	0	0	0	0	1087	1537	1478	1484	143	200	870	1175	1373	1467	365	159	258	350	464	1918	2118	696	400	1818	1218	421	289	0	0	0
Nod2	636.787879	0	0	0	0	0	0	348	341	0	257	0	0	871	1368	2963	188	1548	1030	472	586	1155	1006	1949	3431	3501	0	0	0	0	0	0	0	0	0
Ifit3	636.181818	0	0	0	0	0	0	391	302	0	373	0	0	300	413	2145	114	1541	1369	1156	1023	1660	1212	1986	2858	3134	0	0	256	169	309	283	0	0	0
Lsg1	633.484848	0	0	0	0	0	0	0	0	668	952	951	1013	218	344	1705	769	800	943	584	528	963	826	1589	2826	2972	317	0	1195	536	107	99	0	0	0
Snx10	629.606061	0	0	0	0	0	0	755	446	0	308	0	0	367	623	2242	0	1182	1082	621	573	993	591	1967	3174	3300	164	432	825	1003	0	129	0	0	0
Max	625.606061	84	0	0	0	0	0	0	168	0	275	0	0	568	824	2292	148	1412	1207	894	504	1131	960	2683	2904	2976	0	0	0	0	729	374	0	512	0
Flcn	623.666667	90	0	0	114	0	0	0	0	2004	2065	2022	2620	290	368	122	1719	2484	2222	0	0	0	0	302	0	131	530	277	1618	860	407	336	0	0	0
Pkig	615.272727	118	0	0	0	0	0	0	0	0	324	0	0	966	1208	2603	0	943	937	751	484	1134	688	2942	3536	3670	0	0	0	0	0	0	0	0	0
Hk3	614.787879	0	0	0	0	0	0	292	200	0	475	0	0	656	735	2908	0	1488	1225	759	421	954	1013	2004	3566	3592	0	0	0	0	0	0	0	0	0
Ly6g6f	612.060606	0	0	0	0	0	0	363	254	287	489	429	470	0	0	2239	1305	1156	805	165	339	864	625	539	3123	2893	460	351	1427	797	471	347	0	0	0
Abhd16a	612.060606	0	0	0	0	0	0	363	254	287	489	429	470	0	0	2239	1305	1156	805	165	339	864	625	539	3123	2893	460	351	1427	797	471	347	0	0	0
Samd9l	611.939394	0	0	0	0	0	0	292	362	0	182	0	111	356	342	1534	0	595	348	391	358	792	797	1581	3336	3431	619	782	1842	1551	286	171	0	135	0
Rbm43	611.090909	177	133	98	1004	0	0	934	892	0	299	0	0	334	454	2034	0	1124	1102	975	737	1466	995	806	1658	1543	248	322	955	993	377	353	0	153	0
Znfx1	609.151515	0	136	0	690	0	0	329	262	0	235	0	0	363	338	1349	0	845	672	727	572	991	556	1380	2834	2960	508	612	1284	1190	458	327	207	277	0
Klf6	608.0	0	0	0	67	0	0	852	922	0	219	0	0	249	259	2004	0	1283	1293	594	303	903	849	2049	3112	3021	117	0	428	280	730	530	0	0	0
Pxk	606.969697	0	0	0	0	0	0	204	258	0	462	0	0	412	537	2537	0	1123	948	746	569	1089	847	1834	3717	3887	0	0	0	0	497	363	0	0	0
Arhgap25	606.606061	0	0	0	0	0	0	219	273	0	270	0	0	447	463	2384	0	1051	863	446	425	679	600	2457	3718	3884	229	243	609	493	143	122	0	0	0
Acsl5	604.272727	142	131	131	445	0	0	544	571	0	748	0	146	189	310	2339	0	1214	991	439	410	804	510	1293	2702	2594	464	265	1147	1219	193	0	0	0	0
Gbp9	601.909091	0	0	0	0	0	0	0	247	338	990	500	294	423	545	2270	199	1182	1641	981	560	1209	937	1360	2344	2441	191	313	444	454	0	0	0	0	0
Zfp319	600.69697	93	0	0	0	0	0	0	111	0	538	0	180	259	501	1794	0	992	865	839	600	954	1093	2836	4028	4140	0	0	0	0	0	0	0	0	0
Usb1	600.69697	93	0	0	0	0	0	0	111	0	538	0	180	259	501	1794	0	992	865	839	600	954	1093	2836	4028	4140	0	0	0	0	0	0	0	0	0
Isg20	593.909091	0	0	0	326	0	0	390	196	0	230	0	91	412	478	2100	0	1183	793	560	490	1011	944	1647	2575	2502	314	631	913	1219	433	161	0	0	0
Tmem125	588.848485	1556	1672	1664	1861	310	370	271	303	201	213	148	331	1140	1122	1110	686	550	455	583	649	1043	389	550	181	176	0	0	0	0	601	357	541	399	0
Hfe	586.424242	152	0	0	418	0	0	298	380	0	248	0	137	280	443	2349	0	1413	1231	681	692	1229	778	1382	2365	2492	0	0	628	367	598	394	206	191	0
Cmc2	585.909091	0	119	107	0	0	0	0	0	1330	2043	1919	1854	180	342	0	1522	2253	2002	0	0	0	0	288	0	0	537	532	2077	1356	516	358	0	0	0
Cenpn	585.909091	0	119	107	0	0	0	0	0	1330	2043	1919	1854	180	342	0	1522	2253	2002	0	0	0	0	288	0	0	537	532	2077	1356	516	358	0	0	0
Rnaset2b	581.757576	0	0	0	131	0	0	0	0	0	305	0	0	389	561	2657	0	1675	1720	799	526	1314	864	1327	3082	3397	0	0	0	0	260	191	0	0	0
Trim56	581.030303	0	0	0	412	0	0	538	425	118	316	0	141	228	353	1537	0	832	769	711	522	1050	894	1149	2475	2340	568	619	1456	1147	430	144	0	0	0
Gbp3	579.393939	0	0	0	88	0	0	458	490	0	352	0	0	459	758	2050	0	929	799	543	433	777	660	2588	2541	2613	142	480	503	1122	154	181	0	0	0
Asb13	578.484848	0	105	0	108	0	0	789	857	0	396	0	102	0	0	2082	0	1352	1199	371	424	1198	741	932	3656	3714	0	0	565	228	163	108	0	0	0
Rnaset2a	577.787879	0	0	0	0	0	0	0	0	0	305	0	0	389	561	2657	0	1675	1720	799	526	1314	864	1327	3082	3397	0	0	0	0	260	191	0	0	0
Psma5	573.727273	0	0	0	211	0	0	480	549	0	297	0	76	0	342	1785	0	941	765	358	223	624	461	1707	3620	3457	285	376	852	1072	193	259	0	0	0
Pcgf5	569.090909	109	87	120	1218	0	0	723	682	0	384	0	0	0	200	1152	0	871	464	476	611	1400	1105	504	2174	2143	529	559	1394	1331	347	197	0	0	0
Idnk	563.333333	0	0	0	0	0	0	551	494	100	457	0	0	0	409	2222	0	1112	942	356	410	1003	685	1029	2763	3020	219	224	1109	786	428	271	0	0	0
Itpka	561.575758	0	0	0	0	0	0	312	350	120	935	0	271	0	172	2241	0	1270	1356	476	425	760	1091	1166	3662	3324	0	0	0	0	370	231	0	0	0
Gbp2	561.121212	0	0	0	0	0	0	590	519	0	346	86	187	180	261	1686	0	918	900	478	472	882	693	1872	2495	2548	336	572	994	1342	160	0	0	0	0
Ifi47	559.030303	86	0	102	0	0	0	427	401	0	378	0	0	312	431	1926	0	1086	819	309	219	603	426	2149	3242	3090	274	312	730	657	293	176	0	0	0
Fam53c	558.636364	0	0	72	97	0	0	0	0	1913	1707	1889	1803	436	569	379	1531	1617	1785	0	0	0	0	400	466	400	316	345	1199	694	481	336	0	0	0
Pou4f1	556.030303	0	0	0	0	0	0	1349	1560	0	1033	0	0	0	0	2220	0	1540	1598	371	450	1361	989	0	2575	2368	0	0	0	0	490	445	0	0	0
Lrpprc	552.727273	0	0	0	0	0	0	0	0	1694	2292	1884	2102	100	229	0	1383	1593	2114	0	0	0	0	0	0	0	649	461	1889	1245	369	236	0	0	0
Kat2b	552.0	118	0	109	75	0	0	486	353	0	349	0	0	0	209	1498	0	725	878	299	205	578	409	855	2174	2537	831	924	1960	2038	322	284	0	0	0
Phc2	551.909091	115	0	128	127	0	0	497	378	0	371	0	93	367	490	2157	0	998	882	305	388	936	774	1622	3379	3199	0	0	193	0	428	279	107	0	0
Junb	551.060606	0	0	0	68	0	0	569	392	0	154	254	225	0	188	1743	1079	1205	871	136	266	522	488	764	2536	2776	606	426	1294	1120	372	131	0	0	0
Slc15a3	550.878788	0	0	103	106	0	0	0	0	82	257	66	102	387	753	2650	0	1403	839	615	759	1129	790	2153	3022	2963	0	0	0	0	0	0	0	0	0
Ppm1l	548.454545	76	0	0	104	0	0	0	0	1054	1737	1555	1498	0	0	378	1327	1985	1932	133	132	151	141	179	729	635	500	371	1862	1178	257	185	0	0	0
Sp4	546.060606	109	496	264	215	326	179	378	301	0	440	0	130	152	239	1866	0	1116	955	313	304	1098	681	1275	3545	3376	0	0	262	0	0	0	0	0	0
Keap1	545.878788	85	0	0	0	0	0	227	224	0	368	0	0	323	598	2384	0	1075	1065	567	592	1060	984	1694	2979	2970	0	0	168	0	401	250	0	0	0
