Target_genes	Setdb1|Average	SRX1287761|3T3-L1	SRX1287762|3T3-L1	SRX1287769|3T3-L1	SRX1287777|3T3-L1	SRX1287778|3T3-L1	SRX1287779|3T3-L1	SRX1287780|3T3-L1	SRX1287781|3T3-L1	SRX862739|C2C12	SRX862740|C2C12	SRX862741|C2C12	SRX1287754|C3H/10T1/2	SRX014420|ES_cells	SRX014421|ES_cells	SRX014422|ES_cells	SRX014433|ES_cells	SRX10559946|ES_cells	SRX10559947|ES_cells	SRX1287748|ES_cells	SRX5088232|ES_cells	SRX5088238|ES_cells	SRX5088240|ES_cells	SRX5347749|ES_cells	SRX5347751|ES_cells	SRX8701150|ES_cells	SRX8701151|ES_cells	SRX8722038|ES_cells	SRX8722039|ES_cells	SRX2228738|Hepa_1-6	SRX897398|MEF	SRX897399|MEF	SRX897400|MEF	SRX897401|MEF	SRX897402|MEF	SRX897403|MEF	SRX897404|MEF	SRX897405|MEF	SRX1563803|Pro-B_cells	SRX1563804|Pro-B_cells	SRX10987310|YUMMER1.7	SRX10987311|YUMMER1.7	SRX10987323|YUMMER1.7	SRX10987324|YUMMER1.7	STRING
Chp1	171.046512	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1186	517	0	0	199	158	0	1643	1953	359	1008	0	0	0	0	0	0	0	0	0	0	0	0	183	0	0	0	149	0
Gm11213	169.837209	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	273	1189	868	560	814	262	461	0	0	604	0	0	207	0	0	0	0	0	600	0	229	373	433	430	0
Nipsnap2	163.372093	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1248	196	0	0	0	184	0	1645	1772	410	673	0	0	0	0	0	0	0	0	0	0	0	123	182	174	246	172	0	0
Dhrs13	162.906977	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	959	0	0	0	181	451	312	1562	1258	430	856	0	0	0	0	0	0	0	0	0	0	0	322	384	0	108	72	110	0
Eif5a2	157.790698	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	347	738	0	140	0	0	103	1422	1426	381	1293	0	0	0	0	0	0	0	0	0	0	0	130	164	117	209	158	157	0
Esr1	157.72093	544	332	474	479	523	483	379	571	0	0	0	486	322	213	377	638	0	208	499	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	108	0	146	0
Rrn3	157.186047	0	0	0	0	0	0	0	0	0	0	0	0	214	118	243	889	347	0	0	313	0	0	1202	705	849	1182	0	0	0	0	0	0	0	0	0	0	0	0	225	0	261	116	95	0
Olfr419	156.813953	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	339	123	0	0	305	0	143	1359	1730	623	1369	0	0	0	0	0	0	0	0	0	0	0	0	0	191	106	228	227	0
Tmem181a	156.744186	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	665	233	0	0	0	262	0	1456	1372	625	1542	0	0	0	0	0	0	0	0	0	0	0	0	98	85	162	122	118	0
Ppp1r3e	156.209302	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	484	0	0	0	0	0	1630	1860	725	1592	0	0	0	0	0	0	0	0	0	0	0	0	0	0	168	119	139	0
Trim80	156.069767	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	465	654	140	0	0	283	176	695	1604	300	2025	0	0	284	0	0	0	0	0	0	0	0	0	0	0	0	0	85	0
Cdsn	153.72093	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1533	163	0	0	251	506	0	1657	1284	436	686	0	0	0	0	0	0	0	0	0	0	0	0	94	0	0	0	0	0
Plcd3	153.372093	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1969	203	0	0	0	148	0	1872	1457	332	460	0	0	0	0	0	0	0	0	0	0	0	0	154	0	0	0	0	0
Acbd4	153.372093	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1969	203	0	0	0	148	0	1872	1457	332	460	0	0	0	0	0	0	0	0	0	0	0	0	154	0	0	0	0	0
Hdac2	150.465116	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	179	261	0	86	0	259	0	1550	1623	412	1481	0	0	0	0	0	0	0	0	0	0	0	265	119	0	100	0	135	0
Nkap	150.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	608	312	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	589	1232	1145	1452	1112	0
Usp29	148.906977	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	263	806	271	0	176	0	0	456	1599	456	2099	0	0	201	0	0	0	0	0	0	0	0	0	0	0	0	0	76	0
Peg3	148.906977	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	263	806	271	0	176	0	0	456	1599	456	2099	0	0	201	0	0	0	0	0	0	0	0	0	0	0	0	0	76	0
Kdm3b	148.27907	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	958	0	0	0	194	379	107	1361	1148	260	379	0	0	0	0	0	0	0	0	0	0	0	458	496	112	173	164	187	0
Ccdc28a	147.511628	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	456	492	0	0	469	235	195	1436	1086	874	1100	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Neto2	145.767442	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	139	522	0	0	127	93	277	1169	831	510	1255	0	0	0	0	0	0	0	0	0	0	0	319	262	256	228	138	142	0
Nemp1	144.488372	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1163	301	0	0	219	326	178	1114	724	203	422	0	0	0	0	0	0	0	0	0	0	0	379	794	0	156	0	234	0
Gramd1c	144.44186	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	328	296	0	0	472	483	171	1098	1324	869	1170	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2210016F16Rik	141.953488	0	0	0	0	0	0	0	0	0	0	0	0	0	0	164	519	346	0	0	939	428	247	860	597	315	634	0	0	0	0	0	0	0	0	0	0	0	218	241	84	182	195	135	0
Rapgef1	139.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1472	0	0	0	612	511	211	1213	1113	0	463	0	0	0	0	0	0	0	0	0	0	0	0	316	0	66	0	0	0
Abcc12	138.325581	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	285	0	0	0	140	0	0	1324	1389	710	1397	0	0	0	0	0	0	0	0	0	0	0	0	0	111	128	250	214	0
Bckdhb	137.837209	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	513	350	0	0	614	223	0	1153	1422	415	1003	0	0	0	0	0	0	0	0	0	0	0	0	0	0	123	0	111	0
Olfr514	137.604651	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	451	472	130	0	424	168	0	1267	1091	762	1052	0	0	0	0	0	0	0	0	0	0	0	0	0	0	100	0	0	0
Med4	137.581395	0	0	0	0	0	0	0	0	0	0	0	0	123	0	0	1407	203	0	0	0	0	0	1339	1304	325	711	0	0	0	0	0	0	0	0	0	0	0	154	75	0	147	0	128	0
Zfp982	137.116279	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	767	298	143	0	0	0	0	1665	870	596	621	0	0	0	0	0	0	0	0	0	0	0	0	0	0	334	296	306	0
Cep83	136.674419	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	169	0	0	0	239	0	1611	1019	846	1691	0	0	0	0	0	0	0	0	0	0	0	0	0	81	139	0	82	0
Slc39a12	135.093023	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	202	526	67	0	330	301	0	1374	860	769	1240	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	140	0
Vdac1	133.697674	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	353	281	0	0	271	174	0	1098	1033	509	1709	0	0	0	0	0	0	0	0	0	0	0	0	0	0	120	82	119	0
Kbtbd6	133.162791	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	171	267	0	167	0	219	153	864	1180	320	1253	0	0	0	0	0	0	0	0	0	0	0	265	111	202	182	129	243	0
Defb7	133.046512	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	319	197	0	0	601	487	188	968	1116	481	1064	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	97	203	0
Lima1	132.767442	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	855	247	0	0	198	0	0	723	1112	169	1842	0	0	208	0	0	0	0	0	0	0	0	0	0	0	128	102	125	0
Gins4	132.697674	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	987	259	0	0	0	0	0	1730	1533	292	619	0	0	0	0	0	0	0	0	0	0	0	0	135	0	0	0	151	0
Olfr212	131.953488	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1226	226	0	0	349	309	134	1035	1016	309	991	0	0	0	0	0	0	0	0	0	0	0	0	0	0	79	0	0	0
Rfx7	130.418605	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1321	263	0	0	0	0	0	1147	1087	258	641	0	0	0	0	0	0	0	0	0	0	0	0	327	119	193	110	142	0
Ciart	129.697674	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	293	299	0	131	0	112	210	1104	1011	439	887	0	0	0	0	0	0	0	0	0	0	0	404	428	0	120	0	139	0
Kbtbd7	129.418605	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	166	284	0	167	0	234	203	889	1196	337	1342	0	0	0	0	0	0	0	0	0	0	0	0	0	210	156	138	243	0
Commd1	127.906977	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	306	546	138	0	91	174	87	296	1137	319	1811	0	0	312	0	0	0	0	0	0	0	0	0	118	0	0	0	165	0
Spata22	126.534884	0	0	0	0	0	0	0	0	0	0	0	0	0	0	101	154	233	0	0	0	0	0	1272	1617	484	1438	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	142	0
Sox30	126.465116	0	0	0	0	0	0	0	0	0	0	0	0	155	124	0	383	380	0	0	0	0	0	1213	1028	371	1221	0	0	0	0	0	0	0	0	0	0	0	0	0	118	140	148	157	0
Zrsr1	125.162791	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	306	546	138	0	91	174	87	296	1137	319	1811	0	0	312	0	0	0	0	0	0	0	0	0	0	0	0	0	165	0
Trim44	122.465116	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	116	148	0	143	0	0	103	1000	1093	491	1060	0	0	0	0	0	0	0	0	0	0	0	188	321	126	234	167	76	0
Fut8	122.232558	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	116	123	0	0	0	128	193	833	1059	373	1030	0	0	0	0	0	0	0	0	0	0	0	161	104	293	190	293	360	0
Aspa	121.116279	0	0	0	0	0	0	0	0	0	0	0	0	0	0	101	154	0	0	0	0	0	0	1272	1617	484	1438	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	142	0
Stk31	119.790698	0	0	0	0	0	0	0	0	0	0	0	0	162	0	0	139	233	0	171	0	0	136	1263	1188	304	1269	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	129	157	0
Cntrl	119.767442	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	334	2117	204	638	582	0	292	0	0	341	0	0	0	0	0	0	0	0	0	0	132	191	198	121	0
Erdr1	119.023256	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	254	154	0	226	227	507	149	1065	673	631	699	0	0	0	0	0	0	0	0	0	0	0	0	0	0	195	216	122	0
Atp5g2	118.930233	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1450	157	0	0	170	0	0	1325	1093	212	298	0	0	0	0	0	0	0	0	0	0	0	0	267	0	0	0	142	0
Ddx4	118.767442	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	180	106	0	0	0	0	129	1230	1432	492	1287	0	0	0	0	0	0	0	0	0	0	0	0	0	0	93	158	0	0
Pnpla1	118.27907	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	346	423	91	107	110	187	0	965	967	286	1517	0	0	87	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Cops7a	117.534884	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	262	139	0	191	0	95	92	1057	987	324	1069	0	0	0	0	0	0	0	0	0	0	0	197	460	0	0	0	181	0
Ifna13	117.372093	370	332	304	452	362	446	279	306	0	0	0	335	172	0	174	159	185	246	341	0	0	0	112	145	0	0	0	0	0	0	0	0	0	0	0	0	0	0	239	0	0	0	88	0
Catsper3	117.209302	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	314	361	134	0	542	431	149	691	985	452	981	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Tent5c	116.72093	278	0	337	311	497	229	259	527	0	0	0	362	180	0	0	603	199	286	663	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	79	0	209	0
Olfr1257	116.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	458	0	0	0	108	0	0	1374	1002	472	1171	0	0	0	0	0	0	0	0	0	0	0	0	0	0	88	120	195	0
Tex19.1	115.906977	0	0	0	0	0	0	0	0	0	0	0	0	175	122	0	368	114	0	0	0	0	149	1259	1299	328	1015	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	155	0
Tac4	115.906977	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1161	0	0	0	0	0	106	1649	1246	236	410	0	0	0	0	0	0	0	0	0	0	0	0	176	0	0	0	0	0
Endou	114.883721	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	363	408	0	0	369	91	156	1208	669	654	1022	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Sgce	114.767442	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	609	205	0	0	0	0	354	1441	103	1848	0	0	255	0	0	0	0	0	0	0	0	0	0	0	0	0	120	0
Peg10	114.767442	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	609	205	0	0	0	0	354	1441	103	1848	0	0	255	0	0	0	0	0	0	0	0	0	0	0	0	0	120	0
Retreg2	114.627907	0	0	0	0	0	0	0	0	0	0	0	0	0	0	169	358	268	0	118	0	0	0	1464	907	373	1052	0	0	0	0	0	0	0	0	0	0	0	0	0	0	89	131	0	0
Cnppd1	114.627907	0	0	0	0	0	0	0	0	0	0	0	0	0	0	169	358	268	0	118	0	0	0	1464	907	373	1052	0	0	0	0	0	0	0	0	0	0	0	0	0	0	89	131	0	0
Gm2237	114.418605	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1322	1267	402	1530	164	129	0	0	0	0	0	0	0	0	0	0	0	0	0	0	106	0
Poc1b	114.255814	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	112	136	0	0	201	0	0	1123	929	459	1058	0	0	0	0	0	0	0	0	0	0	0	453	167	0	139	0	136	0
Nanos1	113.860465	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	348	0	0	0	0	0	988	957	440	1063	0	0	0	0	0	0	0	0	0	0	0	85	0	196	351	229	239	0
Tasor2	113.418605	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	331	448	106	0	143	0	0	884	576	589	912	0	0	0	0	0	0	0	0	0	0	0	152	203	0	199	103	231	0
Zdbf2	112.651163	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	310	1555	212	2056	0	0	212	0	0	0	0	0	0	0	0	0	0	112	210	177	0	0
Olfr761	112.581395	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	351	337	0	0	470	406	118	672	1111	361	848	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	167	0
Smarca5	112.069767	0	0	0	0	0	0	0	0	0	0	0	0	135	173	194	226	133	0	232	0	0	0	734	1039	365	993	0	0	0	0	0	0	0	0	0	0	0	0	0	78	198	124	195	0
Cdh12	110.860465	208	454	234	425	300	303	305	182	485	437	493	227	0	0	0	0	0	231	483	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Ccnh	109.395349	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	497	123	0	0	119	0	0	1040	996	613	871	0	0	0	0	0	0	0	0	0	0	0	0	0	0	108	0	337	0
D630023F18Rik	109.372093	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	112	0	0	0	331	162	0	1650	662	668	719	0	0	0	0	0	0	0	0	0	0	0	0	0	0	123	141	135	0
Zfp629	109.348837	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	496	339	0	122	163	199	0	643	696	469	1072	0	0	104	0	0	0	0	0	0	0	0	0	0	0	97	186	116	0
Prpf39	109.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	231	311	0	0	453	372	0	803	994	536	857	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	130	0
Galnt4	108.488372	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	201	0	0	1123	929	459	1058	0	0	0	0	0	0	0	0	0	0	0	453	167	0	139	0	136	0
Ttll4	107.627907	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	248	173	0	0	320	245	119	854	633	771	953	0	0	0	0	0	0	0	0	0	0	0	0	0	0	181	0	131	0
Iqcm	107.372093	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	526	0	0	0	0	0	1464	1082	692	853	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Kifap3	104.790698	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	181	0	0	0	0	206	98	793	943	420	927	0	0	0	0	0	0	0	0	0	0	0	0	0	154	177	237	370	0
