ensembl_gene_id	external_gene_name	ensembl_transcript_id	transcript_biotype	transcript_length	transcript_tsl	is_canonical
ENSMUSG00000064368	mt-Nd6	ENSMUST00000082419	protein_coding	519	tslNA	False
ENSMUSG00000064369	mt-Te	ENSMUST00000082420	Mt_tRNA	69	tslNA	False
ENSMUSG00000064370	mt-Cytb	ENSMUST00000082421	protein_coding	1144	tslNA	False
ENSMUSG00000064371	mt-Tt	ENSMUST00000082422	Mt_tRNA	67	tslNA	False
ENSMUSG00000064372	mt-Tp	ENSMUST00000082423	Mt_tRNA	67	tslNA	False
ENSMUSG00000080987	Gm12073	ENSMUST00000117382	processed_pseudogene	524	tslNA	False
ENSMUSG00000084259	Gm12040	ENSMUST00000118357	processed_pseudogene	537	tslNA	False
ENSMUSG00000085966	Gm14368	ENSMUST00000145305	processed_pseudogene	415	tslNA	False
ENSMUSG00000103032	Gm37121	ENSMUST00000192219	TEC	2556		False
ENSMUSG00000102178	Gm37869	ENSMUST00000193385	TEC	595		False
ENSMUSG00000062704	9430002A10Rik	ENSMUST00000185395	lincRNA	475	tslNA	False
ENSMUSG00000056959	Olfr315	ENSMUST00000081533	protein_coding	930	tslNA	False
ENSMUSG00000100751	Gm5116	ENSMUST00000187732	processed_pseudogene	463	tslNA	False
ENSMUSG00000092029	Gm9027	ENSMUST00000165914	processed_pseudogene	661	tslNA	False
ENSMUSG00000072974	Gm4787	ENSMUST00000062182	protein_coding	2474	tslNA	False
ENSMUSG00000102114	BC048559	ENSMUST00000190793	antisense	417	tsl3	False
ENSMUSG00000047702	Olfr1388	ENSMUST00000055584	protein_coding	936	tslNA	False
ENSMUSG00000102071	Gm28815	ENSMUST00000186751	unprocessed_pseudogene	615	tslNA	False
ENSMUSG00000100509	Gm21810	ENSMUST00000186188	unprocessed_pseudogene	696	tslNA	False
ENSMUSG00000100445	Gm29550	ENSMUST00000185543	unprocessed_pseudogene	285	tslNA	False
ENSMUSG00000100524	Gm28418	ENSMUST00000186179	processed_pseudogene	423	tslNA	False
ENSMUSG00000092359	Vmn1r-ps68	ENSMUST00000174638	unprocessed_pseudogene	399	tslNA	False
ENSMUSG00000090448	Gm17192	ENSMUST00000169031	processed_pseudogene	511	tslNA	False
ENSMUSG00000069729	Arid1b	ENSMUST00000124362	processed_transcript	418	tsl5	False
ENSMUSG00000096106	Trav5d-4	ENSMUST00000179701	TR_V_gene	343	tsl1	True
ENSMUSG00000101494	Gm21792	ENSMUST00000188516	unprocessed_pseudogene	696	tslNA	False
ENSMUSG00000092325	Gm18284	ENSMUST00000172604	processed_pseudogene	624	tslNA	False
ENSMUSG00000100043	Gm29433	ENSMUST00000191241	lincRNA	253	tsl5	False
ENSMUSG00000095626	Gm21572	ENSMUST00000186850	lincRNA	174	tsl1	True
ENSMUSG00000100811	Gm29083	ENSMUST00000189205	antisense	733	tsl3	False
ENSMUSG00000062704	9430002A10Rik	ENSMUST00000074808	lincRNA	469	tslNA	False
ENSMUSG00000103969	Gm21890	ENSMUST00000195190	unprocessed_pseudogene	696		False
ENSMUSG00000105929	RP23-69J7.1	ENSMUST00000196072	TEC	1249		False
ENSMUSG00000105753	RP23-443O1.1	ENSMUST00000200070	sense_intronic	1940		False
ENSMUSG00000078162	Gm2574	ENSMUST00000181051	processed_pseudogene	1002	tslNA (assigned to previous version 1)	False
ENSMUSG00000086123	Gm16060	ENSMUST00000153140	processed_pseudogene	478	tslNA	False
ENSMUSG00000095626	Gm21572	ENSMUST00000180134	lincRNA	498	tslNA	False
ENSMUSG00000025787	Tgm4	ENSMUST00000143364	processed_transcript	671	tsl3	False
ENSMUSG00000099201	Gm27187	ENSMUST00000184065	lincRNA	590	tsl3 (assigned to previous version 2)	False
ENSMUSG00000062757	Olfr1206	ENSMUST00000077302	protein_coding	924	tslNA	False
ENSMUSG00000084226	Gm13426	ENSMUST00000117887	processed_pseudogene	795	tslNA	False
ENSMUSG00000082712	Olfr990-ps1	ENSMUST00000120485	unprocessed_pseudogene	896	tslNA	False
ENSMUSG00000093727	Gm8053	ENSMUST00000176412	unprocessed_pseudogene	1003	tslNA	False
ENSMUSG00000044743	Defb10	ENSMUST00000054162	protein_coding	298	tsl1	True
ENSMUSG00000095017	Rps12-ps15	ENSMUST00000179567	processed_pseudogene	399	tslNA	False
ENSMUSG00000103039	Gm37123	ENSMUST00000192994	TEC	1171		False
ENSMUSG00000067047	Olfr719-ps	ENSMUST00000137795	processed_pseudogene	243	tslNA	False
ENSMUSG00000095277	Rps12-ps22	ENSMUST00000179382	processed_pseudogene	402	tslNA	False
ENSMUSG00000062629	Olfr114	ENSMUST00000076914	protein_coding	1000	tslNA	False
ENSMUSG00000084405	Olfr1169-ps1	ENSMUST00000121437	unprocessed_pseudogene	216	tslNA	False
ENSMUSG00000103295	Scp2-ps1	ENSMUST00000193152	unprocessed_pseudogene	499		False
ENSMUSG00000099201	Gm27187	ENSMUST00000184873	lincRNA	499	tsl5	False
ENSMUSG00000092276	1700116B05Rik	ENSMUST00000173461	lincRNA	414	tsl1	True
ENSMUSG00000075221	Olfr992	ENSMUST00000099927	protein_coding	930	tslNA	False
ENSMUSG00000082934	Gm13887	ENSMUST00000119009	processed_pseudogene	344	tslNA	False
ENSMUSG00000076923	Traj5	ENSMUST00000103735	TR_J_gene	62	tslNA	False
ENSMUSG00000090608	Gm17200	ENSMUST00000170214	processed_transcript	2022	tsl1	True
ENSMUSG00000086893	Gm11365	ENSMUST00000144277	antisense	774	tsl1	True
ENSMUSG00000031154	Otud5	ENSMUST00000152899	processed_transcript	347	tsl3	False
ENSMUSG00000092276	1700116B05Rik	ENSMUST00000174511	lincRNA	316	tsl3	False
ENSMUSG00000041235	Chd7	ENSMUST00000170457	retained_intron	4953	tsl2	False
ENSMUSG00000090192	Gm16556	ENSMUST00000162980	processed_transcript	356	tsl3	False
ENSMUSG00000025787	Tgm4	ENSMUST00000171897	processed_transcript	498	tsl5	False
ENSMUSG00000100168	Gm28526	ENSMUST00000187731	lincRNA	339	tsl2	False
ENSMUSG00000090002	Gm16006	ENSMUST00000160938	antisense	566	tsl1	True
ENSMUSG00000091661	Gm17021	ENSMUST00000172093	sense_overlapping	462	tsl3	False
ENSMUSG00000090192	Gm16556	ENSMUST00000162608	processed_transcript	471	tsl5	False
ENSMUSG00000085773	Gm16233	ENSMUST00000136170	antisense	1623	tsl1	True
ENSMUSG00000090631	Olfr456	ENSMUST00000057251	protein_coding	939	tslNA	False
ENSMUSG00000102762	4930403P22Rik	ENSMUST00000192234	lincRNA	713		False
ENSMUSG00000078952	Lincenc1	ENSMUST00000109431	lincRNA	2726	tsl1 (assigned to previous version 4)	False
ENSMUSG00000086284	Frmpd1os	ENSMUST00000134640	antisense	415	tsl1	True
ENSMUSG00000078952	Lincenc1	ENSMUST00000179324	lincRNA	2764	tsl2	False
ENSMUSG00000090662	Vmn2r45	ENSMUST00000164845	protein_coding	3619	tsl5	False
ENSMUSG00000093380	Gm20685	ENSMUST00000176654	lincRNA	489	tsl3	False
ENSMUSG00000099786	Gm29215	ENSMUST00000188659	lincRNA	621	tsl5 (assigned to previous version 1)	False
ENSMUSG00000099786	Gm29215	ENSMUST00000186607	lincRNA	436	tsl5	False
ENSMUSG00000094430	Gm933	ENSMUST00000179384	protein_coding	679	tsl2	False
ENSMUSG00000104457	Gm37826	ENSMUST00000195329	processed_pseudogene	322		False
ENSMUSG00000085783	Gm9816	ENSMUST00000122292	processed_pseudogene	1414	tslNA	False
ENSMUSG00000078952	Lincenc1	ENSMUST00000180371	lincRNA	492	tsl3	False
ENSMUSG00000047807	9330154K18Rik	ENSMUST00000176703	antisense	2104	tslNA	False
ENSMUSG00000104000	Gm38335	ENSMUST00000195727	lincRNA	1789		False
ENSMUSG00000028655	Mfsd2a	ENSMUST00000152308	processed_transcript	1918	tsl5 (assigned to previous version 2)	False
ENSMUSG00000021974	Fgf9	ENSMUST00000165526	protein_coding	3210	tsl1 (assigned to previous version 2)	False
ENSMUSG00000060216	Arrb2	ENSMUST00000124112	retained_intron	574	tsl5	False
ENSMUSG00000085465	Gm15347	ENSMUST00000145372	antisense	385	tsl3	False
ENSMUSG00000063728	Magea6	ENSMUST00000112562	protein_coding	1212	tsl5 (assigned to previous version 2)	False
ENSMUSG00000063728	Magea6	ENSMUST00000076986	protein_coding	1201	tsl1	True
ENSMUSG00000093658	Gm20617	ENSMUST00000177332	lincRNA	758	tsl3	False
ENSMUSG00000100937	1700020D05Rik	ENSMUST00000189704	protein_coding	1021	tslNA	False
ENSMUSG00000002797	Ggct	ENSMUST00000131475	protein_coding	3960	tsl1	True
ENSMUSG00000093658	Gm20617	ENSMUST00000177082	lincRNA	717	tsl3	False
ENSMUSG00000040132	Svs2	ENSMUST00000044953	protein_coding	1695	tsl1	True
ENSMUSG00000041235	Chd7	ENSMUST00000127476	protein_coding	2381	tsl1 (assigned to previous version 2)	False
ENSMUSG00000087407	Gm11431	ENSMUST00000155046	lincRNA	428	tsl3	False
ENSMUSG00000087201	Gm15261	ENSMUST00000136779	antisense	2763	tsl1	True
ENSMUSG00000087692	Gm11940	ENSMUST00000153599	antisense	417	tsl3	False
ENSMUSG00000090044	Gm16557	ENSMUST00000159182	processed_pseudogene	191	tslNA	False
ENSMUSG00000022814	Umps	ENSMUST00000023510	protein_coding	3484	tsl1	True
ENSMUSG00000065623	Gm24762	ENSMUST00000083689	snRNA	104	tslNA	False
ENSMUSG00000065311	n-R5s156	ENSMUST00000083377	rRNA	105	tslNA	False
ENSMUSG00000098957	Mir8105	ENSMUST00000184718	miRNA	89	tslNA	False
ENSMUSG00000040132	Svs2	ENSMUST00000109374	protein_coding	1479	tsl1	True
ENSMUSG00000068075	Gm10229	ENSMUST00000089106	protein_coding	570	tslNA	False
ENSMUSG00000094793	Mup12	ENSMUST00000117932	protein_coding	926	tsl1	True
ENSMUSG00000099165	Mir6940	ENSMUST00000183447	miRNA	70	tslNA	False
ENSMUSG00000045104	Gm5514	ENSMUST00000060477	processed_pseudogene	306	tslNA	False
ENSMUSG00000091882	Gm6337	ENSMUST00000168088	protein_coding	1758	tsl5 (assigned to previous version 2)	False
ENSMUSG00000085049	Parvaos	ENSMUST00000154848	antisense	1285	tsl1	True
ENSMUSG00000072718	Klra10	ENSMUST00000112020	protein_coding	823	tsl1	True
ENSMUSG00000099174	Mir6406	ENSMUST00000183592	miRNA	120	tslNA	False
ENSMUSG00000065585	Mir211	ENSMUST00000083651	miRNA	106	tslNA	False
ENSMUSG00000087760	Gm23980	ENSMUST00000157135	snRNA	158	tslNA	False
ENSMUSG00000077358	Gm26293	ENSMUST00000104170	snoRNA	84	tslNA	False
ENSMUSG00000089132	Gm24772	ENSMUST00000158507	rRNA	110	tslNA	False
ENSMUSG00000065296	Gm26122	ENSMUST00000083362	snRNA	82	tslNA	False
ENSMUSG00000098619	Mir6401	ENSMUST00000184499	miRNA	109	tslNA	False
ENSMUSG00000088605	Gm24188	ENSMUST00000157980	rRNA	108	tslNA	False
ENSMUSG00000084568	Gm26480	ENSMUST00000122619	misc_RNA	297	tslNA	False
ENSMUSG00000009075	Cabp7	ENSMUST00000009219	protein_coding	2628	tsl1	True
ENSMUSG00000099614	Uba1y-ps2	ENSMUST00000190871	unprocessed_pseudogene	2544	tslNA	False
ENSMUSG00000030804	Gm21974	ENSMUST00000126662	nonsense_mediated_decay	2037	tsl5	False
ENSMUSG00000106493	mmu-mir-9-1	ENSMUST00000199907	miRNA	89		False
ENSMUSG00000095147	Mir3070a	ENSMUST00000175468	miRNA	89	tslNA	False
ENSMUSG00000101691	Gm29280	ENSMUST00000188571	unprocessed_pseudogene	615	tslNA	False
ENSMUSG00000104603	AL845457.1	ENSMUST00000197244	miRNA	68		False
ENSMUSG00000093282	Gm22566	ENSMUST00000175541	miRNA	85	tslNA	False
ENSMUSG00000038069	Cdkn2aip	ENSMUST00000038738	protein_coding	3494	tsl1	True
ENSMUSG00000065905	Gm26110	ENSMUST00000083971	snRNA	165	tslNA	False
ENSMUSG00000098361	Mir7086	ENSMUST00000183683	miRNA	65	tslNA	False
ENSMUSG00000084746	Gm25292	ENSMUST00000122797	misc_RNA	322	tslNA	False
ENSMUSG00000099053	Gm27792	ENSMUST00000184031	rRNA	115	tslNA	False
ENSMUSG00000091882	Gm6337	ENSMUST00000170613	protein_coding	997	tsl5 (assigned to previous version 2)	False
ENSMUSG00000088162	Gm23539	ENSMUST00000157537	misc_RNA	224	tslNA	False
ENSMUSG00000077586	Gm24377	ENSMUST00000104398	snoRNA	131	tslNA	False
ENSMUSG00000091821	Srsx	ENSMUST00000171714	protein_coding	1083	tslNA	False
ENSMUSG00000095927	Gm21822	ENSMUST00000179302	protein_coding	543	tslNA	False
ENSMUSG00000091882	Gm6337	ENSMUST00000177662	protein_coding	618	tsl5	False
ENSMUSG00000106460	RP23-458I4.2	ENSMUST00000196649	processed_pseudogene	772		False
ENSMUSG00000047352	Olfr976	ENSMUST00000169307	protein_coding	2813	tslNA	False
ENSMUSG00000002797	Ggct	ENSMUST00000002874	processed_transcript	686	tsl2	False
ENSMUSG00000084983	Gm11789	ENSMUST00000140989	antisense	563	tsl2	False
ENSMUSG00000006019	Dhx34	ENSMUST00000128452	retained_intron	1616	tsl5	False
ENSMUSG00000099010	Gm27357	ENSMUST00000183754	misc_RNA	135	tslNA	False
ENSMUSG00000064916	Gm22573	ENSMUST00000082982	snRNA	102	tslNA	False
ENSMUSG00000088529	Gm26083	ENSMUST00000157904	scaRNA	193	tslNA	False
ENSMUSG00000098982	Gm28002	ENSMUST00000184832	miRNA	100	tslNA	False
ENSMUSG00000065865	Gm24030	ENSMUST00000083931	snRNA	164	tslNA	False
ENSMUSG00000095434	CAAA01205117.2	ENSMUST00000178705	miRNA	101	tslNA	False
ENSMUSG00000087519	AV039307	ENSMUST00000133643	processed_transcript	644	tsl2 (assigned to previous version 2)	False
ENSMUSG00000099300	Mir6356	ENSMUST00000183541	miRNA	102	tslNA	False
ENSMUSG00000098769	Mir8103	ENSMUST00000183945	miRNA	107	tslNA	False
ENSMUSG00000105165	mmu-mir-7686	ENSMUST00000200604	miRNA	57		False
ENSMUSG00000105723	mmu-mir-7210	ENSMUST00000199094	miRNA	54		False
ENSMUSG00000095206	Gm17404	ENSMUST00000169322	protein_coding	171	tslNA	False
ENSMUSG00000058515	Olfr933	ENSMUST00000075680	protein_coding	1003	tslNA	False
ENSMUSG00000100685	Gm28610	ENSMUST00000187716	antisense	406	tsl2	False
ENSMUSG00000087810	Gm25113	ENSMUST00000157185	snoRNA	143	tslNA	False
ENSMUSG00000093101	Gm25533	ENSMUST00000175360	miRNA	79	tslNA	False
ENSMUSG00000094823	n-R5s166	ENSMUST00000082898	rRNA	121	tslNA	False
ENSMUSG00000080601	Gm23841	ENSMUST00000116951	miRNA	114	tslNA	False
ENSMUSG00000002797	Ggct	ENSMUST00000136527	retained_intron	657	tsl3	False
ENSMUSG00000053640	Gm9915	ENSMUST00000188087	lincRNA	1382	tslNA	False
ENSMUSG00000080517	Gm23109	ENSMUST00000116867	snRNA	126	tslNA	False
ENSMUSG00000053640	Gm9915	ENSMUST00000066196	lincRNA	1383	tslNA	False
ENSMUSG00000096184	Gm23304	ENSMUST00000180209	miRNA	121	tslNA	False
ENSMUSG00000093184	Gm25693	ENSMUST00000175443	miRNA	85	tslNA	False
ENSMUSG00000080454	Gm24195	ENSMUST00000116804	miRNA	137	tslNA (assigned to previous version 2)	False
ENSMUSG00000065130	Gm24457	ENSMUST00000083196	snRNA	105	tslNA	False
ENSMUSG00000098548	Mir6996	ENSMUST00000183922	miRNA	61	tslNA	False
ENSMUSG00000094590	Gm10251	ENSMUST00000181786	protein_coding	1688	tsl1	True
ENSMUSG00000094590	Gm10251	ENSMUST00000178788	protein_coding	384	tsl5	False
ENSMUSG00000058856	Olfr952	ENSMUST00000073895	protein_coding	1056	tslNA	False
ENSMUSG00000099133	Gm27605	ENSMUST00000184648	misc_RNA	136	tslNA	False
ENSMUSG00000089585	Gm23338	ENSMUST00000158960	snoRNA	95	tslNA	False
ENSMUSG00000101467	Gm28662	ENSMUST00000188446	unprocessed_pseudogene	695	tslNA	False
ENSMUSG00000088832	Gm23543	ENSMUST00000158207	snRNA	106	tslNA	False
ENSMUSG00000074695	Il22	ENSMUST00000096691	protein_coding	1110	tsl1	True
ENSMUSG00000032134	Muc16	ENSMUST00000034653	protein_coding	1035	tsl2	False
ENSMUSG00000095857	Gm22618	ENSMUST00000179376	snRNA	107	tslNA	False
ENSMUSG00000077990	Gm23134	ENSMUST00000104797	miRNA	87	tslNA	False
ENSMUSG00000087806	Gm23432	ENSMUST00000157181	snoRNA	131	tslNA	False
ENSMUSG00000102072	Gm29551	ENSMUST00000190913	unprocessed_pseudogene	698	tslNA	False
ENSMUSG00000034958	Atcay	ENSMUST00000146030	nonsense_mediated_decay	3707	tsl5 (assigned to previous version 2)	False
ENSMUSG00000049739	Zfp646	ENSMUST00000131000	protein_coding	2241	tsl1	True
ENSMUSG00000088302	Zakit	ENSMUST00000157677	misc_RNA	308	tslNA	False
ENSMUSG00000088197	Gm24138	ENSMUST00000157572	snoRNA	114	tslNA	False
ENSMUSG00000096804	Gm23411	ENSMUST00000157988	snRNA	62	tslNA	False
ENSMUSG00000096927	Gm3466	ENSMUST00000181797	processed_pseudogene	1192	tslNA	False
ENSMUSG00000094468	Trav6-4	ENSMUST00000180711	TR_V_gene	378	tslNA (assigned to previous version 1)	False
ENSMUSG00000054618	Gm9951	ENSMUST00000149618	lincRNA	1772	tsl2	False
ENSMUSG00000030785	Cox6a2	ENSMUST00000033049	protein_coding	658	tsl1	True
ENSMUSG00000063594	Gng8	ENSMUST00000078182	protein_coding	920	tsl1	True
ENSMUSG00000101260	Gm28780	ENSMUST00000190223	unprocessed_pseudogene	615	tslNA	False
ENSMUSG00000080408	Gm23654	ENSMUST00000116758	miRNA	126	tslNA	False
ENSMUSG00000089451	Gm24226	ENSMUST00000158826	snRNA	97	tslNA	False
ENSMUSG00000095938	Gm25701	ENSMUST00000179988	miRNA	127	tslNA	False
ENSMUSG00000022814	Umps	ENSMUST00000131990	nonsense_mediated_decay	3283	tsl1	True
ENSMUSG00000069184	Zfp72	ENSMUST00000091481	protein_coding	1629	tsl1	True
ENSMUSG00000087519	AV039307	ENSMUST00000124795	processed_transcript	1133	tsl1	True
ENSMUSG00000029885	Moxd2	ENSMUST00000031937	protein_coding	1860	tsl1	True
ENSMUSG00000065737	Gm24490	ENSMUST00000083803	snRNA	98	tslNA	False
ENSMUSG00000087519	AV039307	ENSMUST00000171483	processed_transcript	324	tslNA	False
ENSMUSG00000094468	Trav6-4	ENSMUST00000184650	TR_V_gene	338	tslNA	False
ENSMUSG00000095697	Mir683-1	ENSMUST00000179371	miRNA	109	tslNA	False
ENSMUSG00000065557	Mirlet7c-1	ENSMUST00000083623	miRNA	94	tslNA (assigned to previous version 2)	False
ENSMUSG00000064525	Gm26440	ENSMUST00000082591	snoRNA	129	tslNA	False
ENSMUSG00000089239	Gm22200	ENSMUST00000158614	snoRNA	67	tslNA	False
ENSMUSG00000065870	Rnu3a	ENSMUST00000083936	snoRNA	214	tslNA	False
ENSMUSG00000073158	9030624G23Rik	ENSMUST00000101538	protein_coding	468	tsl1	True
ENSMUSG00000096805	Ighv9-1	ENSMUST00000195884	IG_V_gene	351		False
ENSMUSG00000096805	Ighv9-1	ENSMUST00000103471	IG_V_gene	294	tslNA	False
ENSMUSG00000025784	Clec3b	ENSMUST00000026890	protein_coding	990	tsl1	True
ENSMUSG00000088425	Gm24422	ENSMUST00000157800	snoRNA	119	tslNA	False
ENSMUSG00000087707	Gm22999	ENSMUST00000157082	snoRNA	88	tslNA	False
ENSMUSG00000088132	Gm22586	ENSMUST00000157507	rRNA	122	tslNA	False
ENSMUSG00000098362	Mir130c	ENSMUST00000184489	miRNA	82	tslNA	False
ENSMUSG00000076253	Mir680-3	ENSMUST00000102298	miRNA	87	tslNA	False
ENSMUSG00000088511	Gm24435	ENSMUST00000157886	snRNA	110	tslNA	False
ENSMUSG00000054618	Gm9951	ENSMUST00000139529	lincRNA	513	tsl5	False
ENSMUSG00000075719	Gm23741	ENSMUST00000097237	snRNA	171	tslNA	False
ENSMUSG00000056612	Ppp1r14b	ENSMUST00000070850	protein_coding	919	tsl1	True
ENSMUSG00000099106	Gm27899	ENSMUST00000184715	misc_RNA	64	tslNA	False
ENSMUSG00000068303	Spr-ps1	ENSMUST00000187705	processed_transcript	2892	tslNA	False
ENSMUSG00000041161	Otud3	ENSMUST00000097830	protein_coding	1668	tsl2	False
ENSMUSG00000086952	Gm12596	ENSMUST00000124589	lincRNA	673	tsl3	False
ENSMUSG00000077283	n-R5s158	ENSMUST00000104095	rRNA	118	tslNA	False
ENSMUSG00000088876	Gm25861	ENSMUST00000158251	snoRNA	109	tslNA	False
ENSMUSG00000089382	Gm24675	ENSMUST00000158757	misc_RNA	259	tslNA	False
ENSMUSG00000032733	Snx33	ENSMUST00000050916	protein_coding	4564	tsl1	True
ENSMUSG00000102309	Gm38189	ENSMUST00000194495	TEC	1457		False
ENSMUSG00000103730	Gm38316	ENSMUST00000194838	TEC	469		False
ENSMUSG00000100238	Gm21450	ENSMUST00000187408	lincRNA	174	tsl1	True
ENSMUSG00000076366	Gm24048	ENSMUST00000102411	miRNA	106	tslNA	False
ENSMUSG00000080485	Gm23493	ENSMUST00000116835	miRNA	88	tslNA (assigned to previous version 1)	False
ENSMUSG00000096307	n-R5s104	ENSMUST00000179107	rRNA	119	tslNA	False
ENSMUSG00000088791	Gm22542	ENSMUST00000158166	snRNA	95	tslNA	False
ENSMUSG00000021974	Fgf9	ENSMUST00000022545	protein_coding	1593	tsl1 (assigned to previous version 8)	False
ENSMUSG00000097901	Gm26680	ENSMUST00000180944	processed_transcript	676	tsl5 (assigned to previous version 2)	False
ENSMUSG00000030350	Prmt8	ENSMUST00000032500	protein_coding	2724	tsl1	True
ENSMUSG00000095804	Olfr824	ENSMUST00000074161	protein_coding	948	tslNA	False
ENSMUSG00000051098	Mblac2	ENSMUST00000057598	protein_coding	3881	tsl1	True
ENSMUSG00000048920	Fkrp	ENSMUST00000061390	protein_coding	2803	tsl1	True
ENSMUSG00000101945	Gm29138	ENSMUST00000191444	processed_pseudogene	348	tslNA	False
ENSMUSG00000074865	Zfp934	ENSMUST00000101547	protein_coding	1419	tsl5 (assigned to previous version 5)	False
ENSMUSG00000005124	Wisp1	ENSMUST00000005255	protein_coding	5097	tsl1 (assigned to previous version 3)	False
ENSMUSG00000045506	A930002H24Rik	ENSMUST00000050753	protein_coding	492	tslNA	False
ENSMUSG00000088409	Gm25882	ENSMUST00000157784	snRNA	85	tslNA	False
ENSMUSG00000105167	AC161199.1	ENSMUST00000199549	miRNA	108		False
ENSMUSG00000104428	Gm18299	ENSMUST00000192026	processed_pseudogene	636		False
ENSMUSG00000097901	Gm26680	ENSMUST00000181013	processed_transcript	1293	tsl1	True
ENSMUSG00000080474	Gm25317	ENSMUST00000116824	miRNA	129	tslNA	False
ENSMUSG00000078486	Perm1	ENSMUST00000105572	protein_coding	3901	tsl1	True
ENSMUSG00000024353	Mzb1	ENSMUST00000025211	protein_coding	905	tsl1	True
ENSMUSG00000084983	Gm11789	ENSMUST00000139357	antisense	514	tsl2 (assigned to previous version 2)	False
ENSMUSG00000088623	Gm23031	ENSMUST00000157998	snRNA	119	tslNA	False
ENSMUSG00000060419	Rps16-ps2	ENSMUST00000140155	processed_pseudogene	441	tslNA	False
ENSMUSG00000074865	Zfp934	ENSMUST00000082203	protein_coding	993	tsl5	False
ENSMUSG00000032459	Mrps22	ENSMUST00000035034	protein_coding	1197	tsl1	True
ENSMUSG00000079067	Hmgn2-ps1	ENSMUST00000120716	processed_pseudogene	279	tslNA	False
ENSMUSG00000068303	Spr-ps1	ENSMUST00000089584	transcribed_unprocessed_pseudogene	605	tslNA	False
ENSMUSG00000081254	Gm12112	ENSMUST00000117772	processed_pseudogene	231	tslNA	False
ENSMUSG00000096000	Olfr773	ENSMUST00000072976	protein_coding	936	tslNA	False
ENSMUSG00000105790	AC122546.1	ENSMUST00000196719	miRNA	78		False
ENSMUSG00000092718	Gm22860	ENSMUST00000174977	miRNA	74	tslNA	False
ENSMUSG00000088346	Gm22337	ENSMUST00000157721	snoRNA	132	tslNA	False
ENSMUSG00000100461	Gm28948	ENSMUST00000188447	lincRNA	2167	tsl5	False
ENSMUSG00000097199	Gm26991	ENSMUST00000180950	unprocessed_pseudogene	620	tslNA	False
ENSMUSG00000096388	Gm25355	ENSMUST00000178456	miRNA	101	tslNA	False
