ensembl_gene_id	external_gene_name	ensembl_transcript_id	transcript_biotype	transcript_length	transcript_tsl	is_canonical
ENSMUSG00000064368	mt-Nd6	ENSMUST00000082419	protein_coding	519	tslNA	False
ENSMUSG00000064369	mt-Te	ENSMUST00000082420	Mt_tRNA	69	tslNA	False
ENSMUSG00000064370	mt-Cytb	ENSMUST00000082421	protein_coding	1144	tslNA	False
ENSMUSG00000064371	mt-Tt	ENSMUST00000082422	Mt_tRNA	67	tslNA	False
ENSMUSG00000064372	mt-Tp	ENSMUST00000082423	Mt_tRNA	67	tslNA	False
ENSMUSG00000083145	Gm12579	ENSMUST00000118040	processed_pseudogene	783	tslNA	False
ENSMUSG00000070606	Gm10298	ENSMUST00000074801	processed_pseudogene	265	tslNA	False
ENSMUSG00000113563	Gm2492	ENSMUST00000221355	processed_pseudogene	1394	tslNA	False
ENSMUSG00000083255	Gm12738	ENSMUST00000122349	processed_pseudogene	536	tslNA	False
ENSMUSG00000058873	Gm5582	ENSMUST00000075251	processed_pseudogene	522	tslNA	False
ENSMUSG00000108287	Gm44473	ENSMUST00000204039	unprocessed_pseudogene	152	tslNA	False
ENSMUSG00000107416	Gm44030	ENSMUST00000204865	processed_pseudogene	432	tslNA	False
ENSMUSG00000099867	Gm29320	ENSMUST00000185235	unprocessed_pseudogene	615	tslNA	False
ENSMUSG00000107836	Gm5315	ENSMUST00000204430	processed_pseudogene	1897	tslNA	False
ENSMUSG00000102294	Gm37544	ENSMUST00000192803	lincRNA	174	tsl1	True
ENSMUSG00000113888	LOC667541	ENSMUST00000223408	processed_pseudogene	278	tslNA	False
ENSMUSG00000047284	Neurl4	ENSMUST00000176614	processed_transcript	469	tsl2	False
ENSMUSG00000099896	Gm29278	ENSMUST00000189701	lincRNA	1497	tsl5	False
ENSMUSG00000087637	Gm11986	ENSMUST00000149481	lincRNA	1439	tsl1	True
ENSMUSG00000090126	4930519F09Rik	ENSMUST00000159347	processed_transcript	618	tsl1	True
ENSMUSG00000099896	Gm29278	ENSMUST00000186793	lincRNA	437	tsl5	False
ENSMUSG00000110301	Gm35363	ENSMUST00000209330	lincRNA	1317	tsl1	True
ENSMUSG00000068606	Gm4841	ENSMUST00000090260	protein_coding	2839	tsl2 (assigned to previous version 4)	False
ENSMUSG00000053490	Trim60	ENSMUST00000048565	protein_coding	2670	tsl1	True
ENSMUSG00000057817	Olfr1446	ENSMUST00000216805	protein_coding	2417	tsl3	False
ENSMUSG00000043319	Cox8c	ENSMUST00000053611	protein_coding	458	tsl1	True
ENSMUSG00000089822	Gm15759	ENSMUST00000161126	antisense	3723	tsl1	True
ENSMUSG00000094205	Gm8926	ENSMUST00000167566	protein_coding	1098	tsl1	True
ENSMUSG00000090126	4930519F09Rik	ENSMUST00000163084	transcribed_processed_pseudogene	1111	tslNA	False
ENSMUSG00000091292	Gm3104	ENSMUST00000171004	unprocessed_pseudogene	473	tslNA	False
ENSMUSG00000112747	Gm48721	ENSMUST00000218793	lincRNA	529	tsl5	False
ENSMUSG00000100350	Gm29091	ENSMUST00000187289	lincRNA	2159	tsl5	False
ENSMUSG00000110434	Rps7-ps1	ENSMUST00000211928	processed_pseudogene	391	tslNA	False
ENSMUSG00000107650	Gm44032	ENSMUST00000204841	processed_pseudogene	166	tslNA	False
ENSMUSG00000094205	Gm8926	ENSMUST00000178158	protein_coding	465	tsl5	False
ENSMUSG00000111991	Gm47835	ENSMUST00000219942	unprocessed_pseudogene	244	tslNA	False
ENSMUSG00000108284	Gm44182	ENSMUST00000204052	processed_pseudogene	115	tslNA	False
ENSMUSG00000049287	Iba57	ENSMUST00000054523	protein_coding	4021	tsl1	True
ENSMUSG00000107972	Gm18198	ENSMUST00000204986	processed_pseudogene	1551	tslNA	False
ENSMUSG00000038422	Hdhd3	ENSMUST00000037820	protein_coding	1205	tsl1	True
ENSMUSG00000108237	Gm19757	ENSMUST00000205113	lincRNA	2946	tsl1	True
ENSMUSG00000084318	Gm11987	ENSMUST00000118524	unprocessed_pseudogene	381	tslNA	False
ENSMUSG00000057817	Olfr1446	ENSMUST00000081236	protein_coding	1044	tslNA	False
ENSMUSG00000103190	Gm34716	ENSMUST00000194060	lincRNA	621	tsl5	False
ENSMUSG00000013150	Gfod2	ENSMUST00000013294	protein_coding	4352	tsl1	True
ENSMUSG00000058743	Kcnj14	ENSMUST00000071937	protein_coding	2681	tsl1	True
ENSMUSG00000108775	Gm44540	ENSMUST00000205640	processed_pseudogene	354	tslNA	False
ENSMUSG00000103190	Gm34716	ENSMUST00000195018	lincRNA	436	tsl5	False
ENSMUSG00000090699	Gm9071	ENSMUST00000165915	unprocessed_pseudogene	474	tslNA	False
ENSMUSG00000057817	Olfr1446	ENSMUST00000207741	protein_coding	486	tsl3	False
ENSMUSG00000038422	Hdhd3	ENSMUST00000140038	processed_transcript	312	tsl3	False
ENSMUSG00000101193	Gm21849	ENSMUST00000191571	unprocessed_pseudogene	696	tslNA	False
ENSMUSG00000049287	Iba57	ENSMUST00000069631	protein_coding	864	tsl1	True
ENSMUSG00000058743	Kcnj14	ENSMUST00000210232	protein_coding	599	tsl3	False
ENSMUSG00000112775	Gm48722	ENSMUST00000220015	lincRNA	172	tsl5	False
ENSMUSG00000100892	Gm20897	ENSMUST00000185240	protein_coding	923	tsl1	True
ENSMUSG00000102867	Gm37635	ENSMUST00000193129	lincRNA	174	tsl1	True
ENSMUSG00000108259	Gm6727	ENSMUST00000204102	processed_pseudogene	1518	tslNA	False
ENSMUSG00000049287	Iba57	ENSMUST00000137433	protein_coding	654	tsl3	False
ENSMUSG00000112156	Gm48723	ENSMUST00000219252	lincRNA	338	tsl5	False
ENSMUSG00000086470	Gm12580	ENSMUST00000127456	lincRNA	1751	tsl1	True
ENSMUSG00000111594	Gm3365	ENSMUST00000216296	unprocessed_pseudogene	1480	tslNA	False
ENSMUSG00000020303	Stc2	ENSMUST00000020546	protein_coding	3940	tsl1	True
ENSMUSG00000108270	Gm4602	ENSMUST00000203198	processed_pseudogene	308	tslNA	False
ENSMUSG00000013150	Gfod2	ENSMUST00000155038	protein_coding	951	tsl2	False
ENSMUSG00000095831	Olfr453	ENSMUST00000213997	protein_coding	3082	tsl5	False
ENSMUSG00000104578	Gm8929	ENSMUST00000197781	processed_pseudogene	1132	tslNA	False
ENSMUSG00000002804	Nudt14	ENSMUST00000221397	protein_coding	1241	tsl1	True
ENSMUSG00000079042	Apela	ENSMUST00000142822	protein_coding	975	tsl1	True
ENSMUSG00000095831	Olfr453	ENSMUST00000053647	protein_coding	954	tslNA	False
ENSMUSG00000013150	Gfod2	ENSMUST00000135959	processed_transcript	547	tsl3	False
ENSMUSG00000075227	Znhit2	ENSMUST00000162726	protein_coding	1281	tslNA	False
ENSMUSG00000020303	Stc2	ENSMUST00000152094	processed_transcript	447	tsl3	False
ENSMUSG00000079042	Apela	ENSMUST00000124790	protein_coding	945	tsl2	False
ENSMUSG00000105479	Gm43132	ENSMUST00000199106	lincRNA	792	tsl1	True
ENSMUSG00000106492	Gm29707	ENSMUST00000198744	lincRNA	659	tsl3	False
ENSMUSG00000002804	Nudt14	ENSMUST00000222932	retained_intron	770	tsl3	False
ENSMUSG00000020303	Stc2	ENSMUST00000134199	processed_transcript	486	tsl5	False
ENSMUSG00000107818	Gm44034	ENSMUST00000203812	unprocessed_pseudogene	64	tslNA	False
ENSMUSG00000044164	Rnf182	ENSMUST00000059986	protein_coding	3544	tsl1	True
ENSMUSG00000107349	Gm6655	ENSMUST00000201932	processed_pseudogene	1309	tslNA	False
ENSMUSG00000114442	F630042J09Rik	ENSMUST00000224844	lincRNA	4257		False
ENSMUSG00000100315	1700031P21Rik	ENSMUST00000187526	lincRNA	307	tsl1	True
ENSMUSG00000106492	Gm29707	ENSMUST00000196325	lincRNA	491	tslNA	False
ENSMUSG00000055452	Gm7353	ENSMUST00000069044	processed_pseudogene	2866	tslNA	False
ENSMUSG00000020303	Stc2	ENSMUST00000139991	processed_transcript	3982	tsl1	True
ENSMUSG00000109718	Trim61	ENSMUST00000211310	protein_coding	417	tsl5	False
ENSMUSG00000002804	Nudt14	ENSMUST00000222793	retained_intron	945	tsl3	False
ENSMUSG00000112131	Gm48724	ENSMUST00000218657	lincRNA	1864	tsl5	False
ENSMUSG00000105088	Gm17978	ENSMUST00000195986	processed_pseudogene	769	tslNA	False
ENSMUSG00000001761	Smo	ENSMUST00000201515	retained_intron	2502	tslNA	False
ENSMUSG00000100315	1700031P21Rik	ENSMUST00000191400	lincRNA	466	tsl3	False
ENSMUSG00000107523	Gm44451	ENSMUST00000203767	processed_pseudogene	483	tslNA	False
ENSMUSG00000114442	F630042J09Rik	ENSMUST00000224856	lincRNA	3162		False
ENSMUSG00000020303	Stc2	ENSMUST00000149467	processed_transcript	544	tsl2	False
ENSMUSG00000100615	Gm5511	ENSMUST00000189380	processed_pseudogene	802	tslNA	False
ENSMUSG00000044164	Rnf182	ENSMUST00000161817	protein_coding	457	tsl3	False
ENSMUSG00000002804	Nudt14	ENSMUST00000002881	protein_coding	734	tsl2	False
ENSMUSG00000100315	1700031P21Rik	ENSMUST00000186498	lincRNA	446	tsl2	False
ENSMUSG00000112147	Gm18244	ENSMUST00000219747	processed_pseudogene	1566	tslNA	False
ENSMUSG00000002804	Nudt14	ENSMUST00000221497	protein_coding	355	tsl2	False
ENSMUSG00000041886	Macc1	ENSMUST00000222784	protein_coding	4710	tsl5	False
ENSMUSG00000106189	Gm42933	ENSMUST00000196547	processed_pseudogene	2069	tslNA	False
ENSMUSG00000109718	Trim61	ENSMUST00000078409	protein_coding	1977	tsl1	True
ENSMUSG00000108044	Gm44459	ENSMUST00000203926	processed_pseudogene	160	tslNA	False
ENSMUSG00000100915	Gm29321	ENSMUST00000186727	lincRNA	1499	tsl5	False
ENSMUSG00000041886	Macc1	ENSMUST00000221917	protein_coding	4272	tsl5	False
ENSMUSG00000109965	Gm45274	ENSMUST00000209938	lincRNA	647	tsl3	False
ENSMUSG00000114121	Gm47728	ENSMUST00000222349	lincRNA	746	tsl3	False
ENSMUSG00000112541	Gm9072	ENSMUST00000218390	processed_pseudogene	1514	tslNA	False
ENSMUSG00000104927	Gm43388	ENSMUST00000197818	lincRNA	1225	tsl1	True
ENSMUSG00000106295	Gm42932	ENSMUST00000197280	processed_pseudogene	744	tslNA	False
ENSMUSG00000109805	Gm45886	ENSMUST00000148141	processed_transcript	342	tsl5	False
ENSMUSG00000100915	Gm29321	ENSMUST00000188015	lincRNA	438	tsl5	False
ENSMUSG00000090942	F830016B08Rik	ENSMUST00000171297	protein_coding	3297	tsl1	True
ENSMUSG00000041886	Macc1	ENSMUST00000222058	protein_coding	4193	tsl5	False
ENSMUSG00000100915	Gm29321	ENSMUST00000188832	lincRNA	622	tsl5	False
ENSMUSG00000039063	Echdc3	ENSMUST00000042658	protein_coding	1851	tsl1	True
ENSMUSG00000112240	Gm48310	ENSMUST00000219169	processed_pseudogene	475	tslNA	False
ENSMUSG00000109650	Gm45448	ENSMUST00000211739	processed_pseudogene	209	tslNA	False
ENSMUSG00000105128	Gm42870	ENSMUST00000199355	TEC	3470	tslNA	False
ENSMUSG00000118361	Gm50237	ENSMUST00000238180	lincRNA	466		False
ENSMUSG00000062661	Ncs1	ENSMUST00000000199	protein_coding	4653	tsl1	True
ENSMUSG00000041886	Macc1	ENSMUST00000221866	protein_coding	6937	tsl5	False
ENSMUSG00000039063	Echdc3	ENSMUST00000132810	processed_transcript	769	tsl2	False
ENSMUSG00000107217	4930524B17Rik	ENSMUST00000200755	lincRNA	1870	tsl1	True
ENSMUSG00000091924	Vmn1r185	ENSMUST00000228467	protein_coding	6915		False
ENSMUSG00000107956	Speer9-ps1	ENSMUST00000203447	lincRNA	775	tsl1	True
ENSMUSG00000039063	Echdc3	ENSMUST00000114941	retained_intron	818	tsl2	False
ENSMUSG00000107240	Gm43231	ENSMUST00000202960	TEC	2258	tslNA	False
ENSMUSG00000091924	Vmn1r185	ENSMUST00000227479	protein_coding	6525		False
ENSMUSG00000092168	Gm9075	ENSMUST00000168738	unprocessed_pseudogene	794	tslNA	False
ENSMUSG00000041886	Macc1	ENSMUST00000048880	protein_coding	3818	tsl5	False
ENSMUSG00000031633	Slc25a4	ENSMUST00000034049	protein_coding	1925	tsl1	True
ENSMUSG00000091924	Vmn1r185	ENSMUST00000228367	protein_coding	6982		False
ENSMUSG00000087485	Gm13383	ENSMUST00000131190	lincRNA	1171	tsl1	True
ENSMUSG00000062661	Ncs1	ENSMUST00000150670	nonsense_mediated_decay	498	tsl5	False
ENSMUSG00000118413	Gm29708	ENSMUST00000238625	processed_pseudogene	946		False
ENSMUSG00000091924	Vmn1r185	ENSMUST00000228004	protein_coding	5682		False
ENSMUSG00000031633	Slc25a4	ENSMUST00000155986	retained_intron	1275	tsl1	True
ENSMUSG00000113192	Gm18032	ENSMUST00000222541	processed_pseudogene	538	tslNA	False
ENSMUSG00000020635	Fkbp1b	ENSMUST00000020964	protein_coding	976	tsl1	True
ENSMUSG00000091924	Vmn1r185	ENSMUST00000227695	protein_coding	5292		False
ENSMUSG00000021456	Fbp2	ENSMUST00000021907	protein_coding	1354	tsl1	True
ENSMUSG00000082648	Gm11366	ENSMUST00000119279	processed_pseudogene	429	tslNA	False
ENSMUSG00000038663	Fsd2	ENSMUST00000042318	protein_coding	3985	tsl2	False
ENSMUSG00000106885	Eif3s6-ps4	ENSMUST00000202873	processed_pseudogene	1388	tslNA	False
ENSMUSG00000098947	V1rg10	ENSMUST00000183378	polymorphic_pseudogene	937	tslNA	False
ENSMUSG00000020635	Fkbp1b	ENSMUST00000219880	protein_coding	246	tsl1	True
ENSMUSG00000091924	Vmn1r185	ENSMUST00000228133	protein_coding	5749		False
ENSMUSG00000087125	A230108P19Rik	ENSMUST00000151782	antisense	2500	tsl1	True
ENSMUSG00000021456	Fbp2	ENSMUST00000222000	processed_transcript	371	tsl3	False
ENSMUSG00000090577	Gm3027	ENSMUST00000167579	unprocessed_pseudogene	451	tslNA	False
ENSMUSG00000038732	Mboat1	ENSMUST00000153269	processed_transcript	854	tsl1	True
ENSMUSG00000091924	Vmn1r185	ENSMUST00000227264	protein_coding	5589		False
ENSMUSG00000101050	Gm28774	ENSMUST00000187087	lincRNA	1498	tsl1	True
ENSMUSG00000076939	Iglv3	ENSMUST00000103751	IG_V_gene	381	tslNA	False
ENSMUSG00000091924	Vmn1r185	ENSMUST00000228676	protein_coding	5199		False
ENSMUSG00000102968	Gm35070	ENSMUST00000195750	lincRNA	436	tsl5	False
ENSMUSG00000101050	Gm28774	ENSMUST00000188107	lincRNA	437	tsl5	False
ENSMUSG00000038732	Mboat1	ENSMUST00000152798	processed_transcript	928	tsl5	False
ENSMUSG00000091924	Vmn1r185	ENSMUST00000226694	protein_coding	5656		False
ENSMUSG00000102968	Gm35070	ENSMUST00000192589	lincRNA	621	tsl5	False
ENSMUSG00000110250	Gm9077	ENSMUST00000210657	unprocessed_pseudogene	2298	tslNA	False
ENSMUSG00000043448	Gjc2	ENSMUST00000108793	protein_coding	2187	tsl1	True
ENSMUSG00000091924	Vmn1r185	ENSMUST00000227461	protein_coding	5318		False
ENSMUSG00000031489	Adrb3	ENSMUST00000081438	protein_coding	2795	tsl1	True
ENSMUSG00000105722	Gm18187	ENSMUST00000196476	processed_pseudogene	984	tslNA	False
ENSMUSG00000091924	Vmn1r185	ENSMUST00000227411	protein_coding	4928		False
ENSMUSG00000043448	Gjc2	ENSMUST00000108790	protein_coding	2169	tsl1	True
ENSMUSG00000031489	Adrb3	ENSMUST00000121838	protein_coding	1864	tsl1	True
ENSMUSG00000091924	Vmn1r185	ENSMUST00000228633	protein_coding	5385		False
ENSMUSG00000049109	Themis	ENSMUST00000060409	protein_coding	2278	tsl1	True
ENSMUSG00000112146	Gm46210	ENSMUST00000218800	lincRNA	577	tsl3	False
ENSMUSG00000091924	Vmn1r185	ENSMUST00000171039	protein_coding	1144	tslNA	False
ENSMUSG00000103371	Gm35134	ENSMUST00000194086	protein_coding	923	tsl1	True
ENSMUSG00000031489	Adrb3	ENSMUST00000117565	protein_coding	1336	tsl1	True
ENSMUSG00000106586	1700013M08Rik	ENSMUST00000197709	antisense	683	tsl3	False
ENSMUSG00000103489	Gm37998	ENSMUST00000195699	lincRNA	166	tsl5	False
ENSMUSG00000031489	Adrb3	ENSMUST00000211346	processed_transcript	669	tsl3	False
ENSMUSG00000021431	Snrnp48	ENSMUST00000223557	processed_transcript	871		False
ENSMUSG00000089793	Gm16112	ENSMUST00000159075	processed_pseudogene	382	tslNA	False
ENSMUSG00000103796	Gm38094	ENSMUST00000195864	TEC	2978	tslNA	False
ENSMUSG00000074978	Actg-ps1	ENSMUST00000099636	processed_pseudogene	1124	tslNA	False
ENSMUSG00000106586	1700013M08Rik	ENSMUST00000200080	antisense	798	tslNA	False
ENSMUSG00000105766	Gm19666	ENSMUST00000198176	TEC	1893	tslNA	False
ENSMUSG00000094036	Gm6465	ENSMUST00000168154	protein_coding	1098	tsl5	False
ENSMUSG00000049109	Themis	ENSMUST00000056097	protein_coding	5082	tsl1	True
ENSMUSG00000031489	Adrb3	ENSMUST00000209447	processed_transcript	450	tsl3	False
ENSMUSG00000096769	Gm21117	ENSMUST00000185327	protein_coding	925	tsl1	True
ENSMUSG00000090197	Dnaja1-ps	ENSMUST00000162103	processed_pseudogene	642	tslNA	False
ENSMUSG00000096769	Gm21117	ENSMUST00000180133	protein_coding	498	tsl5	False
ENSMUSG00000109674	Gm45470	ENSMUST00000209685	antisense	7044	tsl5	False
ENSMUSG00000102552	Gm21763	ENSMUST00000195140	unprocessed_pseudogene	696	tslNA	False
ENSMUSG00000021431	Snrnp48	ENSMUST00000223814	retained_intron	3740		False
ENSMUSG00000092275	Gm20465	ENSMUST00000174768	lincRNA	1932	tsl1	True
ENSMUSG00000109674	Gm45470	ENSMUST00000210817	antisense	2192	tsl5	False
ENSMUSG00000054753	AU018091	ENSMUST00000205185	processed_transcript	3361	tsl1	True
ENSMUSG00000099793	Gm28775	ENSMUST00000186918	lincRNA	2167	tsl1	True
ENSMUSG00000104426	Gm38369	ENSMUST00000195101	unprocessed_pseudogene	693	tslNA	False
ENSMUSG00000049109	Themis	ENSMUST00000162343	retained_intron	3403	tsl1	True
ENSMUSG00000094612	Olfr491	ENSMUST00000209545	protein_coding	1944	tsl5	False
ENSMUSG00000073152	Gm10475	ENSMUST00000084713	antisense	1796	tsl1	True
ENSMUSG00000107100	Gm18482	ENSMUST00000202405	processed_pseudogene	760	tslNA	False
ENSMUSG00000102304	Gm35843	ENSMUST00000193716	unprocessed_pseudogene	666	tslNA	False
ENSMUSG00000049109	Themis	ENSMUST00000105516	protein_coding	2361	tsl1	True
ENSMUSG00000089910	Gm16113	ENSMUST00000159629	processed_pseudogene	372	tslNA	False
ENSMUSG00000100365	Gm29319	ENSMUST00000188060	unprocessed_pseudogene	696	tslNA	False
ENSMUSG00000094282	Cfap73	ENSMUST00000177908	protein_coding	921	tsl5	False
ENSMUSG00000090226	Gm16110	ENSMUST00000161473	antisense	892	tsl3	False
ENSMUSG00000099985	Gm28317	ENSMUST00000187200	lincRNA	2166	tsl1	True
ENSMUSG00000084211	Gm11949	ENSMUST00000117640	processed_pseudogene	372	tslNA	False
ENSMUSG00000044633	B530045E10Rik	ENSMUST00000189035	lincRNA	3138	tsl1	True
ENSMUSG00000094612	Olfr491	ENSMUST00000214605	protein_coding	2136	tsl2	False
ENSMUSG00000090008	Gm16111	ENSMUST00000162128	processed_pseudogene	285	tslNA	False
ENSMUSG00000060303	Olfr1447	ENSMUST00000216989	protein_coding	2586	tsl5	False
ENSMUSG00000051729	Gm5087	ENSMUST00000060526	lincRNA	1921	tsl2	False
ENSMUSG00000024513	Mbd2	ENSMUST00000074058	protein_coding	1953	tsl1	True
ENSMUSG00000107191	Gm43579	ENSMUST00000202387	antisense	1307	tslNA	False
ENSMUSG00000049109	Themis	ENSMUST00000159927	nonsense_mediated_decay	4827	tsl1	True
ENSMUSG00000106814	Gm43501	ENSMUST00000202513	processed_pseudogene	107	tslNA	False
ENSMUSG00000049109	Themis	ENSMUST00000162202	nonsense_mediated_decay	1252	tsl1	True
ENSMUSG00000060303	Olfr1447	ENSMUST00000071484	protein_coding	1113	tslNA	False
ENSMUSG00000094612	Olfr491	ENSMUST00000053179	protein_coding	933	tslNA	False
ENSMUSG00000049109	Themis	ENSMUST00000161345	protein_coding	636	tsl3	False
ENSMUSG00000044633	B530045E10Rik	ENSMUST00000220146	lincRNA	3244	tsl1	True
ENSMUSG00000079554	Aox2	ENSMUST00000114366	protein_coding	5771	tsl1	True
ENSMUSG00000049109	Themis	ENSMUST00000219119	retained_intron	3461	tslNA	False
ENSMUSG00000044633	B530045E10Rik	ENSMUST00000218725	lincRNA	757	tsl2	False
ENSMUSG00000051729	Gm5087	ENSMUST00000225820	lincRNA	645		False
ENSMUSG00000060303	Olfr1447	ENSMUST00000208343	protein_coding	560	tsl3	False
ENSMUSG00000024513	Mbd2	ENSMUST00000114946	protein_coding	1290	tsl1	True
ENSMUSG00000109497	Olfr492	ENSMUST00000079865	protein_coding	945	tslNA	False
ENSMUSG00000112111	Gm47834	ENSMUST00000218178	processed_pseudogene	463	tslNA	False
ENSMUSG00000109160	4930598N05Rik	ENSMUST00000208997	lincRNA	83	tsl5	False
ENSMUSG00000038732	Mboat1	ENSMUST00000047311	protein_coding	2905	tsl1	True
ENSMUSG00000044633	B530045E10Rik	ENSMUST00000060657	lincRNA	2526	tslNA	False
ENSMUSG00000051729	Gm5087	ENSMUST00000161835	lincRNA	814	tsl2 (assigned to previous version 1)	False
ENSMUSG00000109160	4930598N05Rik	ENSMUST00000207733	lincRNA	675	tsl3	False
ENSMUSG00000024513	Mbd2	ENSMUST00000127260	nonsense_mediated_decay	694	tsl3	False
ENSMUSG00000101853	Gm28627	ENSMUST00000186141	processed_pseudogene	453	tslNA	False
ENSMUSG00000099562	Gm19027	ENSMUST00000187291	processed_pseudogene	1355	tslNA	False
ENSMUSG00000033706	Smyd5	ENSMUST00000045693	protein_coding	2486	tsl1	True
ENSMUSG00000038732	Mboat1	ENSMUST00000220870	processed_transcript	652	tsl3	False
ENSMUSG00000051729	Gm5087	ENSMUST00000140967	bidirectional_promoter_lncRNA	959	tsl1	True
ENSMUSG00000024513	Mbd2	ENSMUST00000133889	retained_intron	755	tsl2	False
ENSMUSG00000109160	4930598N05Rik	ENSMUST00000207048	lincRNA	550	tsl5	False
ENSMUSG00000024513	Mbd2	ENSMUST00000128555	retained_intron	494	tsl2	False
ENSMUSG00000083548	Gm11514	ENSMUST00000117670	processed_pseudogene	432	tslNA	False
ENSMUSG00000109160	4930598N05Rik	ENSMUST00000207631	processed_transcript	594	tsl5	False
ENSMUSG00000038732	Mboat1	ENSMUST00000222095	processed_transcript	932	tsl3	False
ENSMUSG00000109160	4930598N05Rik	ENSMUST00000208693	lincRNA	873	tsl1	True
ENSMUSG00000038213	Tapbpl	ENSMUST00000043422	protein_coding	2352	tsl1	True
ENSMUSG00000109160	4930598N05Rik	ENSMUST00000207288	processed_transcript	582	tsl5	False
ENSMUSG00000109160	4930598N05Rik	ENSMUST00000208935	processed_transcript	1370	tsl5	False
ENSMUSG00000033706	Smyd5	ENSMUST00000152218	retained_intron	704	tsl2	False
ENSMUSG00000090665	Gad1-ps	ENSMUST00000167243	processed_pseudogene	1776	tslNA	False
ENSMUSG00000112074	Gm48278	ENSMUST00000219020	lincRNA	1474	tsl5	False
ENSMUSG00000033706	Smyd5	ENSMUST00000204615	retained_intron	746	tslNA	False
ENSMUSG00000004069	Dnaja3	ENSMUST00000144815	processed_transcript	487	tsl3	False
ENSMUSG00000112406	4921515L22Rik	ENSMUST00000218993	antisense	1537	tsl1	True
ENSMUSG00000118578	AL845275.1	ENSMUST00000238876	protein_coding	818		False
ENSMUSG00000033706	Smyd5	ENSMUST00000204428	retained_intron	2812	tslNA	False
ENSMUSG00000034031	Ccdc182	ENSMUST00000037268	protein_coding	1204	tslNA	False
ENSMUSG00000062519	Zfp398	ENSMUST00000146202	retained_intron	3656	tsl1	True
ENSMUSG00000112265	Gm34983	ENSMUST00000220432	lincRNA	494	tsl3	False
ENSMUSG00000108973	Gm44555	ENSMUST00000209008	processed_pseudogene	148	tslNA	False
ENSMUSG00000112713	Gm48281	ENSMUST00000217707	lincRNA	716	tsl5	False
ENSMUSG00000085716	Gm13388	ENSMUST00000126659	antisense	425	tsl3	False
ENSMUSG00000112060	Gm48279	ENSMUST00000219242	lincRNA	820	tsl5	False
ENSMUSG00000112265	Gm34983	ENSMUST00000219484	lincRNA	396	tsl3	False
