Target_genes	Gata6|Average	SRX20580007|Brown_adipose_tissue	SRX16736232|Embryoid_Bodies	SRX16736233|Embryoid_Bodies	SRX6755626|ES_cells	SRX6755627|ES_cells	SRX6755635|ES_cells	SRX6755636|ES_cells	SRX738315|Keratinocytes	SRX738316|Keratinocytes	SRX5198497|Lung	SRX5198498|Lung	SRX547826|MEF	SRX547827|MEF	SRX1041624|XEN_cells	SRX1041626|XEN_cells	SRX16736236|XEN_cells	SRX16736237|XEN_cells	STRING
Syt8	208.117647	0	0	0	0	0	0	0	1146	1572	295	525	0	0	0	0	0	0	0
Spink4	195.294118	0	354	496	0	0	0	0	702	890	0	0	569	309	0	0	0	0	0
Rwdd2b	193.588235	0	1298	535	0	0	0	0	0	292	160	109	0	0	0	0	636	261	0
Asmt	192.411765	0	370	498	0	0	0	0	0	116	234	436	523	508	173	286	127	0	0
Spty2d1	187.529412	791	172	207	0	0	0	0	637	1149	0	0	232	0	0	0	0	0	0
Pou5f1	186.529412	0	319	369	0	0	0	0	0	0	0	0	1497	986	0	0	0	0	0
Slc25a23	185.882353	647	0	127	0	0	0	0	163	170	1000	709	253	0	0	0	91	0	0
Crb3	185.882353	647	0	127	0	0	0	0	163	170	1000	709	253	0	0	0	91	0	0
Ncaph2	184.882353	0	0	0	0	0	0	0	0	0	0	0	1657	1255	0	0	231	0	0
Lmf2	184.882353	0	0	0	0	0	0	0	0	0	0	0	1657	1255	0	0	231	0	0
Ube2h	182.882353	237	0	0	0	0	0	0	1316	1408	0	0	0	0	0	148	0	0	0
Islr	178.470588	0	0	0	426	339	772	1106	0	0	202	189	0	0	0	0	0	0	0
Rpp25	178.411765	0	0	0	0	0	0	0	490	796	294	177	658	417	0	201	0	0	0
Scrn2	178.294118	457	874	1095	0	0	0	0	208	397	0	0	0	0	0	0	0	0	0
Plek2	177.823529	0	0	0	0	0	0	0	1187	1836	0	0	0	0	0	0	0	0	0
C3ar1	177.470588	0	0	0	0	0	0	0	539	1064	307	228	389	255	0	235	0	0	0
Arid1a	177.470588	341	0	0	0	0	0	0	480	760	588	355	207	125	0	161	0	0	0
Pgk1	164.470588	0	0	0	639	429	616	614	0	0	0	0	267	231	0	0	0	0	0
Pik3r2	164.000000	325	0	0	0	0	0	0	985	1222	256	0	0	0	0	0	0	0	0
Sprr2a2	163.117647	0	0	0	0	0	0	0	700	747	449	408	172	122	0	0	175	0	0
Sprr2a1	163.117647	0	0	0	0	0	0	0	700	747	449	408	172	122	0	0	175	0	0
Atg4d	161.823529	401	0	0	0	0	0	0	582	646	351	0	405	366	0	0	0	0	0
Sv2b	161.588235	0	0	0	558	441	754	994	0	0	0	0	0	0	0	0	0	0	0
Rab8b	159.764706	0	264	100	565	443	629	715	0	0	0	0	0	0	0	0	0	0	0
Oasl1	159.058824	0	0	0	469	416	533	607	288	206	0	0	0	185	0	0	0	0	0
Foxa2	155.588235	0	1019	718	0	0	0	0	0	0	0	0	461	283	0	0	164	0	0
Fbxo11	153.235294	593	0	0	0	0	0	0	374	391	556	218	374	99	0	0	0	0	0
Xpo6	151.529412	0	177	274	0	0	0	0	231	390	0	0	730	774	0	0	0	0	0
Fbln2	145.470588	0	0	0	0	0	0	0	679	770	444	580	0	0	0	0	0	0	0
Bahcc1	145.352941	563	0	154	0	0	0	0	788	827	0	139	0	0	0	0	0	0	0
Wbp1l	145.235294	0	0	0	0	0	0	0	817	1064	0	0	352	236	0	0	0	0	0
Gm4981	142.529412	589	170	213	0	0	0	0	0	0	293	437	195	126	150	250	0	0	0
Six1	142.058824	0	705	268	0	0	0	0	0	0	0	0	309	334	0	0	652	147	0
Abhd6	140.117647	0	201	188	0	0	0	204	316	385	396	478	0	214	0	0	0	0	0
Tedc2	140.058824	217	121	0	0	0	0	0	212	364	0	0	828	508	0	0	131	0	0
Ajuba	139.882353	0	0	132	0	0	0	0	262	344	0	0	1005	635	0	0	0	0	0
Sde2	139.000000	421	0	109	0	0	0	0	342	587	271	0	476	157	0	0	0	0	0
Kng1	136.882353	0	0	0	367	373	714	873	0	0	0	0	0	0	0	0	0	0	0
Gdpd1	136.529412	0	0	0	0	0	0	0	296	421	370	0	523	344	0	367	0	0	0
Atf3	136.235294	241	0	0	0	0	0	0	413	338	383	275	497	169	0	0	0	0	0
Olfr140	134.529412	0	1336	267	0	0	0	0	0	0	0	0	0	0	0	0	684	0	0
Mrps23	134.529412	0	1222	783	0	0	0	0	0	0	0	0	150	132	0	0	0	0	0
Ticam1	134.058824	0	0	0	0	0	0	0	607	502	147	0	369	306	0	191	157	0	0
Gata6	133.647059	179	219	175	0	0	0	0	134	262	0	0	800	503	0	0	0	0	0
Akr1c13	133.529412	0	0	0	0	0	0	0	0	0	0	0	634	415	0	0	1020	201	0
Mrps17	132.882353	176	0	0	0	0	0	0	713	937	251	182	0	0	0	0	0	0	0
1810058I24Rik	132.882353	0	0	0	0	0	0	0	750	857	116	194	122	220	0	0	0	0	0
Noct	132.294118	0	0	0	0	0	0	0	728	754	397	370	0	0	0	0	0	0	0
Bod1	132.294118	0	0	0	0	0	0	0	0	107	522	685	562	373	0	0	0	0	0
Paox	131.000000	0	0	0	0	0	0	0	374	604	243	242	292	321	0	0	151	0	0
Krt15	129.823529	0	0	0	0	0	0	0	940	1267	0	0	0	0	0	0	0	0	0
Efcab2	129.529412	0	357	96	0	0	0	0	0	0	0	0	729	433	0	264	323	0	0
Runx1t1	128.941176	0	514	541	0	0	0	0	0	0	0	0	652	389	0	0	96	0	0
Zfp868	128.529412	0	0	0	0	0	0	0	0	0	0	0	1291	894	0	0	0	0	0
Tox2	128.000000	0	0	0	0	0	0	0	849	1327	0	0	0	0	0	0	0	0	0
Hrg	127.411765	0	812	531	0	0	0	0	0	0	0	0	0	0	0	0	823	0	0
Serpinh1	127.117647	0	0	0	0	0	0	0	0	0	0	0	1208	745	0	208	0	0	0
Rhof	126.352941	139	132	404	0	0	0	0	218	340	0	0	513	402	0	0	0	0	0
Prox1	125.882353	0	1084	299	0	0	0	0	0	0	0	0	0	0	0	0	757	0	0
Psmg3	125.764706	0	0	0	0	0	0	0	170	153	0	0	1127	688	0	0	0	0	0
Grk6	124.352941	0	0	0	0	0	0	0	87	270	0	0	994	541	0	222	0	0	0
Akr1b8	123.058824	0	0	0	0	0	0	0	514	987	0	0	256	195	0	140	0	0	0
Lrp4	122.705882	0	0	0	0	0	0	0	254	366	0	0	835	631	0	0	0	0	0
Mon1b	122.058824	391	0	0	0	0	0	0	357	658	0	106	144	165	0	254	0	0	0
Cd59a	121.470588	0	219	0	0	0	0	0	0	0	0	0	791	561	0	309	185	0	0
Sprr2a3	120.941176	0	0	0	0	0	0	0	813	958	0	0	99	186	0	0	0	0	0
Tmpo	120.352941	515	0	0	0	0	0	0	432	468	214	120	297	0	0	0	0	0	0
Myh4	120.117647	0	0	0	0	0	0	0	648	1014	0	0	267	113	0	0	0	0	0
Guca2a	120.000000	0	0	0	0	0	0	0	654	851	120	0	415	0	0	0	0	0	0
Cox7a1	119.647059	0	0	0	0	0	0	0	446	593	0	0	533	462	0	0	0	0	0
Iqgap1	118.647059	0	564	0	0	0	0	0	0	0	0	0	862	591	0	0	0	0	0
Dnajb6	118.470588	174	0	0	0	0	0	0	578	876	135	0	251	0	0	0	0	0	0
Ccdc33	118.058824	0	1185	822	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Zfpm1	116.882353	137	0	0	0	0	0	0	232	230	0	0	812	576	0	0	0	0	0
Glipr1	116.000000	0	0	0	0	0	0	0	451	728	160	177	216	0	0	0	240	0	0
Dynll2	113.352941	0	0	0	0	0	0	0	350	445	0	0	624	508	0	0	0	0	0
Arl4d	113.176471	0	990	332	0	0	0	0	0	0	0	0	203	221	0	0	178	0	0
Cdca7	112.411765	0	581	495	0	0	0	0	0	0	0	0	210	257	0	0	368	0	0
Dynap	112.235294	0	840	263	0	0	0	0	214	439	0	0	0	0	0	0	152	0	0
Stx5a	112.058824	0	0	0	0	0	0	0	0	116	0	0	845	555	0	0	389	0	0
1700092M07Rik	112.058824	0	0	0	0	0	0	0	0	116	0	0	845	555	0	0	389	0	0
Irgc1	111.882353	0	0	0	0	0	0	0	723	1046	0	0	133	0	0	0	0	0	0
E2f2	111.470588	0	0	0	0	0	0	0	247	233	195	0	820	400	0	0	0	0	0
Kifc3	111.176471	0	0	0	0	0	0	0	121	214	468	716	203	168	0	0	0	0	0
Zfp282	110.411765	0	0	0	0	0	0	0	520	1022	0	0	238	97	0	0	0	0	0
Lbr	109.235294	0	473	574	0	0	0	0	96	272	0	0	229	213	0	0	0	0	0
Add2	109.176471	0	0	0	0	0	0	0	635	1221	0	0	0	0	0	0	0	0	0
Top1	108.882353	0	297	0	0	0	0	0	0	0	0	0	819	461	0	0	274	0	0
Siglec15	107.705882	0	0	0	0	0	0	0	303	403	0	0	552	573	0	0	0	0	0
Calm2	107.529412	838	0	0	0	0	0	0	476	514	0	0	0	0	0	0	0	0	0
Sh3tc1	107.352941	0	0	0	0	0	0	0	438	473	278	277	248	111	0	0	0	0	0
Pde4dip	107.294118	0	0	0	0	0	0	0	0	0	0	0	1207	617	0	0	0	0	0
Dok4	105.588235	0	0	0	0	0	0	0	0	228	0	0	958	609	0	0	0	0	0
Cpox	105.529412	111	0	0	0	0	0	0	397	701	0	0	462	123	0	0	0	0	0
Klrb1b	104.882353	0	0	0	0	0	0	0	0	0	0	0	955	828	0	0	0	0	0
Esrp2	104.352941	0	173	0	0	0	0	0	327	532	403	339	0	0	0	0	0	0	0
Gata2	104.058824	0	0	0	0	0	0	0	182	233	0	0	816	538	0	0	0	0	0
Srsf1	103.529412	290	0	0	0	0	0	0	360	492	0	0	182	0	0	311	125	0	0
Bcl2l13	103.294118	0	0	0	0	0	0	0	384	517	0	0	463	392	0	0	0	0	0
Fhod1	103.058824	0	0	0	0	0	0	0	0	148	0	0	992	612	0	0	0	0	0
Pcgf1	102.588235	0	131	0	0	0	0	0	746	399	142	0	191	135	0	0	0	0	0
Krt8	101.882353	0	0	242	0	0	0	0	609	881	0	0	0	0	0	0	0	0	0
Nup35	100.529412	333	0	0	0	0	0	0	565	811	0	0	0	0	0	0	0	0	0
Krt18	99.882353	0	375	316	0	0	0	0	0	0	426	455	0	0	0	126	0	0	0
Dux	99.058824	289	170	213	0	0	0	0	0	0	293	437	144	0	0	138	0	0	0
Acsl5	98.470588	0	0	0	0	0	0	0	282	319	0	0	568	505	0	0	0	0	0
Setd5	98.411765	325	0	0	0	0	0	0	426	583	156	0	183	0	0	0	0	0	0
B3gnt9	98.411765	0	0	0	0	0	0	0	628	1045	0	0	0	0	0	0	0	0	0
Fgfr3	98.176471	0	149	0	0	0	0	0	240	531	0	0	485	83	0	0	181	0	0
Uhrf1bp1l	97.000000	0	0	293	0	0	0	0	228	314	0	0	495	319	0	0	0	0	0
Eif4ebp2	96.823529	0	0	0	0	0	0	0	164	383	959	140	0	0	0	0	0	0	0
Cubn	96.235294	0	0	0	0	0	0	0	0	0	0	0	727	588	0	0	321	0	0
Smad2	95.705882	0	137	387	0	0	0	0	0	0	0	0	748	355	0	0	0	0	0
Klhl26	95.529412	0	0	0	0	0	0	0	0	0	0	0	971	653	0	0	0	0	0
Zfp503	94.764706	0	375	579	0	0	0	0	0	0	0	0	461	196	0	0	0	0	0
Sppl3	94.764706	0	0	0	0	0	0	0	748	863	0	0	0	0	0	0	0	0	0
Map4k4	94.117647	0	527	715	0	0	0	0	0	0	0	0	194	164	0	0	0	0	0
Slc6a2	93.882353	0	0	0	0	0	0	0	647	949	0	0	0	0	0	0	0	0	0
Nsun2	93.529412	0	0	0	0	0	0	0	153	177	0	0	825	435	0	0	0	0	0
Ablim1	93.470588	0	0	97	0	0	0	0	311	497	208	0	300	176	0	0	0	0	0
Zfp36	93.176471	0	0	0	0	0	0	0	520	564	0	0	345	155	0	0	0	0	0
Rnf213	92.588235	0	825	749	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Ints2	92.117647	251	0	0	0	0	0	0	579	736	0	0	0	0	0	0	0	0	0
Fermt2	91.764706	0	0	0	0	0	0	0	0	0	0	0	818	742	0	0	0	0	0
Stam	91.588235	0	0	0	0	0	0	0	679	559	0	0	164	155	0	0	0	0	0
Nt5c3	91.294118	0	0	239	0	0	0	0	343	360	0	0	346	264	0	0	0	0	0
Fbxo42	91.294118	221	0	0	0	0	0	0	228	338	0	0	497	268	0	0	0	0	0
Cdc6	91.117647	0	0	0	0	0	0	0	449	817	0	157	0	0	0	0	126	0	0
Fam234a	90.941176	0	0	0	0	0	0	0	98	0	0	0	834	614	0	0	0	0	0
Map3k2	90.705882	0	0	0	0	0	0	0	587	820	0	0	0	135	0	0	0	0	0
Lgals6	90.588235	0	0	0	0	0	0	0	634	906	0	0	0	0	0	0	0	0	0
Lgals4	90.588235	0	0	0	0	0	0	0	634	906	0	0	0	0	0	0	0	0	0
B3gnt3	90.411765	0	0	0	0	0	0	0	503	609	198	0	227	0	0	0	0	0	0
Rdm1	90.235294	589	0	0	0	0	0	0	351	229	0	0	221	144	0	0	0	0	0
Man1b1	90.235294	236	0	0	0	0	0	0	485	444	0	0	225	144	0	0	0	0	0
Mvb12b	90.117647	0	0	0	0	0	0	0	0	0	0	0	991	541	0	0	0	0	0
Gm11213	90.000000	246	0	0	0	0	0	0	0	0	565	369	350	0	0	0	0	0	0
Lrpap1	89.588235	0	391	290	0	0	0	0	0	0	0	0	390	333	0	0	119	0	0
Krt19	89.588235	0	0	0	0	0	0	0	508	698	115	202	0	0	0	0	0	0	0
Tmem229a	89.352941	0	0	0	0	0	0	0	0	0	1096	423	0	0	0	0	0	0	0
Olfr455	89.352941	0	0	0	0	0	0	0	0	0	0	0	920	599	0	0	0	0	0
Alox12	89.235294	0	0	0	0	0	0	0	480	822	0	0	101	114	0	0	0	0	0
Ublcp1	89.176471	0	0	0	0	0	0	0	413	598	0	0	335	170	0	0	0	0	0
Traf4	89.117647	0	0	0	0	0	0	0	207	378	0	0	541	389	0	0	0	0	0
Smurf1	88.941176	0	0	0	0	0	0	0	443	876	193	0	0	0	0	0	0	0	0
Vps37c	88.882353	0	536	0	0	0	0	0	0	0	0	0	257	150	0	0	568	0	0
Olfr576	88.647059	0	875	210	0	0	0	0	0	0	0	0	0	0	0	0	422	0	0
Pkhd1l1	88.411765	0	723	780	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Chst15	88.176471	0	1029	470	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Faah	87.941176	0	0	0	0	0	0	0	153	0	141	106	580	515	0	0	0	0	0
Ugt1a6a	87.823529	0	0	0	0	0	0	0	527	536	0	0	267	163	0	0	0	0	0
Cln8	87.764706	0	0	0	0	0	0	0	132	129	0	0	646	585	0	0	0	0	0
Zfp729b	87.588235	0	0	0	0	0	0	0	0	0	0	0	882	607	0	0	0	0	0
Dnase2b	87.411765	0	0	0	0	0	0	0	0	0	0	0	888	598	0	0	0	0	0
Cish	87.411765	0	0	0	0	0	0	0	225	305	0	0	639	317	0	0	0	0	0
Zfand2a	86.764706	0	0	0	0	0	0	0	459	722	0	0	156	138	0	0	0	0	0
Ano2	86.352941	0	91	0	0	0	0	0	0	0	0	0	863	514	0	0	0	0	0
Tnnt3	86.176471	0	125	118	0	0	0	0	655	567	0	0	0	0	0	0	0	0	0
Sh3bp4	86.117647	0	407	321	0	0	0	0	85	197	0	0	189	265	0	0	0	0	0
Rabgef1	85.941176	0	0	0	0	0	0	0	536	728	0	0	87	110	0	0	0	0	0
Sall4	85.823529	0	347	396	0	0	0	0	0	0	0	0	294	301	0	0	121	0	0
Srgap1	85.588235	0	0	0	0	0	0	0	0	0	0	0	874	581	0	0	0	0	0
Nr2e3	85.411765	0	0	0	0	0	0	0	386	315	0	0	414	337	0	0	0	0	0
Sox12	85.235294	1449	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Rarb	85.235294	0	482	497	0	0	0	0	0	0	0	0	0	134	0	0	336	0	0
Suox	85.117647	0	0	0	0	0	0	0	202	374	0	0	499	372	0	0	0	0	0
Rraga	84.294118	0	0	0	0	0	0	0	118	178	0	0	615	522	0	0	0	0	0
Ugt1a6b	83.647059	0	0	0	0	0	0	0	463	484	0	0	243	232	0	0	0	0	0
Lsm4	83.294118	420	0	0	0	0	0	0	328	540	128	0	0	0	0	0	0	0	0
Ccng2	82.823529	383	0	0	0	0	0	0	378	355	129	0	163	0	0	0	0	0	0
Wdr74	82.352941	0	0	0	0	0	0	0	0	0	0	0	845	555	0	0	0	0	0
Asxl3	82.294118	0	0	0	0	0	0	0	0	0	0	0	776	623	0	0	0	0	0
Cask	82.176471	0	455	330	0	0	0	0	209	264	0	0	0	0	0	0	139	0	0
Zfp609	81.882353	192	0	0	0	0	0	0	251	301	0	0	354	294	0	0	0	0	0
Mrpl21	81.705882	0	0	0	0	0	0	0	0	0	0	0	818	571	0	0	0	0	0
Ighmbp2	81.705882	0	0	0	0	0	0	0	0	0	0	0	818	571	0	0	0	0	0
Frs2	81.588235	0	0	0	0	0	0	0	545	655	0	0	187	0	0	0	0	0	0
Tmie	81.235294	0	0	0	0	0	0	0	0	0	0	0	896	485	0	0	0	0	0
Als2cl	81.235294	0	0	0	0	0	0	0	0	0	0	0	896	485	0	0	0	0	0
Cdh12	80.941176	0	0	0	294	268	427	387	0	0	0	0	0	0	0	0	0	0	0
9230019H11Rik	80.882353	0	0	149	0	0	0	0	0	0	225	311	442	248	0	0	0	0	0
Arhgef3	80.470588	0	0	0	0	0	0	0	138	276	0	0	675	279	0	0	0	0	0
Fam83d	80.000000	0	316	0	0	0	0	0	0	0	0	0	320	415	0	0	309	0	0
Npm3	79.823529	0	259	142	0	0	0	0	0	0	0	0	522	262	0	0	172	0	0
Fgf8	79.823529	0	259	142	0	0	0	0	0	0	0	0	522	262	0	0	172	0	0
4931408C20Rik	78.882353	454	0	0	0	0	0	0	0	0	0	0	276	404	0	207	0	0	0
Rubcn	78.764706	0	0	0	0	0	0	0	0	0	854	485	0	0	0	0	0	0	0
Btn2a2	78.764706	0	0	189	0	0	0	0	0	0	0	0	492	465	0	0	193	0	0
Sp5	78.411765	0	767	566	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Emb	78.235294	0	728	158	0	0	0	0	0	0	0	0	0	0	0	0	444	0	0
Lims1	78.117647	0	0	0	0	0	0	0	537	791	0	0	0	0	0	0	0	0	0
Erc1	77.294118	0	336	641	0	0	0	0	115	222	0	0	0	0	0	0	0	0	0
Tigar	77.000000	0	0	0	0	0	0	0	241	255	0	0	524	289	0	0	0	0	0
Etfa	77.000000	0	0	0	215	173	383	538	0	0	0	0	0	0	0	0	0	0	0
Pde4b	76.235294	0	0	0	0	0	0	0	377	343	0	0	208	154	0	0	214	0	0
Mta2	76.058824	0	0	0	0	0	0	0	661	632	0	0	0	0	0	0	0	0	0
Tprg	75.764706	0	0	0	0	0	0	0	263	311	0	0	441	273	0	0	0	0	0
Gramd4	75.529412	0	0	0	0	0	0	0	250	449	0	0	365	220	0	0	0	0	0
Aqp8	75.470588	0	0	188	0	0	0	0	0	0	0	0	949	0	0	0	146	0	0
Rfc2	75.411765	0	0	0	0	0	0	0	388	894	0	0	0	0	0	0	0	0	0
Cdc34	75.176471	0	0	0	0	0	0	0	0	0	0	0	801	477	0	0	0	0	0
Akap6	74.882353	0	0	0	0	0	0	0	335	380	0	0	256	302	0	0	0	0	0
Zfp426	74.764706	318	0	0	0	0	0	0	271	535	147	0	0	0	0	0	0	0	0
Polg	74.411765	0	103	0	0	0	0	0	0	0	0	0	681	481	0	0	0	0	0
Lad1	74.411765	0	0	0	0	0	0	0	177	206	377	173	332	0	0	0	0	0	0
Ctxn2	74.176471	0	0	0	0	0	0	0	0	0	1096	165	0	0	0	0	0	0	0
Smim3	74.117647	0	0	0	0	0	0	0	479	441	0	0	212	128	0	0	0	0	0
Nudc	73.882353	0	0	0	0	0	0	180	0	0	605	471	0	0	0	0	0	0	0
Asb4	73.705882	0	408	0	0	0	0	0	0	0	0	0	251	361	0	0	233	0	0
Dmtn	73.470588	0	745	174	0	0	0	0	0	0	0	0	330	0	0	0	0	0	0
Taldo1	73.176471	0	0	0	0	0	0	0	212	480	0	0	334	218	0	0	0	0	0
Stpg2	73.117647	0	0	0	0	0	0	0	0	0	0	0	782	461	0	0	0	0	0
Fzd8	72.823529	0	640	598	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Zfyve27	72.529412	0	0	0	0	0	0	0	0	190	0	0	762	281	0	0	0	0	0
Insig1	72.529412	236	0	0	0	0	0	0	0	0	0	0	490	507	0	0	0	0	0
Upp1	72.235294	0	208	267	0	0	0	0	120	193	0	0	244	196	0	0	0	0	0
1700024J04Rik	72.235294	0	0	0	0	0	0	0	0	0	0	0	631	597	0	0	0	0	0
Cryzl2	71.352941	0	0	0	0	0	0	0	395	480	0	0	208	130	0	0	0	0	0
Dus2	71.176471	0	0	0	0	0	0	0	465	745	0	0	0	0	0	0	0	0	0
Ddx28	71.176471	0	0	0	0	0	0	0	465	745	0	0	0	0	0	0	0	0	0
Trerf1	71.058824	0	273	0	0	0	0	0	0	0	0	0	593	342	0	0	0	0	0
Tnfaip8	71.058824	0	146	176	0	0	0	0	266	620	0	0	0	0	0	0	0	0	0
Add3	70.823529	0	686	192	0	0	0	0	0	0	0	0	0	0	0	96	230	0	0
Olfr806	70.764706	0	0	185	0	0	0	216	442	360	0	0	0	0	0	0	0	0	0
Hjurp	70.705882	0	0	90	0	0	0	0	0	0	0	0	133	0	0	363	616	0	0
A730008H23Rik	70.705882	0	0	90	0	0	0	0	0	0	0	0	133	0	0	363	616	0	0
Runx1	70.235294	124	0	0	0	0	0	0	154	279	225	131	281	0	0	0	0	0	0
Rbm15	69.529412	0	0	0	0	0	0	0	576	606	0	0	0	0	0	0	0	0	0
Bcar3	69.529412	0	909	203	0	0	0	0	70	0	0	0	0	0	0	0	0	0	0
Pwwp3b	69.411765	0	259	0	0	0	0	0	0	141	0	0	381	243	0	0	156	0	0
Crybg1	69.352941	0	165	138	0	0	0	0	383	493	0	0	0	0	0	0	0	0	0
Alpk3	69.176471	0	319	475	0	0	0	0	0	0	0	0	212	170	0	0	0	0	0
Ccdc50	69.000000	0	0	0	0	0	0	0	122	223	0	0	471	357	0	0	0	0	0
Meis1	68.882353	0	224	594	0	0	0	0	0	0	0	0	0	0	0	144	209	0	0
Gltp	68.470588	0	0	0	0	0	0	0	377	527	0	0	186	74	0	0	0	0	0
Tmx4	68.235294	155	0	0	0	0	0	0	224	313	0	0	287	181	0	0	0	0	0
Krt5	67.941176	0	0	0	0	0	0	0	429	726	0	0	0	0	0	0	0	0	0
Ahctf1	67.941176	105	0	0	0	0	0	0	0	93	0	0	421	348	0	0	188	0	0
Hspb2	67.647059	0	0	0	0	0	0	0	204	310	0	0	350	286	0	0	0	0	0
Cryab	67.647059	0	0	0	0	0	0	0	204	310	0	0	350	286	0	0	0	0	0
Smad5	67.529412	226	0	0	0	0	0	0	199	312	209	0	202	0	0	0	0	0	0
Tfip11	67.411765	0	0	0	0	0	0	0	537	609	0	0	0	0	0	0	0	0	0
Gm4307	67.294118	753	0	0	0	0	0	0	0	0	0	0	168	0	0	223	0	0	0
Gm4305	67.294118	753	0	0	0	0	0	0	0	0	0	0	168	0	0	223	0	0	0
Gm4303	67.294118	753	0	0	0	0	0	0	0	0	0	0	168	0	0	223	0	0	0
Cab39	67.294118	0	337	0	0	0	0	0	223	289	0	0	152	143	0	0	0	0	0
Tuba1b	67.000000	0	0	0	0	0	0	0	0	0	823	316	0	0	0	0	0	0	0
Zkscan1	66.941176	0	398	740	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Mucl3	66.882353	0	0	0	0	0	0	0	234	377	0	206	136	184	0	0	0	0	0
Fktn	66.882353	0	0	0	0	0	0	0	0	155	0	0	570	412	0	0	0	0	0
Robo2	66.705882	0	0	0	0	0	0	0	0	0	0	0	610	524	0	0	0	0	0
Rab17	66.470588	0	0	0	0	0	0	0	0	142	0	0	317	204	0	182	285	0	0
Hnrnph1	66.235294	301	0	0	0	0	0	0	285	282	0	0	114	0	0	144	0	0	0
Wsb2	66.176471	0	0	0	0	0	0	0	497	628	0	0	0	0	0	0	0	0	0
Il6	66.117647	0	0	0	0	0	0	0	0	0	0	0	634	490	0	0	0	0	0
Gcnt2	66.058824	0	0	0	0	0	0	0	307	381	0	0	204	231	0	0	0	0	0
Rgs8	65.941176	0	355	0	0	0	0	0	0	0	0	0	213	326	0	0	227	0	0
Rdh12	65.941176	0	0	0	0	0	0	0	473	648	0	0	0	0	0	0	0	0	0
Galk2	65.882353	344	0	0	0	0	0	0	360	416	0	0	0	0	0	0	0	0	0
Cops2	65.882353	344	0	0	0	0	0	0	360	416	0	0	0	0	0	0	0	0	0
Mdm4	65.823529	0	534	585	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Ptpra	65.705882	0	0	0	0	0	0	0	244	609	0	0	264	0	0	0	0	0	0
Zfp995	65.647059	0	0	0	0	0	0	0	0	0	0	0	750	366	0	0	0	0	0
Ap5s1	65.647059	257	0	0	0	0	0	0	445	414	0	0	0	0	0	0	0	0	0
