Target_genes	Maz|Average	SRX188821|CH12	SRX13440023|ES_cells	SRX13440024|ES_cells	SRX13440027|ES_cells	SRX13440028|ES_cells	SRX13440031|ES_cells	SRX13440032|ES_cells	SRX13476144|ES_cells	SRX13476145|ES_cells	SRX13476146|ES_cells	SRX13476150|ES_cells	SRX20088447|ES_cells	SRX20088448|ES_cells	SRX20088449|ES_cells	SRX20088450|ES_cells	SRX20088485|ES_cells	SRX20088486|ES_cells	SRX20088487|ES_cells	SRX20088488|ES_cells	SRX20088489|ES_cells	SRX20088490|ES_cells	SRX20088491|ES_cells	SRX20088492|ES_cells	SRX188810|MEL	SRX13440025|mESC_derived_neural_cells	SRX13440026|mESC_derived_neural_cells	SRX13440029|mESC_derived_neural_cells	SRX13440030|mESC_derived_neural_cells	SRX13440033|mESC_derived_neural_cells	SRX13476147|mESC_derived_neural_cells	SRX13476148|mESC_derived_neural_cells	SRX13476149|mESC_derived_neural_cells	SRX13476151|mESC_derived_neural_cells	SRX15939544|NIH/3T3	SRX15939566|NIH/3T3	STRING
St3gal2	519.114286	1680	0	0	406	551	396	771	0	0	0	480	1390	515	1208	83	173	745	295	679	0	0	0	0	1564	545	110	1273	1826	574	0	0	0	757	769	1379	0
Rcan1	485.000000	1452	0	0	174	428	189	352	0	0	0	100	975	356	831	0	335	1139	505	1071	0	0	0	0	1224	0	0	986	1229	365	0	0	0	441	2418	2405	0
Usp12	479.342857	1261	0	0	240	547	406	795	0	0	0	378	976	192	780	0	193	731	592	865	0	0	0	0	1248	291	0	1167	1372	685	0	0	0	696	1508	1854	0
Hspe1	473.342857	906	0	87	333	577	474	782	0	0	0	465	842	179	576	0	166	941	224	733	0	0	0	0	654	514	155	1073	1735	661	0	0	0	955	1691	1844	0
Hspd1	473.342857	906	0	87	333	577	474	782	0	0	0	465	842	179	576	0	166	941	224	733	0	0	0	0	654	514	155	1073	1735	661	0	0	0	955	1691	1844	0
Taf9	466.228571	2028	0	0	0	395	213	464	0	0	0	93	991	150	494	0	164	1395	613	1655	0	0	0	0	1650	480	0	1065	1437	482	0	0	0	472	854	1223	0
Rad17	466.228571	2028	0	0	0	395	213	464	0	0	0	93	991	150	494	0	164	1395	613	1655	0	0	0	0	1650	480	0	1065	1437	482	0	0	0	472	854	1223	0
Ak6	466.228571	2028	0	0	0	395	213	464	0	0	0	93	991	150	494	0	164	1395	613	1655	0	0	0	0	1650	480	0	1065	1437	482	0	0	0	472	854	1223	0
Nvl	460.085714	1751	0	0	189	267	197	296	0	0	0	231	1291	440	954	147	142	760	293	809	0	0	0	0	1738	513	76	740	1030	524	0	0	0	414	1570	1731	0
9930021J03Rik	446.057143	2143	0	0	193	523	339	731	0	0	0	278	1175	327	867	0	182	934	377	887	0	0	0	0	1254	339	0	905	1226	514	0	0	0	595	819	1004	0
Mageb3	439.885714	762	0	97	381	840	347	900	0	0	0	219	935	139	801	0	246	561	423	697	0	0	0	0	1142	505	74	1267	1715	559	0	0	0	446	969	1371	0
Ctdspl2	439.885714	762	0	97	381	840	347	900	0	0	0	219	935	139	801	0	246	561	423	697	0	0	0	0	1142	505	74	1267	1715	559	0	0	0	446	969	1371	0
C2cd5	434.628571	1386	0	0	123	352	223	448	0	0	0	348	963	355	859	0	207	830	220	815	0	0	0	0	1175	695	134	1232	1640	571	0	0	0	782	833	1021	0
Vamp4	420.000000	981	0	0	152	542	236	539	0	0	0	288	889	182	891	0	149	912	377	1072	0	0	0	0	1063	637	98	1076	1094	597	0	0	0	651	1020	1254	0
Sv2b	398.200000	0	1194	1298	287	269	670	209	0	0	0	712	0	372	262	316	723	0	693	0	882	280	794	0	0	679	1112	273	375	595	0	1139	0	803	0	0	0
Pelp1	395.857143	1341	0	88	206	543	348	634	0	0	0	348	542	146	319	0	141	686	303	616	0	0	0	0	1481	459	106	1017	1530	496	0	0	0	671	694	1140	0
Celf5	395.400000	1094	0	0	239	575	407	476	0	0	0	186	931	195	675	0	124	668	0	116	0	0	0	0	1539	0	0	1082	1414	416	0	0	0	567	1358	1777	0
Rubcn	394.085714	953	63	0	305	642	401	439	0	0	0	455	629	135	235	0	0	258	78	319	0	0	0	0	940	927	101	852	1615	667	0	0	0	809	1466	1504	0
Fyttd1	394.085714	953	63	0	305	642	401	439	0	0	0	455	629	135	235	0	0	258	78	319	0	0	0	0	940	927	101	852	1615	667	0	0	0	809	1466	1504	0
Znrf1	393.428571	459	0	0	202	448	392	808	0	0	0	294	719	162	854	0	231	600	220	590	0	0	0	0	670	184	0	1050	1273	598	0	0	0	462	1570	1984	0
Gm3448	390.085714	1222	0	112	168	410	325	357	0	0	0	281	755	256	631	0	100	921	314	1177	0	0	0	0	1304	390	112	884	1128	619	0	0	0	480	656	1051	0
Gm3417	390.085714	1222	0	112	168	410	325	357	0	0	0	281	755	256	631	0	100	921	314	1177	0	0	0	0	1304	390	112	884	1128	619	0	0	0	480	656	1051	0
Tcte3	378.828571	1120	0	112	168	410	316	357	0	0	0	266	755	256	631	0	97	921	271	1130	0	0	0	0	1304	323	112	884	1128	511	0	0	0	480	656	1051	0
Sspn	377.971429	445	400	353	417	779	883	743	0	0	0	657	391	0	141	70	602	727	537	678	195	159	158	0	969	305	216	608	715	591	0	0	0	322	392	776	0
Fdxacb1	375.057143	1827	0	0	340	431	347	540	0	0	0	193	723	192	597	0	201	715	316	493	0	0	0	0	1622	224	0	713	1116	286	0	0	0	287	736	1228	0
1110032A03Rik	375.057143	1827	0	0	340	431	347	540	0	0	0	193	723	192	597	0	201	715	316	493	0	0	0	0	1622	224	0	713	1116	286	0	0	0	287	736	1228	0
Mfn2	367.942857	859	0	175	253	694	425	614	0	0	0	643	703	174	529	0	78	455	112	573	0	0	0	0	769	544	95	657	1553	565	0	0	0	1063	710	635	0
Atp2b1	365.685714	839	0	0	239	453	216	823	0	0	0	133	241	0	155	0	184	370	192	504	0	0	0	0	701	414	75	925	1572	472	0	0	0	494	1887	1910	0
Kras	362.142857	646	0	0	0	249	190	447	0	0	0	0	824	264	668	0	84	942	218	754	0	0	0	0	1312	0	0	899	1190	564	0	0	0	561	1177	1686	0
Abhd6	361.114286	415	486	540	232	243	500	226	0	0	0	545	246	0	209	332	691	467	720	410	873	707	945	601	352	353	525	225	0	546	0	0	0	396	451	403	0
Fam98a	359.342857	1408	0	157	199	472	254	569	0	0	0	249	867	183	542	0	103	634	294	514	0	0	0	0	1310	286	0	704	1086	269	0	0	0	280	1068	1129	0
Ccdc85c	355.342857	434	0	0	135	198	137	531	0	0	0	0	1361	461	1369	0	309	840	504	930	0	0	0	0	563	0	0	740	957	242	0	0	0	338	1033	1355	0
Gm3435	352.571429	1076	0	0	149	293	267	357	0	0	0	236	755	256	631	0	72	827	261	1130	0	0	0	0	1304	285	99	884	1128	511	0	0	0	480	587	752	0
9030025P20Rik	352.428571	1222	0	0	106	329	325	317	0	0	0	281	712	246	508	0	100	853	314	1177	0	0	0	0	1131	390	98	857	974	619	0	0	0	404	446	926	0
Ermard	352.000000	1120	0	112	168	410	316	239	0	0	0	266	601	191	505	0	97	921	271	948	0	0	0	0	1229	323	112	802	1033	495	0	0	0	454	656	1051	0
Mtf1	347.600000	1504	0	102	163	214	213	358	0	0	0	225	585	120	602	0	100	320	304	427	0	0	0	0	1365	355	0	608	806	287	0	0	0	462	1378	1668	0
Pdrg1	347.114286	1186	0	80	297	563	302	611	0	0	0	260	763	245	475	0	94	393	0	230	0	0	0	0	1587	258	0	945	1280	501	0	0	0	484	699	896	0
Zfp651	345.114286	0	138	155	316	610	576	588	0	0	0	978	713	89	730	0	0	651	168	546	0	0	0	0	0	541	142	675	864	496	0	0	0	521	1361	1221	0
Homer3	342.285714	943	0	0	245	449	248	698	0	0	0	191	1082	210	766	0	0	226	0	120	0	0	0	0	1104	321	0	1086	1041	362	0	0	0	406	1020	1462	0
Calr	338.742857	925	0	0	119	348	181	386	0	0	0	223	1038	285	695	0	200	860	484	950	0	0	0	0	891	340	0	724	935	391	0	0	0	446	448	987	0
Spink10	331.657143	1319	0	90	202	392	280	472	0	0	0	227	428	102	410	0	84	610	197	297	0	0	0	0	976	320	79	704	1189	423	0	0	0	382	1038	1387	0
Fbxo38	331.657143	1319	0	90	202	392	280	472	0	0	0	227	428	102	410	0	84	610	197	297	0	0	0	0	976	320	79	704	1189	423	0	0	0	382	1038	1387	0
Ube2n	330.514286	727	0	0	275	379	273	559	0	0	0	140	355	69	363	0	183	303	196	304	0	0	0	0	848	161	0	933	1463	337	0	0	0	377	1441	1882	0
Tmem94	328.800000	1662	74	0	174	463	227	362	0	0	0	268	498	210	488	0	95	220	120	259	0	0	0	0	1256	391	0	635	1046	387	0	0	0	705	750	1218	0
Hdgf	328.428571	757	0	0	75	160	170	394	0	0	0	224	844	298	753	0	158	628	258	756	0	0	0	0	855	198	0	559	1027	465	0	0	0	533	992	1391	0
Olfr806	325.971429	622	524	558	201	305	487	268	0	0	0	511	0	0	0	221	732	418	544	437	806	672	852	488	377	301	503	216	276	492	0	0	0	372	226	0	0
Abi2	323.685714	463	0	0	183	650	364	829	0	0	0	545	382	187	649	0	172	458	216	595	0	0	0	0	564	232	0	949	1340	575	0	0	0	552	517	907	0
Mafa	320.742857	1263	0	0	112	454	318	735	0	0	0	164	307	0	368	0	116	427	203	392	0	0	0	0	1136	243	0	1008	1466	419	0	0	0	486	573	1036	0
Jund	317.600000	1157	0	0	209	361	216	602	0	0	0	248	904	189	813	0	0	210	124	229	0	0	0	0	848	250	0	811	1033	391	0	0	0	278	1022	1221	0
Iqcn	317.600000	1157	0	0	209	361	216	602	0	0	0	248	904	189	813	0	0	210	124	229	0	0	0	0	848	250	0	811	1033	391	0	0	0	278	1022	1221	0
Gtf2a2	315.457143	1263	0	78	179	423	185	398	0	0	0	254	484	121	351	0	97	435	251	408	0	0	0	0	1504	290	0	582	982	267	0	0	0	257	993	1239	0
Asxl1	315.457143	277	125	139	473	1084	726	1212	0	0	0	1016	364	0	430	0	137	487	162	361	0	0	0	0	301	510	0	670	1154	462	0	0	0	328	306	317	0
Angel1	313.514286	1585	0	0	0	283	164	266	0	0	0	102	874	178	643	0	163	640	316	820	0	0	0	0	1643	223	0	548	988	132	0	0	0	270	259	876	0
Add1	313.028571	1045	0	0	0	326	309	281	0	0	0	205	535	126	376	0	0	415	117	398	0	0	0	0	1081	287	0	775	1330	272	0	0	0	445	1213	1420	0
Rabgap1l	311.628571	632	95	0	185	594	366	632	0	0	0	379	422	0	219	0	154	410	226	341	0	0	0	0	842	381	0	748	977	432	0	0	0	406	1144	1322	0
Ncdn	311.457143	876	0	0	0	371	362	465	0	0	0	389	584	137	473	0	102	345	158	432	0	0	0	0	833	501	147	684	1239	514	0	0	0	539	742	1008	0
AU040320	311.457143	876	0	0	0	371	362	465	0	0	0	389	584	137	473	0	102	345	158	432	0	0	0	0	833	501	147	684	1239	514	0	0	0	539	742	1008	0
Golga1	309.771429	953	0	95	180	484	351	442	0	0	0	497	608	258	328	0	86	519	142	439	0	0	0	0	864	341	111	700	1004	648	0	0	0	394	627	771	0
Thrap3	309.085714	958	0	0	169	477	301	470	0	0	0	254	734	96	443	0	78	555	151	445	0	0	0	0	848	263	80	463	993	377	0	0	0	360	1016	1287	0
Crtc1	307.914286	639	0	133	197	354	336	550	0	0	0	431	853	214	864	0	106	461	293	502	0	0	0	0	763	352	0	684	854	430	0	0	0	504	514	743	0
Ugp2	305.400000	1286	101	78	157	310	312	330	0	0	0	408	323	143	372	0	0	225	232	356	0	0	0	0	1210	287	0	399	752	442	0	0	0	496	1041	1429	0
Oasl1	305.314286	585	364	253	229	392	296	226	0	0	0	228	366	345	369	469	732	386	417	371	344	560	330	478	363	288	431	677	296	334	0	354	0	203	0	0	0
Vcpip1	302.828571	1444	0	0	100	337	184	445	0	0	0	139	669	229	476	0	0	264	137	238	0	0	0	0	1350	248	0	582	1432	195	0	0	0	447	610	1073	0
Sntb2	301.685714	864	0	0	269	387	227	621	0	0	0	310	549	139	389	0	164	328	234	284	0	0	0	0	683	386	0	1034	1256	476	0	0	0	325	684	950	0
Pou2f2	300.171429	812	0	0	122	453	299	546	0	0	0	299	397	0	267	0	0	502	128	271	0	0	0	0	891	682	182	940	1619	605	0	0	0	709	242	540	0
Zfp740	298.800000	1189	0	0	213	366	275	316	0	0	0	216	583	184	431	0	71	462	0	492	0	0	0	0	1259	261	0	427	903	357	0	0	0	342	882	1229	0
Csad	298.800000	1189	0	0	213	366	275	316	0	0	0	216	583	184	431	0	71	462	0	492	0	0	0	0	1259	261	0	427	903	357	0	0	0	342	882	1229	0
Socs2	297.914286	322	0	0	187	430	199	450	0	0	0	307	458	115	374	0	111	641	244	605	0	0	0	0	969	191	0	808	1219	422	0	0	0	539	699	1137	0
Phf23	297.828571	1191	0	69	145	230	148	309	0	0	0	186	506	147	399	0	104	337	169	463	0	0	0	0	1117	330	0	645	735	370	0	0	0	400	1169	1255	0
Gabarap	297.828571	1191	0	69	145	230	148	309	0	0	0	186	506	147	399	0	104	337	169	463	0	0	0	0	1117	330	0	645	735	370	0	0	0	400	1169	1255	0
Dvl2	297.828571	1191	0	69	145	230	148	309	0	0	0	186	506	147	399	0	104	337	169	463	0	0	0	0	1117	330	0	645	735	370	0	0	0	400	1169	1255	0
Tob2	297.600000	895	0	0	123	305	0	375	0	0	0	213	743	120	419	0	0	468	228	524	0	0	0	0	914	415	0	980	1226	337	0	0	0	389	671	1071	0
Nfkb2	296.600000	1000	0	0	0	274	263	240	0	0	0	237	537	94	378	0	223	918	526	842	0	0	0	0	1172	119	0	425	699	195	0	0	0	216	842	1181	0
Rab8b	296.171429	258	849	801	269	202	331	193	0	0	0	317	81	0	0	252	413	111	287	190	452	256	509	0	308	364	639	430	796	222	0	921	0	390	236	289	0
Commd2	291.914286	1156	0	0	243	254	242	565	0	0	0	273	437	0	178	0	0	480	0	201	0	0	0	0	996	421	0	732	1304	382	0	0	0	419	699	1235	0
Ggnbp2	291.714286	816	73	92	212	316	277	403	0	0	0	380	387	126	339	0	0	368	181	275	0	0	0	0	902	413	98	508	1114	429	0	0	0	479	889	1133	0
Cfdp1	291.428571	1637	0	0	115	355	0	667	0	0	0	164	829	200	725	0	0	257	112	209	0	0	0	0	1532	212	0	472	840	423	0	0	0	313	376	762	0
Pik3ca	291.371429	907	0	0	181	380	221	550	0	0	0	293	435	0	212	0	100	466	238	555	0	0	0	0	1064	311	0	983	1126	409	0	0	0	353	574	840	0
Ythdf3	290.800000	1112	0	0	175	263	345	382	0	0	0	225	394	0	425	0	100	499	198	467	0	0	0	0	1037	195	0	703	963	129	0	0	0	325	893	1348	0
Ptma	290.285714	612	0	0	221	416	183	428	0	0	0	185	420	0	322	0	232	278	189	346	0	0	0	0	858	177	0	797	1043	312	0	0	0	356	1325	1460	0
Tmem39a	289.085714	1340	0	0	0	383	0	378	0	0	0	137	705	238	362	0	103	305	391	531	0	0	0	0	1587	117	0	519	989	144	0	0	0	293	639	957	0
Ilrun	288.028571	1373	0	0	152	326	0	473	0	0	0	164	541	0	384	0	0	387	230	398	0	0	0	0	1319	241	0	749	687	212	0	0	0	257	833	1355	0
Sumo2	287.542857	763	0	0	83	434	259	581	0	0	0	432	271	109	243	0	82	286	255	447	0	0	0	0	856	429	123	765	1399	496	0	0	0	614	422	715	0
Hspa8	285.485714	813	0	0	160	233	157	362	0	0	0	144	399	0	214	0	0	411	147	517	0	0	0	0	628	461	189	1019	1190	404	0	0	0	574	834	1136	0
Slc12a4	283.285714	472	0	0	213	401	292	863	0	0	0	249	450	0	277	0	164	617	316	649	0	0	0	0	432	192	0	842	992	388	0	0	0	325	693	1088	0
Islr	283.114286	0	1280	1161	0	0	587	0	0	0	0	743	0	0	0	0	470	0	365	0	490	0	419	0	0	758	949	153	0	470	0	992	0	1072	0	0	0
Pgap1	282.400000	432	0	0	190	593	458	762	0	0	0	447	577	140	364	0	0	415	239	468	0	0	0	0	0	258	0	996	1375	534	0	0	0	577	485	574	0
Rbx1	279.857143	727	0	0	0	444	97	379	0	0	0	198	255	0	127	0	96	202	154	320	0	0	0	0	829	344	90	1039	1632	474	0	0	0	567	772	1049	0
Shisa5	277.800000	964	0	0	217	253	237	452	0	0	0	422	292	0	375	0	0	314	0	370	0	0	0	0	1346	236	0	289	741	223	0	0	0	302	1182	1508	0
Mars2	276.171429	915	0	0	161	284	350	500	0	0	0	384	407	0	257	0	0	316	121	310	0	0	0	0	853	325	0	816	1259	380	0	0	0	471	813	744	0
Trim62	275.714286	735	0	0	277	440	341	392	0	0	0	357	588	0	433	0	250	690	370	527	0	0	0	0	803	0	0	773	1139	210	0	0	0	261	456	608	0
Csnk2a1	275.228571	894	62	0	171	364	213	515	0	0	0	178	393	0	266	0	0	471	0	297	0	0	0	0	933	280	0	748	1171	351	0	0	0	468	771	1087	0
Gm2237	274.057143	539	181	137	208	399	372	235	0	0	0	218	150	0	307	0	0	164	0	229	0	0	0	0	0	592	113	813	1224	589	0	0	0	536	1092	1494	0
Trim39	273.771429	673	0	0	174	456	216	462	0	0	0	380	320	0	190	0	136	415	159	480	0	0	0	0	648	263	0	658	845	426	0	0	0	584	999	1098	0
Irf2bpl	273.057143	1450	0	0	0	203	116	191	0	0	0	180	267	0	252	0	74	238	0	206	0	0	0	0	1266	220	0	752	836	276	0	0	0	377	1308	1345	0
Dnm1	273.028571	933	0	0	138	458	174	371	0	0	0	224	571	78	406	0	0	291	0	181	0	0	0	0	918	286	0	688	1120	296	0	0	0	290	1295	838	0
Zfand3	272.971429	478	0	0	112	289	237	408	0	0	0	414	389	164	406	0	119	347	188	537	0	0	0	0	548	174	0	601	1057	406	0	0	0	577	983	1120	0
Mettl9	270.971429	870	0	76	121	447	229	576	0	0	0	419	427	0	216	0	88	111	166	328	0	0	0	0	864	186	0	727	1051	383	0	0	0	371	768	1060	0
Cep41	269.342857	952	0	0	0	269	228	303	0	0	0	295	884	222	919	0	0	287	140	272	0	0	0	0	1054	98	0	432	796	319	0	0	0	263	736	958	0
Phactr4	268.885714	812	0	0	0	395	150	462	0	0	0	270	620	149	539	0	135	548	196	549	0	0	0	0	244	277	0	666	883	254	0	0	0	691	744	827	0
Dennd1a	268.714286	643	0	0	181	372	236	508	0	0	0	257	368	156	451	0	99	470	225	544	0	0	0	0	900	136	0	693	1058	380	0	0	0	398	646	684	0
Aplp2	268.685714	1242	0	0	132	294	183	191	0	0	0	147	358	0	234	0	119	313	229	428	0	0	0	0	1419	157	0	658	980	207	0	0	0	210	811	1092	0
Prrc2b	268.542857	342	0	0	0	317	0	437	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	392	0	0	1375	1592	244	0	0	0	0	2596	2104	0
Npcd	268.171429	480	0	0	254	302	167	371	0	0	0	191	413	106	514	0	116	333	197	279	0	0	0	0	691	259	0	857	1342	332	0	0	0	399	703	1080	0
Cbx6	268.171429	480	0	0	254	302	167	371	0	0	0	191	413	106	514	0	116	333	197	279	0	0	0	0	691	259	0	857	1342	332	0	0	0	399	703	1080	0
Rgl2	267.828571	1206	0	0	0	171	0	366	0	0	0	0	698	170	527	0	0	375	97	414	0	0	0	0	1273	168	0	554	955	253	0	0	0	247	667	1233	0
Fabp3	267.600000	0	0	86	267	899	494	834	0	0	0	384	874	218	626	0	191	802	479	1027	0	0	0	0	0	267	0	393	968	298	0	0	0	259	0	0	0
Camta2	266.485714	757	87	117	181	371	406	489	0	0	0	414	470	205	389	0	0	197	0	173	0	0	0	0	803	288	0	395	674	247	0	0	0	466	1608	590	0
Foxp4	266.285714	485	0	0	189	394	191	490	0	0	0	180	178	0	107	0	0	179	68	219	0	0	0	0	616	143	0	1072	1168	486	0	0	0	519	1076	1560	0
Epb41	265.971429	645	0	0	147	530	307	617	0	0	0	276	512	140	495	0	0	632	185	451	0	0	0	0	690	263	0	895	1440	227	0	0	0	543	81	233	0
Rab1a	263.285714	1135	0	0	95	281	192	388	0	0	0	279	347	118	247	0	68	203	143	335	0	0	0	0	745	292	0	722	1012	277	0	0	0	319	1138	879	0
Tut4	262.971429	488	0	0	128	344	166	394	0	0	0	226	394	0	289	0	68	248	269	410	0	0	0	0	581	330	0	620	831	365	0	0	0	439	1261	1353	0
Cluh	262.485714	1159	0	0	0	217	137	269	0	0	0	111	502	171	206	0	84	452	157	380	0	0	0	0	1193	213	0	729	1071	271	0	0	0	391	562	912	0
Asrgl1	262.171429	878	0	0	87	463	190	653	0	0	0	211	341	0	163	0	0	421	164	405	0	0	0	0	1229	270	0	757	1052	279	0	0	0	341	355	917	0
Taf11	260.200000	416	0	0	0	287	172	286	0	0	0	196	218	0	249	0	0	250	261	374	0	0	0	0	811	353	0	691	862	344	0	0	0	315	1393	1629	0
Anks1	260.200000	416	0	0	0	287	172	286	0	0	0	196	218	0	249	0	0	250	261	374	0	0	0	0	811	353	0	691	862	344	0	0	0	315	1393	1629	0
Ppm1l	259.771429	249	0	0	131	336	238	407	0	0	0	118	456	153	251	0	105	300	141	304	0	0	0	0	0	243	0	1170	1409	345	0	0	0	509	1186	1041	0
Pcif1	257.485714	539	0	0	0	432	166	480	0	0	0	132	480	0	392	0	100	507	221	466	0	0	0	0	716	95	0	763	1213	204	0	0	0	345	716	1045	0
Polk	257.371429	442	0	0	175	440	132	399	0	0	0	208	185	0	163	0	0	247	216	231	0	0	0	0	537	356	0	1171	1741	446	0	0	0	560	518	841	0
Cert1	257.371429	442	0	0	175	440	132	399	0	0	0	208	185	0	163	0	0	247	216	231	0	0	0	0	537	356	0	1171	1741	446	0	0	0	560	518	841	0
Gpatch8	257.285714	621	0	0	0	368	169	350	0	0	0	145	508	172	535	0	101	425	348	441	0	0	0	0	732	177	0	792	1105	201	0	0	0	354	650	811	0
Foxo3	256.628571	432	0	0	129	248	0	253	0	0	0	95	576	171	416	0	78	454	240	363	0	0	0	0	506	299	0	449	907	227	0	0	0	371	1235	1533	0
Ap1g1	256.142857	1199	0	0	149	206	130	358	0	0	0	170	715	348	651	0	0	344	0	313	0	0	0	0	1081	251	0	483	525	190	0	0	0	491	542	819	0
Abat	255.971429	253	0	0	523	843	275	722	0	0	0	425	245	0	0	0	117	298	131	343	0	0	0	0	368	422	0	1309	2002	373	0	0	0	310	0	0	0
Atxn7l3	255.857143	611	0	0	277	452	364	612	0	0	0	374	234	0	156	0	109	178	140	346	0	0	0	0	538	239	0	587	1093	454	0	0	0	479	725	987	0
Mitf	255.685714	1048	0	0	0	327	285	519	0	0	0	265	634	118	299	0	0	303	0	255	0	0	0	0	1066	334	0	558	1235	226	0	0	0	511	446	520	0
Ppp2r5b	255.028571	862	0	0	161	461	0	390	0	0	0	0	431	0	316	0	130	260	156	209	0	0	0	0	1018	186	0	706	861	285	0	0	0	257	1018	1219	0
Zbtb2	254.371429	586	0	0	157	265	170	507	0	0	0	190	260	0	258	0	164	464	239	400	0	0	0	0	551	0	0	781	1268	458	0	0	0	442	753	990	0
Heatr5a	254.314286	960	0	0	253	418	170	496	0	0	0	204	336	0	138	0	140	276	132	222	0	0	0	0	661	113	0	876	1262	340	0	0	0	219	568	1117	0
Akirin1	252.885714	419	0	0	271	360	253	505	0	0	0	247	342	0	452	0	97	254	138	214	0	0	0	0	574	207	0	546	1208	403	0	0	0	248	1004	1109	0
Mbip	252.542857	1399	0	0	175	328	178	349	0	0	0	146	439	0	209	0	0	347	183	338	0	0	0	0	1021	260	0	562	992	249	0	0	0	324	457	883	0
Pou2f1	252.400000	758	0	0	101	327	129	355	0	0	0	159	422	140	331	0	0	237	173	425	0	0	0	0	845	259	0	619	779	268	0	0	0	344	966	1197	0
Rac1	252.028571	452	0	0	138	330	159	636	0	0	0	174	174	0	258	0	0	359	0	280	0	0	0	0	853	0	0	987	1422	672	0	0	0	463	661	803	0
Klhdc10	251.285714	944	0	0	242	295	239	340	0	0	0	209	846	356	657	0	0	272	0	277	0	0	0	0	776	179	0	371	710	275	0	0	0	371	556	880	0
Zfp143	250.857143	565	0	152	297	292	290	324	0	0	0	332	425	106	280	0	276	275	0	273	0	0	190	0	528	344	98	664	1329	390	0	0	0	343	335	672	0
