Target_genes	Gata2|Average	SRX3014480|3T3-L1	SRX3014481|3T3-L1	SRX1056339|416B	SRX3014484|C3H/10T1/2	SRX3014485|C3H/10T1/2	SRX340953|FDCPmix	SRX340956|FDCPmix	SRX340959|FDCPmix	SRX340964|FDCPmix	SRX340965|FDCPmix	SRX340968|FDCPmix	SRX340969|FDCPmix	SRX079863|G1E	SRX079864|G1E	SRX100313|G1E	SRX145067|G1E	SRX1901617|G1E	SRX1901619|G1E	SRX145068|G1E-ER4+E2	SRX8820362|G1E-ER4+E2	SRX8820363|G1E-ER4+E2	SRX092597|G1ME	SRX035992|Hematopoietic_progenitors	SRX1939440|Lymphoid-primed_multipotent_progenitors	SRX206424|Mast_Cells	SRX310202|Mast_Cells	SRX9030837|Mast_Cells	SRX9030838|Mast_Cells	SRX9030839|Mast_Cells	SRX9030840|Mast_Cells	SRX1035383|mESC_derived_haematopoietic_progenitor	SRX1035394|mESC_derived_haematopoietic_progenitor	SRX2416653|Trophoblast_stem_cells	SRX1297850|Unclassified	SRX183894|Uterus	STRING
Crb3	764.485714	0	90	1469	111	0	1040	116	482	265	154	434	236	0	0	1540	0	2665	2530	0	1771	654	906	433	342	2150	2147	1547	1563	1306	0	0	0	0	570	2236	0
Cd59a	742.342857	0	0	1561	0	0	553	409	224	0	0	136	0	0	117	2082	174	2570	2716	0	1911	282	332	391	0	1693	1704	2616	2862	3110	539	0	0	0	0	0	0
Sde2	736.171429	0	0	1292	0	0	377	270	155	177	0	355	498	0	0	1887	0	2773	2679	0	1452	516	458	1186	381	2279	2277	1349	1797	1727	0	0	67	0	158	1656	0
Ttc13	722.857143	0	0	891	199	302	841	280	347	278	332	503	703	0	0	1014	0	2274	2282	0	1110	287	199	302	0	2917	2916	1767	1949	1821	213	0	125	0	187	1261	0
Arv1	722.857143	0	0	891	199	302	841	280	347	278	332	503	703	0	0	1014	0	2274	2282	0	1110	287	199	302	0	2917	2916	1767	1949	1821	213	0	125	0	187	1261	0
Inka1	703.000000	0	0	1535	219	243	662	492	349	355	435	406	468	0	109	849	97	2248	2222	0	1072	208	551	510	197	2249	2252	1281	1495	1500	0	0	99	0	207	2295	0
Hscb	702.971429	0	108	616	657	457	339	209	540	192	243	194	363	0	0	1289	0	2349	2054	0	1815	662	961	562	0	2518	2521	1148	1197	949	0	0	143	0	218	2300	0
Chek2	702.971429	0	108	616	657	457	339	209	540	192	243	194	363	0	0	1289	0	2349	2054	0	1815	662	961	562	0	2518	2521	1148	1197	949	0	0	143	0	218	2300	0
Diaph3	692.771429	0	0	1231	0	0	419	202	223	189	142	388	398	0	0	1644	0	2458	2424	0	1948	407	192	561	0	3233	3245	1039	1341	1039	0	0	174	0	203	1147	0
Ubxn11	668.685714	0	0	868	0	0	302	192	297	108	154	211	0	0	0	2134	0	2652	2630	0	1486	234	318	272	0	2690	2701	1836	1911	2175	233	0	0	0	0	0	0
Retsat	663.942857	0	0	566	367	160	823	404	530	370	521	470	605	0	0	1292	0	2652	2513	0	1030	473	639	435	0	1842	1840	1362	1415	1300	0	0	0	0	0	1629	0
Elmod3	663.942857	0	0	566	367	160	823	404	530	370	521	470	605	0	0	1292	0	2652	2513	0	1030	473	639	435	0	1842	1840	1362	1415	1300	0	0	0	0	0	1629	0
Rasal1	662.742857	0	0	691	0	0	221	0	0	149	0	0	0	0	0	2112	0	2670	2822	0	1691	0	0	186	0	2719	2719	1874	2069	2467	627	0	0	0	0	179	0
Zfp36	657.800000	0	0	1068	0	0	574	279	556	201	140	198	374	0	0	1141	0	2008	2171	0	758	211	397	328	286	2386	2388	1779	2094	2227	439	0	0	0	315	705	0
Mylk3	641.714286	0	0	1027	0	0	177	0	186	0	0	0	0	0	0	1625	0	2142	2091	0	1782	182	353	263	0	2331	2331	2084	2249	2224	344	0	127	0	0	942	0
Ankrd61	633.628571	0	0	947	0	0	577	336	660	352	430	467	684	0	0	1636	84	2684	2879	0	777	453	0	661	0	2580	2550	935	1339	678	0	0	0	0	274	194	0
Slc7a8	618.828571	0	0	985	0	0	450	0	250	213	180	282	191	0	0	1748	0	2075	1902	0	1545	197	1207	204	0	1254	1256	2066	2076	2204	659	0	0	0	190	525	0
Hint1	615.457143	0	0	1165	0	134	1049	346	655	393	404	997	1067	0	243	423	231	811	1072	0	866	0	267	224	224	2666	2671	1126	1083	1984	276	0	137	0	232	795	0
Nfe2	596.457143	0	0	1396	0	0	414	0	0	92	0	218	269	0	0	1859	0	2174	2214	0	1568	362	105	505	250	2294	2303	1315	1668	1705	0	0	0	0	0	165	0
Lgals1	592.057143	0	0	161	0	0	410	189	292	380	321	461	463	0	0	1621	0	2363	2274	0	1187	250	342	219	0	2646	2640	1247	1515	1366	0	0	0	0	156	219	0
Tmem86b	588.314286	0	0	386	0	0	0	268	201	0	0	0	180	0	0	2186	0	2889	2887	0	2012	396	408	133	0	1866	1869	1672	1860	1378	0	0	0	0	0	0	0
Lamp1	585.400000	0	0	0	0	0	679	755	0	155	113	0	0	0	0	1709	0	3009	2899	228	787	0	391	0	441	1899	1908	1218	1604	378	0	0	166	0	0	2150	0
Zfp207	577.771429	0	0	510	371	0	680	330	714	306	337	396	704	88	0	1177	116	1492	1640	0	751	418	906	124	160	1365	1365	1558	1639	1457	0	0	0	0	410	1208	0
Kpna1	577.542857	740	732	212	868	901	458	751	623	266	244	317	162	657	891	661	984	812	688	945	1003	1120	285	476	1304	1078	994	0	0	0	0	210	654	0	223	955	0
Tbc1d9b	572.942857	0	0	694	0	0	481	0	488	471	310	447	306	0	0	1447	0	2248	2485	0	581	196	211	503	219	665	666	1846	2070	2132	383	0	0	0	418	786	0
Rec8	572.942857	0	0	0	0	0	219	143	270	177	140	301	361	0	0	1955	0	2212	2329	0	1885	431	0	0	0	2312	2312	1293	1461	1574	198	0	0	0	0	480	0
Rab44	572.828571	0	0	689	0	0	763	0	407	299	126	258	201	0	0	847	0	2090	2341	0	1228	200	547	304	272	1775	1774	1647	1907	1840	285	0	0	0	249	0	0
C77080	572.371429	0	0	522	0	0	451	0	134	148	164	306	393	0	0	1560	0	1820	1874	0	1105	196	220	218	194	1807	1807	1669	1804	1914	350	0	0	0	124	1253	0
Ube2v1	571.085714	0	0	0	0	0	349	117	188	177	213	171	309	0	0	1434	0	2237	2507	0	913	186	346	0	881	1759	1757	1281	1451	1803	243	0	0	0	0	1666	0
Wsb1	565.600000	0	0	891	243	402	165	0	0	0	0	235	393	0	72	1383	0	1926	1977	0	1029	252	281	144	115	2662	2664	912	815	997	0	0	0	0	153	2085	0
Cipc	561.771429	0	0	200	129	0	639	210	696	264	269	522	563	0	122	1533	137	2155	2136	0	1619	482	1222	429	0	772	771	682	869	968	0	0	0	0	203	2070	0
Crlf3	556.771429	0	0	923	0	0	595	161	249	309	257	306	220	0	0	1560	93	1961	2005	0	1030	170	717	342	0	1475	1475	1682	1864	1462	0	0	0	0	139	492	0
Serinc3	554.914286	0	0	959	0	0	449	410	502	347	258	547	402	0	0	0	0	153	368	0	0	0	0	511	244	2499	2512	2353	2476	2287	452	0	0	0	244	1449	0
Tmem9	554.114286	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1994	0	2294	2083	0	2037	292	0	0	0	852	853	2396	2522	2510	575	0	0	0	0	986	0
Tal1	552.428571	0	0	988	0	0	0	0	0	0	103	0	0	0	0	2019	0	2448	2520	0	1640	325	0	318	0	1549	1546	1674	1670	2073	462	0	0	0	0	0	496
Gna15	552.114286	0	0	650	0	0	440	118	191	121	157	495	604	0	0	1098	0	1937	2126	0	753	265	134	0	0	2838	2827	861	1210	1902	283	0	0	0	175	139	0
Ank	551.742857	0	0	0	0	0	324	0	178	572	522	305	427	0	0	1956	0	2651	2526	0	1657	400	0	194	245	387	397	1791	2119	1897	279	0	0	0	285	199	0
Xrcc6	548.285714	0	0	320	0	0	235	173	302	320	276	235	486	0	0	681	0	1663	1836	0	583	0	192	380	0	3202	3217	1034	1066	979	0	0	0	0	0	2010	0
Desi1	548.285714	0	0	320	0	0	235	173	302	320	276	235	486	0	0	681	0	1663	1836	0	583	0	192	380	0	3202	3217	1034	1066	979	0	0	0	0	0	2010	0
Zfpm1	547.914286	0	0	1201	0	82	659	199	284	258	220	544	385	0	0	1205	0	1337	1132	0	1175	202	695	198	190	1390	1389	1523	1524	1427	540	0	0	0	381	1037	0
Gchfr	547.857143	0	0	470	0	0	520	0	484	129	152	284	241	0	0	2060	0	2807	2600	0	1922	117	502	261	0	1640	1644	943	1030	657	0	0	0	0	260	452	0
Npc2	542.371429	0	0	364	0	0	200	0	186	177	189	192	347	0	109	825	120	2152	2137	0	837	132	280	775	0	2444	2445	929	1158	965	0	0	0	0	0	2020	0
Isca2	542.371429	0	0	364	0	0	200	0	186	177	189	192	347	0	109	825	120	2152	2137	0	837	132	280	775	0	2444	2445	929	1158	965	0	0	0	0	0	2020	0
Micall2	540.657143	0	0	1410	0	0	338	215	166	115	91	154	295	0	0	1653	0	2206	1971	0	1635	401	901	376	0	1325	1325	1049	1445	1692	0	0	0	0	160	0	0
Arap1	540.200000	0	0	353	0	0	609	243	767	257	414	630	715	0	0	363	0	1083	789	0	122	0	370	225	161	2962	2963	1824	2188	1393	163	0	0	0	0	313	0
Glg1	539.314286	0	0	301	0	0	0	93	0	0	98	0	0	0	0	1609	0	2705	2725	0	1176	0	368	0	0	703	703	2328	2618	2757	554	0	0	0	0	138	0
Crb2	535.228571	0	0	316	232	106	746	441	608	229	365	345	638	0	81	737	70	1539	1819	0	1250	318	557	385	0	1096	1095	1088	1271	1444	0	0	122	0	0	1835	0
Ptprv	535.085714	0	0	845	0	0	389	117	152	158	151	187	324	0	0	1001	0	2034	1959	0	1298	352	381	341	0	2113	2114	1205	1388	1664	0	0	0	0	170	385	0
Ptpn7	535.085714	0	0	845	0	0	389	117	152	158	151	187	324	0	0	1001	0	2034	1959	0	1298	352	381	341	0	2113	2114	1205	1388	1664	0	0	0	0	170	385	0
P2rx7	533.542857	0	0	1110	0	0	300	147	127	250	122	119	0	0	0	1713	0	2457	2370	109	1398	0	0	0	0	1157	1153	1813	1940	1992	191	0	93	0	0	113	0
Mettl6	531.142857	0	0	144	0	0	0	0	0	0	0	0	0	0	0	1833	0	2814	2983	0	1643	138	0	130	0	1042	1042	1612	1758	2632	515	0	0	0	0	304	0
Eaf1	531.142857	0	0	144	0	0	0	0	0	0	0	0	0	0	0	1833	0	2814	2983	0	1643	138	0	130	0	1042	1042	1612	1758	2632	515	0	0	0	0	304	0
5730455P16Rik	530.800000	0	0	510	371	0	680	330	714	306	337	396	704	88	0	1177	116	1492	1640	0	751	418	906	124	160	559	559	1558	1639	1457	0	0	0	0	410	1176	0
Ldlrad1	523.771429	0	0	433	0	0	846	236	624	368	348	435	310	0	0	995	0	1238	1109	0	320	0	341	194	0	2411	2399	1414	1879	1194	236	0	0	0	166	836	0
Csk	519.628571	0	0	411	0	0	289	299	350	319	432	240	392	0	0	642	0	1146	1890	0	330	126	172	0	0	2124	2122	1932	1982	1856	622	0	0	0	129	382	0
Tnfaip8	519.342857	0	0	1250	0	0	428	0	203	127	127	0	0	0	0	1520	0	1858	1650	0	1559	367	660	620	161	876	876	1582	1653	1679	348	0	0	0	124	509	0
Ppp1r15a	517.257143	0	0	1002	0	0	237	168	483	149	0	229	259	0	0	1788	0	2396	2230	0	1357	405	511	364	0	1484	1483	924	1107	1061	0	0	0	0	0	467	0
Plekha4	517.257143	0	0	1002	0	0	237	168	483	149	0	229	259	0	0	1788	0	2396	2230	0	1357	405	511	364	0	1484	1483	924	1107	1061	0	0	0	0	0	467	0
Slc6a9	517.142857	0	0	0	0	0	183	194	147	187	220	175	371	0	0	2035	0	2429	2359	0	1789	295	372	0	0	2278	2281	858	911	630	0	0	0	0	0	386	0
Ehbp1l1	516.171429	0	0	482	0	0	643	128	633	465	455	436	818	0	0	417	0	997	1031	0	444	194	264	214	119	1792	1790	1554	1825	2038	0	0	0	0	203	1124	0
Tmem125	515.857143	573	429	610	317	465	587	383	289	188	225	236	112	0	128	0	185	172	0	186	0	0	0	123	1119	1331	1265	1959	2000	2005	2040	0	0	299	607	222	0
Extl3	512.600000	0	0	284	0	0	693	306	435	121	256	386	163	0	0	1415	0	1854	1668	0	1629	227	243	219	0	1629	1629	1379	1432	1095	0	0	0	0	0	878	0
Rpl14	512.371429	0	0	112	0	0	151	0	196	0	0	118	0	0	0	1535	0	2041	2477	0	1351	0	187	0	0	1102	1102	2076	2064	2606	517	0	0	0	0	298	0
Flt3l	510.600000	0	0	837	0	0	283	0	267	0	63	0	0	0	0	1659	113	2456	2375	0	1086	303	549	454	0	1303	1305	1420	1645	1346	0	0	0	0	0	407	0
Il13	509.771429	0	0	0	0	0	0	0	189	0	0	0	0	0	0	906	0	874	1082	0	241	0	0	337	0	2549	2549	1898	2033	2270	1192	0	0	0	0	1722	0
Hhex	508.485714	0	0	482	0	0	287	0	0	0	0	111	165	0	0	761	0	2581	2550	0	951	0	811	312	247	568	566	1726	2112	2362	362	0	77	0	0	766	0
Fth1	508.342857	0	0	668	0	0	345	287	562	196	155	253	202	0	0	1398	0	2067	1927	0	1114	125	817	0	301	1175	1174	1065	1346	1799	349	0	0	0	0	467	0
Piwil4	508.057143	0	0	0	0	0	452	272	626	255	362	412	229	0	0	784	0	467	1234	0	401	0	0	0	0	2533	2531	2233	2253	1962	315	0	0	0	0	461	0
H2-T24	506.114286	0	96	1486	307	253	584	208	469	350	494	537	565	0	0	662	0	832	1277	0	794	266	198	595	497	1174	1174	695	988	1029	0	0	0	0	456	1728	0
Mapk6	505.085714	0	0	567	0	0	772	255	333	120	182	408	192	0	0	612	0	1036	1329	0	535	76	366	718	265	2708	2708	809	1102	1041	0	0	0	0	230	1314	0
Gata2	503.571429	0	0	444	0	0	0	0	0	0	0	0	0	0	67	1377	128	2002	2312	0	1662	150	203	336	299	1658	1656	987	1006	1478	169	0	0	0	0	1691	0
Fbl	502.314286	0	0	440	129	0	525	119	171	149	116	263	213	0	0	1086	0	2187	2335	0	960	232	395	244	0	1227	1223	1215	1274	1510	0	0	0	0	0	1568	0
Map3k5	501.800000	0	0	1435	0	0	613	210	596	424	331	648	549	0	0	0	0	186	320	0	0	0	936	659	467	1966	1966	1677	1844	1645	251	0	0	0	367	473	0
Sspn	501.714286	0	328	221	272	511	346	596	249	326	252	185	197	125	205	402	320	427	294	320	953	951	0	259	811	1152	1187	1459	1521	1667	856	81	215	179	170	523	0
Ctse	500.857143	0	0	649	0	0	0	127	158	108	127	0	0	0	0	2067	124	2329	2166	0	2455	247	476	318	0	516	517	1639	1858	1649	0	0	0	0	0	0	0
Il4	498.228571	0	0	0	0	0	205	0	161	115	101	201	382	0	0	1525	0	2010	1786	0	1097	453	338	156	0	2281	2280	1191	1393	1587	176	0	0	0	0	0	418
Sumf2	494.942857	0	156	411	297	275	195	0	183	121	0	0	128	0	0	744	0	1666	2208	0	661	283	290	0	0	2413	2415	789	1162	911	0	0	0	0	0	2015	0
Ndufa9	494.914286	0	0	479	219	162	165	139	231	206	307	294	420	0	0	779	0	1247	1664	0	790	128	310	118	185	1729	1727	1077	1482	1188	0	0	0	0	0	2276	0
Akap3	494.914286	0	0	479	219	162	165	139	231	206	307	294	420	0	0	779	0	1247	1664	0	790	128	310	118	185	1729	1727	1077	1482	1188	0	0	0	0	0	2276	0
Rbm27	493.200000	0	0	227	111	171	662	189	209	83	170	194	245	0	0	693	0	1297	1459	0	625	112	184	231	0	2732	2723	926	870	838	0	0	66	0	0	2245	0
Mcrs1	492.228571	0	0	433	0	0	137	116	392	135	122	167	323	0	0	524	0	1951	2233	0	561	0	199	193	0	2858	2781	901	939	768	0	0	0	0	0	1495	0
Parp16	489.485714	0	0	388	0	0	249	163	414	195	192	201	177	0	0	1042	0	2007	1851	0	496	208	146	0	0	1929	1927	1600	1761	1522	206	0	0	0	124	334	0
Asic4	488.257143	0	0	0	0	0	184	191	0	299	140	0	0	0	0	1466	0	1883	1683	0	1331	288	0	248	0	2220	2219	1240	1285	1095	0	0	0	0	0	1317	0
Slc30a2	486.428571	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1540	0	1689	2239	0	1252	176	0	0	0	2079	2085	2075	2263	1519	0	0	0	0	0	108	0
Pi16	485.685714	0	0	458	0	0	0	0	0	83	0	184	0	0	120	1614	99	2043	2201	0	1137	0	325	0	0	1663	1659	1652	1877	1698	0	0	0	0	0	186	0
Ncoa4	485.571429	0	0	332	0	0	0	0	0	0	0	0	150	0	0	1318	0	2174	2103	0	733	162	616	183	156	1923	1923	1479	1741	1587	0	0	0	0	0	415	0
Sh3bgrl3	485.285714	0	0	442	0	0	336	185	0	0	87	0	0	0	0	783	0	1251	2164	0	462	0	0	227	0	2602	2602	1387	1750	2424	283	0	0	0	0	0	0
Gpr146	484.371429	264	552	215	654	471	0	0	235	191	97	127	0	0	0	1363	0	1813	1741	0	1556	566	211	167	0	1161	1159	667	736	1078	0	0	0	0	0	1929	0
Arid1a	484.142857	0	0	456	0	162	305	115	0	133	116	161	198	0	0	910	0	1355	1718	0	818	216	123	183	0	1724	1724	1676	1832	1651	0	0	0	0	0	1369	0
Tedc2	477.314286	0	0	0	0	0	0	0	108	0	0	0	0	0	0	1540	0	2025	2107	0	1268	91	227	163	0	1655	1657	1615	1904	1241	0	0	0	0	0	1105	0
Arhgef7	476.800000	0	0	261	0	0	474	127	222	260	222	234	719	0	0	1037	0	882	1428	0	520	0	131	0	0	2768	2766	842	1240	1944	420	0	0	0	0	191	0
Nxpe3	472.400000	0	0	0	0	0	0	126	168	135	0	0	126	0	0	1864	0	1912	2156	0	981	0	0	0	0	2086	2084	1509	1645	1430	0	0	0	0	0	312	0
Slc13a2	470.600000	0	0	445	0	0	408	147	307	297	260	363	272	0	0	196	0	302	266	0	222	0	216	0	0	2481	2486	1986	2289	2738	482	0	0	0	308	0	0
Mbp	470.285714	0	0	0	0	0	0	0	0	0	0	0	0	0	0	935	0	1085	1890	0	239	0	0	0	0	1756	1756	2042	2496	2562	587	0	0	0	0	1112	0
Dnase1	469.885714	0	0	247	0	0	420	193	512	155	154	349	157	0	0	514	0	1271	1557	0	298	0	0	231	0	1951	1951	1853	2110	2159	364	0	0	0	0	0	0
Bahcc1	469.314286	0	174	1170	316	453	354	220	0	192	150	466	415	0	0	836	0	0	0	0	0	0	477	253	0	1944	1943	1685	1792	1844	0	0	0	0	0	1742	0
Gsn	468.971429	0	0	0	0	0	0	0	0	235	129	254	209	0	0	602	0	2088	1989	0	359	0	182	0	0	2256	2256	814	1195	1967	0	0	0	0	0	1879	0
Chd3	468.800000	87	270	490	356	327	245	0	236	149	271	220	253	0	0	425	0	1592	1832	0	496	204	0	142	0	1391	1391	1251	1417	1281	0	0	0	0	162	1920	0
Anxa9	468.742857	0	0	641	0	0	530	112	211	149	0	142	204	0	0	1241	0	1701	1629	0	906	166	0	233	0	2431	2448	810	816	1413	0	0	0	0	167	456	0
Vamp8	467.600000	0	0	743	0	0	256	0	0	0	0	94	0	0	0	1581	0	2545	2269	0	1615	289	348	345	0	964	962	1242	1367	1024	0	0	0	0	160	562	0
Smdt1	467.314286	0	0	360	0	0	305	0	0	0	0	0	0	0	0	1848	0	2402	2284	0	1746	311	912	266	0	466	466	1501	1726	1470	184	0	0	0	0	109	0
Pheta2	466.771429	0	0	360	0	0	305	0	0	0	0	0	0	0	0	1848	0	2402	2284	0	1746	311	912	266	0	466	466	1501	1726	1470	184	0	0	0	0	90	0
Gadd45a	464.371429	0	0	161	195	0	353	91	243	0	195	140	150	0	0	818	0	1798	1805	0	717	0	150	234	0	2423	2414	800	792	822	0	0	0	0	0	1952	0
Got1	464.257143	0	130	0	645	499	209	0	222	0	0	104	0	0	0	901	0	2406	2382	0	487	280	260	166	0	1356	1359	867	821	889	0	0	0	0	0	2266	0
Naga	464.200000	0	0	360	0	0	305	0	0	0	0	0	0	0	0	1848	0	2402	2284	0	1746	311	912	266	0	466	466	1501	1726	1470	184	0	0	0	0	0	0
Grb2	463.685714	0	0	423	0	0	155	0	0	0	143	0	0	0	0	732	0	2069	1924	0	572	0	159	126	0	1844	1842	1797	1947	2024	374	0	0	0	0	98	0
Cers2	463.485714	0	0	641	0	0	530	112	211	149	0	142	204	0	0	1241	0	1701	1629	0	906	166	0	233	0	2431	2448	810	816	1413	0	0	0	0	167	272	0
Wdr20	463.114286	0	0	259	0	0	515	0	337	0	0	131	292	0	0	805	0	1755	2059	0	588	101	182	272	0	2645	2645	566	636	706	0	0	0	0	0	1715	0
Pttg1ip	462.914286	0	0	181	0	0	299	176	267	134	145	0	233	0	0	845	0	1252	1655	0	371	0	183	220	0	2488	2503	1607	1811	1622	0	0	0	0	0	210	0
Smad5	459.571429	0	0	537	93	0	405	0	202	0	195	364	0	0	0	810	0	948	1117	0	632	173	174	129	204	1787	1799	1344	1620	1695	0	0	0	0	265	1592	0
Uap1	459.257143	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2091	0	2641	2458	0	966	112	0	128	0	419	420	2137	2453	1896	244	0	0	0	0	109	0
Tbcel	456.657143	0	0	0	0	0	0	107	0	0	217	129	184	0	0	975	0	2031	2325	0	975	0	0	136	0	1610	1610	1602	1849	1767	0	0	0	0	0	466	0
Nol4l	453.914286	0	0	275	0	0	527	151	425	0	95	194	215	0	0	1541	0	2152	2146	0	1041	278	330	163	0	1399	1398	725	844	944	0	0	0	0	203	841	0
Pf4	453.800000	0	0	588	0	0	0	0	0	0	0	0	0	0	0	1108	0	2008	1682	0	1275	157	265	0	0	473	475	2229	2501	2585	537	0	0	0	0	0	0
Adra2a	449.628571	0	0	0	0	0	339	185	355	293	186	377	362	0	0	0	0	752	587	0	390	0	485	360	0	2469	2469	1600	1904	1690	177	0	74	0	175	508	0
Sema4d	449.457143	0	0	278	0	0	0	0	101	0	0	0	111	0	0	1344	0	2028	2106	0	1104	311	172	206	0	2191	2188	920	1164	1302	0	0	0	0	0	205	0
Alpk3	446.971429	0	0	228	0	0	222	0	338	135	0	197	224	0	128	1347	144	1983	2252	0	1376	465	405	0	0	1637	1647	636	709	406	0	0	0	0	211	954	0
Cox7a1	446.771429	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1373	0	2105	2612	0	1120	0	0	0	0	1257	1262	1589	1782	1950	0	0	0	0	0	587	0
