Target_genes	Esrra|Average	SRX21934343|Brown_adipocytes	SRX17622702|Brown_adipose_tissue	SRX17622703|Brown_adipose_tissue	SRX1890323|Brown_adipose_tissue	SRX1890324|Brown_adipose_tissue	SRX1716885|C2C12	SRX24915614|Duodenal_villus	SRX24915615|Duodenal_villus	SRX1743135|Frontal_cortex	SRX1743136|Frontal_cortex	SRX15672330|Liver	SRX15672332|Liver	SRX18421145|Liver	SRX18421147|Liver	SRX18421149|Skeletal_muscle	SRX18421151|Skeletal_muscle	SRX218535|Unclassified	STRING
Zmat5	671.235294	646	354	939	257	306	77	125	0	1105	1694	0	497	942	1166	445	778	2080	0
Uqcr10	671.235294	646	354	939	257	306	77	125	0	1105	1694	0	497	942	1166	445	778	2080	0
Klhl24	666.882353	174	508	1735	134	0	0	140	0	1393	1817	0	519	769	1120	745	1280	1003	0
Jund	660.352941	333	275	1190	178	190	159	0	0	941	1684	0	514	862	1098	1097	1529	1176	0
Micos10	649.411765	2171	665	1539	1160	1633	100	99	0	396	906	0	0	292	328	271	458	1022	0
Haus1	647.411765	1571	559	1096	1153	1111	383	212	89	308	554	0	361	589	553	271	426	1770	0
Atp5a1	647.411765	1571	559	1096	1153	1111	383	212	89	308	554	0	361	589	553	271	426	1770	0
Cldn34d	643.294118	505	428	765	739	569	0	1726	2114	785	422	0	0	312	0	0	144	2427	0
Rab5if	636.705882	1627	298	1423	842	1008	0	0	0	0	163	0	685	1024	1125	0	0	2629	0
Zfp383	633.882353	769	176	617	326	246	148	0	0	0	270	0	459	865	1440	1453	1778	2229	0
Zfp27	633.882353	769	176	617	326	246	148	0	0	0	270	0	459	865	1440	1453	1778	2229	0
Atp5g3	631.352941	1406	399	978	847	1142	918	143	0	715	1311	0	254	386	733	368	358	775	0
Sdhb	623.176471	449	525	1298	322	206	82	0	0	1133	1730	0	231	542	792	1130	1054	1100	0
Mpv17l2	608.823529	818	464	1284	449	406	146	0	0	476	748	0	409	760	946	729	1214	1501	0
Mtch2	586.529412	1344	418	1196	862	831	228	0	0	386	653	0	294	427	460	422	563	1887	0
Nlrc5	581.823529	1008	88	444	357	588	0	0	0	0	0	0	637	1554	2069	133	232	2781	0
Ppia	581.352941	213	204	922	374	202	0	308	0	1014	1377	0	502	750	971	453	789	1804	0
Atp5b	579.176471	919	181	781	814	665	142	156	0	798	1019	0	474	588	520	452	808	1529	0
Chd9	575.117647	1768	390	934	993	1123	0	117	0	0	0	0	452	673	783	349	490	1705	0
Polr2m	558.588235	218	347	1418	0	156	367	94	0	1019	1515	0	390	457	631	734	666	1484	0
Nyx	542.411765	850	243	721	708	659	197	0	0	418	874	0	347	378	550	671	1048	1557	0
Sdha	538.470588	746	528	1079	434	551	271	260	152	643	595	0	379	463	589	627	846	991	0
Ccdc127	538.470588	746	528	1079	434	551	271	260	152	643	595	0	379	463	589	627	846	991	0
Ldhb	537.764706	1892	646	1773	1217	1045	66	0	0	563	798	0	0	0	255	165	251	471	0
Mmp11	536.352941	345	321	1033	206	239	137	0	0	1105	1491	0	353	581	647	627	719	1314	0
Chchd10	536.352941	345	321	1033	206	239	137	0	0	1105	1491	0	353	581	647	627	719	1314	0
Gm867	528.294118	345	321	1033	206	239	0	0	0	1105	1491	0	353	581	647	627	719	1314	0
Cox20	527.058824	277	557	1543	318	169	214	0	0	898	1312	0	458	468	794	561	761	630	0
Rab21	524.823529	997	205	466	424	544	167	126	0	528	941	0	321	662	709	324	445	2063	0
Ptgds	523.647059	1055	560	742	760	467	612	0	0	0	0	0	220	782	810	0	0	2894	0
Cox5a	523.000000	857	490	1305	526	546	0	137	87	665	943	0	388	410	554	547	745	691	0
Minar2	520.588235	2326	234	1169	1311	1839	0	0	0	0	0	0	0	333	501	0	0	1137	0
Gpi1	519.764706	642	613	1706	657	419	263	0	0	1096	1627	0	0	211	391	257	555	399	0
Vwa8	516.411765	1163	0	453	529	607	201	0	0	131	180	0	690	748	922	396	611	2148	0
Rb1cc1	505.764706	253	625	1789	110	109	183	242	0	225	407	0	643	586	829	409	731	1457	0
Slc25a39	497.647059	1326	328	902	422	725	151	113	0	889	817	0	86	228	314	536	586	1037	0
Cpped1	490.941176	610	0	434	337	247	322	0	0	562	659	0	414	612	691	949	1013	1496	0
Tdrd9	489.176471	300	368	761	307	257	137	231	0	705	1040	0	446	719	868	259	571	1347	0
Atp5mpl	489.176471	300	368	761	307	257	137	231	0	705	1040	0	446	719	868	259	571	1347	0
Pspn	482.352941	2046	554	1068	1410	1428	335	0	0	0	249	0	0	0	193	0	170	747	0
Alkbh7	482.352941	2046	554	1068	1410	1428	335	0	0	0	249	0	0	0	193	0	170	747	0
Gpcpd1	478.117647	586	0	718	377	511	258	0	0	604	787	0	0	571	864	431	948	1473	0
Letmd1	471.764706	256	1135	2508	167	56	606	0	0	673	845	0	0	252	373	144	361	644	0
Tepsin	469.058824	595	0	665	321	305	111	0	0	251	357	0	392	1010	1011	367	537	2052	0
Ndufaf8	469.058824	595	0	665	321	305	111	0	0	251	357	0	392	1010	1011	367	537	2052	0
Ythdf1	465.470588	1188	0	570	361	697	207	0	0	0	337	0	0	664	1072	321	455	2041	0
Birc7	465.470588	1188	0	570	361	697	207	0	0	0	337	0	0	664	1072	321	455	2041	0
Oplah	461.705882	813	322	1333	607	547	0	0	0	297	801	0	133	385	505	275	323	1508	0
Trap1	448.764706	651	239	897	428	308	372	0	0	509	933	0	180	372	477	456	579	1228	0
Asmt	440.352941	0	0	144	158	241	271	0	0	439	365	714	793	747	933	806	693	1182	0
Hspa9	435.764706	1215	222	869	776	949	123	0	0	154	579	0	79	183	388	370	568	933	0
Ogdh	430.176471	1538	337	953	860	709	142	0	0	440	697	0	151	138	208	188	381	571	0
Gabpa	421.588235	1105	510	1230	678	617	110	0	0	476	558	0	268	228	394	218	269	506	0
Atp5j	421.588235	1105	510	1230	678	617	110	0	0	476	558	0	268	228	394	218	269	506	0
Atp5l	419.294118	1409	405	1100	773	931	130	0	0	629	975	0	0	0	129	205	218	224	0
Etfa	417.176471	1536	141	453	518	442	0	139	0	464	578	0	273	427	428	330	451	912	0
Gtpbp4	410.117647	586	117	691	301	268	141	0	0	243	377	0	434	572	690	215	324	2013	0
Hey2	406.823529	2003	0	165	940	1295	328	0	0	0	0	0	0	253	408	0	0	1524	0
Tmem161b	405.117647	151	182	654	160	0	176	0	0	1300	1856	0	101	302	639	431	704	231	0
Galntl5	400.941176	2307	417	1092	1378	1622	0	0	0	0	0	0	0	0	0	0	0	0	0
Coq7	397.117647	743	403	774	362	462	0	171	169	457	720	0	269	317	481	230	551	642	0
Palld	395.588235	925	412	1439	438	446	155	0	0	246	358	0	238	331	418	0	259	1060	0
Kin	394.588235	562	406	1091	481	570	271	0	0	438	533	0	236	242	261	300	474	843	0
Atp5c1	394.588235	562	406	1091	481	570	271	0	0	438	533	0	236	242	261	300	474	843	0
Idh3a	391.764706	659	115	506	337	335	0	155	0	373	796	90	371	627	601	240	448	1007	0
Trp53inp2	390.588235	493	291	1466	503	375	161	199	0	773	1432	0	0	0	145	187	243	372	0
Tbkbp1	389.705882	2183	478	1257	1483	941	153	0	0	0	0	0	0	0	0	0	0	130	0
Fuom	389.705882	577	441	1105	372	430	0	0	0	484	794	0	244	364	494	0	280	1040	0
BC028528	388.941176	1995	289	982	1223	1233	0	0	0	0	0	0	0	126	229	0	0	535	0
Aph1a	388.941176	1995	289	982	1223	1233	0	0	0	0	0	0	0	126	229	0	0	535	0
Pex2	385.764706	212	543	1519	181	118	261	0	0	422	548	0	253	244	530	313	515	899	0
Rarb	384.882353	1150	379	1273	464	741	0	0	0	128	173	0	159	270	214	308	437	847	0
Islr2	384.235294	1099	119	838	807	585	210	0	0	483	775	0	133	238	249	0	169	827	0
Crb2	382.882353	545	154	575	251	240	156	0	0	0	329	0	256	632	939	334	434	1664	0
Pmm1	382.588235	1731	0	476	1004	650	0	0	0	386	498	0	0	197	187	0	0	1375	0
Cluh	381.411765	369	243	695	247	216	98	0	0	769	986	0	379	399	445	301	396	941	0
B4galt5	380.235294	617	0	321	134	233	402	0	0	121	160	0	315	419	769	317	751	1905	0
Calu	380.058824	796	460	1873	483	369	166	0	0	400	682	0	0	105	263	142	245	477	0
Pfkp	379.882353	278	236	1005	0	233	0	153	0	1074	1534	0	161	186	286	149	337	826	0
Grtp1	378.941176	1694	164	1302	1137	1048	218	0	0	0	0	0	0	0	140	0	0	739	0
Tns2	375.705882	1506	236	765	1060	1227	289	0	0	0	0	0	0	0	184	0	163	957	0
Clec2d	372.705882	1469	235	765	1044	1130	293	0	0	0	0	0	0	195	231	108	0	866	0
Nipsnap2	372.352941	218	375	1155	79	105	92	0	0	873	1310	0	0	251	485	420	602	365	0
Trip12	372.000000	613	170	428	276	274	0	0	0	494	690	0	214	429	775	490	497	974	0
Fbxo36	372.000000	613	170	428	276	274	0	0	0	494	690	0	214	429	775	490	497	974	0
Bri3	371.882353	1984	338	1118	1110	1190	0	0	0	0	0	0	0	0	159	0	0	423	0
Nmnat1	371.352941	1410	341	880	970	1027	538	0	0	86	168	0	133	97	175	0	0	488	0
Lzic	371.352941	1410	341	880	970	1027	538	0	0	86	168	0	133	97	175	0	0	488	0
Uqcrc1	369.705882	410	272	606	174	143	0	0	0	466	726	0	476	385	541	339	379	1368	0
Cd81	366.352941	1457	352	1158	1074	700	243	0	0	0	0	0	0	190	185	0	0	869	0
N6amt1	364.941176	1114	241	1069	380	424	324	0	0	402	868	0	0	132	187	264	344	455	0
Thrsp	364.352941	1134	373	1108	984	1213	0	0	0	0	0	0	0	0	296	0	284	802	0
Dhcr7	364.352941	925	491	1227	572	490	0	0	0	350	674	0	0	76	318	176	229	666	0
Gm38396	361.352941	272	154	467	274	436	0	0	0	254	354	0	273	614	832	255	425	1533	0
Cyth1	361.352941	798	247	948	545	491	108	78	0	314	353	0	121	241	508	331	283	777	0
Exoc3	361.117647	1241	228	893	702	485	107	0	0	351	728	0	137	189	269	0	150	659	0
Gm4981	358.588235	0	0	0	0	0	0	211	135	565	621	806	962	610	610	522	603	451	0
Cxadr	357.647059	0	0	0	0	0	0	0	0	0	0	0	396	1088	1437	0	120	3039	0
Rdh13	356.647059	825	234	1157	480	386	170	0	0	157	172	0	159	273	304	160	369	1217	0
Arf1	356.529412	471	0	320	128	135	156	0	0	467	670	0	176	542	603	129	347	1917	0
Nadsyn1	356.294118	925	491	1227	572	490	0	0	0	350	674	0	0	76	318	176	229	529	0
Zfp97	356.000000	368	151	541	198	412	0	164	154	149	423	0	159	497	732	326	386	1392	0
Khdrbs3	355.941176	804	325	816	404	556	0	0	0	192	165	0	271	325	586	0	249	1358	0
Rdh14	354.705882	697	253	780	332	319	248	163	0	320	433	0	263	273	438	253	427	831	0
Chchd3	353.058824	952	317	612	516	473	0	235	0	383	604	0	237	205	416	155	221	676	0
Car2	351.470588	0	233	809	0	0	215	0	0	838	942	0	410	544	650	253	274	807	0
Got1	348.529412	336	0	558	130	0	138	141	0	758	829	0	281	223	355	316	590	1270	0
Mycbp	346.647059	968	193	362	639	518	0	0	0	0	278	0	224	481	511	0	167	1552	0
Gcnt7	346.058824	1951	362	1315	994	1091	0	0	0	0	0	0	0	0	0	0	0	170	0
Dmtn	340.529412	1642	144	433	1274	1142	111	0	0	0	206	0	0	0	157	0	0	680	0
Gpd1	339.823529	1378	310	1376	1093	997	0	0	0	0	0	0	0	0	0	0	0	623	0
Coq9	338.588235	1430	0	493	932	1079	201	0	0	224	383	0	151	116	164	95	155	333	0
Ciapin1	338.588235	1430	0	493	932	1079	201	0	0	224	383	0	151	116	164	95	155	333	0
Tnrc6b	335.941176	1801	111	381	1065	1170	276	0	0	83	68	0	0	0	216	0	0	540	0
Glrx3	334.764706	236	280	1000	183	105	0	0	0	465	919	0	0	191	269	718	611	714	0
Tesk1	332.470588	124	259	608	374	121	0	126	0	439	844	0	161	317	456	252	451	1120	0
Mtx2	330.823529	0	297	882	169	0	123	134	0	301	438	0	415	645	653	167	263	1137	0
Acadm	328.588235	1149	341	1252	792	921	332	0	0	0	215	0	0	0	0	179	131	274	0
9230019H11Rik	328.000000	0	0	0	0	0	0	311	461	0	0	726	792	823	776	621	519	547	0
Adk	327.117647	1106	197	511	504	466	0	0	0	129	80	0	263	531	423	0	249	1102	0
Arid2	326.882353	1320	168	325	520	630	0	0	0	113	197	0	0	417	336	175	271	1085	0
Ctsb	326.764706	1408	282	1156	615	898	0	0	0	148	433	0	0	0	170	0	0	445	0
Mcur1	325.764706	1378	131	582	734	760	224	0	0	170	268	0	150	232	211	0	245	453	0
Gm9222	324.411765	0	273	1017	0	0	318	0	0	455	637	0	352	447	631	0	151	1234	0
Atg9b	322.647059	1358	200	987	724	843	0	167	0	0	0	0	0	179	374	0	0	653	0
Abcb8	322.647059	1358	200	987	724	843	0	167	0	0	0	0	0	179	374	0	0	653	0
Atp5o	322.294118	696	139	646	342	488	205	0	0	283	278	0	233	316	413	174	298	968	0
Ccser2	321.058824	1784	330	827	351	1042	0	0	0	189	461	0	0	0	0	0	198	276	0
Cbfa2t3	319.588235	1047	211	937	370	330	0	0	0	0	0	0	119	312	394	0	0	1713	0
Ppp1r10	318.529412	309	343	1118	252	203	0	0	0	780	1129	0	0	177	333	0	157	614	0
Mrps18b	318.529412	309	343	1118	252	203	0	0	0	780	1129	0	0	177	333	0	157	614	0
Pyurf	318.235294	0	387	1314	0	0	103	0	0	753	1163	0	0	148	305	464	404	369	0
Cebpb	318.176471	339	377	1595	500	547	129	0	0	0	0	0	134	241	523	0	0	1024	0
Nudt3	315.647059	126	0	622	0	0	110	0	0	705	911	0	183	326	507	487	761	628	0
Ap3m1	315.529412	1106	0	511	504	466	0	0	0	129	80	0	263	531	423	0	249	1102	0
Gypc	314.529412	1453	157	970	606	807	0	0	0	0	0	0	0	0	0	610	455	289	0
Mcrip2	313.588235	699	288	378	434	648	129	0	0	372	486	0	107	151	187	166	245	1041	0
Ndufa2	312.411765	137	246	630	182	0	82	250	0	484	979	0	310	343	356	0	342	970	0
Ik	312.411765	137	246	630	182	0	82	250	0	484	979	0	310	343	356	0	342	970	0
Slx4ip	312.117647	403	236	769	0	171	0	152	0	439	657	0	263	312	816	167	185	736	0
Mkks	312.117647	403	236	769	0	171	0	152	0	439	657	0	263	312	816	167	185	736	0
Nfyc	310.941176	664	223	414	463	355	0	0	0	236	622	0	224	446	510	137	164	828	0
Lamp1	309.823529	1166	236	1062	746	730	0	0	0	0	0	0	131	198	267	0	225	506	0
Cox8a	308.470588	189	218	860	125	167	151	0	0	554	790	0	300	180	266	157	326	961	0
Pdk2	308.117647	838	347	1123	424	640	0	0	0	0	0	0	0	0	139	310	594	823	0
Timm8b	305.882353	1106	0	391	523	699	178	0	0	245	423	0	142	222	293	128	145	705	0
Sdhd	305.882353	1106	0	391	523	699	178	0	0	245	423	0	142	222	293	128	145	705	0
Got2	305.470588	205	0	306	125	101	180	0	0	578	853	0	234	294	363	304	710	940	0
Slc25a4	303.764706	498	436	777	415	353	0	252	0	888	1136	0	0	0	0	154	255	0	0
Tmem106b	303.294118	952	159	833	515	573	158	0	0	86	133	0	0	137	283	271	295	761	0
Vps13c	303.235294	799	0	143	258	554	0	0	0	404	448	0	133	350	544	170	461	891	0
Col18a1	302.882353	615	153	776	308	318	0	0	0	0	0	0	212	286	479	0	0	2002	0
Lpin1	302.705882	1200	189	748	592	649	141	0	0	141	207	0	0	141	123	206	130	679	0
Smim20	302.588235	149	512	913	113	0	127	207	0	376	550	0	177	176	277	492	427	648	0
Atp6v1fnb	302.470588	1146	312	1224	755	426	80	0	0	0	0	0	0	133	183	0	0	883	0
U2surp	301.294118	1030	327	1231	624	512	0	0	0	248	609	0	0	0	105	0	259	177	0
Gtf2ird1	301.058824	630	0	320	454	378	107	0	0	287	508	0	272	396	466	216	382	702	0
Slc25a3	300.294118	594	357	1043	339	277	241	200	0	300	636	0	134	89	185	167	180	363	0
Sfi1	299.882353	133	0	0	0	0	0	0	0	1140	1044	493	627	285	301	332	420	323	0
Rsad2	299.882353	1979	163	311	1087	1083	0	0	0	0	0	0	0	0	162	0	0	313	0
Kng2	299.764706	1251	136	653	766	1451	0	0	0	0	0	0	0	0	290	0	0	549	0
Cox7c	298.294118	766	124	297	288	436	127	173	0	372	454	0	284	396	344	157	252	601	0
Slc29a1	296.411765	1338	388	1154	753	968	0	0	0	0	0	0	0	0	0	0	0	438	0
Zfp768	296.000000	0	204	634	0	0	132	132	0	396	799	0	212	414	555	159	286	1109	0
Stxbp4	295.764706	290	176	477	0	137	121	0	0	426	600	0	416	542	575	102	284	882	0
Cox11	295.764706	290	176	477	0	137	121	0	0	426	600	0	416	542	575	102	284	882	0
Ndufb5	295.705882	468	104	416	181	296	0	0	0	552	517	0	258	371	474	161	391	838	0
Mrpl47	295.705882	468	104	416	181	296	0	0	0	552	517	0	258	371	474	161	391	838	0
Slc3a2	294.529412	245	225	479	287	184	0	0	0	1153	1740	0	0	72	163	0	92	367	0
Pgm1	293.352941	336	285	851	257	177	125	0	0	756	651	0	139	280	538	122	339	131	0
Cox10	293.352941	669	437	744	339	463	221	0	0	130	313	0	432	153	188	135	175	588	0
Cyp2u1	293.294118	0	304	1133	0	0	82	0	0	570	1097	0	107	144	376	156	407	610	0
Cend1	290.882353	320	0	253	0	0	0	0	0	147	289	0	369	640	760	158	306	1703	0
Zfp827	289.352941	219	275	916	0	139	498	0	0	562	680	0	0	148	189	188	460	645	0
Pmf1	288.176471	119	0	612	0	0	0	129	0	638	837	0	236	298	465	254	616	695	0
Wdr82	287.176471	431	0	356	405	271	0	95	0	203	337	0	360	280	518	157	220	1249	0
Acss1	286.705882	1652	217	806	917	1057	0	0	0	0	94	0	0	0	0	0	0	131	0
Atp5g1	286.352941	1761	292	474	1074	660	0	0	0	114	194	0	0	0	86	0	0	213	0
Cox7a2	286.176471	788	454	805	598	698	176	0	0	0	266	0	0	113	207	0	175	585	0
Cox17	285.235294	1064	419	1103	612	648	111	0	0	0	221	0	0	0	0	148	262	261	0
Afg1l	284.823529	659	341	963	809	323	164	0	0	389	550	0	0	0	183	0	103	358	0
Tk1	284.294118	435	0	176	133	216	0	0	0	0	0	0	322	611	571	0	0	2369	0
Afmid	284.294118	435	0	176	133	216	0	0	0	0	0	0	322	611	571	0	0	2369	0
Fktn	284.235294	1489	237	1244	879	665	130	0	0	0	0	0	0	0	0	0	0	188	0
Ankrd11	282.588235	1281	171	581	391	651	0	0	0	0	64	0	0	190	0	0	0	1475	0
Emc4	282.411765	1226	0	382	441	765	0	0	0	0	109	0	0	235	354	0	0	1289	0
Rdh1	281.764706	1122	159	818	650	867	0	0	0	0	0	0	0	0	119	0	0	1055	0
Gpr182	281.764706	1122	159	818	650	867	0	0	0	0	0	0	0	0	119	0	0	1055	0
Slc22a5	281.705882	1490	444	900	705	945	0	0	0	0	163	0	0	0	0	0	0	142	0
Sgk3	281.117647	122	143	563	0	111	0	0	0	551	569	0	368	484	598	236	270	764	0
Slc2a7	280.000000	1144	0	314	607	571	0	0	0	0	0	0	0	423	509	0	0	1192	0
Atp5g2	279.235294	0	195	813	164	98	165	73	0	699	732	0	323	129	352	191	183	630	0
Ppp1r3g	278.941176	1526	147	753	901	1128	0	0	0	0	163	0	0	0	0	0	0	124	0
Maats1	278.705882	1064	419	1103	612	648	0	0	0	0	221	0	0	0	0	148	262	261	0
Gstt2	278.294118	1118	328	855	919	898	0	0	0	0	158	0	0	0	142	0	0	313	0
Tle5	277.764706	0	215	690	0	0	118	0	0	526	824	0	118	217	274	225	316	1199	0
Pdss1	276.823529	629	184	353	268	252	135	0	0	468	581	0	205	264	407	0	175	785	0
Actc1	272.352941	1175	279	728	1196	922	175	0	0	0	0	0	0	0	0	0	0	155	0
Mrps35	271.176471	144	126	442	89	0	191	0	0	643	844	0	480	284	429	137	237	564	0
Orai1	271.000000	1196	401	1608	594	527	139	0	0	0	0	0	0	0	0	0	0	142	0
Gmpr	269.647059	1846	0	823	1021	807	0	0	0	0	87	0	0	0	0	0	0	0	0
Ndufv2	269.235294	154	169	428	132	96	0	122	0	808	665	0	214	224	245	237	377	706	0
Amacr	268.647059	1463	262	822	695	893	118	0	0	0	0	0	0	0	0	0	154	160	0
Scarf1	267.411765	1324	386	1067	711	591	0	0	0	0	75	0	0	0	97	0	0	295	0
Rilp	267.411765	1324	386	1067	711	591	0	0	0	0	75	0	0	0	97	0	0	295	0
Ndufaf4	267.294118	351	406	751	358	247	148	0	0	254	508	0	224	188	282	167	254	406	0
Kat2b	266.176471	1399	0	426	900	1125	0	0	0	0	0	0	0	0	205	0	0	470	0
Arsa	265.647059	874	251	775	802	647	68	0	0	0	0	0	0	211	200	0	0	688	0
Nkap	265.294118	209	0	0	0	0	309	0	0	723	690	294	458	292	323	543	669	0	0
Cpeb3	265.117647	873	252	285	360	256	0	0	0	100	103	0	0	413	475	0	172	1218	0
Tab1	264.882353	997	266	653	713	543	165	0	0	204	744	0	0	0	0	0	0	218	0
Shb	264.352941	928	171	743	397	633	171	0	0	161	152	0	0	295	275	0	0	568	0
Samm50	264.176471	966	170	461	479	395	143	0	0	307	307	0	0	160	239	0	264	600	0
Cep70	263.470588	336	0	274	127	219	0	0	0	120	122	0	251	593	606	0	433	1398	0
BC004004	263.000000	1449	216	784	892	749	0	0	0	86	0	0	0	0	0	0	0	295	0
Nfatc4	262.941176	1111	161	524	490	760	0	0	0	0	0	0	0	230	287	0	102	805	0
Cyc1	262.411765	0	208	360	178	0	0	0	0	456	638	0	277	409	562	131	231	1011	0
Ubc	260.352941	705	256	974	548	506	285	87	85	154	197	0	0	0	154	0	228	247	0
Mpc1	259.823529	662	164	611	414	550	0	0	0	189	414	0	0	96	141	192	424	560	0
Tpst2	259.588235	1222	235	1182	600	954	0	0	0	0	0	0	0	0	0	0	0	220	0
Zfp457	259.470588	274	147	551	113	227	0	0	0	169	400	0	150	275	408	157	421	1119	0
Dcun1d4	259.411765	1450	432	736	573	1056	0	0	0	0	0	0	0	0	0	0	0	163	0
Sspn	257.294118	453	0	177	171	117	0	0	0	958	996	0	279	282	0	267	359	315	0
Plscr2	257.235294	236	0	83	227	412	0	0	0	0	0	0	347	543	733	0	0	1792	0
Kmt5c	257.000000	868	497	1396	568	270	0	0	0	0	251	0	0	0	126	0	0	393	0
Fgf1	255.941176	1491	153	710	849	860	0	0	0	0	0	0	0	0	0	0	125	163	0
Cbfa2t2	255.941176	444	0	136	213	151	0	0	0	226	284	0	285	320	511	0	131	1650	0
Rnmt	255.117647	1139	357	942	731	692	0	0	0	154	210	0	0	0	0	0	0	112	0
Fam210a	255.117647	1139	357	942	731	692	0	0	0	154	210	0	0	0	0	0	0	112	0
Sacm1l	254.588235	812	0	195	440	527	0	0	0	76	182	0	0	396	347	0	95	1258	0
Ndufs3	254.588235	741	201	494	570	309	458	0	0	385	773	0	0	0	0	0	99	298	0
Kbtbd4	254.588235	741	201	494	570	309	458	0	0	385	773	0	0	0	0	0	99	298	0
Pdk4	254.176471	382	439	951	455	710	155	0	0	132	276	0	0	137	190	0	123	371	0
Wnt5b	253.764706	931	284	913	596	769	0	0	0	0	0	0	0	136	201	0	0	484	0
Tmco4	253.117647	754	143	442	345	427	82	0	0	369	455	0	121	153	171	211	247	383	0
Thrap3	250.764706	1049	0	309	490	468	0	0	0	151	220	0	0	202	329	0	130	915	0
Pdlim4	250.705882	1179	346	1059	774	698	0	0	0	0	0	0	0	0	0	0	0	206	0
Aifm2	249.058824	744	201	1091	318	335	0	0	0	383	469	0	0	0	150	131	275	137	0
Hectd1	248.764706	914	152	574	457	444	0	0	0	64	101	0	0	205	256	244	214	604	0
H6pd	248.352941	789	280	793	596	642	0	0	0	0	0	0	0	199	240	0	0	683	0
Dhrs11	247.882353	1308	206	673	761	658	0	112	0	108	76	0	0	0	0	0	0	312	0
Shtn1	247.823529	1470	122	707	765	968	0	0	0	0	0	0	0	0	0	0	0	181	0
Agl	247.647059	219	321	1134	171	199	0	0	0	440	738	0	0	123	267	100	221	277	0
H1f2	247.529412	655	191	396	270	313	0	142	0	155	284	0	273	221	296	164	186	662	0
Sec14l4	247.294118	1546	267	489	813	880	0	0	0	0	0	0	0	0	0	0	0	209	0
Srek1ip1	246.529412	406	0	229	274	285	146	0	0	169	289	0	142	292	568	147	185	1059	0
Cwc27	246.529412	406	0	229	274	285	146	0	0	169	289	0	142	292	568	147	185	1059	0
Hdhd3	245.235294	962	472	765	562	576	219	0	0	108	117	0	0	0	0	0	0	388	0
Ndufs1	245.176471	618	336	547	522	506	150	0	0	234	381	0	126	162	170	0	0	416	0
Eef1b2	245.176471	618	336	547	522	506	150	0	0	234	381	0	126	162	170	0	0	416	0
Osbpl1a	244.882353	1403	279	337	651	895	0	0	0	138	276	0	0	0	0	0	0	184	0
Uck1	244.411765	1288	236	813	591	499	0	0	0	131	428	0	0	0	0	0	0	169	0
Gde1	243.941176	1071	257	988	484	253	0	0	0	98	267	0	0	92	171	0	0	466	0
Pank1	243.411765	1254	217	790	690	642	0	0	0	0	146	0	0	93	97	0	0	209	0
Gna12	243.411765	1044	0	148	688	601	0	0	0	86	140	0	0	185	261	0	0	985	0
Lman2	242.058824	923	152	909	358	434	0	0	0	0	101	0	0	125	90	0	174	849	0
Grsf1	242.058824	0	0	542	0	0	153	0	0	666	631	0	322	297	416	184	234	670	0
