Target_genes	Hif1a|Average	SRX13832293|BEko	SRX13832294|BEko	SRX13832299|BEko	SRX13832300|BEko	SRX9718436|B_cells	SRX21404931|CD4+_T_cells	SRX21404933|CD4+_T_cells	SRX21404935|CD4+_T_cells	SRX21404937|CD4+_T_cells	SRX21404939|CD4+_T_cells	SRX21404941|CD4+_T_cells	SRX122402|Dendritic_Cells	SRX122403|Dendritic_Cells	SRX122404|Dendritic_Cells	SRX122405|Dendritic_Cells	SRX698168|Embryonic_heart	SRX698169|Embryonic_heart	SRX7541943|EpiSC	SRX7541944|EpiSC	SRX8844230|EpiSC	SRX8844231|EpiSC	SRX13945543|ES_cells	SRX13945544|ES_cells	SRX13945545|ES_cells	SRX13945546|ES_cells	SRX13945547|ES_cells	SRX13945548|ES_cells	SRX2146745|Melanocytes	SRX2146746|Melanocytes	SRX23691463|Periosteum	SRX3331740|Prefrontal_Cortex	SRX3331741|Prefrontal_Cortex	SRX3331742|Prefrontal_Cortex	SRX3331743|Prefrontal_Cortex	SRX13253003|Prostate_carcinoma	SRX187224|Th17_Cells	SRX187225|Th17_Cells	STRING
Pfkl	613.540541	398	560	0	0	0	226	255	0	319	302	930	0	0	0	0	626	821	0	1009	0	116	1658	895	3444	1942	2028	2037	702	551	0	0	0	0	0	494	1501	1887	0
1600014C23Rik	612.540541	271	410	0	0	0	158	127	0	243	204	472	0	0	0	0	940	1034	0	602	0	92	854	1264	2546	1446	2836	1626	1403	1155	0	0	0	0	132	918	1852	2079	0
Rlf	602.270270	118	123	0	0	0	0	0	0	191	142	471	0	0	0	0	694	779	0	648	0	0	1693	1237	3462	1931	3197	1906	719	513	0	0	0	0	0	858	1646	1956	0
Alkbh5	593.054054	298	157	0	0	0	630	434	121	568	773	1463	0	93	0	0	678	818	0	745	0	0	1568	570	3152	1750	1729	1605	810	490	0	0	0	0	0	757	1090	1644	0
Tmem125	561.405405	1864	1820	1826	1528	0	165	0	0	0	0	0	112	91	197	219	478	433	557	1187	657	857	418	413	393	504	466	234	1167	1082	1350	338	334	344	246	719	373	400	0
Zfp292	539.594595	326	210	0	0	0	0	0	0	0	132	508	0	0	0	0	558	743	0	1372	0	157	958	1035	2935	1232	2710	1335	1039	547	0	0	0	0	0	984	1354	1830	0
Bnip3	531.162162	400	346	0	0	0	221	338	0	253	310	618	0	0	0	0	647	799	0	599	0	0	1555	677	2878	2378	2105	2348	438	346	0	0	0	0	0	818	637	942	159
Fam162a	530.513514	505	605	0	0	0	276	217	181	312	283	909	0	0	0	0	634	811	0	1296	0	120	1050	572	2873	1313	1489	1424	643	438	0	0	0	0	0	886	1128	1664	0
Ccdc58	530.513514	505	605	0	0	0	276	217	181	312	283	909	0	0	0	0	634	811	0	1296	0	120	1050	572	2873	1313	1489	1424	643	438	0	0	0	0	0	886	1128	1664	0
Lactbl1	515.162162	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2909	2232	3514	3483	3652	2961	185	125	0	0	0	0	0	0	0	0	0
Bnip3l	510.783784	218	275	0	0	0	255	275	118	334	353	669	0	0	0	0	387	559	0	1116	0	115	982	729	2870	1589	2221	1522	370	320	0	0	0	0	0	763	1141	1718	0
Bsg	509.486486	448	508	0	0	0	232	229	0	132	240	938	0	0	0	0	656	869	0	1676	0	165	992	433	3245	1442	1274	1464	735	459	0	0	0	0	0	266	880	1568	0
Mif	493.729730	445	460	0	0	0	503	401	0	566	634	1146	0	0	0	0	393	534	0	611	0	0	1009	668	2782	1414	1529	1373	469	361	0	0	0	0	0	368	1112	1490	0
Pgk1	493.000000	289	380	0	0	0	218	216	116	239	425	789	0	0	0	0	587	785	0	500	0	0	1005	348	2887	1679	882	1687	933	916	0	0	0	0	0	438	1088	1834	0
Sh3gl1	474.378378	0	147	0	0	0	255	268	264	316	416	956	0	0	0	0	703	997	0	213	0	0	1039	542	3063	1402	1798	1347	561	157	0	0	0	0	0	433	1216	1459	0
Chaf1a	474.378378	0	147	0	0	0	255	268	264	316	416	956	0	0	0	0	703	997	0	213	0	0	1039	542	3063	1402	1798	1347	561	157	0	0	0	0	0	433	1216	1459	0
Pkm	469.162162	109	247	0	0	0	366	186	0	265	355	670	0	0	0	0	576	654	0	301	0	0	1338	1050	2184	1431	2188	1260	668	427	0	0	0	0	0	704	991	1389	0
Seh1l	457.270270	690	893	142	0	0	304	266	0	208	222	672	0	0	0	0	658	881	0	583	0	0	479	434	2447	1195	1500	1061	431	511	0	0	0	0	0	965	1127	1250	0
Gabpb2	449.432432	133	0	0	0	0	562	364	129	449	534	1577	0	0	0	0	633	889	0	1187	0	106	566	385	2008	804	931	643	488	390	0	0	0	0	0	1368	1081	1402	0
Ccdc126	449.108108	0	0	0	0	0	398	221	0	209	336	988	0	0	0	0	417	699	0	250	0	0	1019	618	3249	1357	1912	1387	533	185	0	0	0	0	0	300	1073	1466	0
Mrpl54	447.459459	80	146	0	0	0	307	222	159	274	419	831	0	0	0	0	398	656	0	0	0	0	1052	835	2746	1393	2366	1275	569	272	0	0	0	0	0	341	950	1265	0
Apba3	447.459459	80	146	0	0	0	307	222	159	274	419	831	0	0	0	0	398	656	0	0	0	0	1052	835	2746	1393	2366	1275	569	272	0	0	0	0	0	341	950	1265	0
Gapdh	443.243243	227	297	0	0	0	482	324	179	502	727	1214	0	0	0	0	561	784	0	814	0	107	680	709	1736	955	2041	844	422	287	0	0	0	0	0	355	867	1286	0
Clcn3	442.081081	663	779	0	0	0	301	229	120	402	411	1047	0	0	0	0	190	278	0	925	0	0	895	235	2813	1237	1106	1220	338	147	0	0	0	0	0	528	978	1515	0
Higd1a	438.432432	455	407	0	0	0	117	99	110	124	143	767	0	0	0	0	257	487	0	1453	0	170	938	276	2816	1197	1275	1420	340	327	0	0	0	0	0	670	968	1406	0
Aldoa	419.135135	280	390	0	0	0	421	316	0	418	481	1039	0	0	0	0	571	618	0	0	0	0	1167	465	2668	1411	1264	1194	252	148	0	0	0	0	0	768	682	955	0
Kdm6b	415.324324	217	238	0	0	0	385	292	0	342	399	1469	0	0	0	0	441	455	0	826	0	0	938	226	2583	1225	810	1044	1626	701	0	0	0	0	0	145	255	750	0
Tpgs1	409.918919	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	168	364	0	0	0	0	2173	1433	3159	2850	2435	2315	106	164	0	0	0	0	0	0	0	0	0
Hk2	408.864865	215	316	0	0	0	328	274	361	313	486	913	0	0	0	0	289	339	0	662	0	0	1177	330	2667	1290	1111	1007	491	271	0	0	0	0	0	484	700	1104	0
Ddit4	403.864865	133	300	0	0	0	324	276	0	327	384	676	0	0	0	0	391	472	0	749	0	0	994	538	2899	1533	1191	1483	322	167	0	0	0	0	0	124	684	976	0
Ankzf1	399.945946	0	0	0	0	0	0	0	0	0	0	718	0	0	0	0	292	306	0	307	0	0	1146	1024	3081	1607	2471	1413	382	328	0	0	0	0	0	208	641	874	0
Bmt2	394.837838	0	0	0	0	0	167	0	0	0	132	339	0	0	0	0	336	403	0	358	0	0	897	1155	2824	1376	2688	1061	174	125	0	0	0	0	0	624	817	1133	0
Pfkfb3	394.459459	393	355	0	0	0	0	0	0	0	0	0	0	0	0	0	799	893	0	556	0	0	1096	290	2955	1613	1108	1349	0	0	0	0	0	0	0	0	1319	1869	0
Kdm5b	391.918919	0	0	0	0	0	148	130	0	166	217	540	0	0	0	0	291	370	0	309	0	0	1080	481	2937	1828	1357	1367	467	348	0	0	0	0	0	508	747	1210	0
Mgarp	391.027027	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	417	502	0	0	0	0	782	748	3046	1254	2158	1242	502	306	0	0	0	0	0	0	1575	1936	0
Grhpr	371.405405	0	0	0	0	0	0	0	0	124	197	236	0	0	0	0	306	393	0	0	0	0	948	832	2931	1250	2121	1049	334	189	0	0	0	0	0	235	1028	1569	0
Tpi1	368.567568	0	0	0	0	0	73	0	0	0	77	940	0	0	0	0	498	679	0	462	0	0	959	353	2327	1121	1255	1144	364	240	0	0	0	0	0	195	1270	1680	0
Spsb2	368.567568	0	0	0	0	0	73	0	0	0	77	940	0	0	0	0	498	679	0	462	0	0	959	353	2327	1121	1255	1144	364	240	0	0	0	0	0	195	1270	1680	0
Rps3a1	367.756757	0	198	0	0	0	91	0	0	122	237	453	0	0	0	0	439	605	0	494	0	0	697	379	2763	1150	1421	1070	590	313	0	0	0	0	0	334	1050	1201	0
Pgm1	357.594595	269	311	0	0	0	142	0	0	140	114	633	0	0	0	0	440	611	0	987	0	0	794	346	2497	916	872	897	231	271	0	0	0	0	0	499	971	1290	0
Kpna1	357.054054	0	0	0	0	0	0	0	0	0	0	0	182	134	186	148	1129	1172	903	815	1064	1045	0	0	96	0	0	0	1075	1000	0	211	384	343	326	998	868	1132	0
Plod2	356.702703	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	399	672	0	512	0	0	1105	500	3143	1591	1473	1657	438	337	0	0	0	0	0	486	357	528	0
Rsbn1	356.108108	355	545	0	0	0	505	265	176	551	726	1053	0	0	0	0	308	450	0	905	0	101	538	192	1821	735	638	898	293	216	0	0	0	0	0	527	495	883	0
Mettl9	352.189189	0	0	0	0	0	0	0	181	0	144	453	0	0	0	0	403	728	0	385	0	0	850	415	2876	1006	1616	1026	279	249	0	0	0	0	0	422	805	1193	0
Mrpl45	350.918919	417	455	0	0	0	165	0	228	201	194	696	0	0	0	0	323	302	0	331	0	0	928	192	2506	1265	814	1373	429	153	0	0	0	0	0	310	679	1023	0
Cox8a	341.216216	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1657	1431	3212	2238	2589	1498	0	0	0	0	0	0	0	0	0	0	0
Ero1a	338.756757	526	611	0	0	0	408	396	363	458	513	817	0	0	0	0	378	530	0	813	0	0	224	155	1563	486	710	568	232	226	0	0	0	0	0	635	839	1083	0
Rnf19a	332.540541	421	419	0	0	0	233	181	231	264	339	801	0	0	0	0	732	885	0	670	0	0	472	195	1949	581	533	680	282	151	0	0	0	0	0	455	642	1188	0
Hilpda	330.648649	706	729	0	0	0	463	272	97	376	421	814	0	0	0	0	170	318	0	828	0	0	374	148	1818	497	618	593	284	142	0	0	0	0	0	452	776	1338	0
Myo1h	330.432432	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	829	909	0	0	0	0	811	612	3084	1183	1866	1209	244	205	0	0	0	0	0	290	385	599	0
Rab24	326.216216	0	0	0	0	0	0	0	0	0	78	636	0	0	0	0	496	704	0	530	0	0	605	459	2287	830	1437	928	344	171	0	0	0	0	0	255	938	1372	0
Prelid1	326.216216	0	0	0	0	0	0	0	0	0	78	636	0	0	0	0	496	704	0	530	0	0	605	459	2287	830	1437	928	344	171	0	0	0	0	0	255	938	1372	0
Tfrc	325.675676	330	170	0	0	0	185	0	0	121	276	475	0	0	0	0	246	398	0	202	0	0	702	437	2435	1042	1294	1089	173	155	0	0	0	0	0	273	786	1261	0
Asmt	321.891892	0	0	0	0	0	0	0	0	0	0	0	155	186	173	152	806	841	919	749	524	553	280	377	367	393	397	300	1079	1023	0	349	431	404	275	481	434	262	0
Kank3	313.648649	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1481	966	3182	2117	2118	1741	0	0	0	0	0	0	0	0	0	0	0
G2e3	311.918919	313	257	0	0	0	192	96	310	79	196	217	0	0	0	0	254	382	0	395	0	0	813	325	2615	1011	1200	973	153	165	0	0	0	0	0	440	376	779	0
Rnf145	307.594595	0	0	0	0	0	320	168	91	271	328	804	0	0	0	0	196	180	0	134	0	0	743	417	2040	871	1363	663	131	128	0	0	0	0	0	181	1030	1322	0
Ndufa4l2	300.891892	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	461	387	0	0	0	0	1594	463	3151	1938	1281	1858	0	0	0	0	0	0	0	0	0	0	0
Dph6	296.000000	0	0	0	0	0	0	0	190	0	0	512	0	0	0	0	0	131	0	296	0	0	946	379	2921	1238	1433	1217	265	224	0	0	0	0	0	253	309	638	0
Slc2a1	295.756757	788	656	0	0	0	382	349	0	366	490	595	0	0	0	0	392	462	0	397	0	0	295	130	1273	499	710	421	274	335	0	0	0	0	0	411	727	991	0
Stc2	294.648649	0	0	0	0	0	318	246	98	298	434	711	0	0	0	0	100	288	0	235	0	0	820	361	2123	1267	1168	1286	149	0	0	0	0	0	0	0	284	716	0
Gbe1	294.540541	367	377	0	0	0	0	0	198	0	78	466	0	0	0	0	520	482	0	1235	0	94	474	0	1830	711	783	587	261	205	0	0	0	0	0	504	564	1162	0
Ubn2	293.675676	0	0	0	0	0	0	0	0	0	165	327	0	0	0	0	193	238	0	388	0	0	606	414	2039	597	1129	544	583	351	0	0	0	0	0	611	1248	1433	0
Pfkp	290.081081	309	378	0	0	0	222	255	0	265	437	891	0	0	0	0	213	248	0	0	0	0	546	0	1894	650	543	827	337	359	0	0	0	0	0	425	630	1304	0
Lonp1	286.162162	572	664	0	0	0	0	0	0	0	149	585	0	0	0	0	240	243	0	750	0	70	486	156	1478	541	684	445	448	247	0	0	0	0	0	1011	548	1271	0
Catsperd	286.162162	572	664	0	0	0	0	0	0	0	149	585	0	0	0	0	240	243	0	750	0	70	486	156	1478	541	684	445	448	247	0	0	0	0	0	1011	548	1271	0
Pcm1	281.648649	0	0	0	0	0	0	0	0	0	181	311	0	0	0	0	362	372	0	257	0	0	753	223	2580	986	897	925	609	330	0	0	0	0	0	412	502	721	0
Kdm4b	275.459459	86	0	0	0	0	408	251	402	378	460	885	0	0	0	0	188	206	0	164	0	0	539	112	1614	703	495	763	197	160	0	0	0	0	0	0	831	1350	0
Zap70	270.783784	0	0	0	0	0	0	0	0	0	0	241	0	0	0	0	0	0	0	0	0	0	905	729	2812	1118	2179	1154	0	0	0	0	0	0	0	0	265	616	0
Cipc	266.567568	0	0	0	0	0	0	0	0	0	0	250	0	0	0	0	573	804	0	202	0	0	425	161	1650	538	878	636	580	306	0	0	0	0	0	596	1024	1240	0
Il31ra	264.405405	0	0	0	0	0	0	0	0	0	0	0	103	0	90	0	1219	1255	519	384	644	583	0	0	0	0	0	0	945	838	0	127	254	142	224	816	673	967	0
Nampt	263.000000	429	479	0	0	0	80	148	0	145	154	383	0	0	0	0	337	529	0	685	0	0	373	0	1827	670	699	644	244	254	0	0	0	0	0	329	557	765	0
Wwox	261.648649	0	0	0	0	0	0	0	0	0	0	180	589	499	640	532	0	204	351	0	0	0	0	0	228	0	126	0	2436	1694	0	328	271	313	234	96	516	444	0
Ppp1r3g	261.081081	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	424	660	0	0	0	0	762	410	2770	886	1609	961	0	0	0	0	0	0	0	0	445	733	0
Trmo	259.027027	0	110	0	0	0	0	0	177	137	151	474	0	0	0	0	218	433	0	711	0	101	406	282	1276	543	1053	590	396	151	0	0	0	0	0	263	788	1324	0
Kmt2e	257.756757	80	92	0	0	0	124	143	0	145	240	869	0	0	0	0	237	425	0	362	0	0	552	171	1564	567	849	592	329	244	0	0	0	0	0	523	555	874	0
Tmem214	255.162162	0	0	0	0	0	0	0	0	0	107	386	0	0	0	0	273	427	0	161	0	0	524	287	1578	359	1444	651	459	233	0	0	0	0	0	530	839	1183	0
Terf1	252.027027	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1158	814	2695	1669	2292	697	0	0	0	0	0	0	0	0	0	0	0
Mettl23	250.351351	178	0	0	0	0	189	136	0	169	290	828	0	0	0	0	253	505	0	865	0	134	195	0	1241	306	408	380	514	345	0	0	0	0	0	601	721	1005	0
Ube2g1	250.324324	0	0	0	0	0	0	0	0	0	123	392	0	0	0	0	367	545	0	174	0	0	434	211	2144	601	1042	618	384	248	0	0	0	0	0	356	656	967	0
Tob1	250.000000	0	0	0	0	0	0	0	0	0	0	94	0	0	0	0	306	438	0	0	0	0	551	324	2454	832	1510	912	119	149	0	0	0	0	0	363	641	557	0
Aoc3	249.378378	0	0	0	0	0	0	0	0	0	0	69	0	0	0	0	0	0	0	0	0	0	1551	300	2916	1710	1059	1622	0	0	0	0	0	0	0	0	0	0	0
Trappc5	241.486486	226	212	0	0	0	552	381	196	468	709	1332	0	0	0	0	0	0	0	0	0	0	118	0	827	365	173	121	1874	1189	0	0	0	0	0	0	0	192	0
Fcor	241.486486	226	212	0	0	0	552	381	196	468	709	1332	0	0	0	0	0	0	0	0	0	0	118	0	827	365	173	121	1874	1189	0	0	0	0	0	0	0	192	0
Adm	239.459459	0	0	0	0	0	337	192	0	267	357	1035	0	0	0	0	185	187	0	666	0	0	473	211	1796	775	596	718	186	0	0	0	0	0	0	372	183	324	0
Ruvbl2	239.351351	0	0	0	0	0	268	205	99	221	377	1043	103	0	0	0	399	549	0	430	0	0	504	0	1281	446	254	505	227	110	0	0	0	0	0	185	548	1102	0
Gys1	239.351351	0	0	0	0	0	268	205	99	221	377	1043	103	0	0	0	399	549	0	430	0	0	504	0	1281	446	254	505	227	110	0	0	0	0	0	185	548	1102	0
Unc13a	239.162162	172	370	0	0	0	519	419	0	518	642	1089	0	0	0	63	276	329	0	0	0	0	0	0	559	202	115	210	424	361	0	0	0	0	0	0	1024	1557	0
Znhit1	235.783784	0	0	0	0	0	164	119	0	149	158	618	0	0	0	0	284	469	0	182	0	0	523	214	1740	678	904	630	270	181	0	0	0	0	0	0	588	853	0
Plod3	235.783784	0	0	0	0	0	164	119	0	149	158	618	0	0	0	0	284	469	0	182	0	0	523	214	1740	678	904	630	270	181	0	0	0	0	0	0	588	853	0
Npm1	231.594595	0	0	0	0	0	72	93	116	119	137	302	0	0	0	0	188	334	0	182	0	0	459	342	2026	662	1139	656	247	180	0	0	0	0	0	308	371	636	0
Oasl1	229.081081	0	0	0	0	0	0	0	0	0	0	0	393	286	444	290	628	697	202	112	610	396	0	0	0	0	0	0	799	855	0	285	317	206	366	486	543	561	0
Zfp719	226.000000	0	0	0	0	0	0	207	0	166	386	671	0	0	0	0	85	249	0	264	0	0	411	306	2044	539	866	526	332	291	0	0	0	0	0	0	455	564	0
Gmppa	225.162162	0	0	0	0	0	0	0	0	0	77	412	0	0	0	0	376	564	0	247	0	0	304	131	1271	465	508	499	330	207	0	0	0	0	0	131	1180	1629	0
Rab39	224.756757	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	229	349	0	423	0	0	800	294	2412	975	1185	860	92	0	0	0	0	0	0	0	254	443	0
Sf3b1	221.243243	369	402	0	0	0	0	0	0	0	136	395	0	0	0	0	187	407	0	231	0	0	481	213	1815	511	665	566	265	115	0	0	0	0	0	242	403	783	0
Ccng2	221.162162	227	0	0	0	0	225	156	273	247	364	625	0	0	0	0	140	277	0	359	0	0	379	207	1206	430	493	403	260	131	0	0	0	0	0	384	504	893	0
Hddc2	219.135135	0	0	0	0	0	134	138	150	0	136	409	0	0	0	0	363	494	0	259	0	0	417	236	1681	523	699	459	340	103	0	0	0	0	0	0	609	958	0
Galk1	216.486486	335	402	0	0	0	270	218	0	251	382	991	0	0	0	0	272	451	0	438	0	0	214	0	1177	306	237	327	341	129	0	0	0	0	0	196	395	678	0
Trappc6a	216.270270	0	0	0	0	0	119	72	0	84	128	534	0	0	0	0	339	279	0	144	0	0	332	225	1437	443	998	398	237	279	0	0	0	0	0	225	805	924	0
Bloc1s3	216.270270	0	0	0	0	0	119	72	0	84	128	534	0	0	0	0	339	279	0	144	0	0	332	225	1437	443	998	398	237	279	0	0	0	0	0	225	805	924	0
Abhd6	215.756757	0	0	0	0	0	0	0	0	0	0	0	585	456	554	558	412	439	625	384	235	329	0	0	0	0	0	0	436	467	0	356	288	466	264	0	571	558	0
Wsb1	214.243243	0	0	0	0	0	163	134	141	336	259	844	0	0	0	0	191	239	0	652	0	0	266	0	1208	367	426	395	441	179	0	0	0	0	0	377	441	868	0
Zfp607b	212.675676	205	324	0	0	0	320	195	141	441	439	1036	0	0	0	0	0	0	0	190	0	0	455	0	1450	748	486	330	0	0	0	0	0	0	0	121	359	629	0
Rpl10l	206.567568	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	684	630	2506	930	2120	773	0	0	0	0	0	0	0	0	0	0	0
P4ha2	206.513514	0	0	0	0	0	124	0	0	124	124	344	0	0	0	0	359	437	0	724	0	0	206	0	1026	267	370	489	622	475	0	0	0	0	0	702	438	810	0
Hk1	206.405405	355	566	0	0	0	493	267	0	446	625	1144	0	0	0	0	184	300	0	1157	0	0	0	0	408	211	0	177	119	0	0	0	0	0	0	169	347	669	0
Nfkbiz	204.378378	129	0	0	0	0	0	0	0	0	0	128	0	0	0	0	198	178	0	133	0	0	253	0	1088	427	424	374	2028	1255	0	0	0	0	0	266	326	355	0
Maff	203.972973	376	475	0	0	0	0	0	0	186	125	311	0	0	0	0	153	198	0	0	0	0	556	0	1763	616	836	562	321	156	0	0	0	0	0	341	245	327	0
Dars	203.351351	181	156	0	0	0	251	116	339	253	124	974	0	0	0	0	167	259	0	576	0	0	303	0	1199	465	248	330	162	129	0	0	0	0	0	331	351	610	0
Slc30a9	203.189189	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	203	288	0	159	0	0	273	211	1567	328	1020	429	193	125	0	0	0	0	0	583	759	1380	0
Sirt6	198.729730	0	0	0	0	0	150	109	0	0	212	753	0	0	0	0	198	223	0	160	0	0	290	291	1700	448	503	407	176	117	0	0	0	0	0	214	646	756	0
Ankrd24	198.729730	0	0	0	0	0	150	109	0	0	212	753	0	0	0	0	198	223	0	160	0	0	290	291	1700	448	503	407	176	117	0	0	0	0	0	214	646	756	0
P4hb	196.621622	192	295	0	0	0	149	196	219	182	405	868	0	0	0	0	151	225	0	546	0	0	283	0	996	325	255	300	215	87	0	0	0	0	0	205	332	849	0
Zfp106	195.972973	0	0	0	0	0	0	0	0	0	0	202	0	0	0	0	326	430	0	180	0	0	328	184	1637	464	829	537	139	0	0	0	0	0	0	443	774	778	0
Snap23	195.972973	0	0	0	0	0	0	0	0	0	0	202	0	0	0	0	326	430	0	180	0	0	328	184	1637	464	829	537	139	0	0	0	0	0	0	443	774	778	0
Raver1	195.486486	0	0	0	0	0	0	0	0	0	0	190	0	0	0	0	138	450	0	0	0	0	395	132	1444	489	588	480	371	207	0	0	0	0	0	524	717	1108	0
Asph	194.648649	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	324	444	0	978	0	0	487	0	1850	528	309	405	264	145	0	0	0	0	0	446	415	607	0
Msra	193.189189	0	0	0	0	0	0	0	128	0	0	103	0	0	0	0	115	269	0	288	0	0	460	252	1969	975	835	836	121	0	0	0	0	0	0	138	185	474	0
Eid1	190.621622	119	0	0	0	0	0	0	153	0	0	318	0	0	0	0	197	219	0	1144	0	0	256	178	1202	261	846	348	236	123	0	0	0	0	0	401	409	643	0
Zfp654	189.054054	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	163	272	0	363	0	0	279	286	1767	756	988	508	248	173	0	0	0	0	0	285	370	537	0
Cggbp1	189.054054	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	163	272	0	363	0	0	279	286	1767	756	988	508	248	173	0	0	0	0	0	285	370	537	0
Sap30	186.648649	0	165	0	0	0	356	255	456	450	494	1094	0	0	0	0	143	217	0	211	0	0	146	0	677	209	195	210	295	193	0	0	0	0	0	397	224	519	0
Anxa2	184.351351	101	161	0	0	0	191	105	131	238	228	713	0	0	0	0	340	385	0	156	0	0	337	0	1062	264	264	323	383	288	0	0	0	0	0	241	348	562	0
Glo1	183.594595	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1028	303	2257	1238	972	995	0	0	0	0	0	0	0	0	0	0	0
