Target_genes	Rel|Average	SRX14226822|B_cells	SRX14226823|B_cells	SRX14226824|B_cells	SRX14226825|B_cells	SRX14226826|B_cells	SRX14226827|B_cells	SRX122495|Dendritic_Cells	SRX122496|Dendritic_Cells	SRX122497|Dendritic_Cells	SRX122498|Dendritic_Cells	SRX122574|Dendritic_Cells	SRX122575|Dendritic_Cells	SRX3380944|Dendritic_Cells	SRX3380945|Dendritic_Cells	SRX3380946|Dendritic_Cells	STRING
Fgfr1	86.866667	0	0	0	0	0	0	0	0	0	0	0	0	763	540	0	0
Ddias	86.866667	0	0	0	0	0	0	0	0	0	0	0	0	723	580	0	0
Mllt6	86.266667	0	0	0	83	0	0	0	0	0	0	0	0	543	668	0	0
Sorbs2	85.333333	0	0	0	0	0	0	0	0	0	0	0	0	778	502	0	0
Rabgap1l	84.933333	0	0	0	0	0	0	0	0	0	0	0	0	566	708	0	0
Napsa	84.933333	0	0	0	0	0	0	0	0	0	0	0	0	720	554	0	0
Syk	84.533333	0	0	0	0	0	0	0	0	0	0	0	0	614	654	0	0
Tnf	84.333333	0	0	0	0	0	0	0	0	0	0	0	0	799	466	0	0
Lta	84.333333	0	0	0	0	0	0	0	0	0	0	0	0	799	466	0	0
Popdc2	84.000000	0	0	0	0	0	0	0	0	0	0	0	0	761	499	0	0
Hcar2	83.733333	0	0	0	0	0	0	0	0	0	0	0	0	701	555	0	0
Stk4	83.400000	0	0	0	0	0	0	0	0	0	0	0	0	555	696	0	0
Efhd2	83.066667	0	0	0	0	0	0	0	0	0	0	0	0	620	626	0	0
Tmem266	82.933333	0	0	0	0	70	110	0	0	0	0	0	0	471	593	0	0
Pfkp	82.600000	0	0	0	0	0	0	0	0	0	0	0	0	720	519	0	0
Pgls	82.533333	0	0	0	0	0	90	0	0	0	0	0	0	664	484	0	0
Niban3	82.533333	0	0	0	0	0	90	0	0	0	0	0	0	664	484	0	0
Ccnl1	82.333333	0	0	0	0	0	0	0	0	0	0	0	0	722	513	0	0
Slamf1	81.933333	0	0	0	0	0	0	0	0	0	0	0	0	732	497	0	0
Ube2f	81.600000	0	0	0	0	0	0	0	0	0	0	0	0	774	450	0	0
Ptpn12	81.200000	0	0	0	0	0	0	0	0	0	0	0	0	662	556	0	0
Slfn2	81.000000	0	0	0	0	0	0	0	0	0	0	0	0	618	597	0	0
Src	80.933333	0	0	0	0	0	0	0	0	0	0	0	0	831	383	0	0
Arhgap26	80.733333	0	0	0	0	0	0	0	0	0	0	0	0	743	468	0	0
Coro1b	80.266667	0	0	0	0	0	0	0	0	0	0	0	0	875	329	0	0
P2rx5	79.933333	0	0	0	0	0	0	0	0	0	0	0	0	1026	173	0	0
9130401M01Rik	79.933333	0	0	0	0	0	0	0	0	0	0	0	0	609	590	0	0
Bcl2l1	79.600000	0	0	0	0	0	0	0	0	0	0	0	0	817	377	0	408
Nek6	79.600000	0	0	0	0	0	0	0	0	0	0	0	0	744	450	0	0
Gypc	78.666667	0	0	0	0	0	0	0	0	0	0	0	0	727	453	0	0
Spi1	78.600000	0	0	0	0	0	0	0	0	0	0	0	0	598	581	0	0
Rab32	78.133333	0	0	0	0	0	0	0	0	0	0	0	0	726	446	0	0
Hivep1	77.733333	0	0	0	0	122	0	0	0	0	0	0	0	603	441	0	0
Ifnb1	77.000000	0	0	0	0	0	0	0	0	0	0	0	0	531	624	0	0
Utp18	76.933333	0	0	0	0	0	0	0	0	0	0	0	0	664	490	0	0
Mbtd1	76.933333	0	0	0	0	0	0	0	0	0	0	0	0	664	490	0	0
Atxn7l1	76.866667	0	0	0	0	0	0	0	0	0	0	0	0	579	574	0	0
Il21r	76.600000	0	0	0	0	0	0	0	0	0	0	0	0	505	644	0	0
Lamp1	76.533333	0	0	0	0	0	0	0	0	0	0	0	0	611	537	0	0
Prkab2	75.600000	0	0	0	0	0	0	0	0	0	0	0	0	738	396	0	0
Olfr433	74.733333	0	0	0	0	0	0	0	0	0	0	0	0	723	398	0	0
Bcl2l14	74.533333	0	0	0	0	0	0	0	0	0	0	0	0	599	519	0	0
Cyth4	74.266667	0	0	0	0	0	0	0	0	0	0	0	0	801	313	0	0
Fhit	74.066667	0	0	0	0	0	109	0	0	0	0	0	0	778	224	0	0
Usp40	73.733333	0	0	0	0	0	0	0	0	0	0	0	0	543	563	0	0
Abtb2	73.600000	0	0	0	0	0	0	0	0	0	0	0	0	790	314	0	0
H2-Q8	73.466667	0	0	0	0	0	0	0	0	0	0	0	0	575	527	0	0
H2-Q6	73.466667	0	0	0	0	0	0	0	0	0	0	0	0	575	527	0	0
Spindoc	73.266667	0	0	0	0	0	0	0	0	0	0	0	0	543	556	0	0
Ffar2	73.266667	0	0	0	0	0	0	0	0	0	0	0	0	568	531	0	0
Ccdc86	73.133333	0	0	0	0	0	0	0	0	0	0	0	0	679	418	0	0
Slc15a3	73.000000	0	0	0	0	0	0	0	0	0	0	0	0	531	564	0	0
Lad1	72.600000	0	0	0	0	0	0	0	0	0	0	0	0	530	559	0	0
Sp8	72.266667	0	0	0	0	0	0	0	0	0	0	0	0	612	472	0	0
Rps27l	72.066667	0	0	0	0	0	0	0	0	0	0	0	0	535	546	0	0
Arhgap17	71.800000	0	0	0	0	0	0	0	0	0	0	0	0	656	421	0	0
Ocstamp	71.466667	0	0	0	0	0	0	0	0	0	0	0	0	611	461	0	0
Gbp5	71.400000	0	0	0	0	0	0	0	0	0	0	0	0	610	461	0	0
Dot1l	71.000000	0	0	0	0	0	0	0	0	0	0	0	0	637	428	0	0
Ndst1	70.800000	0	0	0	0	0	0	0	0	0	0	0	0	607	455	0	0
Itgb1bp2	70.800000	0	0	0	0	0	0	0	0	0	0	0	0	633	429	0	0
Mab21l4	70.466667	0	0	0	0	0	0	0	0	0	0	0	0	570	487	0	0
Crocc2	70.466667	0	0	0	0	0	0	0	0	0	0	0	0	570	487	0	0
Cpd	70.400000	0	0	0	0	0	0	0	0	0	0	0	0	933	123	0	0
Klf2	70.200000	0	0	0	0	0	0	0	0	0	0	0	0	700	353	0	0
Riok3	69.933333	0	0	0	0	0	0	0	0	0	0	0	0	581	468	0	0
Naaa	69.733333	0	0	0	0	0	0	0	0	0	0	0	0	759	287	0	0
Slamf8	69.666667	0	0	0	0	0	0	0	0	0	0	0	0	622	423	0	0
6030468B19Rik	69.333333	0	0	0	0	0	71	0	0	0	0	0	0	351	618	0	0
Pigv	69.133333	0	0	0	0	0	0	0	0	0	0	0	0	684	353	0	0
Bcl9	69.066667	0	0	0	0	0	0	0	0	0	0	0	0	899	137	0	0
Gpr68	68.933333	0	0	0	0	0	0	0	0	0	0	0	0	581	453	0	0
Ankrd45	68.933333	0	0	0	0	0	0	0	0	0	0	0	0	740	294	0	0
Ehd1	68.800000	0	0	0	0	0	94	0	0	0	0	0	0	390	548	0	0
Slc6a12	68.733333	0	0	0	0	0	0	0	0	0	0	0	0	608	423	0	0
Pea15a	68.666667	0	0	0	0	0	0	0	0	0	0	0	0	696	334	0	0
Ifitm5	68.533333	0	0	0	0	0	0	0	0	0	0	0	0	753	275	0	0
Ctnnd1	68.333333	0	0	0	0	0	0	0	0	0	0	0	0	748	277	0	0
Btbd18	68.333333	0	0	0	0	0	0	0	0	0	0	0	0	748	277	0	0
Sh3bp1	68.266667	0	0	0	0	0	0	0	0	0	0	0	0	456	568	0	0
Cldn7	67.666667	0	0	0	0	0	0	0	0	0	0	0	0	617	398	0	0
Vipas39	67.466667	0	0	0	0	0	0	0	0	0	0	0	0	718	294	0	0
Ahsa1	67.466667	0	0	0	0	0	0	0	0	0	0	0	0	718	294	0	0
Cd69	67.400000	0	0	0	0	0	0	0	0	0	0	0	0	545	466	0	0
C9orf72	67.133333	0	0	0	0	0	0	0	0	0	0	0	0	594	413	0	0
Spop	66.866667	0	0	0	0	0	0	0	0	0	0	0	0	499	504	0	0
Reep3	66.533333	0	0	0	0	0	0	0	0	0	0	0	0	519	479	0	0
Cd83	66.533333	0	0	0	0	0	0	0	0	0	0	0	0	665	333	0	0
Tefm	66.200000	0	0	0	0	0	0	0	0	0	0	0	0	640	353	0	0
Unc93b1	66.000000	0	0	0	0	0	0	0	0	0	0	0	0	615	375	0	0
Slc4a4	66.000000	0	0	0	0	0	0	0	0	0	0	0	0	585	405	0	0
Gm21188	65.933333	0	0	0	0	0	0	0	0	0	0	0	0	621	368	0	0
Enthd1	65.866667	0	0	0	0	0	0	0	0	0	0	0	0	540	448	0	0
Txndc15	65.733333	0	0	0	0	0	0	0	0	0	0	0	0	425	561	0	0
Pde4a	65.200000	0	0	0	0	0	148	0	0	0	0	0	0	441	389	0	0
Sucnr1	65.000000	0	0	0	0	0	0	0	0	0	0	0	0	497	478	0	0
Cd52	65.000000	0	0	0	0	0	0	0	0	0	0	0	0	735	240	0	0
Polb	64.933333	0	0	0	0	0	0	0	0	0	0	0	0	584	390	0	0
Pde1b	64.866667	0	0	0	0	0	0	0	0	0	0	0	0	572	401	0	0
Manbal	64.666667	0	0	0	0	0	0	0	0	0	0	0	0	581	389	0	0
Tapbpl	64.533333	0	0	0	0	0	0	0	0	0	0	0	0	322	646	0	0
Olfr460	64.400000	0	0	0	0	0	0	0	0	0	0	0	0	554	412	0	0
Fuca1	64.200000	0	0	0	0	0	0	0	0	0	0	0	0	514	449	0	0
Cnr2	64.200000	0	0	0	0	0	0	0	0	0	0	0	0	514	449	0	0
Parp11	63.800000	0	0	0	0	0	0	0	0	0	0	0	0	501	456	0	0
Colgalt1	63.800000	0	0	0	0	0	0	0	0	0	0	0	0	613	344	0	0
Otor	63.733333	0	0	0	0	0	0	0	0	0	0	0	0	464	492	0	0
Got2	63.733333	0	0	0	0	0	0	0	0	0	0	0	0	555	401	0	0
Gbp3	63.600000	0	0	0	0	0	0	0	0	0	0	0	0	592	362	0	0
Zfp456	63.533333	0	0	0	0	0	0	0	0	0	0	0	0	363	590	0	0
Tmem138	63.533333	0	0	0	0	0	0	0	0	0	0	0	0	581	372	0	0
Cyb561a3	63.533333	0	0	0	0	0	0	0	0	0	0	0	0	581	372	0	0
Olfr432	63.133333	0	0	0	0	0	0	0	0	0	0	0	0	562	385	0	0
Trim56	62.933333	0	0	0	0	0	0	0	0	0	0	0	0	390	554	0	0
Nfkb2	62.933333	0	0	0	0	83	99	0	0	0	0	0	0	438	324	0	0
Cabp1	62.733333	0	0	0	0	0	0	0	0	0	0	0	0	590	351	0	0
Slc30a3	62.533333	0	0	0	0	0	0	0	0	0	0	0	0	598	340	0	0
Clec4b2	62.533333	0	0	0	0	0	0	0	0	0	0	0	0	670	268	0	0
Ndufa2	62.133333	0	0	0	0	0	0	0	0	0	0	0	0	574	358	0	0
Ik	62.133333	0	0	0	0	0	0	0	0	0	0	0	0	574	358	0	0
Prrc2b	62.066667	0	0	0	0	0	0	0	0	0	0	0	0	518	413	0	0
Ifi205	61.733333	0	0	0	0	0	0	0	0	0	0	0	0	491	435	0	0
Cd36	61.666667	0	0	0	0	0	0	0	0	0	0	0	0	726	199	0	0
Stim2	61.266667	0	0	0	0	0	0	0	0	0	0	0	0	641	278	0	0
Zbtb22	61.200000	0	0	0	0	0	0	0	0	0	0	0	0	562	356	0	0
Tapbp	61.200000	0	0	0	0	0	0	0	0	0	0	0	0	562	356	0	0
Gpr84	60.800000	0	0	0	0	0	0	0	0	0	0	0	0	383	529	0	0
Braf	60.466667	0	0	0	0	0	0	0	0	0	0	0	0	422	485	0	0
P2ry14	60.333333	0	0	0	0	0	0	0	0	0	0	0	0	550	355	0	0
Mlana	60.266667	0	0	0	0	0	0	0	0	0	0	0	0	552	352	0	0
Ccl5	60.266667	0	0	0	0	0	0	0	0	0	0	0	0	658	246	0	0
Mlkl	60.133333	0	0	0	0	0	0	0	0	0	0	0	0	385	517	0	0
Gbp9	60.000000	0	0	0	0	0	0	0	0	0	0	0	0	607	293	0	0
Arap1	60.000000	0	0	0	0	0	0	0	0	0	0	0	0	649	251	0	0
Atp2a2	59.800000	0	0	0	0	0	0	0	0	0	0	0	0	577	320	0	0
Slc39a10	59.466667	0	0	0	0	0	0	0	0	0	0	0	0	511	381	0	0
Atp6v0c	59.466667	0	0	0	0	0	0	0	0	0	0	0	0	484	408	0	0
Dennd5a	59.333333	0	0	0	0	0	0	0	0	0	0	0	0	368	522	0	0
Zmynd15	59.266667	0	0	0	0	0	0	0	0	0	0	0	0	436	453	0	0
Clasp1	58.600000	0	0	0	0	0	0	0	0	0	0	0	0	538	341	0	0
Sec24b	58.333333	0	0	0	0	0	0	0	0	0	0	0	0	559	316	0	0
Kmo	58.266667	0	0	0	0	0	0	0	0	0	0	0	0	461	413	0	0
Slc9a5	58.133333	0	0	0	0	0	0	0	0	0	0	0	0	412	460	0	0
Glipr1	58.133333	0	0	0	0	0	0	0	0	0	0	0	0	489	383	0	0
Fhod1	58.133333	0	0	0	0	0	0	0	0	0	0	0	0	412	460	0	0
Hoxc10	58.066667	0	0	0	0	0	0	0	0	0	0	0	0	525	346	0	0
Hook2	57.933333	0	0	0	0	0	91	0	0	0	0	0	0	513	265	0	0
Tlr2	57.533333	0	0	0	0	0	0	0	0	0	0	0	0	565	298	0	0
Cln3	57.533333	0	0	0	0	0	0	0	0	0	0	0	0	560	303	0	0
Apobr	57.533333	0	0	0	0	0	0	0	0	0	0	0	0	560	303	0	0
Sowahc	57.466667	0	0	0	0	0	0	0	0	0	0	0	0	403	459	0	0
Septin10	57.466667	0	0	0	0	0	0	0	0	0	0	0	0	403	459	0	0
Mmp9	57.466667	0	0	0	0	0	0	0	0	0	0	0	0	448	414	0	0
Sppl2a	57.400000	0	0	0	0	0	0	0	0	0	0	0	0	611	250	0	0
Fbrs	57.400000	0	0	0	0	0	0	0	0	0	0	0	0	649	212	0	0
Nckipsd	57.266667	0	0	0	0	0	0	0	0	0	0	0	0	476	383	0	0
Aldh2	57.266667	0	0	0	0	0	0	0	0	0	0	0	0	367	492	0	0
Exoc3l4	57.133333	0	0	0	0	0	0	0	0	0	0	0	0	499	358	0	0
