Target_genes	Pitx1|Average	SRX195355|Hindlimb	SRX195357|Hindlimb	SRX2978809|Hindlimb	SRX3205484|Squamous_cell_carcinoma	SRX3205486|Squamous_cell_carcinoma	SRX3205490|Squamous_cell_carcinoma	SRX3205491|Squamous_cell_carcinoma	SRX5283003|Squamous_cell_carcinoma	STRING
Ddx25	253.500000	142	0	1886	0	0	0	0	0	0
Hes1	248.750000	796	423	771	0	0	0	0	0	0
Ufsp2	237.625000	362	450	895	0	0	194	0	0	0
1700029J07Rik	237.625000	362	450	895	0	0	194	0	0	0
Myd88	234.375000	340	257	1127	0	0	151	0	0	0
Acaa1a	234.375000	340	257	1127	0	0	151	0	0	0
Myh6	233.250000	404	405	1057	0	0	0	0	0	0
Surf6	232.875000	384	295	992	0	0	192	0	0	0
Mettl8	232.500000	229	383	794	193	0	261	0	0	0
Dcaf17	232.500000	229	383	794	193	0	261	0	0	0
Sobp	232.125000	340	528	989	0	0	0	0	0	0
Cdk5r2	231.250000	394	233	1223	0	0	0	0	0	0
H4f16	226.250000	96	201	1513	0	0	0	0	0	0
H2aj	226.250000	96	201	1513	0	0	0	0	0	0
Dchs2	226.250000	645	720	0	0	0	200	245	0	0
Nfkbiz	224.250000	120	257	868	199	0	350	0	0	0
Tnni2	224.000000	358	335	1099	0	0	0	0	0	0
Syt8	224.000000	358	335	1099	0	0	0	0	0	0
Zfp623	221.875000	318	278	688	195	0	296	0	0	0
Lpar1	217.375000	322	286	1131	0	0	0	0	0	0
Pcyt1b	217.125000	156	576	1005	0	0	0	0	0	0
Col9a1	213.375000	236	354	1117	0	0	0	0	0	0
Klhl18	209.875000	0	245	1434	0	0	0	0	0	0
Kif9	209.875000	0	245	1434	0	0	0	0	0	0
Lrr1	208.250000	93	144	1096	133	200	0	0	0	0
Syne1	204.375000	254	588	793	0	0	0	0	0	0
B3gnt7	203.750000	143	250	1237	0	0	0	0	0	0
Atg12	202.250000	291	197	797	142	0	191	0	0	0
Ap3s1	202.250000	291	197	797	142	0	191	0	0	0
Hoxc5	202.000000	263	462	819	0	0	72	0	0	0
Tnrc18	200.250000	0	294	1308	0	0	0	0	0	0
Hax1	195.375000	357	255	951	0	0	0	0	0	0
Fat4	194.875000	192	546	821	0	0	0	0	0	0
Tril	193.500000	212	326	1010	0	0	0	0	0	0
Ogdh	191.875000	122	151	1166	96	0	0	0	0	0
Alx3	191.125000	272	374	883	0	0	0	0	0	0
Marveld3	188.625000	0	0	0	654	128	727	0	0	0
Itfg2	185.875000	0	222	1128	137	0	0	0	0	0
Stil	185.375000	551	261	671	0	0	0	0	0	0
Ankrd40	184.875000	144	0	712	227	0	396	0	0	0
Homer3	183.875000	0	440	1031	0	0	0	0	0	0
Jmjd1c	182.625000	172	146	393	188	181	381	0	0	0
C1qtnf12	181.875000	226	471	758	0	0	0	0	0	0
Khsrp	180.250000	157	145	958	0	0	182	0	0	0
Hip1	180.250000	462	423	557	0	0	0	0	0	0
Gpx8	178.000000	246	271	907	0	0	0	0	0	0
Nfil3	177.875000	180	355	888	0	0	0	0	0	0
Zfp960	176.875000	90	139	1038	0	0	148	0	0	0
Xxylt1	176.625000	259	389	647	118	0	0	0	0	0
Mcrip1	176.125000	0	0	0	0	0	1409	0	0	0
Zdbf2	176.000000	327	662	419	0	0	0	0	0	0
Sulf1	175.500000	396	256	752	0	0	0	0	0	0
Pex5l	175.500000	309	308	787	0	0	0	0	0	0
Oasl1	175.375000	503	728	0	0	0	0	0	172	0
Olfr794	173.000000	156	586	642	0	0	0	0	0	0
Pdzrn4	172.625000	383	561	437	0	0	0	0	0	0
Asf1b	172.250000	235	208	835	0	0	100	0	0	0
Snrpd3	171.750000	0	168	1033	0	0	173	0	0	0
Gucd1	171.750000	0	168	1033	0	0	173	0	0	0
Nudt13	170.875000	238	335	794	0	0	0	0	0	0
Hoxc6	169.125000	0	462	819	0	0	72	0	0	0
A2m	167.125000	216	265	856	0	0	0	0	0	0
Stox2	166.750000	454	513	367	0	0	0	0	0	0
Crybg3	166.125000	129	171	1029	0	0	0	0	0	0
Robo3	166.000000	213	332	783	0	0	0	0	0	0
Sec13	164.250000	179	230	905	0	0	0	0	0	0
Prkaa1	163.750000	171	440	699	0	0	0	0	0	0
4930558K02Rik	163.375000	321	334	652	0	0	0	0	0	0
Gga1	162.875000	0	0	899	246	0	158	0	0	0
Mtfr1l	162.375000	0	0	0	508	183	608	0	0	0
Ppip5k2	161.875000	214	359	722	0	0	0	0	0	0
Gin1	161.875000	214	359	722	0	0	0	0	0	0
Poc5	161.500000	190	317	785	0	0	0	0	0	0
Maml2	160.875000	0	200	0	532	212	343	0	0	0
Pigs	160.750000	276	379	631	0	0	0	0	0	0
Aldoc	160.750000	276	379	631	0	0	0	0	0	0
Ncoa2	158.500000	140	230	898	0	0	0	0	0	0
Ifna13	158.500000	201	290	384	0	0	165	228	0	0
Cntn4	158.375000	331	259	677	0	0	0	0	0	0
Phyhd1	157.375000	0	171	255	348	224	261	0	0	0
Dele1	156.875000	0	0	0	150	1105	0	0	0	0
Msra	156.250000	373	234	643	0	0	0	0	0	0
Med25	156.250000	173	175	902	0	0	0	0	0	0
Fuz	156.250000	173	175	902	0	0	0	0	0	0
Polr2e	155.125000	0	0	821	0	0	420	0	0	0
Tdrd9	154.875000	156	220	350	256	0	257	0	0	0
Car5a	154.875000	229	208	802	0	0	0	0	0	0
Banp	154.875000	229	208	802	0	0	0	0	0	0
Atp5mpl	154.875000	156	220	350	256	0	257	0	0	0
Gjc1	152.625000	129	327	765	0	0	0	0	0	0
Tnrc6b	152.250000	0	0	302	387	171	358	0	0	0
Calr3	152.125000	313	220	684	0	0	0	0	0	0
1700030K09Rik	152.125000	313	220	684	0	0	0	0	0	0
Vcam1	152.000000	388	279	549	0	0	0	0	0	0
Lin28a	151.125000	0	324	885	0	0	0	0	0	0
Rabl3	149.500000	150	138	908	0	0	0	0	0	0
Gtf2e1	149.500000	150	138	908	0	0	0	0	0	0
Gabpb2	149.125000	262	0	766	0	0	165	0	0	0
Adnp	148.875000	0	0	1035	0	0	156	0	0	0
Efs	148.125000	190	294	701	0	0	0	0	0	0
Kazald1	147.375000	0	483	540	0	0	156	0	0	0
Hmgcll1	147.250000	154	482	542	0	0	0	0	0	0
Clcn4	146.875000	0	0	0	509	187	201	278	0	0
Pla2g2a	145.250000	196	399	567	0	0	0	0	0	0
Akr1cl	145.250000	222	345	595	0	0	0	0	0	0
Plpp3	143.125000	272	241	632	0	0	0	0	0	0
Acyp1	142.250000	128	161	656	193	0	0	0	0	0
Pde4b	141.125000	240	245	644	0	0	0	0	0	0
C330018D20Rik	140.500000	229	427	468	0	0	0	0	0	0
Zfp609	140.000000	177	238	387	101	0	217	0	0	0
Cwc25	139.750000	0	139	876	0	0	103	0	0	0
Add1	137.250000	222	119	666	91	0	0	0	0	0
Ptrhd1	136.125000	246	143	518	0	0	182	0	0	0
Cenpo	136.125000	246	143	518	0	0	182	0	0	0
Rfk	135.625000	194	415	476	0	0	0	0	0	0
Zfp598	135.125000	564	342	175	0	0	0	0	0	0
Ptpn3	135.125000	489	246	346	0	0	0	0	0	0
Brwd3	135.125000	0	0	1081	0	0	0	0	0	0
Abcf2	135.000000	141	154	650	0	0	135	0	0	0
Scx	134.875000	192	291	596	0	0	0	0	0	0
Lmo3	134.875000	335	263	481	0	0	0	0	0	0
Map3k14	134.250000	102	0	972	0	0	0	0	0	0
Pknox2	134.000000	106	131	835	0	0	0	0	0	0
Agbl5	134.000000	0	0	1072	0	0	0	0	0	0
Knl1	132.875000	0	0	1063	0	0	0	0	0	0
Prepl	132.625000	0	126	829	0	0	106	0	0	0
Olfr214	132.625000	292	276	493	0	0	0	0	0	0
Camkmt	132.625000	0	126	829	0	0	106	0	0	0
Nemf	132.375000	0	0	299	0	0	344	416	0	0
Ttc30b	132.250000	308	364	386	0	0	0	0	0	0
Ric3	132.000000	0	245	811	0	0	0	0	0	0
Duxbl3	132.000000	167	139	750	0	0	0	0	0	0
Duxbl2	132.000000	167	139	750	0	0	0	0	0	0
Duxbl1	132.000000	167	139	750	0	0	0	0	0	0
Mrpl28	129.875000	227	0	693	0	0	119	0	0	0
Clasp1	129.750000	0	208	830	0	0	0	0	0	0
Gm973	129.000000	462	202	368	0	0	0	0	0	0
Ptms	128.875000	162	207	662	0	0	0	0	0	0
Drosha	128.125000	189	212	624	0	0	0	0	0	0
6030458C11Rik	128.125000	189	212	624	0	0	0	0	0	0
Man1c1	126.500000	0	0	0	828	0	184	0	0	0
Lsp1	126.000000	255	295	319	0	0	139	0	0	0
P3h4	125.750000	0	0	0	307	0	699	0	0	0
Fkbp10	125.750000	0	0	0	307	0	699	0	0	0
Tigd2	123.375000	179	139	0	189	0	480	0	0	0
Mob3a	123.375000	0	0	987	0	0	0	0	0	0
Izumo4	123.375000	0	0	987	0	0	0	0	0	0
Zfp13	123.250000	104	184	698	0	0	0	0	0	0
Snrpc	123.000000	179	245	417	0	0	143	0	0	0
Thyn1	121.875000	0	190	549	67	0	169	0	0	0
Acad8	121.875000	0	190	549	67	0	169	0	0	0
Pifo	121.000000	145	0	823	0	0	0	0	0	0
Cntnap2	120.750000	198	371	397	0	0	0	0	0	0
Twnk	120.000000	169	251	540	0	0	0	0	0	0
Lzts2	120.000000	169	251	540	0	0	0	0	0	0
Gm4981	118.875000	0	0	278	351	213	109	0	0	0
Grsf1	118.625000	136	319	494	0	0	0	0	0	0
Tmem107	118.500000	0	0	948	0	0	0	0	0	0
Mtf2	118.375000	134	173	455	0	0	185	0	0	0
Camk4	118.250000	0	0	0	194	178	574	0	0	0
Trim11	117.750000	0	161	781	0	0	0	0	0	0
Nfia	117.750000	128	0	814	0	0	0	0	0	0
Mmp28	117.000000	183	418	335	0	0	0	0	0	0
Tmem200b	116.875000	0	158	777	0	0	0	0	0	0
Txnl4b	116.625000	158	97	530	0	148	0	0	0	0
Dhx38	116.625000	158	97	530	0	148	0	0	0	0
Pcnx3	116.375000	130	264	537	0	0	0	0	0	0
Map3k11	116.375000	130	264	537	0	0	0	0	0	0
Asprv1	115.375000	124	116	683	0	0	0	0	0	0
Polg	115.000000	0	0	920	0	0	0	0	0	0
Fzd2	115.000000	192	185	543	0	0	0	0	0	0
Utp3	114.750000	0	87	628	0	0	203	0	0	0
Frem1	114.375000	146	198	571	0	0	0	0	0	0
Dusp6	114.375000	113	139	445	0	0	218	0	0	0
Vps28	114.250000	145	161	608	0	0	0	0	0	0
Tex14	114.250000	203	131	580	0	0	0	0	0	0
Lmo2	114.000000	157	185	570	0	0	0	0	0	0
Klhl21	113.625000	0	0	203	266	0	440	0	0	0
Zcwpw2	113.125000	117	281	507	0	0	0	0	0	0
Azi2	113.125000	117	281	507	0	0	0	0	0	0
Atg4c	113.125000	193	372	340	0	0	0	0	0	0
Rpf1	112.875000	0	0	642	163	0	98	0	0	0
Cited2	111.875000	93	147	655	0	0	0	0	0	0
Togaram1	111.375000	0	0	891	0	0	0	0	0	0
Klhl28	111.375000	0	0	891	0	0	0	0	0	0
Tmtc2	111.125000	226	192	471	0	0	0	0	0	0
Slc48a1	110.625000	307	265	313	0	0	0	0	0	0
Mrln	110.125000	0	215	666	0	0	0	0	0	0
Recql	110.000000	95	271	514	0	0	0	0	0	0
Golt1b	110.000000	95	271	514	0	0	0	0	0	0
Lmln	109.500000	0	186	359	217	0	114	0	0	0
Thsd7a	109.000000	220	239	413	0	0	0	0	0	0
Nup205	108.875000	0	0	871	0	0	0	0	0	0
Fgf20	108.750000	255	233	382	0	0	0	0	0	0
Kbtbd11	108.375000	129	178	560	0	0	0	0	0	0
Cwc22	108.375000	151	126	372	0	0	218	0	0	0
Pag1	108.250000	267	230	369	0	0	0	0	0	0
Zfp622	107.875000	0	0	534	118	0	211	0	0	0
Ttc41	107.875000	0	241	622	0	0	0	0	0	0
Trmt112	107.875000	0	139	724	0	0	0	0	0	0
Prdx5	107.875000	0	139	724	0	0	0	0	0	0
Hsp90b1	107.875000	0	241	622	0	0	0	0	0	0
Mt1	107.500000	0	0	0	422	313	0	0	125	0
H4bc24	107.375000	0	178	542	0	0	139	0	0	0
H2bc23	107.375000	0	178	542	0	0	139	0	0	0
H2ac24	107.375000	0	178	542	0	0	139	0	0	0
H2ac23	107.375000	0	178	542	0	0	139	0	0	0
Riok2	107.250000	0	103	644	0	0	111	0	0	0
Ccdc73	107.250000	209	241	408	0	0	0	0	0	0
Cpsf6	107.125000	174	235	300	0	0	148	0	0	0
Wwox	106.875000	391	253	0	0	0	0	211	0	0
Mecom	106.875000	0	390	465	0	0	0	0	0	0
Tnfaip8	106.750000	141	164	549	0	0	0	0	0	0
N4bp2l2	105.750000	134	204	508	0	0	0	0	0	0
Ldb2	105.625000	179	238	428	0	0	0	0	0	0
Defb9	105.375000	156	281	406	0	0	0	0	0	0
Marchf9	105.000000	0	118	722	0	0	0	0	0	0
Fgd4	105.000000	238	186	416	0	0	0	0	0	0
Mlycd	104.500000	0	314	522	0	0	0	0	0	0
Rbm12b2	104.375000	0	0	835	0	0	0	0	0	0
Fsbp	104.250000	126	218	490	0	0	0	0	0	0
Tmem88	102.500000	0	212	608	0	0	0	0	0	0
Tmem47	102.500000	0	232	588	0	0	0	0	0	0
Naa38	102.500000	0	212	608	0	0	0	0	0	0
Map1lc3b	102.500000	300	252	268	0	0	0	0	0	0
Cyb5d1	102.500000	0	212	608	0	0	0	0	0	0
Gtf2a1l	102.375000	124	265	430	0	0	0	0	0	0
Ell2	102.250000	0	0	685	0	0	133	0	0	0
Tnnt1	102.000000	0	0	347	242	0	227	0	0	0
Pink1	101.500000	254	106	452	0	0	0	0	0	0
Crybb1	101.125000	138	208	463	0	0	0	0	0	0
Rps29	101.000000	0	0	232	0	0	319	257	0	0
Uba5	100.875000	0	0	807	0	0	0	0	0	0
Acad11	100.875000	0	0	807	0	0	0	0	0	0
Rpl10a	100.375000	209	190	404	0	0	0	0	0	0
Pard6g	100.375000	153	306	344	0	0	0	0	0	0
Rps7	100.125000	0	0	801	0	0	0	0	0	0
Zbtb10	100.000000	158	188	454	0	0	0	0	0	0
Asb4	100.000000	153	197	450	0	0	0	0	0	0
Mrps28	99.875000	109	0	376	0	0	314	0	0	0
Cox7a2l	99.750000	0	227	571	0	0	0	0	0	0
Fam181b	99.500000	171	116	509	0	0	0	0	0	0
Nfatc2ip	99.375000	232	0	563	0	0	0	0	0	0
Msrb2	99.375000	0	300	322	173	0	0	0	0	0
Sp2	99.000000	0	135	657	0	0	0	0	0	0
Arg1	98.750000	229	113	448	0	0	0	0	0	0
Tspear	98.375000	174	253	360	0	0	0	0	0	0
Tbc1d32	98.000000	0	147	511	126	0	0	0	0	0
Igf2bp3	97.750000	207	129	446	0	0	0	0	0	0
Alyref2	97.750000	0	194	588	0	0	0	0	0	0
Sft2d1	97.375000	0	232	380	0	167	0	0	0	0
Zfp97	97.125000	0	0	337	229	0	211	0	0	0
Afg3l2	97.125000	142	305	330	0	0	0	0	0	0
Zfp503	96.875000	0	176	599	0	0	0	0	0	0
Edrf1	96.875000	284	280	211	0	0	0	0	0	0
Smad5	96.500000	131	71	344	0	0	226	0	0	0
Mapk6	96.250000	336	128	306	0	0	0	0	0	0
Bdnf	96.250000	153	157	306	0	154	0	0	0	0
Ptgdr	96.125000	0	273	496	0	0	0	0	0	0
Psmd5	95.625000	0	0	342	147	276	0	0	0	0
Cutal	95.625000	0	0	342	147	276	0	0	0	0
Phc2	95.500000	0	231	533	0	0	0	0	0	0
Cdk12	95.375000	101	0	662	0	0	0	0	0	0
Hsbp1	95.000000	0	139	621	0	0	0	0	0	0
Dcakd	95.000000	153	202	405	0	0	0	0	0	0
Cenpu	95.000000	126	220	414	0	0	0	0	0	0
Disp1	94.250000	95	196	463	0	0	0	0	0	0
Irf2bpl	93.375000	129	215	312	0	91	0	0	0	0
Cltc	92.875000	0	0	586	0	0	157	0	0	0
Dcaf5	92.625000	533	208	0	0	0	0	0	0	0
Zmym4	92.500000	226	139	375	0	0	0	0	0	0
Mad2l1bp	92.375000	190	150	399	0	0	0	0	0	0
Dad1	92.375000	113	68	558	0	0	0	0	0	0
Abhd4	92.375000	113	68	558	0	0	0	0	0	0
Wtap	92.125000	0	0	635	0	0	102	0	0	0
Ip6k3	91.625000	0	220	513	0	0	0	0	0	0
Pde12	91.375000	0	0	602	0	0	129	0	0	0
Npc1	91.125000	0	146	445	138	0	0	0	0	0
Actl6a	91.125000	174	131	424	0	0	0	0	0	0
Dcp1a	90.750000	0	0	552	0	0	174	0	0	0
Ttll9	90.625000	0	0	417	145	163	0	0	0	0
Polr3k	90.375000	156	159	408	0	0	0	0	0	0
Wscd2	89.875000	135	174	410	0	0	0	0	0	0
Eef1a1	89.875000	205	198	316	0	0	0	0	0	0
Gm51425	89.625000	0	0	435	116	0	166	0	0	0
Ccdc81	89.125000	225	265	223	0	0	0	0	0	0
Borcs6	89.125000	0	0	713	0	0	0	0	0	0
Hmgb2	89.000000	0	0	712	0	0	0	0	0	0
Dnajb2	88.875000	0	290	421	0	0	0	0	0	0
Brf2	88.375000	0	227	480	0	0	0	0	0	0
Srsf7	88.250000	72	0	562	0	0	72	0	0	0
Lpar6	88.250000	133	159	414	0	0	0	0	0	0
Radil	88.125000	105	201	399	0	0	0	0	0	0
Kmt2d	88.125000	0	0	705	0	0	0	0	0	0
Sbk1	87.625000	81	243	377	0	0	0	0	0	0
Frs2	87.625000	0	0	0	213	0	488	0	0	0
Mfge8	87.500000	0	0	226	207	0	267	0	0	0
2310009B15Rik	87.375000	130	235	334	0	0	0	0	0	0
Tomt	86.875000	174	103	418	0	0	0	0	0	0
Rtn4rl1	86.875000	151	0	544	0	0	0	0	0	0
Lamtor1	86.875000	174	103	418	0	0	0	0	0	0
Fmnl2	86.875000	86	176	433	0	0	0	0	0	0
Dph1	86.875000	151	0	544	0	0	0	0	0	0
Nme5	86.750000	104	266	324	0	0	0	0	0	0
Zfp1	85.875000	0	0	181	159	197	150	0	0	0
Trip4	85.625000	70	137	356	122	0	0	0	0	0
Rnf5	85.625000	96	0	589	0	0	0	0	0	0
Agpat1	85.625000	96	0	589	0	0	0	0	0	0
Arid5b	85.500000	0	277	407	0	0	0	0	0	0
Ier2	85.375000	0	141	372	170	0	0	0	0	0
Cryba2	85.375000	0	197	486	0	0	0	0	0	0
Mafb	85.250000	172	155	355	0	0	0	0	0	0
Egf	85.000000	0	97	583	0	0	0	0	0	0
Aass	84.500000	148	186	342	0	0	0	0	0	0
Pigo	84.375000	0	220	354	0	0	101	0	0	0
Dtwd2	84.250000	0	0	674	0	0	0	0	0	0
Med16	84.125000	0	0	299	133	0	241	0	0	0
Nbeal2	84.000000	0	0	672	0	0	0	0	0	0
Ccdc12	84.000000	0	0	672	0	0	0	0	0	0
Krt6a	83.875000	0	0	0	304	0	367	0	0	0
Pf4	83.750000	0	0	0	230	144	296	0	0	0
Camk1g	83.625000	100	195	374	0	0	0	0	0	0
Akap6	83.625000	310	123	236	0	0	0	0	0	0
Spry4	83.250000	0	0	666	0	0	0	0	0	0
H4c18	83.250000	0	124	542	0	0	0	0	0	0
Pdpn	83.125000	169	245	251	0	0	0	0	0	0
Gsto1	82.875000	261	149	253	0	0	0	0	0	0
Zfp385b	82.750000	0	314	348	0	0	0	0	0	0
Taf5	82.500000	118	179	363	0	0	0	0	0	0
Setx	82.500000	0	0	660	0	0	0	0	0	0
Prdm4	82.250000	101	107	308	0	0	142	0	0	0
Kcng3	82.250000	173	165	320	0	0	0	0	0	0
Dcn	82.250000	130	270	258	0	0	0	0	0	0
Cdh12	82.250000	0	319	119	0	0	0	0	220	0
Gm38396	82.000000	0	0	257	173	0	226	0	0	0
Mrps30	81.875000	0	0	655	0	0	0	0	0	0
Nmt1	81.625000	0	128	525	0	0	0	0	0	0
Mad2l1	81.500000	120	123	409	0	0	0	0	0	0
Dcaf11	81.500000	0	114	538	0	0	0	0	0	0
Cxxc5	81.500000	187	133	332	0	0	0	0	0	0
Tmco5	81.375000	94	322	235	0	0	0	0	0	0
Naa50	81.250000	0	0	650	0	0	0	0	0	0
Atp6v1a	81.250000	0	0	650	0	0	0	0	0	0
Tma7	81.000000	114	139	395	0	0	0	0	0	0
Rab3il1	81.000000	135	154	359	0	0	0	0	0	0
Ccdc51	81.000000	114	139	395	0	0	0	0	0	0
Trem1	80.750000	154	150	342	0	0	0	0	0	0
Fam118a	80.750000	165	155	326	0	0	0	0	0	0
Zfp607b	80.625000	0	0	645	0	0	0	0	0	0
Gm10710	80.625000	645	0	0	0	0	0	0	0	0
Kctd5	80.500000	0	0	489	0	0	155	0	0	0
Smtnl2	80.000000	0	222	418	0	0	0	0	0	0
Slc4a2	80.000000	0	96	544	0	0	0	0	0	0
Pth1r	80.000000	0	114	526	0	0	0	0	0	0
Cdk5	80.000000	0	96	544	0	0	0	0	0	0
P4ha3	79.625000	287	123	227	0	0	0	0	0	0
Ttc33	79.250000	0	0	634	0	0	0	0	0	0
Kbtbd3	79.125000	171	81	299	0	0	82	0	0	0
Aasdhppt	79.125000	171	81	299	0	0	82	0	0	0
Trim12c	78.875000	0	128	503	0	0	0	0	0	0
Slc35b1	78.875000	0	137	494	0	0	0	0	0	0
Tbp	78.625000	213	70	346	0	0	0	0	0	0
Psmb1	78.625000	213	70	346	0	0	0	0	0	0
Krtap19-1	78.625000	0	0	629	0	0	0	0	0	0
Zbtb6	78.500000	0	147	481	0	0	0	0	0	0
Six4	78.250000	0	164	462	0	0	0	0	0	0
Cldnd2	78.250000	183	139	215	0	0	89	0	0	0
Tmed10	78.125000	0	144	481	0	0	0	0	0	0
Hmcn1	78.125000	92	176	357	0	0	0	0	0	0
Tfeb	78.000000	0	246	378	0	0	0	0	0	0
Pip4p2	78.000000	0	0	484	0	0	140	0	0	0
Tle1	77.750000	108	111	403	0	0	0	0	0	0
Sst	77.750000	156	155	311	0	0	0	0	0	0
Men1	77.750000	142	150	330	0	0	0	0	0	0
E2f2	77.750000	0	371	251	0	0	0	0	0	0
Ptgr2	77.250000	0	0	618	0	0	0	0	0	0
Spr	77.000000	149	118	349	0	0	0	0	0	0
Bbs4	77.000000	118	177	321	0	0	0	0	0	0
Clca1	76.875000	0	282	333	0	0	0	0	0	0
Frzb	76.500000	0	209	403	0	0	0	0	0	0
H3c15	75.875000	0	115	244	86	0	162	0	0	0
H3c14	75.875000	0	115	244	86	0	162	0	0	0
H2ac19	75.875000	0	115	244	86	0	162	0	0	0
H2ac18	75.875000	0	115	244	86	0	162	0	0	0
Tsr1	75.625000	0	170	435	0	0	0	0	0	0
Sgsm2	75.625000	0	170	435	0	0	0	0	0	0
Tob2	75.500000	0	191	413	0	0	0	0	0	0
Gab1	75.500000	157	236	211	0	0	0	0	0	0
Zfp692	75.250000	0	0	602	0	0	0	0	0	0
Tmem138	75.250000	0	127	475	0	0	0	0	0	0
Cyb561a3	75.250000	0	127	475	0	0	0	0	0	0
Nt5c3	75.125000	0	0	0	269	0	332	0	0	0
Imp4	75.000000	0	0	600	0	0	0	0	0	0
Etfbkmt	75.000000	0	0	128	0	472	0	0	0	0
Ccdc115	75.000000	0	0	600	0	0	0	0	0	0
Ptpn6	74.875000	0	130	469	0	0	0	0	0	0
Mbd6	74.875000	0	0	0	203	94	302	0	0	0
Grcc10	74.875000	0	130	469	0	0	0	0	0	0
Ddit3	74.875000	0	0	0	203	94	302	0	0	0
Rspry1	74.750000	0	0	598	0	0	0	0	0	0
Psme3ip1	74.750000	0	0	598	0	0	0	0	0	0
Lima1	74.750000	241	0	357	0	0	0	0	0	0
Elmo2	74.500000	146	103	347	0	0	0	0	0	0
Cyp27a1	74.500000	133	211	252	0	0	0	0	0	0
Tomm20	74.375000	0	0	209	170	0	216	0	0	0
Ctbp2	74.375000	0	0	480	0	0	115	0	0	0
Sfi1	74.250000	0	0	166	137	168	123	0	0	0
Rad51ap1	74.250000	0	0	594	0	0	0	0	0	0
Ppp4r2	74.250000	0	0	594	0	0	0	0	0	0
D6Wsu163e	74.250000	0	0	594	0	0	0	0	0	0
Msl2	74.125000	0	176	417	0	0	0	0	0	0
Fli1	74.000000	0	0	592	0	0	0	0	0	0
Tmem204	73.875000	115	232	244	0	0	0	0	0	0
Hnrnpul1	73.875000	95	0	496	0	0	0	0	0	0
Tspan31	73.750000	0	0	590	0	0	0	0	0	0
Ralgps2	73.500000	183	0	405	0	0	0	0	0	0
Krt42	73.500000	0	0	0	0	0	588	0	0	0
Cstf3	73.500000	201	140	247	0	0	0	0	0	0
Ccdc126	73.500000	183	0	405	0	0	0	0	0	0
Stra6l	73.375000	0	219	368	0	0	0	0	0	0
Nptx2	73.375000	0	128	459	0	0	0	0	0	0
Kif2c	73.375000	0	0	203	190	0	194	0	0	0
Hnrnpc	73.250000	0	0	329	111	0	146	0	0	0
Trib1	73.000000	0	239	345	0	0	0	0	0	0
Ptbp1	72.875000	0	0	399	0	0	184	0	0	0
Rap2a	72.375000	80	0	499	0	0	0	0	0	0
