Target_genes	Ebf1|Average	SRX018714|38B9	SRX587732|3T3-L1	SRX120206|B_cells	SRX120207|B_cells	SRX120424|B_cells	SRX14998422|Embryonic_liver	SRX14998423|Embryonic_liver	SRX7807060|Embryonic_liver	SRX7807062|Embryonic_liver	SRX9204114|Embryonic_liver	SRX9204116|Embryonic_liver	SRX6755615|ES_cells	SRX392756|HAFTL	SRX392757|HAFTL	SRX392758|HAFTL	SRX392759|HAFTL	SRX392760|HAFTL	SRX7821130|Hematopoietic_progenitors	SRX7821131|Hematopoietic_progenitors	SRX7821132|Hematopoietic_progenitors	SRX9204112|Leukemic_cell	SRX9204113|Leukemic_cell	SRX2162539|Pre-B_cells	SRX2162540|Pre-B_cells	SRX9350559|Pre-B_cells	SRX9350560|Pre-B_cells	SRX021878|Pro-B_cells	SRX1038471|Pro-B_cells	SRX1038472|Pro-B_cells	SRX1038473|Pro-B_cells	SRX1038474|Pro-B_cells	SRX120204|Pro-B_cells	SRX120205|Pro-B_cells	SRX14935391|Pro-B_cells	SRX14935393|Pro-B_cells	SRX19713228|Pro-B_cells	SRX19713229|Pro-B_cells	SRX2136459|Pro-B_cells	SRX2136460|Pro-B_cells	SRX2136461|Pro-B_cells	SRX2136462|Pro-B_cells	SRX3413799|Pro-B_cells	SRX3413800|Pro-B_cells	SRX3413801|Pro-B_cells	SRX3413802|Pro-B_cells	SRX3413803|Pro-B_cells	SRX3413820|Pro-B_cells	SRX3413821|Pro-B_cells	SRX9204115|Pro-B_cells	SRX9204117|Pro-B_cells	STRING
Arap1	1252.400000	411	960	153	145	1183	1470	2485	1425	1578	2487	1809	0	736	994	0	404	0	2051	1921	1751	2988	2941	2796	2593	528	519	0	1691	1095	1818	1371	599	568	373	0	1588	915	839	995	0	0	1280	1899	1517	1542	1689	1711	2019	1949	2834	0
Asb8	1251.960000	934	0	0	0	0	1957	2900	1315	1212	2602	1712	0	1103	928	0	506	0	2391	2306	2474	2979	2859	1898	1902	576	498	0	1267	1103	1558	792	752	713	243	0	1029	683	1132	927	0	0	1691	2083	2052	2282	1986	2402	2460	1590	2801	0
Brox	1234.760000	1507	0	292	359	791	2123	1729	2445	2267	2376	2523	349	1040	1037	359	905	562	567	630	748	1999	1993	1146	1146	614	576	159	1289	941	806	892	373	291	2439	2712	1114	1623	1064	1024	359	526	1836	1814	1678	1727	1672	2535	2358	834	1589	0
Aida	1234.760000	1507	0	292	359	791	2123	1729	2445	2267	2376	2523	349	1040	1037	359	905	562	567	630	748	1999	1993	1146	1146	614	576	159	1289	941	806	892	373	291	2439	2712	1114	1623	1064	1024	359	526	1836	1814	1678	1727	1672	2535	2358	834	1589	0
Cldn34d	1228.820000	1412	0	285	486	914	1832	1788	1862	1483	2125	2310	479	893	1077	380	326	540	875	999	935	1304	1082	1147	1310	1270	1463	163	1995	1699	1264	1780	696	472	2485	3036	1848	2224	852	1108	362	499	1145	1564	1370	961	938	2081	2028	1121	1173	0
Wdr93	1219.800000	381	2160	95	0	921	983	2424	618	1270	3025	2160	0	707	720	0	660	0	2038	2409	1681	3767	3111	2770	2303	795	459	0	1182	1087	1087	478	765	462	0	0	925	636	775	707	0	0	1396	1576	1816	1886	1705	1746	2203	2037	3064	0
Pex11a	1219.800000	381	2160	95	0	921	983	2424	618	1270	3025	2160	0	707	720	0	660	0	2038	2409	1681	3767	3111	2770	2303	795	459	0	1182	1087	1087	478	765	462	0	0	925	636	775	707	0	0	1396	1576	1816	1886	1705	1746	2203	2037	3064	0
Kcnn1	1174.520000	525	0	190	106	1586	1005	2060	1177	1459	2390	1504	0	720	596	0	708	0	2150	2200	1759	3443	2904	2601	2770	1697	1398	0	901	585	963	679	537	375	382	367	1032	715	767	601	0	0	1157	1358	1467	1672	1487	1735	1997	2213	2788	0
Irgc1	1148.820000	1173	0	0	173	1447	1230	2560	1178	974	2806	2225	0	576	619	0	293	0	2383	2351	2558	2598	2517	658	1028	672	529	0	1326	1443	1634	852	1322	1047	381	0	1071	261	631	631	0	0	1254	1751	1791	2034	1601	1662	1915	1589	2697	0
Smpd3	1135.980000	631	0	0	0	1407	803	1610	1160	1797	2401	1785	0	694	666	0	372	0	2230	2330	2275	2518	1989	2450	2030	1655	1633	0	1727	984	1641	1014	241	243	435	0	1238	863	736	669	0	0	1057	1351	1412	1567	1354	1310	2044	1843	2634	0
Tcstv3	1130.360000	1488	488	664	446	1987	941	731	1700	1722	0	0	380	2224	1387	697	1566	333	1167	1175	849	1585	1325	774	916	0	0	456	1896	1526	1892	1892	1554	1305	1384	1312	1524	1841	2266	1525	568	393	1038	1343	1313	1011	839	1280	1387	1374	1054	0
Hip1r	1118.440000	936	0	129	0	1645	1454	2822	1298	906	2565	1625	0	807	1102	0	97	0	1367	1416	1305	3313	3366	1062	1767	1664	1518	0	530	959	1160	142	655	656	187	0	873	220	877	1100	0	0	889	1707	1338	1534	1970	1800	1990	1926	3245	0
Slc17a9	1109.860000	411	0	0	0	283	1129	2388	1061	1702	2608	1860	0	460	564	104	363	0	1777	1701	1778	2710	2535	1955	1954	765	626	0	1316	1246	2074	825	351	207	252	0	1291	595	548	565	104	0	1352	1501	1587	2039	1858	1967	2240	1792	3049	0
Elavl3	1080.960000	1164	0	0	0	344	1036	1271	2073	1478	2929	2042	0	722	970	0	220	0	1687	1929	1446	2059	2256	682	962	557	473	0	1045	741	1086	421	799	650	314	0	1094	276	757	962	0	0	1616	1495	2232	2581	1705	2053	2463	2275	3183	0
Cdc42ep3	1073.140000	644	0	0	0	255	874	2073	977	1189	3076	2300	0	525	288	0	0	0	1157	1179	586	3548	3627	2599	2925	620	509	0	889	793	1009	521	797	738	0	0	1220	296	529	288	0	0	1177	1408	1711	1742	1390	2278	2230	2739	2951	0
Pik3r6	1063.080000	605	0	0	119	806	1002	2273	830	1102	2510	1981	0	377	588	109	286	0	2035	2045	1846	2642	2107	2173	2283	1180	1092	0	1297	1251	1823	1107	517	524	0	0	1300	461	390	583	108	0	1051	1443	1472	1711	1650	1278	1272	1555	2370	0
Ank2	1055.240000	163	0	0	0	0	1192	2578	440	635	3073	2017	0	658	990	140	649	0	2922	3103	3078	2465	2033	3063	2725	1626	1551	0	945	1123	1419	763	652	531	0	0	507	217	718	992	140	0	152	1415	314	838	1693	562	915	1181	2584	0
D6Ertd527e	1042.580000	389	2359	205	0	919	560	1454	888	1269	2525	1513	0	438	791	0	471	0	2165	2106	2186	2773	1746	2791	2948	1478	1570	0	1174	753	606	418	376	432	0	0	995	649	498	793	0	0	858	973	1285	1315	1004	1516	1838	1071	2031	0
Ell3	1035.840000	1181	0	0	0	1070	797	1867	1169	953	2402	1751	0	638	728	0	0	0	1721	1717	1633	2837	2241	1441	1684	988	661	0	1317	1176	1547	642	632	747	165	0	964	263	699	723	0	0	1037	1374	1422	1728	1414	1994	2240	1591	2638	0
Ppm1f	1022.360000	608	0	0	0	0	883	1779	1093	907	2764	1841	0	416	488	0	346	0	2186	1832	2017	2598	1848	2778	2733	822	986	0	1028	874	1041	713	719	643	0	0	1108	569	440	490	0	0	1214	1121	1960	1664	1465	1625	1896	1402	2221	0
Tor4a	1001.400000	470	184	131	0	1041	1015	2016	693	1100	2370	1620	0	535	490	91	575	0	1859	2102	2074	3293	2671	2298	2200	945	661	0	961	986	1264	1017	510	344	0	0	880	435	563	480	90	0	970	1176	1330	1146	1076	1326	1616	1391	2075	0
Vasn	988.380000	1090	0	0	0	268	562	1284	1602	1073	1850	987	0	1095	1311	123	637	0	2234	2251	2249	2787	1346	624	1055	635	645	0	1218	897	1094	397	475	460	180	0	238	180	1151	1304	122	0	1118	932	1813	1924	905	2158	2743	1384	3018	0
Amz2	973.040000	446	0	0	0	1573	912	2006	616	1280	2646	1633	0	349	241	0	270	0	1754	2029	1621	2898	3084	1470	1509	254	234	0	801	453	965	409	627	509	187	0	893	573	343	245	0	0	998	1317	1511	1603	1337	1656	1893	2254	3253	0
Hip1	928.780000	120	0	0	0	0	820	1720	0	0	2760	1847	0	0	0	0	0	0	175	974	997	2602	2648	2156	2665	1474	1437	0	700	646	871	522	0	0	0	0	1243	719	0	0	0	0	1765	1855	2032	2098	2035	1970	2138	2428	3022	0
Mterf2	926.460000	598	0	81	64	894	277	1148	618	1127	2630	1638	0	467	577	0	259	0	2087	1782	1984	2390	1844	2651	2297	842	788	0	1467	1038	1460	1109	435	400	0	0	805	418	502	576	0	0	837	1006	1145	1214	1191	1302	1642	1052	1681	0
Ucp2	904.040000	528	0	0	0	406	851	1711	967	1081	2395	1581	0	606	254	0	0	0	1332	1442	799	3029	2880	2081	2115	1094	1030	0	817	662	1178	398	500	377	0	0	1095	645	652	252	0	0	957	1288	1307	1447	1373	573	814	2020	2665	0
Rabif	901.100000	544	471	86	0	1457	587	1416	751	1093	2312	1656	0	500	333	0	371	0	1469	1662	1127	2992	2123	1723	1237	943	766	0	1284	818	1187	769	457	363	173	0	830	438	549	328	0	0	937	929	1033	1330	1143	1098	1427	1916	2427	0
Vpreb1	899.780000	764	0	0	0	0	823	1647	1164	1383	2466	1630	0	865	696	0	0	0	523	550	640	1178	1877	2077	1591	1275	1498	0	1469	1167	2086	1020	395	274	371	0	1348	711	937	696	0	0	768	1522	1051	1588	1608	306	390	1920	2715	0
Igll1	899.780000	764	0	0	0	0	823	1647	1164	1383	2466	1630	0	865	696	0	0	0	523	550	640	1178	1877	2077	1591	1275	1498	0	1469	1167	2086	1020	395	274	371	0	1348	711	937	696	0	0	768	1522	1051	1588	1608	306	390	1920	2715	0
Pck2	888.600000	337	0	0	0	588	550	1563	564	1031	2021	1122	0	255	399	0	367	0	2020	1991	2244	3053	2734	2405	1924	181	146	0	697	750	760	490	846	563	0	0	854	494	262	396	0	0	803	1121	1358	1544	1125	1215	1508	1734	2415	0
Hnrnph1	879.440000	213	0	0	0	945	295	1026	1029	1638	1971	1130	0	435	315	0	180	0	2212	2244	2009	3015	2038	2410	2126	832	809	0	825	492	567	298	137	0	0	0	684	332	444	314	0	0	963	764	1670	1460	935	1848	2006	1290	2071	0
Mesd	866.300000	512	637	97	0	1157	615	1449	542	855	2029	1176	0	473	426	0	412	0	1222	1291	1231	3140	2720	1838	1953	753	510	0	881	796	1107	839	413	347	0	0	800	561	526	415	0	0	1015	1067	1135	1169	1000	1131	1350	1554	2171	0
Septin9	864.780000	224	0	0	0	160	1028	2055	1464	1228	2170	1514	0	314	208	0	185	0	852	784	851	2723	2100	2334	2635	290	338	0	794	563	1099	428	315	294	188	0	1000	503	332	210	0	0	991	1252	1194	1442	1393	1799	2065	1607	2313	0
Hpca	860.700000	0	291	0	0	739	640	1419	679	1071	2375	1725	0	195	0	0	0	0	1935	2499	1249	2978	2743	2609	2090	429	343	0	576	349	356	128	566	317	0	0	932	482	188	0	0	0	1035	1048	1293	1503	1093	1022	1542	2056	2540	0
Atg4d	848.020000	414	0	0	0	952	602	1577	794	1325	1832	1212	0	688	718	0	583	0	1845	1822	1789	2390	1736	1957	1393	614	470	0	1293	888	1255	778	438	544	0	0	793	370	692	706	0	0	737	940	1164	887	854	955	1180	1344	1870	0
Pold4	838.540000	171	0	0	137	533	859	1746	595	810	2068	1272	0	266	478	0	283	0	1357	1550	1564	2670	2013	2107	2077	1087	1325	0	1168	1095	1655	1295	297	245	0	210	783	443	290	479	0	0	443	901	759	798	899	1064	1294	1065	1776	0
Ppm1a	831.400000	331	0	88	0	1169	529	1185	480	1301	2082	1186	0	424	239	0	255	0	781	1599	172	3389	2876	1654	1444	1684	1424	0	827	567	759	324	497	403	147	0	760	335	487	240	0	0	834	725	1132	1286	951	1379	1424	1764	2437	0
Cd19	829.720000	526	205	0	0	413	667	1516	776	1166	2476	1750	0	333	447	0	103	0	1401	1048	1300	1738	1584	2122	1986	782	570	0	1096	590	1605	910	577	618	233	0	878	518	378	464	0	0	573	1129	932	1127	1306	948	1375	1213	2107	0
Paip2	824.860000	421	0	0	0	923	514	1386	677	1065	2142	1424	0	288	430	0	187	0	1812	1915	1570	2473	1903	2514	2017	447	456	0	836	705	1180	853	470	471	0	0	749	345	345	433	0	0	809	958	1080	1308	1119	739	1020	1183	2076	0
Rinl	824.200000	497	0	223	0	1633	946	1706	1245	560	1870	927	0	363	0	0	0	0	721	646	672	3549	3253	911	1344	808	775	0	627	579	1128	266	679	383	224	0	1034	239	378	0	0	0	915	1317	1199	1385	1611	1222	1582	1219	2574	0
Aktip	815.220000	483	0	0	0	451	521	1578	455	1042	2198	1358	0	354	534	0	444	0	1548	1380	1451	2339	1660	1711	1367	904	735	0	1593	1119	1607	943	494	303	0	0	713	407	369	533	64	0	609	913	956	1077	1000	1190	1289	1143	1926	0
Mzb1	814.760000	474	0	0	0	549	642	1570	793	1142	2241	1437	0	375	529	0	0	0	1585	1227	1384	2247	1914	1987	1852	533	532	0	824	444	1167	431	641	536	159	0	926	459	377	531	0	0	531	845	1108	1082	1183	1196	1245	1514	2526	0
Topbp1	811.860000	288	0	0	0	0	389	927	1006	1411	2169	1422	0	309	334	0	156	0	1093	1296	475	2831	2548	1920	1841	1637	1485	0	1204	651	1145	463	339	230	122	0	753	473	325	335	0	0	755	818	1241	1089	1027	951	1149	1748	2238	0
Ppp1r16b	806.100000	390	0	0	0	833	534	1446	983	1225	2381	1733	0	275	300	0	62	0	1418	1288	683	2029	2201	1886	1137	821	619	0	990	648	977	448	710	422	0	0	786	412	314	301	0	0	855	914	957	1132	1343	861	1188	2087	2716	0
Pkig	800.720000	380	321	0	114	782	577	1467	762	842	2059	1202	0	406	405	0	115	0	1391	1121	1245	2150	1621	2527	1961	906	594	0	1059	898	1083	994	518	453	0	0	897	380	427	406	0	0	714	1060	942	1233	1054	1123	1274	881	1692	0
Lrrc32	795.940000	574	198	0	0	1055	882	1745	635	726	1986	1433	0	765	514	101	131	0	673	693	691	2296	1838	1651	1621	310	307	0	1109	1044	1184	700	481	353	338	0	1024	445	821	505	101	0	590	1395	798	1249	1470	783	788	1674	2120	0
Zfpm1	793.780000	254	0	0	0	492	672	1755	865	907	2201	1496	0	235	169	0	0	0	1070	1166	1322	1957	2065	2536	1759	716	734	0	963	752	1479	552	237	197	166	0	772	378	253	171	0	0	580	967	970	1290	1180	1333	1567	1311	2200	0
Pigv	781.120000	305	932	0	0	577	404	1219	783	1024	1943	1226	0	354	388	0	164	0	1845	1991	997	2606	1672	1805	1622	701	465	0	317	263	520	214	356	213	0	0	866	303	378	389	0	0	876	975	1190	1372	963	1295	1582	1812	2149	0
Vps26a	778.420000	314	0	0	0	711	684	1442	609	984	2136	1266	0	259	414	0	250	0	1479	1346	1305	2782	1969	2007	2152	633	481	0	1009	558	1121	524	472	302	0	0	880	388	287	415	0	0	791	999	943	1181	877	1077	1234	904	1736	0
Ablim1	766.940000	624	0	0	0	1230	485	1116	753	957	2268	1519	0	197	440	0	159	0	1636	1247	1525	2151	1810	2189	1773	471	322	0	528	579	785	350	732	481	0	0	585	247	246	446	0	0	631	825	1015	1141	1215	1069	1150	1351	2099	0
Pik3ap1	762.620000	529	0	0	0	130	623	1229	286	527	2110	1322	0	535	980	88	361	0	1212	1352	1417	2282	2026	2381	2265	660	554	0	640	432	750	436	707	470	0	0	821	267	573	980	89	0	425	812	692	947	919	1261	1094	1253	1694	0
Adipoq	762.400000	335	0	0	0	219	608	1562	263	498	2509	1483	0	123	299	0	205	0	1914	1884	1757	1494	1714	1830	2403	624	458	0	853	579	943	469	486	328	0	0	444	318	163	289	0	0	771	1125	1444	1471	979	1513	1820	600	1343	0
Pik3c2a	762.200000	277	320	0	0	509	294	894	1088	1463	2101	1319	0	328	0	0	230	0	1322	1317	746	3249	2786	1506	1427	1240	1006	0	454	382	365	0	307	183	0	0	708	411	348	0	0	0	589	763	1191	1080	874	988	1301	2140	2604	0
Rab5a	760.260000	355	0	0	0	828	501	1245	910	1158	1879	1189	0	436	471	0	377	0	1344	1482	1402	2540	1798	1750	1489	436	589	0	1009	664	1039	565	413	242	149	0	526	261	450	467	0	0	630	825	1152	1153	1065	959	1255	1106	1904	0
9430038I01Rik	757.020000	295	0	0	96	348	734	1539	793	534	2271	986	0	200	385	0	108	0	1877	1540	1707	2226	1560	1258	1400	1211	1180	0	938	983	966	631	620	497	0	0	363	353	230	386	0	0	782	1071	1272	1282	922	906	1146	601	1654	0
Clcn7	756.840000	235	0	128	0	925	454	877	951	1222	2595	1605	0	404	532	0	399	0	490	446	414	3032	2432	1474	2033	439	328	0	1033	794	1175	883	590	490	0	0	718	428	395	529	0	0	576	936	869	885	988	809	1198	1392	1739	0
Dnase2a	754.180000	270	0	0	0	628	523	1567	749	1235	2126	1243	0	217	259	0	229	0	1575	1532	1489	1413	1611	2000	1783	944	687	0	1201	730	981	850	398	280	0	0	605	356	229	264	0	0	679	838	1008	938	1168	776	1074	1217	2037	0
Nrros	752.440000	414	0	152	0	1184	565	1166	587	666	2540	1517	0	175	323	0	168	0	822	646	668	3034	2283	1804	2096	459	478	0	837	655	961	676	960	678	0	0	813	233	197	324	0	0	516	990	913	865	839	907	1317	1329	1865	0
Mvb12b	752.280000	582	0	0	0	0	503	1162	727	595	2391	1358	0	482	562	0	289	0	1729	1578	1769	1849	2150	1369	759	525	709	0	283	290	706	239	328	265	0	0	508	174	536	564	0	0	745	1002	1257	1721	1138	1346	1491	1495	2438	0
Tmed2	751.480000	260	155	0	0	886	744	1239	729	1539	2601	1639	0	432	147	0	95	0	345	557	0	2431	2381	1229	1122	1336	910	0	814	468	1001	414	138	0	0	0	634	407	473	0	0	0	757	1131	953	1145	1016	1004	1450	2293	2699	0
Morc3	751.460000	251	0	0	0	0	468	1029	782	1125	1979	1403	0	204	443	0	0	0	2036	1742	1907	1430	928	2297	2231	942	817	0	1477	451	1388	661	302	224	126	0	852	360	236	441	0	0	501	1255	764	1454	868	589	893	1017	1700	0
Hnf1b	747.500000	450	0	0	0	324	937	1911	551	869	2080	1124	0	340	152	0	168	0	1575	1529	1741	2799	2405	1276	1399	281	181	0	417	845	793	566	691	417	0	0	618	313	412	161	0	0	646	1189	928	1053	1236	764	1178	1283	1773	0
Dhrs3	742.100000	371	309	0	0	806	502	1318	587	971	1906	1168	0	0	137	0	0	0	1443	1908	1150	2824	2435	1036	1494	215	217	0	1090	708	1119	467	554	344	133	0	744	335	0	0	0	0	802	794	1004	1210	1001	1104	1423	1472	2004	0
Faap20	741.620000	337	290	0	0	477	788	1520	543	721	2480	1618	0	259	269	0	165	0	1668	1657	1281	1887	1510	1936	1753	487	519	0	850	721	746	673	601	321	0	0	708	399	272	267	0	0	658	1322	793	1130	985	983	1049	970	1468	0
Impdh1	737.740000	382	1530	0	0	0	722	1179	721	556	1907	1078	0	411	373	0	158	0	1616	1289	1459	1558	1674	2081	1832	266	283	0	858	529	1140	410	359	386	0	0	733	360	418	380	0	0	535	953	711	1120	1147	1021	1265	1587	1900	0
Crb2	734.280000	368	0	0	0	309	270	779	1019	945	1103	715	0	625	805	0	399	0	1262	976	1113	2252	1191	1096	739	1159	685	0	1117	528	1301	328	710	546	145	0	920	507	669	798	0	0	844	934	1125	1326	1024	732	1149	1718	2483	0
Tmem125	731.300000	470	104	241	136	706	966	736	964	882	464	518	154	799	478	416	299	367	312	319	413	1757	1540	307	386	108	202	0	1185	867	1123	958	501	367	658	734	876	941	809	468	432	344	1251	1096	935	1101	1217	1635	1604	1733	1686	0
Tlnrd1	729.900000	512	206	0	0	775	430	1429	542	750	2029	1176	0	364	297	0	238	0	1193	1256	900	2636	2275	1206	976	753	510	0	736	408	797	354	413	347	0	0	800	561	373	296	0	0	668	1067	994	1169	1000	984	1350	1554	2171	0
Clic1	728.000000	506	0	0	0	425	463	1109	664	1459	2186	1391	0	210	429	0	320	0	1539	1295	1277	2372	1391	1714	1323	708	338	0	1093	660	1086	667	572	419	172	0	468	350	230	419	0	0	566	898	995	757	849	1199	1416	805	1660	0
Sde2	726.660000	386	0	0	0	858	558	1471	567	827	2100	1270	0	216	267	0	235	0	1670	1496	1369	2248	1786	1583	1530	464	587	0	856	552	773	500	338	260	0	0	766	362	244	264	0	0	569	863	736	1007	1088	998	1598	1142	1929	0
Sfpq	724.240000	451	512	0	0	376	297	948	648	1162	1946	958	0	204	410	0	474	0	1341	1367	1197	2235	1474	1869	1784	1066	802	0	958	627	968	502	266	243	0	0	745	346	234	408	0	0	582	745	907	1055	902	900	1122	1069	2112	0
Cdkl4	722.720000	614	0	0	0	1135	543	1503	182	498	2482	1400	0	249	265	0	241	0	1878	1502	1435	2942	2328	1582	2021	504	326	0	703	573	676	345	739	595	0	0	426	0	287	269	0	0	573	657	966	1146	746	358	410	1077	1960	0
Gngt2	715.880000	328	0	0	0	911	472	1067	649	1093	1904	1210	0	288	343	0	211	0	1385	1348	1278	2515	1903	1250	1153	398	306	0	716	536	1059	432	382	233	0	0	684	266	306	347	0	0	717	927	911	1134	1049	987	1272	1591	2233	0
Abi3	715.880000	328	0	0	0	911	472	1067	649	1093	1904	1210	0	288	343	0	211	0	1385	1348	1278	2515	1903	1250	1153	398	306	0	716	536	1059	432	382	233	0	0	684	266	306	347	0	0	717	927	911	1134	1049	987	1272	1591	2233	0
Pik3cg	715.340000	354	0	0	0	422	772	1326	405	946	2041	1372	0	143	207	0	157	0	1591	1239	1594	1504	1152	2455	2206	535	489	0	863	958	1214	763	408	438	0	0	477	335	175	206	0	0	618	1131	1056	914	979	1102	1211	852	1157	0
Copg2	708.960000	227	641	0	0	1131	369	1140	714	988	2196	1159	0	496	176	0	264	0	413	519	145	2988	2384	1430	1505	852	816	0	873	384	1167	428	181	200	0	0	577	331	522	178	0	0	751	923	1031	905	906	674	886	1910	2068	0
Acp6	708.520000	365	383	0	0	1125	706	1620	746	1237	1142	598	0	0	0	0	0	0	1220	1108	1139	3135	2239	2012	1763	734	549	0	440	296	492	317	149	175	0	0	625	284	0	0	0	0	668	999	1340	1026	929	985	1365	1183	2332	0
Pik3cd	706.660000	547	0	0	0	0	252	558	907	1169	2113	1339	0	329	598	411	248	0	1591	1356	1225	1102	1145	1766	1224	364	580	198	673	510	1116	318	702	510	203	0	887	327	362	600	410	0	310	1073	558	1022	1184	795	892	1561	2298	0
Dipk1b	705.460000	482	0	0	0	0	259	1178	804	1260	2141	1363	0	177	215	0	0	0	1478	1329	1508	2076	2031	870	1015	538	419	0	878	482	764	375	521	407	0	0	584	230	191	216	0	0	553	917	1033	1226	1100	1153	1345	1736	2419	0
Pax5	704.380000	464	0	0	0	834	657	1400	953	982	2149	1628	0	399	425	0	224	0	1106	846	881	2360	1727	1713	1864	413	300	0	758	725	925	620	453	483	257	0	711	455	418	426	0	0	457	1060	775	906	1044	0	0	1365	2056	553
Dcaf5	699.820000	251	0	0	0	632	386	1221	1190	1327	2129	1030	0	143	520	0	109	0	2049	2099	2115	962	722	2446	2610	238	145	0	607	425	381	253	0	0	0	0	766	331	170	510	0	0	762	718	1053	1209	771	1089	1542	810	1270	0
Fignl1	695.720000	363	0	0	0	517	403	1055	565	1233	1621	1099	0	283	227	0	195	0	1286	1465	973	2339	1946	1560	1402	1402	1071	0	811	438	953	289	211	125	0	0	510	411	295	233	0	0	616	690	907	1036	751	764	1196	1422	2123	0
