Target_genes	Nfe2l2|Average	SRX1606411|C2C12	SRX1606412|C2C12	SRX21026467|Cerebral_Cortex	SRX21026468|Cerebral_Cortex	SRX21026469|Cerebral_Cortex	SRX21026470|Cerebral_Cortex	SRX21026476|Cerebral_Cortex	SRX21026477|Cerebral_Cortex	SRX21026478|Cerebral_Cortex	SRX21026479|Cerebral_Cortex	SRX188820|CH12	SRX5006896|Esophagus	SRX5006897|Esophagus	SRX5006898|Esophagus	SRX3630637|Liver	SRX3630638|Liver	DRX036572|Macrophages	DRX036573|Macrophages	DRX036574|Macrophages	DRX036575|Macrophages	DRX036576|Macrophages	DRX036577|Macrophages	SRX1438291|Macrophages	SRX1438293|Macrophages	SRX1438295|Macrophages	SRX1438297|Macrophages	SRX1438299|Macrophages	SRX1438301|Macrophages	SRX13081923|MEF	SRX13081924|MEF	SRX13081925|MEF	SRX13081926|MEF	SRX2191407|MEF	SRX2191408|MEF	SRX188811|MEL	SRX18863834|RAW_264.7	STRING
Tcstv3	729.527778	2730	2371	234	0	320	0	125	147	0	0	2188	659	353	888	146	159	379	657	490	453	696	520	1742	1595	1277	2062	2213	2460	0	0	0	0	0	0	1399	0	0
Prdx1	697.500000	108	542	1424	1910	383	1851	767	1892	879	1741	552	0	0	828	1433	1106	340	428	558	1155	260	298	970	606	1004	191	702	220	512	552	326	480	0	0	925	167	0
Hmox1	671.583333	834	2393	1881	2307	1050	2308	1419	1861	2257	2249	653	0	0	152	372	276	0	0	133	513	0	0	450	218	437	0	375	0	186	231	186	371	0	0	1065	0	615
Ccl1	653.472222	188	648	1346	3142	738	3040	867	3061	1505	3174	1408	0	0	223	318	297	0	0	181	486	0	0	353	0	223	0	103	0	497	642	451	480	0	0	154	0	0
Esd	642.583333	278	942	1828	2550	1442	2452	1034	2295	2766	2525	0	0	0	168	155	0	201	556	552	1017	370	202	198	0	268	118	398	0	0	0	0	0	149	0	669	0	0
Ikbkg	630.611111	145	677	1659	2325	1016	2405	1148	1886	2241	2245	203	0	0	239	253	117	139	421	502	1069	313	374	711	346	578	106	431	120	222	171	0	207	0	0	433	0	0
G6pdx	630.611111	145	677	1659	2325	1016	2405	1148	1886	2241	2245	203	0	0	239	253	117	139	421	502	1069	313	374	711	346	578	106	431	120	222	171	0	207	0	0	433	0	0
Fth1	621.305556	571	1733	1646	2142	924	1963	906	1811	1500	1714	271	0	0	131	292	221	193	412	189	735	180	227	296	316	616	158	286	139	316	300	355	241	0	0	1323	260	0
Taldo1	613.777778	0	0	1160	2634	966	2469	811	2046	2801	2228	0	0	0	269	0	0	511	647	528	1180	323	513	230	0	1006	140	578	0	0	0	0	0	0	0	1056	0	0
Mpeg1	603.805556	0	0	377	2449	291	2386	104	2620	499	2531	116	0	0	234	0	0	701	999	909	1646	558	972	823	472	1081	238	747	237	0	0	0	0	0	0	571	176	0
Gstm1	588.416667	376	932	2071	2168	798	2193	1268	1781	1551	2232	0	0	0	217	888	306	266	282	286	625	327	332	0	0	181	0	123	0	483	404	269	228	0	0	596	0	0
Slc48a1	583.694444	374	1663	801	2389	651	2435	399	2105	1551	2338	383	0	0	209	205	107	0	392	327	691	0	177	330	0	202	0	350	109	461	560	316	261	0	0	1227	0	0
Aox1	580.722222	242	986	1823	2377	552	2410	1324	1891	2000	2547	0	0	0	672	1398	868	0	144	121	464	0	153	0	0	260	0	122	0	165	0	0	0	0	0	387	0	0
Pgd	578.722222	354	1109	704	2371	608	2181	0	1785	851	1848	120	0	0	216	77	0	393	522	554	1343	341	556	980	740	843	237	655	203	0	0	0	0	0	0	1243	0	0
Mafg	575.638889	142	917	516	2274	318	2181	152	2032	475	1915	190	0	0	327	565	510	364	613	729	1149	426	466	1241	827	631	141	480	229	167	0	0	0	0	0	746	0	0
Kpna1	569.722222	238	312	742	870	1212	852	1593	1492	1550	1486	1045	1042	743	655	521	257	0	0	0	0	0	0	784	834	732	566	719	990	0	0	0	0	136	0	1139	0	0
Nqo1	558.666667	183	866	625	2659	326	2498	451	2487	972	2519	222	0	0	819	525	324	151	341	532	766	237	413	0	0	450	129	233	0	0	0	0	0	0	0	1384	0	471
Lrp8	553.416667	0	334	704	2691	470	2649	450	2569	936	2642	161	0	0	418	0	0	280	483	272	1091	356	472	783	263	650	84	375	132	0	0	0	0	0	0	472	186	0
Creld1	547.361111	150	987	888	2596	569	2351	392	2770	826	2627	0	0	0	355	868	210	0	0	194	428	0	0	0	0	0	0	0	0	906	928	569	768	0	0	323	0	0
Slc22a12	538.861111	0	432	2042	2366	1131	2546	1390	1792	2202	2422	0	0	0	464	304	270	213	358	232	678	0	202	0	0	212	0	143	0	0	0	0	0	0	0	0	0	0
Cat	537.444444	0	418	571	2547	323	2496	455	2296	1427	2632	0	0	0	513	504	211	253	304	379	818	341	430	0	0	439	141	313	0	0	0	0	0	0	0	1537	0	0
H2-DMa	535.750000	0	215	1494	1910	1073	1829	949	1456	1678	1781	408	0	0	869	1123	1195	0	0	0	288	0	0	0	0	0	0	0	0	673	758	414	415	0	0	573	186	0
Brd2	535.750000	0	215	1494	1910	1073	1829	949	1456	1678	1781	408	0	0	869	1123	1195	0	0	0	288	0	0	0	0	0	0	0	0	673	758	414	415	0	0	573	186	0
Chpf2	521.805556	118	546	470	2549	328	2510	318	2356	1339	2506	637	0	0	161	106	126	201	406	539	1224	360	302	0	0	520	0	350	0	0	0	0	0	0	0	813	0	0
Slc11a1	510.583333	0	572	246	2692	0	2652	252	2934	834	3060	458	0	0	439	0	0	213	400	440	908	180	475	208	165	604	165	364	120	0	0	0	0	0	0	0	0	0
Ankrd55	510.416667	0	526	1725	2950	757	2848	360	2846	1096	2709	600	0	0	0	0	164	0	0	0	0	0	0	0	0	202	0	0	0	0	0	0	0	0	0	1592	0	0
Epb41	499.972222	0	206	249	2463	0	2651	312	2533	678	2753	0	0	0	426	372	220	364	309	293	1057	285	227	188	0	450	129	518	0	0	0	0	0	0	0	1099	217	0
Bet1	496.277778	0	154	955	2876	432	2791	825	2809	1566	3113	1247	0	0	0	516	280	0	0	0	0	0	0	0	0	0	0	0	0	0	148	0	0	0	0	154	0	0
Il31ra	489.472222	331	425	778	670	776	849	1316	1441	1288	1345	1149	468	487	337	503	383	0	0	0	0	0	0	694	757	696	519	516	873	0	0	0	0	0	0	1020	0	0
Ces1g	486.472222	0	0	1715	2925	857	2637	626	2844	1353	2845	0	0	0	0	1162	549	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Sptbn4	481.194444	0	239	134	2692	0	2397	126	2539	540	2405	0	0	0	405	156	0	266	350	590	1175	356	319	488	145	613	203	374	0	0	0	0	0	0	0	811	0	0
Blvrb	481.194444	0	239	134	2692	0	2397	126	2539	540	2405	0	0	0	405	156	0	266	350	590	1175	356	319	488	145	613	203	374	0	0	0	0	0	0	0	811	0	0
Gclm	475.722222	0	274	1020	1921	569	1888	962	1541	2378	1972	0	0	0	129	548	567	213	354	306	571	0	403	0	0	338	95	185	0	0	150	0	0	0	0	742	0	401
Sqstm1	473.111111	201	961	280	1682	242	1744	244	1690	801	1861	130	0	0	557	860	508	0	295	449	788	0	263	1095	761	416	118	271	213	0	181	0	167	0	0	254	0	0
Gpi1	463.194444	0	273	819	2008	290	1860	739	2285	677	2047	290	107	0	745	1745	1263	0	0	0	237	0	0	0	0	0	0	0	0	128	262	131	123	0	0	646	0	0
Nup93	460.416667	210	1150	1208	2653	417	2409	838	2388	1055	2531	126	0	0	0	426	286	0	0	0	0	0	0	0	0	0	0	0	0	242	281	159	196	0	0	0	0	0
Gstm6	460.166667	0	637	1297	2461	344	2201	717	2653	946	2611	0	0	0	285	360	147	163	0	232	642	0	0	0	0	0	0	0	0	192	282	155	241	0	0	0	0	0
Cbr3	449.027778	96	678	299	2571	153	2450	246	2506	524	2363	78	0	0	583	0	174	280	421	425	979	285	279	0	0	450	0	325	0	0	0	0	0	0	0	0	0	0
Gm3776	446.833333	489	1154	1358	2227	816	2139	993	1783	2513	2048	0	0	0	115	245	206	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Gsta1	446.666667	290	959	811	2690	543	2537	649	2243	2060	2497	0	0	0	150	429	222	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Tbcel	433.416667	151	852	826	2611	299	2623	241	2108	729	2387	171	0	0	138	647	250	0	0	0	188	0	0	0	0	191	0	175	0	0	0	0	0	0	0	1016	0	0
Gbe1	433.416667	0	256	403	2618	353	2508	248	2144	1322	2451	0	0	0	213	436	354	0	217	371	666	0	202	0	0	406	0	337	0	0	0	0	0	0	0	98	0	0
Srsf2	432.611111	0	0	353	1511	81	1425	155	2173	599	2054	985	0	0	309	482	377	321	772	588	1081	290	643	0	0	399	0	359	0	189	0	0	0	0	0	428	0	0
Mfsd11	432.611111	0	0	353	1511	81	1425	155	2173	599	2054	985	0	0	309	482	377	321	772	588	1081	290	643	0	0	399	0	359	0	189	0	0	0	0	0	428	0	0
Gstm3	431.277778	0	241	1344	2284	877	2263	390	2488	1153	2134	0	0	0	157	268	221	0	242	219	548	0	189	0	0	0	0	0	0	0	0	0	0	0	0	508	0	0
Ttc12	427.277778	0	308	356	2657	147	2592	362	2906	465	2357	0	0	0	0	0	0	151	450	327	725	231	189	0	0	0	0	175	0	0	0	0	0	0	0	984	0	0
Gsta2	419.583333	157	529	505	2689	404	2682	415	2527	1729	2658	0	0	0	103	378	329	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Prdx6	418.694444	0	512	1570	2328	649	2277	879	1803	1365	2073	0	0	0	0	169	0	0	0	0	0	0	0	0	0	0	0	0	0	0	276	267	316	0	0	589	0	0
Spink14	418.166667	0	0	478	2963	564	2811	167	3234	1718	3119	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Ptchd1	417.138889	0	0	343	3066	443	2776	281	2864	1558	3044	0	0	0	0	0	0	0	0	232	410	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
4930503B20Rik	411.500000	95	645	889	2666	403	2530	462	2637	760	2432	295	0	0	0	0	0	0	0	0	142	0	0	0	0	170	0	0	0	154	0	0	0	0	0	534	0	0
Gm36028	409.472222	0	0	498	2314	124	2330	607	2450	1001	2845	0	0	0	118	1531	923	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Pak6	404.388889	227	798	1101	2493	328	2249	191	2534	373	2099	231	0	0	125	0	0	0	0	0	0	0	0	0	0	0	0	0	0	241	410	0	161	0	0	997	0	0
Sspn	403.361111	0	0	511	276	470	188	1212	1601	1323	1200	1366	284	422	354	466	625	0	0	0	0	0	0	514	622	450	283	585	698	0	0	0	0	0	0	1071	0	0
Rusc2	402.361111	0	174	728	1859	363	2013	365	2214	1393	2376	0	0	0	0	114	0	0	350	337	618	258	516	0	0	412	106	289	0	0	0	0	0	0	0	0	0	0
Gsr	401.277778	0	0	581	2440	370	2322	480	2171	1615	2376	169	0	0	139	364	286	0	0	0	314	0	0	0	0	202	0	172	0	0	0	0	0	0	0	445	0	0
Me1	397.972222	0	0	841	2117	305	2146	788	2536	1235	2601	0	0	0	0	697	331	0	0	0	0	0	0	0	0	0	0	0	0	165	365	0	200	0	0	0	0	0
Adrm1	397.000000	0	0	448	1542	166	1913	331	2438	1063	2574	1033	0	0	311	952	653	0	0	0	153	0	0	0	0	0	0	0	0	0	0	0	0	0	0	715	0	0
Osgin1	395.305556	0	262	335	2631	0	2472	293	2063	531	2208	0	0	0	540	1450	866	0	0	0	467	0	0	0	0	0	0	0	0	0	0	0	0	0	0	113	0	0
Mocs1	392.916667	96	768	856	2188	313	2050	277	2551	513	1675	651	0	0	0	380	169	0	0	0	200	0	0	0	0	0	0	0	0	293	251	146	244	0	0	524	0	0
Msantd3	384.722222	0	544	718	2426	412	2759	354	2518	955	2534	0	0	0	0	0	0	0	0	219	411	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Ppard	384.250000	76	454	0	1999	154	2347	0	2444	348	2192	99	0	0	256	164	118	0	0	145	355	0	0	976	789	362	0	300	255	0	0	0	0	0	0	0	0	0
Gm10639	381.777778	0	260	740	2546	415	2422	300	2569	1631	2469	0	0	0	0	182	210	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Keap1	381.361111	0	0	355	2089	202	2162	510	2435	1036	2561	153	0	0	0	744	424	0	0	0	249	0	0	0	0	0	0	0	0	0	0	0	0	0	0	809	0	0
Ptges3	380.944444	0	213	523	2000	197	1795	533	2644	893	2302	143	0	0	0	1105	930	0	0	0	249	0	0	0	0	0	0	0	0	0	0	0	0	0	0	187	0	0
Psmd11	380.666667	0	0	275	2174	431	2446	234	2223	1192	2476	1057	0	0	0	511	558	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	127	0	0
Abca8b	376.055556	155	983	746	2541	304	2227	270	2627	602	2315	0	0	0	0	215	165	0	0	0	0	0	0	0	0	0	0	0	0	0	231	0	0	0	0	157	0	0
Psmd5	374.611111	0	596	697	1915	283	1850	149	2414	569	2086	152	0	0	0	251	93	0	217	245	683	218	189	0	0	160	0	0	0	193	157	0	0	0	0	369	0	0
Cutal	374.611111	0	596	697	1915	283	1850	149	2414	569	2086	152	0	0	0	251	93	0	217	245	683	218	189	0	0	160	0	0	0	193	157	0	0	0	0	369	0	0
Cyb5a	371.777778	0	268	814	2044	294	2006	382	1807	631	2109	0	0	0	239	787	707	0	0	0	334	0	0	0	0	218	74	158	0	0	0	0	0	0	0	512	0	0
Ptgr1	371.722222	0	0	464	2571	621	2492	0	2531	646	2704	0	0	0	134	0	0	0	0	0	153	0	0	0	0	257	0	196	0	0	0	0	0	0	0	613	0	0
Tedc2	368.777778	0	228	232	2409	0	2155	277	2831	552	2816	127	0	0	262	0	0	0	0	0	153	0	0	0	0	111	0	0	0	0	0	0	0	0	0	1123	0	0
Rab18	368.777778	0	396	646	1955	232	2073	106	2419	622	2285	548	0	0	0	184	139	0	0	0	485	0	0	0	0	0	0	0	0	180	156	0	155	0	0	695	0	0
Fgfbp1	361.444444	0	355	1356	2358	447	2457	543	2360	880	2256	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Abcb6	360.444444	0	397	994	2686	199	2025	245	2551	506	1684	0	0	0	242	200	190	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1057	0	0
Mrvi1	359.750000	0	134	913	2242	183	2201	371	2638	876	2113	0	0	0	122	0	0	0	0	0	153	0	0	0	0	0	0	0	0	166	163	0	194	0	0	482	0	0
Cox20	359.277778	0	223	656	1658	176	1749	257	2219	593	2011	139	0	0	701	975	605	0	0	272	227	0	0	0	0	150	0	0	0	120	0	0	0	0	0	203	0	0
Cpb2	359.250000	0	0	349	2687	326	2513	0	2676	821	2692	0	0	0	0	0	0	0	0	157	369	0	0	0	0	0	0	0	0	0	0	0	0	0	0	343	0	0
Mgst1	358.277778	0	0	595	1750	393	2125	397	2412	1253	2310	0	0	0	204	780	455	0	0	0	224	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Ppfibp2	355.055556	0	0	0	2295	194	2043	0	2755	333	2510	214	0	0	0	675	348	0	0	145	613	0	0	0	0	332	95	230	0	0	0	0	0	0	0	0	0	0
Rassf8	354.805556	0	0	324	2641	195	2610	194	2700	1131	2808	0	0	0	0	0	0	0	0	0	0	0	0	0	0	170	0	0	0	0	0	0	0	0	0	0	0	0
Cxcl5	354.666667	76	438	1001	2747	263	1973	336	2845	586	1925	0	0	0	249	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	329	0	0
Pir	352.638889	0	189	299	2513	0	2124	0	2765	206	1793	0	0	0	370	1128	579	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	729	0	0
Trim16	349.111111	0	282	656	2081	149	1798	378	2757	933	2653	0	0	0	340	0	0	0	0	0	288	0	0	0	0	0	0	0	0	0	0	0	0	0	0	253	0	0
Spta1	348.722222	0	0	969	2912	141	2253	329	3170	191	1540	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1049	0	0
Ddit4l	347.583333	0	0	547	2633	434	2491	249	2590	578	2537	0	0	0	250	126	78	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Tmc8	347.083333	0	0	0	1767	0	2039	0	2534	118	2504	0	0	0	381	0	0	201	255	385	712	258	214	0	0	437	118	495	0	0	0	0	0	0	0	77	0	0
Tmc6	347.083333	0	0	0	1767	0	2039	0	2534	118	2504	0	0	0	381	0	0	201	255	385	712	258	214	0	0	437	118	495	0	0	0	0	0	0	0	77	0	0
Lexm	346.777778	0	0	431	2489	194	2451	166	2392	543	2402	121	0	0	0	0	0	0	0	0	0	0	0	158	0	0	0	0	0	0	0	0	0	0	0	1137	0	0
Ypel5	345.944444	0	485	549	2589	238	2552	148	2284	664	2368	0	0	0	0	122	0	0	0	0	120	0	0	0	0	202	0	133	0	0	0	0	0	0	0	0	0	0
Cpeb1	344.861111	0	0	763	2488	320	2303	486	2208	1061	2130	0	0	0	0	499	157	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Htatip2	342.944444	0	455	553	1902	305	1791	177	2085	974	2167	0	0	0	0	372	287	0	0	0	273	0	0	0	0	232	0	0	0	0	0	0	0	0	0	773	0	0
Zscan21	341.833333	0	0	0	2363	0	2479	182	3055	356	2846	145	0	0	251	205	159	0	0	0	164	0	0	0	0	0	0	0	0	0	0	0	0	0	0	101	0	0
Zscan12	340.666667	0	0	134	1703	0	2215	0	3028	608	3054	438	0	0	292	148	0	0	0	259	282	0	0	0	0	0	0	0	0	0	0	0	0	0	0	103	0	0
Mtf2	339.250000	128	660	1047	2579	217	2029	313	2488	316	1406	264	0	0	0	146	0	0	0	0	224	0	0	0	0	170	0	0	0	0	0	0	0	0	0	226	0	0
Slc14a2	338.666667	0	0	791	2359	456	2368	227	2587	509	2157	541	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	197	0	0	0	0	0	0	0	0
Dnaja2	338.638889	157	1176	668	2278	176	1651	272	2149	512	1461	220	0	0	133	208	0	0	0	0	249	0	0	0	0	0	0	0	0	0	0	0	0	0	0	881	0	0
Slc25a45	338.333333	0	0	167	2614	123	2591	204	2647	741	2592	119	0	0	0	0	0	0	0	0	382	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Frmd8	338.333333	0	0	167	2614	123	2591	204	2647	741	2592	119	0	0	0	0	0	0	0	0	382	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Spatc1	336.722222	0	0	653	2389	0	1648	345	2783	572	2205	0	0	0	123	781	454	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	169	0	0
Numbl	336.166667	0	0	401	1568	0	1668	201	2304	377	1801	0	0	0	778	921	514	0	144	0	314	0	0	0	0	234	0	123	0	195	168	0	0	0	0	391	0	0
Mt3	333.055556	0	154	1057	2149	360	2134	513	1925	946	2042	381	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	329	0	0
Trim80	329.138889	0	383	207	2264	0	2253	198	2565	452	2614	0	0	0	0	235	117	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	561	0	0
Stx4a	327.000000	0	0	0	1859	0	1936	0	2610	304	2520	396	0	0	297	219	158	0	0	300	617	0	0	0	0	181	0	375	0	0	0	0	0	0	0	0	0	0
Slc7a11	326.694444	0	201	397	2192	316	2013	170	2298	1246	2191	0	0	0	101	0	0	0	0	147	279	0	0	0	0	0	0	76	0	0	0	0	0	0	0	134	0	0
Mrpl38	324.388889	280	833	1080	2174	296	2299	233	1756	399	1417	133	0	0	0	0	0	0	0	0	188	0	0	0	0	0	0	0	0	0	0	155	0	0	0	435	0	0
Akr1a1	321.722222	0	185	286	1077	0	1048	99	1823	205	1108	785	0	0	0	296	0	294	436	285	962	258	440	377	218	528	203	350	0	0	0	0	0	0	0	319	0	0
Atf1	320.861111	104	781	375	1707	147	1828	0	1706	451	1784	0	0	0	185	588	380	0	168	0	301	0	0	0	0	234	0	175	0	0	0	0	0	0	0	637	0	0
Setd1b	319.722222	0	284	618	1410	219	1413	345	1874	1034	1855	96	0	0	353	565	396	0	0	0	301	180	0	0	0	212	0	0	0	153	0	0	0	0	0	202	0	0
Slc20a1	319.111111	127	619	768	2143	190	1803	282	2423	555	1925	0	0	0	0	176	162	0	0	0	176	0	0	0	0	0	0	0	0	0	0	139	0	0	0	0	0	0
Ly6a	318.666667	146	867	746	2020	275	2040	185	2541	454	1577	0	0	0	0	0	0	0	0	0	212	0	0	0	0	0	0	0	0	195	214	0	0	0	0	0	0	0
Sod1	317.777778	0	0	673	1965	137	1761	280	2297	661	1977	0	0	0	0	646	781	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	161	0	0	101	0	0
Kansl2	316.083333	107	706	579	2201	184	1802	285	2316	686	2209	0	0	0	0	304	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Tmem125	309.527778	337	281	0	0	0	0	0	168	0	0	241	376	300	680	525	380	638	350	611	354	797	444	877	927	684	277	517	449	0	0	0	0	0	0	0	930	0
Pkm	308.000000	118	527	324	1835	209	1381	191	2041	302	1370	0	0	0	0	0	0	163	192	243	393	192	0	219	175	327	0	252	0	164	0	0	0	0	0	470	0	0
Tmcc1	307.888889	0	355	510	1955	148	1452	333	2699	274	1750	0	0	0	132	818	344	0	0	0	0	0	0	0	0	0	0	0	0	0	171	0	143	0	0	0	0	0
Acyp2	306.861111	0	0	333	1414	149	1518	278	2253	557	1859	0	0	0	372	772	318	0	0	0	369	0	0	0	0	0	0	0	0	0	99	0	0	0	0	756	0	0
Nes	306.805556	0	0	91	2489	0	2662	0	2580	508	2715	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Unc5b	306.305556	0	0	0	1287	156	2659	0	2546	1241	2744	0	0	0	0	0	0	0	0	0	394	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Zfp36	305.972222	0	0	260	1398	193	1333	0	2103	486	1478	162	0	0	140	246	0	0	0	0	330	0	0	1424	861	150	0	123	328	0	0	0	0	0	0	0	0	0
Tinf2	305.083333	0	0	0	255	0	141	0	734	0	851	2027	309	1065	408	2681	1218	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1294	0	0
Gsta4	305.027778	0	552	490	2322	135	1834	138	2605	284	1689	0	0	0	525	144	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	263	0	0
Tbc1d4	303.277778	0	537	342	1724	0	2087	179	2699	643	2707	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Ptgir	303.250000	129	419	0	1403	0	1241	0	2240	0	1197	456	0	0	0	0	0	213	255	245	735	356	431	251	0	268	0	241	0	0	0	0	0	0	0	574	263	0
Atic	302.388889	0	0	0	2415	0	2549	0	2830	240	2543	0	0	0	0	109	0	0	0	0	200	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Pacsin2	300.694444	0	148	0	2134	0	2383	0	2659	336	2731	0	0	0	0	159	0	0	0	0	275	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Oaz1	299.638889	0	0	0	1275	0	1937	0	2643	0	2842	0	0	0	0	248	103	0	0	416	580	0	0	178	165	257	0	143	0	0	0	0	0	0	0	0	0	0
Rida	299.388889	0	0	201	2148	0	2274	0	2053	509	2371	612	0	0	0	489	121	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Pop1	299.388889	0	0	201	2148	0	2274	0	2053	509	2371	612	0	0	0	489	121	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Klhl21	299.111111	0	174	227	1239	0	1334	216	2071	650	1832	0	0	0	158	463	167	151	322	259	433	205	130	0	0	303	0	276	0	0	0	0	0	0	0	158	0	0
Mideas	298.222222	0	0	109	1589	0	1839	112	2699	474	2667	0	0	0	202	177	197	0	0	0	0	0	0	365	197	0	0	0	109	0	0	0	0	0	0	0	0	0
Tmem209	295.166667	0	0	534	1896	156	1830	368	2395	618	1894	117	0	0	0	424	223	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	171	0	0
