Target_genes	Gfi1|Average	SRX093162|Bone_Marrow_Cells	SRX6799360|Embryoid_Bodies	SRX16700226|Granulocytic-monocytic_progenitors	SRX7821117|Hematopoietic_progenitors	SRX349376|ILC2	SRX1939441|Lymphoid-primed_multipotent_progenitors	SRX1072347|Macrophages	SRX7415996|Macrophages	SRX206425|Mast_Cells	SRX5131513|Medulloblastoma	SRX5131514|Medulloblastoma	SRX1035395|mESC_derived_haematopoietic_progenitor	SRX1096803|Naive_T_cells	SRX1096804|Naive_T_cells	SRX1973345|Neurospheres	SRX1973346|Neurospheres	STRING
Prdx1	353.687500	212	89	0	1738	521	1744	0	0	312	451	175	0	0	0	0	417	0
Fignl1	352.750000	913	168	0	1227	489	1217	0	0	368	508	226	0	78	0	0	450	0
Pld4	351.687500	834	0	0	2393	0	2400	0	0	0	0	0	0	0	0	0	0	0
Hhex	347.312500	881	0	204	1557	0	1559	215	0	519	186	0	274	0	0	0	162	0
Cldn1	347.250000	2683	0	0	899	178	899	148	0	112	244	249	0	0	0	0	144	0
Fam234a	346.187500	1940	0	0	1006	193	1006	326	0	246	353	227	0	0	0	0	242	0
Hmgn1	345.812500	387	156	132	1470	282	1468	0	0	327	702	328	0	100	0	0	181	0
Man1b1	343.562500	1691	0	0	818	0	821	0	0	1012	363	418	0	0	0	0	374	0
Qrsl1	342.875000	1967	0	0	797	92	797	0	0	285	992	377	0	0	0	0	179	0
Tnks1bp1	341.812500	1430	628	0	1073	234	1073	162	0	272	354	243	0	0	0	0	0	0
C9orf72	340.750000	1125	0	0	1375	174	1375	150	0	389	286	337	0	0	0	0	241	0
Fam222b	340.250000	2338	0	0	520	109	518	0	0	0	914	683	0	0	0	0	362	0
Ift46	338.750000	1559	191	0	799	186	782	284	0	281	594	505	0	0	0	0	239	0
Ranbp2	337.500000	1807	0	0	762	0	768	0	0	477	744	327	91	85	0	0	339	0
Ubr3	336.250000	1993	0	131	1211	0	1210	106	0	0	385	115	0	0	0	0	229	0
Sh2b3	333.250000	786	0	0	1340	975	1340	0	0	319	309	0	0	100	0	0	163	0
Braf	332.500000	2251	0	0	887	0	889	0	0	850	260	0	0	0	0	0	183	0
Ifna13	332.000000	1243	0	0	1073	410	1079	190	0	289	0	111	0	235	0	295	387	0
Phyh	328.375000	877	108	0	1461	127	1462	274	0	381	319	114	0	0	0	0	131	0
Pdia4	326.937500	1552	153	0	574	199	568	0	0	472	834	520	0	0	0	0	359	0
Dhrs7b	325.625000	316	0	0	1974	0	1970	0	0	148	299	265	0	0	0	0	238	0
Itgb5	324.562500	1577	0	0	1577	0	1577	0	0	177	149	0	0	0	0	0	136	0
Clock	324.187500	2092	242	156	710	0	710	0	0	286	617	122	0	0	0	0	252	0
Prkcz	322.937500	1056	0	0	1587	0	1593	0	0	657	116	0	0	0	0	0	158	0
Vamp3	320.000000	1873	0	0	619	178	621	113	0	196	671	453	0	0	0	0	396	0
E2f2	319.625000	593	0	0	1634	419	1632	136	0	440	260	0	0	0	0	0	0	0
Fam227b	319.437500	1210	0	1092	155	0	157	0	0	0	638	278	0	345	837	0	399	0
Dtwd1	319.437500	1210	0	1092	155	0	157	0	0	0	638	278	0	345	837	0	399	0
Hjurp	317.625000	1396	0	0	271	105	270	106	0	0	1084	442	0	194	0	116	1098	0
A730008H23Rik	317.625000	1396	0	0	271	105	270	106	0	0	1084	442	0	194	0	116	1098	0
Egfl7	317.375000	242	0	0	2154	0	2155	0	0	0	275	0	137	0	0	0	115	0
Rrp1	317.250000	1416	0	0	826	0	829	105	0	740	615	274	0	0	0	0	271	0
Acvr2a	316.375000	816	156	556	1007	0	1007	99	0	144	813	217	0	71	0	0	176	0
Rab19	314.437500	580	0	0	1769	0	1784	214	0	89	404	0	0	0	0	0	191	0
Tpm4	313.562500	249	0	0	1721	360	1713	0	0	539	308	0	0	0	0	0	127	0
Ptk2	313.000000	406	0	0	1092	1235	1098	0	0	401	426	243	0	0	0	0	107	0
Npas4	312.375000	2170	0	0	1042	239	1042	0	0	505	0	0	0	0	0	0	0	0
Dimt1	310.375000	1646	0	0	636	122	640	129	0	134	796	473	0	0	0	0	390	0
Mmp8	309.937500	1581	0	0	1688	0	1690	0	0	0	0	0	0	0	0	0	0	0
Srsf10	309.312500	914	0	0	637	733	629	0	0	1362	423	90	0	0	0	0	161	0
Clcn3	308.000000	585	0	0	1188	493	1188	0	0	493	425	232	0	0	0	0	324	0
Tufm	307.875000	2505	0	0	761	0	766	0	0	317	210	131	0	0	0	0	236	0
Ing3	307.875000	2367	0	0	460	0	460	0	0	185	614	446	132	0	0	0	262	0
Spg21	307.062500	1560	0	0	817	0	817	93	0	469	579	234	0	0	0	0	344	0
Pgam1	305.375000	1690	0	175	449	0	509	0	0	156	909	620	0	101	0	0	277	0
Faf1	304.875000	2034	0	0	324	0	329	120	0	0	1010	621	0	0	0	0	440	0
Nemf	303.062500	586	0	1026	0	502	0	131	0	181	238	143	241	481	822	0	498	0
Tex22	302.125000	1737	0	0	924	354	919	194	0	0	441	265	0	0	0	0	0	0
Get1	301.062500	1254	0	0	726	285	719	145	0	257	558	386	0	107	0	0	380	0
Csde1	299.625000	1743	0	0	692	237	696	0	0	335	486	428	0	0	0	0	177	0
Sox4	298.250000	729	135	208	1509	155	1508	0	0	157	256	115	0	0	0	0	0	0
Rps29	297.937500	618	0	1078	168	114	148	166	0	83	336	158	0	634	960	0	304	0
Ankrd33	297.000000	512	0	0	1846	541	1853	0	0	0	0	0	0	0	0	0	0	0
Pop4	296.812500	1956	0	0	421	0	420	187	0	305	639	573	0	0	0	0	248	0
Trmt5	294.937500	1539	0	0	609	0	610	133	0	205	860	423	0	101	0	0	239	0
Slc38a6	294.937500	1539	0	0	609	0	610	133	0	205	860	423	0	101	0	0	239	0
Chid1	293.500000	789	0	0	1434	0	1432	0	0	0	495	162	0	0	0	0	384	0
Stn1	293.375000	2296	0	0	831	0	832	0	0	303	280	152	0	0	0	0	0	0
Tfpt	293.187500	1310	536	161	432	0	428	137	0	149	687	610	0	0	0	0	241	0
Prpf31	293.187500	1310	536	161	432	0	428	137	0	149	687	610	0	0	0	0	241	0
H2-DMa	291.812500	1034	208	537	964	175	963	179	0	254	238	0	0	0	0	0	117	0
Brd2	291.812500	1034	208	537	964	175	963	179	0	254	238	0	0	0	0	0	117	0
Fkbp1a	290.562500	790	215	0	1068	0	1068	132	0	340	536	171	155	80	0	0	94	0
Camsap2	290.562500	613	0	0	269	501	270	0	0	1827	622	223	0	0	0	0	324	0
Gm10033	287.750000	1081	366	0	1093	0	1093	0	0	144	281	108	230	0	0	0	208	0
Pak4	287.187500	1416	163	0	820	202	826	0	0	306	388	298	0	0	0	0	176	0
P2ry6	287.187500	1816	0	0	1103	148	1101	216	0	211	0	0	0	0	0	0	0	0
Mrpl45	284.562500	1567	0	0	589	0	592	0	0	255	551	231	163	99	0	0	506	0
Cstf2t	284.250000	1403	183	0	843	317	852	143	0	170	212	305	0	0	0	0	120	0
Galnt11	283.625000	1634	0	0	752	458	759	113	0	370	452	0	0	0	0	0	0	0
Inpp4a	282.375000	762	0	0	1256	0	1256	171	0	0	642	162	0	0	0	0	269	0
Actg1	282.250000	1818	0	0	928	0	926	0	0	323	325	196	0	0	0	0	0	0
Mapkapk5	282.187500	442	155	0	1476	0	1478	0	0	0	355	328	109	0	0	0	172	0
Hnrnpf	281.812500	975	0	0	1161	220	1160	0	0	292	417	0	0	0	0	0	284	0
Prrc2a	281.625000	803	121	0	819	497	817	323	0	0	444	573	0	0	0	0	109	0
Mrpl4	278.812500	1419	0	0	787	0	788	0	0	245	655	356	0	0	0	0	211	0
Arhgdia	277.687500	1754	0	0	700	198	701	109	0	265	312	175	0	98	0	0	131	0
Srpk1	276.625000	2179	0	0	491	0	493	0	0	234	574	229	0	97	0	0	129	0
Jun	275.375000	742	0	0	1425	0	1427	0	0	297	289	126	0	0	0	0	100	0
Polr2j	274.187500	1385	0	353	373	0	374	121	0	313	795	229	0	169	0	0	275	0
Hdac6	273.875000	1162	140	0	576	765	577	142	0	441	292	146	0	0	0	0	141	0
Myh9	273.000000	1477	213	0	420	0	427	183	0	346	549	507	0	89	0	0	157	0
Snai1	271.500000	1897	0	128	665	0	658	0	0	131	581	284	0	0	0	0	0	0
Trip4	271.375000	1527	0	0	878	132	877	0	0	0	414	170	0	158	0	0	186	0
Crebbp	269.875000	2314	0	120	342	0	341	0	0	551	432	95	0	0	0	0	123	0
Arl6ip1	269.750000	1365	0	0	835	192	833	89	0	182	309	282	0	0	0	0	229	0
Ube2b	269.687500	1558	0	0	313	0	313	151	0	267	986	472	0	0	0	0	255	0
Terf1	269.687500	1825	0	0	211	0	211	121	0	0	934	571	0	126	0	0	316	0
Cdkl3	269.687500	1558	0	0	313	0	313	151	0	267	986	472	0	0	0	0	255	0
Yipf4	269.562500	749	326	0	885	0	882	136	0	158	587	295	0	0	0	0	295	0
Tmcc3	268.500000	472	0	0	1278	125	1278	0	0	444	315	152	0	0	0	0	232	0
Magohb	268.062500	1285	0	0	795	0	802	0	0	350	641	298	0	0	0	0	118	0
Nprl3	267.625000	554	0	0	1231	0	1239	0	0	130	435	139	85	109	0	0	360	0
Gas2l3	266.625000	2142	0	0	557	0	554	0	0	187	470	180	0	0	0	0	176	0
Wdcp	266.187500	1282	0	0	843	441	835	0	0	291	235	185	0	0	0	0	147	0
Kifap3	264.187500	1097	362	0	315	0	324	0	0	0	922	935	0	0	0	0	272	0
Elovl5	263.000000	1665	135	0	684	0	683	0	0	429	269	93	0	0	0	0	250	0
Dbr1	262.250000	373	0	0	1083	471	1090	0	0	246	497	142	0	0	0	0	294	0
Cyp51	262.250000	1669	124	0	194	249	196	0	0	130	735	575	0	0	0	0	324	0
Prrc2c	262.187500	1756	0	0	443	133	448	0	0	161	620	359	0	0	0	0	275	0
Smim17	259.937500	1694	0	0	644	250	637	0	0	343	0	353	0	0	0	0	238	0
Olfr806	259.750000	274	0	0	376	418	363	314	0	0	0	0	1001	279	348	505	278	0
Pygo2	259.250000	1849	0	0	511	0	517	107	0	350	419	197	0	0	0	0	198	0
Rnf166	258.687500	1393	0	0	732	0	729	0	0	400	540	163	0	0	0	0	182	0
Ctu2	258.687500	1393	0	0	732	0	729	0	0	400	540	163	0	0	0	0	182	0
Slc33a1	258.125000	1775	0	0	443	121	436	149	0	234	407	291	0	0	0	0	274	0
Sh3gl1	258.125000	1607	0	0	643	149	642	0	0	323	381	187	0	0	0	0	198	0
Chaf1a	258.125000	1607	0	0	643	149	642	0	0	323	381	187	0	0	0	0	198	0
Taf13	257.937500	480	0	0	1355	172	1359	0	0	219	258	191	0	0	0	0	93	0
Dhx30	257.687500	1513	0	0	497	0	503	0	0	102	668	382	0	100	0	0	358	0
Mvk	257.375000	1113	0	0	668	0	672	143	0	597	476	184	0	99	0	0	166	0
Mmab	257.375000	1113	0	0	668	0	672	143	0	597	476	184	0	99	0	0	166	0
Rps6ka4	257.187500	1413	0	0	1098	0	1098	211	0	0	115	0	0	0	0	0	180	0
Ncor2	257.062500	648	0	0	1378	0	1372	207	0	214	206	0	0	0	0	0	88	0
Itprid2	256.312500	1564	0	0	683	167	683	0	0	121	421	256	0	0	0	0	206	0
Tpp2	256.187500	1452	0	0	303	101	305	166	0	130	689	636	0	0	0	0	317	0
Arl4c	255.875000	1935	119	0	576	141	576	0	0	269	237	87	0	0	0	0	154	0
Aurkb	255.375000	472	527	167	702	153	705	290	0	0	245	562	0	0	0	0	263	0
Dchs2	255.125000	916	0	479	238	245	274	177	0	0	0	0	241	388	457	353	314	0
Septin9	254.437500	1498	0	0	1029	0	1029	0	0	144	201	0	0	0	0	0	170	0
Tnpo1	253.937500	1789	0	0	397	159	394	123	0	194	589	164	0	0	0	0	254	0
Papln	253.812500	488	0	0	1316	391	1316	0	0	550	0	0	0	0	0	0	0	0
Sfi1	253.500000	1333	93	0	0	164	0	0	0	0	559	193	0	351	97	176	1090	0
Siglec1	253.437500	817	0	0	1619	0	1619	0	0	0	0	0	0	0	0	0	0	0
Cntrl	253.312500	890	0	0	710	156	717	205	0	0	509	286	0	119	0	0	461	0
Saraf	253.250000	1295	0	0	718	0	718	0	0	192	516	181	0	0	0	0	432	0
Pogz	253.187500	842	126	0	896	122	900	365	0	88	507	205	0	0	0	0	0	0
Slc25a4	253.125000	1874	0	0	535	144	539	138	0	308	263	102	0	0	0	0	147	0
Asrgl1	252.187500	735	0	1251	112	749	111	0	0	0	134	145	0	0	580	0	218	0
Serac1	251.562500	1697	0	0	88	0	90	0	0	0	995	618	0	125	0	0	412	0
Gtf2h5	251.562500	1697	0	0	88	0	90	0	0	0	995	618	0	125	0	0	412	0
Ppp4c	251.312500	1879	0	0	203	0	202	0	0	173	731	301	0	93	0	0	439	0
Sesn3	249.937500	840	0	0	827	0	832	0	0	139	744	284	0	105	0	0	228	0
Hmgb2	249.500000	957	80	0	766	0	769	128	0	144	599	266	0	0	0	0	283	0
Hyls1	247.812500	988	0	0	482	84	481	0	0	192	846	529	0	0	0	0	363	0
Mvb12a	246.687500	1007	0	0	755	0	769	0	0	240	570	461	0	0	0	0	145	0
Fyco1	246.500000	991	201	0	872	0	885	0	0	0	319	0	316	0	0	0	360	0
Osbpl3	246.312500	201	0	0	1659	0	1653	0	0	0	180	0	0	0	0	0	248	0
Map2k1	245.875000	1312	0	0	683	0	687	0	0	135	612	198	0	86	0	0	221	0
Mfsd6	244.750000	1103	0	0	1071	0	1071	0	0	0	358	0	0	0	0	0	313	0
Tmem175	244.562500	1957	0	0	202	0	206	0	0	145	680	273	0	0	0	0	450	0
Gak	244.562500	1957	0	0	202	0	206	0	0	145	680	273	0	0	0	0	450	0
Tsen34	244.500000	556	0	0	1124	261	1128	0	0	280	218	178	0	0	0	0	167	0
Mboat7	244.500000	556	0	0	1124	261	1128	0	0	280	218	178	0	0	0	0	167	0
Zfp623	244.187500	1735	0	0	263	0	255	121	0	138	669	316	0	0	0	0	410	0
Tbc1d4	244.000000	1096	0	224	846	0	849	0	0	171	349	129	0	0	0	0	240	0
Abhd6	243.687500	201	0	121	371	467	338	389	0	0	129	0	910	0	276	505	192	0
Trpv2	243.125000	497	0	0	1292	109	1292	0	0	602	0	0	0	0	0	0	98	0
Rel	242.875000	980	142	0	620	244	620	144	0	192	478	232	0	0	0	0	234	0
Epha2	242.875000	436	0	0	1091	866	1093	0	0	82	137	0	0	0	0	0	181	0
Mob1b	242.687500	773	0	0	669	134	668	224	0	0	531	554	76	0	0	0	254	0
Msh5	242.250000	1847	0	0	568	0	563	0	0	189	399	179	0	0	0	0	131	0
Clic1	242.250000	1847	0	0	568	0	563	0	0	189	399	179	0	0	0	0	131	0
Malt1	241.000000	603	0	1300	0	0	0	0	0	0	447	110	0	304	820	0	272	0
Znrd1as	240.750000	1271	0	0	650	0	650	0	0	569	283	258	0	0	0	0	171	0
Znrd1	240.750000	1271	0	0	650	0	650	0	0	569	283	258	0	0	0	0	171	0
Rap2a	240.687500	1089	0	0	449	0	448	0	0	300	747	536	0	0	0	0	282	0
Iars2	240.125000	820	91	0	686	208	685	191	0	0	550	277	0	0	0	0	334	0
Bpnt1	240.125000	820	91	0	686	208	685	191	0	0	550	277	0	0	0	0	334	0
Rwdd1	239.875000	1728	0	0	164	0	165	0	0	126	791	331	0	97	0	0	436	0
Trnt1	239.812500	676	0	0	704	0	709	258	0	344	521	294	0	0	0	0	331	0
Srrd	239.812500	1790	0	0	591	0	591	0	0	722	143	0	0	0	0	0	0	0
Hps4	239.812500	1790	0	0	591	0	591	0	0	722	143	0	0	0	0	0	0	0
H2bc6	239.062500	1846	0	174	186	116	193	0	0	265	379	152	0	233	0	0	281	0
Csf2ra	238.750000	587	0	0	889	262	897	0	0	536	315	136	0	0	0	198	0	0
Gtf2a1	238.312500	439	0	0	813	329	813	0	0	192	533	279	0	116	0	0	299	0
Klhl25	237.875000	1621	0	0	473	0	471	0	0	171	630	212	0	92	0	0	136	0
Selenot	237.062500	914	0	0	243	163	243	162	0	115	1139	437	0	120	0	0	257	0
Pskh1	237.000000	1186	0	0	471	0	470	0	0	453	633	162	0	0	0	0	417	0
Mtf2	236.437500	1427	0	592	160	0	160	0	0	0	545	305	0	143	0	0	451	0
Tox2	236.375000	452	0	0	1090	591	1090	0	0	270	289	0	0	0	0	0	0	0
Osbpl9	235.812500	707	0	293	775	0	765	235	0	0	432	268	0	0	0	0	298	0
H1f4	235.687500	1846	0	174	186	116	193	0	0	265	379	98	0	233	0	0	281	0
Ints1	235.187500	1024	0	0	527	0	525	0	0	99	935	465	0	0	0	0	188	0
H3c7	235.062500	1465	0	100	381	101	405	0	0	128	546	104	0	177	0	0	354	0
H2bc9	235.062500	1465	0	100	381	101	405	0	0	128	546	104	0	177	0	0	354	0
Elf2	235.062500	644	223	0	157	1009	157	136	0	642	357	184	0	0	0	0	252	0
Sdc4	234.812500	123	0	0	1424	201	1424	0	0	201	217	0	0	0	0	0	167	0
Atp6v0a1	234.062500	1554	0	0	508	0	503	0	0	119	489	264	0	0	0	0	308	0
Tmem30a	233.687500	945	0	0	0	1319	0	0	0	389	530	211	0	0	0	0	345	0
Atxn2	233.500000	1666	0	0	351	66	350	101	0	211	526	239	0	0	0	0	226	0
Dnajb5	233.000000	1518	115	171	378	137	378	0	0	287	265	159	0	125	0	0	195	0
Sphk2	232.562500	1023	0	0	770	169	768	0	0	555	185	0	0	117	0	0	134	0
Rpl18	232.562500	1023	0	0	770	169	768	0	0	555	185	0	0	117	0	0	134	0
Syp	232.187500	1925	0	0	598	137	599	0	0	234	222	0	0	0	0	0	0	0
Sptan1	230.625000	1839	0	0	199	0	199	96	0	206	635	199	0	94	0	0	223	0
Cdkn2aipnl	229.250000	1386	0	0	148	240	148	95	0	164	661	259	0	132	0	0	435	0
Tssk6	229.062500	1154	149	235	334	0	331	0	0	0	770	353	0	0	0	0	339	0
Ndufa13	229.062500	1154	149	235	334	0	331	0	0	0	770	353	0	0	0	0	339	0
Vapa	228.937500	703	0	0	729	0	729	0	0	0	828	275	0	167	0	0	232	0
Slc25a11	228.875000	1456	0	0	234	0	234	147	0	0	822	385	0	0	0	0	384	0
Rnf167	228.875000	1456	0	0	234	0	234	147	0	0	822	385	0	0	0	0	384	0
Rrp1b	228.625000	856	112	0	746	0	746	0	0	0	759	263	0	0	0	0	176	0
Hsf2bp	228.625000	856	112	0	746	0	746	0	0	0	759	263	0	0	0	0	176	0
Gas2	228.250000	374	0	0	1106	85	1105	287	0	0	388	96	0	0	0	0	211	0
Stil	227.562500	830	215	0	534	0	533	0	0	0	514	339	120	98	0	0	458	0
BC048679	227.062500	755	0	0	860	0	861	0	0	139	348	0	254	80	0	0	336	0
Ap3b2	227.062500	755	0	0	860	0	861	0	0	139	348	0	254	80	0	0	336	0
Fam83e	226.937500	1023	0	0	770	169	768	0	0	555	95	0	0	117	0	0	134	0
Cyp2w1	226.625000	1307	0	0	1157	0	1162	0	0	0	0	0	0	0	0	0	0	0
Smarca2	226.437500	556	0	88	1095	349	1093	99	0	0	159	0	0	0	0	0	184	0
Pclaf	226.375000	1464	0	0	878	0	877	0	0	0	80	162	0	0	0	0	161	0
Vps37b	226.125000	1028	0	0	633	0	641	0	0	757	331	0	0	79	0	0	149	0
Serinc3	225.187500	485	0	0	914	159	937	0	0	89	594	153	0	0	0	0	272	0
Ssu72	225.000000	778	0	0	480	232	481	0	0	0	1012	400	0	0	0	0	217	0
Hps5	224.750000	905	0	719	209	0	212	0	0	0	564	287	0	0	295	0	405	0
Gtf2h1	224.750000	905	0	719	209	0	212	0	0	0	564	287	0	0	295	0	405	0
Fkbp3	224.437500	826	0	162	504	143	509	0	0	134	617	422	0	0	0	0	274	0
Sf3b5	223.937500	1143	0	0	431	0	433	0	0	161	776	354	0	0	0	0	285	0
Rubcn	223.312500	1381	0	0	423	76	425	0	0	138	474	221	0	95	0	0	340	0
C1qtnf3	222.750000	414	0	0	1296	0	1296	192	0	366	0	0	0	0	0	0	0	0
Ap5s1	222.687500	1594	0	0	320	0	320	97	0	151	372	264	0	91	0	0	354	0
Olfr1389	221.750000	465	0	185	1252	0	1247	0	0	175	0	0	0	0	224	0	0	0
Tmem262	221.312500	1325	0	0	509	0	509	0	0	243	555	215	0	0	0	0	185	0
Plaa	221.187500	941	0	0	283	0	284	0	0	216	910	572	0	0	0	0	333	0
