Target_genes	Elf4|Average	SRX2242847|Macrophages	SRX2242848|Macrophages	SRX2242849|Macrophages	SRX2242850|Macrophages	STRING
Actr3	1756.500000	2383	702	1907	2034	0
Ebna1bp2	1755.500000	1810	429	2794	1989	0
Cfap57	1755.500000	1810	429	2794	1989	0
Phkg2	1755.000000	1973	293	2785	1969	0
Rpl32	1754.250000	1699	350	2766	2202	0
Ap2a1	1749.000000	1825	272	2901	1998	0
Nat2	1745.750000	2075	313	2546	2049	0
Nat1	1745.750000	2075	313	2546	2049	0
Nsun3	1744.250000	2317	671	2325	1664	0
Akap8	1740.000000	2295	470	2608	1587	0
Ttc41	1739.250000	2001	380	2419	2157	0
Hsp90b1	1739.250000	2001	380	2419	2157	0
Zswim3	1739.000000	1881	343	2623	2109	0
Acot8	1739.000000	1881	343	2623	2109	0
Cep128	1738.250000	1840	265	2681	2167	0
Tedc2	1734.250000	2055	404	2408	2070	0
Rbl2	1729.500000	1711	387	2889	1931	0
Tmem138	1728.500000	1893	515	2368	2138	0
Cyb561a3	1728.500000	1893	515	2368	2138	0
Traf7	1722.250000	1899	504	2553	1933	0
Taf1a	1721.500000	1970	402	2595	1919	0
Polr3b	1719.750000	1677	541	2539	2122	0
Shoc2	1719.250000	2087	253	2407	2130	0
Bbip1	1719.250000	2087	253	2407	2130	0
Sp1	1715.500000	1803	230	2610	2219	0
Yipf4	1711.750000	2127	359	2358	2003	0
Poc1a	1710.500000	1835	396	2507	2104	0
Sap30bp	1710.250000	1800	280	2449	2312	0
Recql5	1710.250000	1800	280	2449	2312	0
Fam32a	1710.000000	2314	475	2224	1827	0
Coa4	1709.000000	2092	447	2513	1784	0
Ufc1	1702.000000	1729	268	2550	2261	0
Zfp85	1700.250000	1881	342	2582	1996	0
Eaf2	1699.000000	1784	334	2701	1977	0
Zcchc7	1697.500000	2349	531	2200	1710	0
Spr	1697.250000	2145	278	2662	1704	0
Fzd7	1694.750000	1928	289	2662	1900	0
Armc7	1691.750000	2314	545	2472	1436	0
Rplp2	1689.250000	1658	435	2552	2112	0
Pidd1	1689.250000	1658	435	2552	2112	0
Gm3448	1688.000000	3385	1004	1537	826	0
Gm3417	1688.000000	3385	1004	1537	826	0
Card9	1686.750000	1995	262	2410	2080	0
Lcmt1	1686.000000	2167	248	2402	1927	0
Snf8	1683.250000	2096	773	2257	1607	0
Pak1ip1	1683.000000	1910	446	2519	1857	0
Cyb561d1	1681.750000	2492	568	2400	1267	0
Chmp4b	1679.500000	1929	334	2524	1931	0
Gm6712	1678.750000	1891	269	2485	2070	0
Atg7	1678.500000	2736	630	2291	1057	0
Efcab12	1674.500000	1931	192	2620	1955	0
Abracl	1673.500000	2081	443	2680	1490	0
Zfp748	1668.250000	2261	472	2244	1696	0
Zfhx2	1667.000000	2097	361	2287	1923	0
Thtpa	1667.000000	2097	361	2287	1923	0
Tcte3	1667.000000	3385	1004	1453	826	0
Usp48	1664.000000	1657	256	2740	2003	0
Skap2	1663.500000	2412	497	2351	1394	0
Ccdc181	1662.000000	2198	445	2566	1439	0
Hspa4	1656.000000	2165	529	2251	1679	0
Mpv17l2	1655.500000	2810	518	2074	1220	0
Rspry1	1649.000000	2079	277	2541	1699	0
Psme3ip1	1649.000000	2079	277	2541	1699	0
Tmem208	1648.750000	1734	407	2419	2035	0
Lrrc29	1648.750000	1734	407	2419	2035	0
Fanci	1645.250000	1743	331	2545	1962	0
Pik3r2	1644.750000	1622	284	2445	2228	0
Incenp	1642.500000	1888	395	2364	1923	0
Napg	1639.500000	1835	379	2571	1773	0
Fam120b	1637.250000	1762	488	2453	1846	0
Top3a	1636.000000	1987	594	2666	1297	0
Smcr8	1636.000000	1987	594	2666	1297	0
Gm3435	1635.000000	3385	1004	1372	779	0
Gcdh	1635.000000	1736	248	2544	2012	0
Itgb1bp1	1633.750000	1723	323	2499	1990	0
Cpsf3	1633.750000	1723	323	2499	1990	0
Ddx52	1630.500000	1909	315	2561	1737	0
Mcrs1	1628.000000	1985	478	2531	1518	0
Gsk3a	1628.000000	1752	412	2333	2015	0
Cstf1	1625.000000	2203	569	2731	997	0
Aurka	1625.000000	2203	569	2731	997	0
Tfip11	1624.250000	3173	958	1931	435	0
Ddx10	1619.250000	1689	348	2571	1869	0
Smug1	1618.500000	1750	418	2522	1784	0
Palb2	1617.250000	2272	515	2206	1476	0
Dctn5	1617.250000	2272	515	2206	1476	0
Bnip3l	1617.000000	2803	449	2266	950	0
Timmdc1	1615.250000	1874	486	2124	1977	0
Usp8	1612.750000	1948	596	2487	1420	0
Ptrhd1	1612.000000	1849	624	2053	1922	0
Cenpo	1612.000000	1849	624	2053	1922	0
Ing4	1610.500000	1864	394	2484	1700	0
Ciao2b	1610.500000	2019	503	2403	1517	0
Nr2c2ap	1608.750000	1912	409	2434	1680	0
Slc29a3	1601.500000	3345	719	1797	545	0
Pik3c3	1597.500000	1663	301	2559	1867	0
Ccdc9	1596.250000	2290	719	1935	1441	0
Suco	1594.500000	2570	549	2261	998	0
Clp1	1593.750000	1602	505	2277	1991	0
Ermard	1592.500000	3252	839	1453	826	0
Rtf2	1588.250000	2088	688	2128	1449	0
Oard1	1588.000000	2322	517	2039	1474	0
Nfya	1588.000000	2322	517	2039	1474	0
Prpf19	1586.500000	2370	655	2119	1202	0
Cap1	1586.250000	1644	482	2193	2026	0
Tprn	1584.000000	1597	276	2301	2162	0
Ufm1	1583.500000	2214	335	2250	1535	0
Fahd2a	1582.250000	1699	269	2409	1952	0
Cox18	1581.500000	1640	431	2121	2134	0
Lypla2	1580.500000	2064	406	2231	1621	0
9030025P20Rik	1579.250000	3333	736	1537	711	0
Dguok	1576.000000	2418	533	1960	1393	0
Taf7	1575.500000	1880	506	2122	1794	0
Arid4a	1575.000000	1863	477	2582	1378	0
Pold1	1572.000000	1919	358	2389	1622	0
Nr1h2	1572.000000	1919	358	2389	1622	0
Zc3h10	1571.500000	1880	439	2201	1766	0
Rpl41	1571.500000	1880	439	2201	1766	0
Ncstn	1571.250000	2157	411	2107	1610	0
Copa	1571.250000	2157	411	2107	1610	0
Sirt7	1571.000000	3219	948	1274	843	0
Trmt112	1570.250000	1730	347	2311	1893	0
Prdx5	1570.250000	1730	347	2311	1893	0
Josd2	1569.250000	2033	446	2489	1309	0
Aspdh	1569.250000	2033	446	2489	1309	0
Nudt5	1569.000000	1511	221	2387	2157	0
Cdc123	1569.000000	1511	221	2387	2157	0
Shkbp1	1567.500000	2775	861	1821	813	0
Sgo2a	1566.500000	2353	475	1955	1483	0
Utp20	1565.750000	1737	232	2602	1692	0
Slc25a32	1564.500000	2241	729	2019	1269	0
Dcaf13	1564.500000	2241	729	2019	1269	0
Rlbp1	1562.500000	1743	0	2545	1962	0
Pigo	1560.500000	1569	304	2412	1957	0
Wdr73	1557.750000	2788	485	2543	415	0
Nmb	1557.750000	2788	485	2543	415	0
Fam207a	1556.500000	3080	929	1967	250	0
Wasf1	1555.750000	1748	204	2308	1963	0
Cdc40	1555.750000	1748	204	2308	1963	0
Meis1	1552.250000	1572	311	2407	1919	0
Rgs9bp	1551.000000	1619	176	2657	1752	0
Ankrd27	1551.000000	1619	176	2657	1752	0
Zfp865	1550.500000	2500	602	2059	1041	0
Zfp524	1550.500000	2500	602	2059	1041	0
Scamp2	1550.500000	1944	609	2033	1616	0
Atox1	1550.250000	2330	451	2390	1030	0
Gcc1	1549.500000	1983	576	2064	1575	0
Arf5	1549.500000	1983	576	2064	1575	0
Zfp182	1544.750000	1711	224	2384	1860	0
Tyk2	1544.000000	1941	298	2526	1411	0
Hinfp	1542.750000	2331	480	2332	1028	0
Os9	1542.500000	1693	224	2306	1947	0
Trim35	1542.000000	1907	410	2387	1464	0
Ube2s	1540.750000	1649	248	2600	1666	0
Pef1	1540.500000	1482	215	2494	1971	0
Oasl2	1540.500000	1349	0	1734	3079	0
Ccdc130	1540.500000	2147	567	2218	1230	0
Riok3	1540.000000	1852	375	2149	1784	0
Sf3b6	1534.250000	1675	452	2258	1752	0
Tfg	1529.250000	2728	565	1794	1030	0
Mmut	1528.250000	1728	429	2198	1758	0
Kif20a	1528.250000	1596	242	2269	2006	0
Cenpq	1528.250000	1728	429	2198	1758	0
Brd8	1528.250000	1596	242	2269	2006	0
Zfp707	1525.750000	1930	283	2453	1437	0
Mtmr4	1525.500000	1882	376	2264	1580	0
Maml1	1525.000000	1803	349	2254	1694	0
Micos10	1524.000000	2262	297	2371	1166	0
Ccdc88b	1522.500000	1682	263	2493	1652	0
Coa6	1517.000000	1756	436	2438	1438	0
Man2c1	1514.750000	1502	200	2276	2081	0
Tssk6	1512.500000	1577	437	2124	1912	0
Ndufa13	1512.500000	1577	437	2124	1912	0
Mcm7	1508.750000	2161	396	2134	1344	0
Ap4m1	1508.750000	2161	396	2134	1344	0
Emp3	1507.750000	2022	409	2060	1540	0
Ccdc114	1507.750000	2022	409	2060	1540	0
Angel2	1505.250000	2092	554	1990	1385	0
Imp3	1504.750000	1728	275	2367	1649	0
Shc1	1503.000000	1591	230	2163	2028	0
Cks1b	1503.000000	1591	230	2163	2028	0
Rabepk	1502.000000	1946	375	2090	1597	0
Prpf4b	1499.750000	1882	423	2194	1500	0
Pex12	1499.000000	2128	368	2222	1278	0
Ap2b1	1499.000000	2128	368	2222	1278	0
Zfp958	1498.500000	1455	318	2388	1833	0
Cfap36	1494.750000	2320	354	2176	1129	0
Tmem184c	1489.500000	1521	386	2324	1727	0
Zc3h4	1488.000000	1718	356	2074	1804	0
Ccdc97	1487.000000	1424	440	2303	1781	0
Nans	1486.250000	1465	194	2781	1505	0
Rfc3	1482.750000	1793	256	2277	1605	0
Lrrc49	1482.250000	1615	256	2241	1817	0
Nr4a1	1481.250000	1615	308	2492	1510	0
Pigu	1479.000000	1942	346	2062	1566	0
Atp1a3	1479.000000	1756	134	2454	1572	0
Rangap1	1478.750000	1631	256	2461	1567	0
Irf7	1477.500000	1347	224	1898	2441	0
Cnot10	1477.250000	1960	736	1980	1233	0
Sf3b2	1477.000000	1584	345	2237	1742	0
Gal3st3	1477.000000	1584	345	2237	1742	0
M6pr	1476.500000	1918	318	2267	1403	0
Rpl17	1475.000000	3351	0	1658	891	0
Isca1	1475.000000	1949	464	2169	1318	0
Trmt10b	1472.750000	1413	247	2171	2060	0
Tnpo3	1468.000000	1496	446	2218	1712	0
Tmem59	1467.250000	2901	738	1435	795	0
Tceanc2	1467.250000	2901	738	1435	795	0
Nmt1	1466.750000	1624	357	2266	1620	0
Tbce	1465.500000	1584	402	2132	1744	0
Egf	1465.500000	1481	155	2063	2163	0
Gm10509	1463.750000	1480	317	2402	1656	0
Ehmt2	1462.250000	1601	440	2319	1489	0
Zfp58	1461.750000	1556	262	2346	1683	0
Zfp780b	1457.750000	1538	278	2297	1718	0
Ppp6c	1456.250000	1706	241	2376	1502	0
C87436	1456.250000	1719	345	2011	1750	0
Tmem186	1455.750000	1927	365	2127	1404	0
Pmm2	1455.750000	1927	365	2127	1404	0
Slx4ip	1455.500000	1879	375	2113	1455	0
Mkks	1455.500000	1879	375	2113	1455	0
Tcam1	1454.000000	1995	544	2234	1043	0
Smarcd2	1454.000000	1995	544	2234	1043	0
Zmynd8	1453.500000	1936	438	2082	1358	0
Edem3	1449.500000	2291	516	1814	1177	0
Sec11a	1448.500000	1845	402	2002	1545	0
Zfp512	1447.000000	1719	387	2011	1671	0
Psmb3	1447.000000	1518	331	2302	1637	0
Pcgf2	1447.000000	1518	331	2302	1637	0
Rhbdf1	1446.750000	1521	254	2392	1620	0
Mpg	1446.750000	1521	254	2392	1620	0
Dhx8	1446.500000	1546	473	2244	1523	0
Cbll1	1446.500000	2097	387	1971	1331	0
Ubl7	1446.250000	2198	397	1678	1512	0
Tada3	1446.000000	2278	369	1970	1167	0
Arpc4	1446.000000	2278	369	1970	1167	0
Timm21	1444.500000	1418	137	2441	1782	0
Fbxo15	1444.500000	1418	137	2441	1782	0
Gm51425	1443.750000	1738	173	2135	1729	0
Washc1	1443.000000	2443	493	1940	896	0
Scfd2	1441.750000	1957	385	2186	1239	0
Fip1l1	1441.750000	1957	385	2186	1239	0
Cox5b	1441.500000	2741	809	1624	592	0
Sipa1	1441.000000	1838	315	2204	1407	0
Hsph1	1441.000000	1902	385	1980	1497	0
Copb2	1439.000000	2167	438	2072	1079	0
Rwdd2b	1438.250000	2386	465	2236	666	0
Pyroxd1	1437.000000	1933	526	2010	1279	0
Nadsyn1	1435.750000	2465	421	2128	729	0
Dhcr7	1435.750000	2465	421	2128	729	0
Tmem209	1435.250000	1815	412	2087	1427	0
Ssmem1	1435.250000	1815	412	2087	1427	0
Bin3	1434.500000	2123	597	1932	1086	0
Sars2	1433.000000	1467	239	2218	1808	0
Mrps12	1433.000000	1467	239	2218	1808	0
Usp38	1431.500000	1490	396	2174	1666	0
Anapc15	1431.250000	1427	382	2194	1722	0
Lrrc51	1430.750000	1626	441	2067	1589	0
Ten1	1429.750000	1811	248	2367	1293	0
Acox1	1429.750000	1811	248	2367	1293	0
Vps52	1427.000000	1217	343	2221	1927	0
Rps18	1427.000000	1217	343	2221	1927	0
B3galt4	1427.000000	1217	343	2221	1927	0
Mad2l1bp	1423.000000	1596	275	2096	1725	0
Spg21	1422.750000	3007	1064	1021	599	0
Gpank1	1422.000000	2044	529	2177	938	0
D17H6S53E	1422.000000	2044	529	2177	938	0
Csnk2b	1422.000000	2044	529	2177	938	0
Zfp384	1421.500000	1463	257	2231	1735	0
Mad2l1	1419.750000	1482	407	2253	1537	0
Naa35	1419.000000	1909	323	2241	1203	0
Usp5	1418.750000	1508	279	2043	1845	0
Cdca3	1418.750000	1508	279	2043	1845	0
Tmem229b	1418.000000	1665	0	2045	1962	0
Prrg2	1417.500000	1450	281	2016	1923	0
Nosip	1417.500000	1450	281	2016	1923	0
C9orf72	1415.500000	1388	256	2222	1796	0
Ankrd33	1415.500000	1562	282	2468	1350	0
Snrpd2	1412.750000	1539	318	2233	1561	0
Qpctl	1412.750000	1539	318	2233	1561	0
Tmem129	1412.250000	1439	374	2170	1666	0
Tacc3	1412.250000	1439	374	2170	1666	0
Nt5c3	1411.000000	1724	408	2046	1466	0
Ppp4c	1409.750000	2004	601	1900	1134	0
Prpf38b	1407.250000	2042	458	2137	992	0
Gorab	1407.250000	1877	211	2064	1477	0
Zfp97	1406.250000	1347	250	2343	1685	0
Pop7	1406.250000	1580	437	2061	1547	0
Zfp622	1405.250000	1796	299	2162	1364	0
Arhgap30	1405.000000	1678	236	2336	1370	0
Tubb5	1404.750000	1776	359	2262	1222	0
Mdc1	1404.750000	1776	359	2262	1222	0
Wdr75	1404.000000	1327	335	2106	1848	0
Gm38396	1403.750000	1455	260	2218	1682	0
Ficd	1402.750000	3300	761	1119	431	0
E230025N22Rik	1402.250000	2113	225	2200	1071	0
Clpp	1399.500000	1899	398	1997	1304	0
Acsl5	1399.500000	1884	295	2028	1391	0
Tbccd1	1397.750000	2141	349	1879	1222	0
Dnajb11	1397.750000	2141	349	1879	1222	0
Med18	1397.250000	1351	260	2210	1768	0
Lrrc61	1395.500000	1700	318	2284	1280	0
Sgk1	1395.250000	1606	0	2158	1817	0
Acin1	1395.250000	1596	246	2059	1680	0
1700123O20Rik	1395.250000	1596	246	2059	1680	0
Fcer1g	1393.250000	1732	422	1854	1565	0
Btbd19	1390.500000	2060	421	1759	1322	0
Pcnx3	1389.000000	1770	494	1548	1744	0
Map3k11	1389.000000	1770	494	1548	1744	0
Mat2b	1387.000000	3385	798	740	625	0
Hps5	1386.750000	3025	806	1228	488	0
Gtf2h1	1386.750000	3025	806	1228	488	0
Prr14	1386.500000	1738	230	1888	1690	0
Ssr3	1386.250000	1609	396	2118	1422	0
Gcc2	1385.000000	2133	529	1911	967	0
Chordc1	1383.750000	1556	395	1944	1640	0
Taf8	1383.000000	1514	307	2085	1626	0
Ccnd3	1383.000000	1514	307	2085	1626	0
Rpf1	1382.000000	1732	354	1997	1445	0
Tssc4	1381.500000	1605	294	2267	1360	0
Trmt6	1378.500000	3132	1017	1211	154	0
Mcm8	1378.500000	3132	1017	1211	154	0
Ube2f	1376.250000	1721	281	2040	1463	0
Nrde2	1373.250000	1596	280	2263	1354	0
Dph2	1371.250000	1477	332	1965	1711	0
Atp6v0b	1371.250000	1477	332	1965	1711	0
Mpv17	1369.500000	1613	304	2002	1559	0
A130010J15Rik	1368.250000	1432	535	2096	1410	0
Gmppa	1367.000000	1239	163	2247	1819	0
Arih1	1366.750000	2219	482	1918	848	0
Chchd5	1366.000000	1458	348	2113	1545	0
Rab11fip5	1365.000000	1610	0	1999	1851	0
Otud5	1364.500000	1766	323	1970	1399	0
Nabp1	1364.000000	1804	482	2274	896	0
Sdccag8	1362.750000	1523	250	2051	1627	0
Cldn34d	1362.750000	1245	1427	1363	1416	0
Cep170	1362.750000	1523	250	2051	1627	0
