Target_genes	Nfatc2|Average	SRX667873|Dendritic_Cells	SRX21547799|ILC2	SRX21547800|ILC2	SRX21547801|ILC2	SRX21547802|ILC2	SRX21547803|ILC2	SRX21547804|ILC2	SRX12418835|Myofibers	SRX12418836|Myofibers	SRX12418837|Myofibers	SRX12418838|Myofibers	SRX24004260|Th2_Cells	STRING
Nudcd2	178.250000	545	0	0	149	336	280	475	0	0	0	0	354	0
Hmmr	178.250000	545	0	0	149	336	280	475	0	0	0	0	354	0
Slc26a11	177.416667	1697	0	0	0	0	175	257	0	0	0	0	0	0
Sgsh	177.416667	1697	0	0	0	0	175	257	0	0	0	0	0	0
Wdr95	174.583333	953	0	0	0	272	290	431	0	0	0	0	149	0
Gpr35	172.666667	1017	0	0	104	225	237	489	0	0	0	0	0	0
Imp4	170.750000	948	0	0	0	267	241	437	0	0	0	0	156	0
Ccdc115	170.750000	948	0	0	0	267	241	437	0	0	0	0	156	0
Rab7	169.750000	1079	0	0	0	130	153	483	0	0	0	0	192	0
Rab11b	168.833333	763	0	0	0	192	273	508	0	0	0	0	290	0
Tnfaip3	168.166667	0	170	91	244	392	255	584	0	0	0	0	282	0
Itprip	168.000000	552	175	78	204	243	225	410	0	0	0	0	129	0
Sap30	167.916667	251	81	0	142	322	267	550	0	0	0	0	402	0
Septin7	167.583333	1015	0	0	0	225	239	395	0	0	0	0	137	0
Tespa1	165.333333	1007	0	0	0	156	207	349	0	0	0	0	265	0
Cst7	165.333333	711	0	0	85	275	337	458	0	0	0	0	118	0
Usp53	164.583333	907	0	0	0	220	194	398	0	0	0	0	256	0
Snrnp35	164.416667	860	109	0	230	105	120	398	0	0	0	0	151	0
Glrx	164.333333	438	62	0	139	274	228	462	0	0	0	0	369	0
Cntrl	164.000000	462	0	0	201	243	295	572	0	0	0	0	195	0
Ssbp4	163.500000	601	0	0	147	186	236	475	0	0	0	0	317	0
Sp110	162.750000	1953	0	0	0	0	0	0	0	0	0	0	0	0
Tpst2	161.333333	259	105	116	271	243	231	485	0	0	0	0	226	0
Lbh	160.416667	296	130	0	190	294	335	510	0	0	0	0	170	0
Tmem79	159.583333	402	0	0	146	159	310	451	0	0	0	0	447	0
Smg5	159.583333	402	0	0	146	159	310	451	0	0	0	0	447	0
Srr	158.916667	270	117	0	271	256	201	540	0	0	0	0	252	0
Smg6	158.916667	270	117	0	271	256	201	540	0	0	0	0	252	0
Lilr4b	158.166667	840	0	0	0	147	199	411	0	0	0	0	301	0
Trim5	157.583333	972	0	0	0	181	238	371	0	0	0	0	129	0
Rilpl2	157.250000	774	109	0	230	105	120	398	0	0	0	0	151	0
Hivep2	155.583333	354	151	139	218	208	214	469	0	0	0	0	114	0
Sh2b3	154.416667	942	0	0	0	99	171	344	0	0	0	0	297	0
Sh2d2a	152.916667	0	223	174	258	223	240	489	0	0	0	0	228	0
Exoc5	152.000000	298	0	0	147	268	297	519	0	0	0	0	295	0
Ap5m1	152.000000	298	0	0	147	268	297	519	0	0	0	0	295	0
Pxmp2	151.583333	657	0	0	101	212	245	337	0	0	0	0	267	0
Pole	151.583333	657	0	0	101	212	245	337	0	0	0	0	267	0
Chd1	150.333333	790	0	0	0	214	278	522	0	0	0	0	0	0
Trim12a	149.750000	1025	0	0	0	145	203	315	0	0	0	0	109	0
Trdmt1	149.416667	811	0	0	0	270	292	420	0	0	0	0	0	0
Lilrb4a	148.750000	745	0	0	0	149	178	335	0	0	0	0	378	0
Tnf	146.833333	1465	0	0	0	0	88	209	0	0	0	0	0	0
Lta	146.833333	1465	0	0	0	0	88	209	0	0	0	0	0	0
Ptpn22	146.416667	898	0	0	0	112	188	365	0	0	0	0	194	0
Tspan4	145.083333	500	107	0	135	281	174	462	0	0	0	0	82	0
Wsb2	144.166667	1730	0	0	0	0	0	0	0	0	0	0	0	0
Tut7	143.833333	500	0	0	0	164	363	493	0	0	0	0	206	0
Pnrc1	143.583333	0	199	111	283	256	253	470	0	0	0	0	151	0
Sfxn3	142.750000	553	0	0	152	137	224	405	0	0	0	0	242	0
Pdzd7	142.750000	553	0	0	152	137	224	405	0	0	0	0	242	0
Mapre2	142.500000	746	0	0	0	167	171	384	0	0	0	0	242	0
Fbl	141.166667	973	0	0	0	103	203	310	0	0	0	0	105	0
Wdr36	140.916667	963	0	0	0	174	251	303	0	0	0	0	0	0
4932438A13Rik	140.583333	136	93	77	166	171	254	530	0	0	0	0	260	0
Dpysl2	139.916667	1160	0	0	0	143	153	223	0	0	0	0	0	0
Zfp386	137.750000	614	0	0	0	235	201	416	0	0	0	0	187	0
Luc7l2	137.500000	379	100	0	109	190	215	394	0	0	0	0	263	0
Thumpd3	136.166667	521	0	0	86	233	212	359	0	0	0	0	223	0
P2rx2	136.083333	1633	0	0	0	0	0	0	0	0	0	0	0	0
Lrcol1	136.083333	1633	0	0	0	0	0	0	0	0	0	0	0	0
Zc3h4	131.333333	519	0	0	102	146	190	400	0	0	0	0	219	0
Nek7	131.333333	1129	0	0	0	107	143	197	0	0	0	0	0	0
Isy1	131.333333	495	0	0	73	84	194	458	0	0	0	0	272	0
Dhrs9	131.083333	953	0	0	0	0	172	251	0	0	0	0	197	0
Slc17a5	129.500000	1303	0	0	0	0	132	119	0	0	0	0	0	0
Mxd3	129.500000	213	0	0	0	216	217	459	0	0	0	0	449	0
Cd200r1	129.083333	1179	0	0	0	95	109	166	0	0	0	0	0	0
Egr3	127.666667	986	0	0	0	0	145	401	0	0	0	0	0	449
Ndfip1	127.583333	726	0	0	0	176	153	359	0	0	0	0	117	0
Gtpbp8	127.333333	848	0	0	0	115	151	331	0	0	0	0	83	0
Lrp10	126.750000	800	0	0	0	83	138	307	0	0	0	0	193	0
Prpf40a	126.333333	0	0	0	249	205	311	555	0	0	0	0	196	0
Arl6ip6	126.333333	0	0	0	249	205	311	555	0	0	0	0	196	0
Kctd12	126.083333	577	0	0	0	218	217	407	0	0	0	0	94	0
Pes1	125.666667	505	119	0	107	174	146	327	0	0	0	0	130	0
Cast	124.333333	299	0	0	102	221	207	417	0	0	0	0	246	0
Nr4a2	123.500000	641	0	0	0	209	151	305	0	0	0	0	176	0
Arhgap19	122.583333	0	0	0	216	283	259	496	0	0	0	0	217	0
Oxsm	122.000000	599	0	0	0	132	182	346	0	0	0	0	205	0
Ngly1	122.000000	599	0	0	0	132	182	346	0	0	0	0	205	0
Hmces	121.916667	377	0	0	183	147	183	403	0	0	0	0	170	0
Gpr171	121.500000	496	0	0	0	157	214	402	0	0	0	0	189	0
Hnrnpc	120.833333	517	0	0	0	166	195	411	0	0	0	0	161	0
Spag9	120.166667	808	0	0	0	85	208	341	0	0	0	0	0	0
Naa20	119.833333	184	0	0	83	183	192	386	0	0	0	0	410	0
Itpkb	119.500000	319	127	0	145	201	184	458	0	0	0	0	0	0
Ly96	119.333333	650	0	0	0	200	251	331	0	0	0	0	0	0
Dctn6	118.916667	308	0	0	145	178	222	403	0	0	0	0	171	0
Spi1	118.666667	1424	0	0	0	0	0	0	0	0	0	0	0	0
Scml4	118.333333	242	126	0	162	178	195	429	0	0	0	0	88	0
Golga7b	117.416667	1409	0	0	0	0	0	0	0	0	0	0	0	0
Ccr1	117.416667	1057	0	0	0	0	104	248	0	0	0	0	0	0
Nsun6	116.833333	767	0	0	0	106	184	345	0	0	0	0	0	0
Ssh2	115.250000	1129	0	0	0	0	131	123	0	0	0	0	0	0
Ccn4	114.916667	1379	0	0	0	0	0	0	0	0	0	0	0	0
Il21r	114.333333	0	0	0	156	166	229	468	0	0	0	0	353	0
Ptpn12	114.000000	832	0	0	0	95	148	293	0	0	0	0	0	0
Cyp2c40	113.583333	167	0	0	0	0	518	678	0	0	0	0	0	0
Znhit1	113.500000	556	0	0	0	143	190	298	0	0	0	0	175	0
Plod3	113.500000	556	0	0	0	143	190	298	0	0	0	0	175	0
Pou2f2	113.166667	235	0	0	0	246	247	387	0	0	0	0	243	0
Cyp2c69	113.083333	166	0	0	0	0	502	689	0	0	0	0	0	0
Sgk1	112.916667	509	0	0	0	206	174	264	0	0	0	0	202	0
Kri1	111.833333	904	0	0	0	0	162	276	0	0	0	0	0	0
Cdkn2d	111.833333	904	0	0	0	0	162	276	0	0	0	0	0	0
Ncor2	111.500000	1259	0	0	0	0	0	79	0	0	0	0	0	0
Mbnl1	111.333333	1053	0	0	0	83	60	140	0	0	0	0	0	0
H1f8	111.250000	907	0	0	0	0	0	90	0	0	0	0	338	0
Rps29	110.833333	450	0	0	0	146	170	340	0	0	0	0	224	0
Lyrm1	110.666667	1001	0	0	0	84	113	130	0	0	0	0	0	0
Dcun1d3	110.666667	1001	0	0	0	84	113	130	0	0	0	0	0	0
Uhmk1	110.416667	435	0	0	0	241	162	333	0	0	0	0	154	0
Uba3	109.916667	304	0	0	0	166	185	427	0	0	0	0	237	0
Il1r2	109.500000	1074	0	0	0	0	65	175	0	0	0	0	0	0
Slc39a1	109.416667	1313	0	0	0	0	0	0	0	0	0	0	0	0
Sspn	109.000000	0	0	0	366	133	101	315	0	0	0	0	393	0
Lrwd1	108.833333	839	0	0	0	100	114	253	0	0	0	0	0	0
Alkbh4	108.833333	839	0	0	0	100	114	253	0	0	0	0	0	0
A130010J15Rik	108.666667	256	0	0	0	217	192	470	0	0	0	0	169	0
Supt20	108.250000	1299	0	0	0	0	0	0	0	0	0	0	0	0
Srpk1	108.166667	683	0	0	0	107	170	252	0	0	0	0	86	0
Rfc2	108.166667	1298	0	0	0	0	0	0	0	0	0	0	0	0
Per1	108.000000	400	0	0	100	151	147	397	0	0	0	0	101	0
Pcmt1	106.833333	0	114	0	0	255	202	561	0	0	0	0	150	0
Nup43	106.833333	0	114	0	0	255	202	561	0	0	0	0	150	0
Vamp5	106.583333	885	0	0	0	0	121	273	0	0	0	0	0	0
Txnl1	106.000000	421	0	0	0	245	217	389	0	0	0	0	0	0
Il18	105.500000	1068	0	0	0	0	0	73	0	0	0	0	125	0
Bco2	105.500000	1068	0	0	0	0	0	73	0	0	0	0	125	0
Fbxo8	105.333333	543	0	0	0	272	127	260	0	0	0	0	62	0
Cep44	105.333333	543	0	0	0	272	127	260	0	0	0	0	62	0
Zfp1	105.250000	605	0	0	0	82	152	296	0	0	0	0	128	0
Lrrfip2	105.000000	463	0	0	94	89	159	340	0	0	0	0	115	0
Cry1	104.666667	413	0	0	0	160	166	291	0	0	0	0	226	0
Ccdc166	104.666667	0	0	0	123	187	202	472	0	0	0	0	272	0
Eef1g	104.416667	254	88	0	103	186	253	369	0	0	0	0	0	0
Tulp2	104.000000	498	0	0	0	134	155	379	0	0	0	0	82	0
Nucb1	104.000000	498	0	0	0	134	155	379	0	0	0	0	82	0
Nsa2	103.916667	325	0	0	0	199	223	421	0	0	0	0	79	0
Gfm2	103.916667	325	0	0	0	199	223	421	0	0	0	0	79	0
Arap3	103.833333	1137	0	0	0	0	0	109	0	0	0	0	0	0
Lck	103.750000	510	0	0	0	122	182	325	0	0	0	0	106	0
Fam167b	103.750000	510	0	0	0	122	182	325	0	0	0	0	106	0
Ifih1	103.583333	338	0	0	0	99	186	344	0	0	0	0	276	0
1700122O11Rik	103.000000	0	0	0	0	207	211	404	0	0	0	0	414	0
Egr2	102.750000	820	0	0	0	0	134	279	0	0	0	0	0	0
Tex48	101.333333	181	0	0	0	191	232	440	0	0	0	0	172	0
Pnpo	101.166667	571	0	0	0	0	150	274	0	0	0	0	219	0
Madd	100.750000	752	0	0	0	75	88	181	0	0	0	0	113	0
Ier5	100.583333	0	0	282	251	0	240	0	0	0	0	0	434	0
Ttll11	100.416667	0	0	0	0	206	281	354	0	0	0	0	364	0
Snx32	100.416667	550	0	0	0	133	106	226	0	0	0	0	190	0
Unkl	100.250000	0	0	0	221	164	214	393	0	0	0	0	211	0
Acap1	100.166667	264	0	0	0	173	245	520	0	0	0	0	0	0
Itga4	100.083333	230	0	0	0	220	173	327	0	0	0	0	251	0
Ptpn6	99.916667	585	0	0	0	159	120	256	0	0	0	0	79	0
Nepro	99.833333	695	0	0	0	133	107	263	0	0	0	0	0	0
Tas2r134	99.750000	0	0	266	266	0	363	0	0	0	0	0	302	0
Meig1	99.583333	685	0	0	0	91	158	261	0	0	0	0	0	0
Dclre1c	99.583333	685	0	0	0	91	158	261	0	0	0	0	0	0
Dhx16	99.500000	199	0	0	73	122	158	450	0	0	0	0	192	0
Psmd5	99.333333	1192	0	0	0	0	0	0	0	0	0	0	0	0
Cutal	99.333333	1192	0	0	0	0	0	0	0	0	0	0	0	0
Tnfaip8l3	99.250000	1191	0	0	0	0	0	0	0	0	0	0	0	0
Birc5	99.166667	165	0	0	0	147	201	452	0	0	0	0	225	0
Tmem192	99.083333	1086	0	0	0	0	0	0	0	0	0	0	103	0
Lcp2	98.500000	306	0	0	0	95	141	330	0	0	0	0	310	0
Acsl4	97.750000	424	0	0	0	212	119	307	0	0	0	0	111	0
Gm8369	97.583333	293	0	0	0	207	201	276	0	0	0	0	194	0
Esyt3	97.500000	1170	0	0	0	0	0	0	0	0	0	0	0	0
Milr1	97.333333	484	0	0	0	174	120	287	0	0	0	0	103	0
Cd9	97.250000	840	0	0	0	0	81	115	0	0	0	0	131	0
1700030J22Rik	97.250000	508	0	0	0	120	120	186	0	0	0	0	233	0
Polr2m	97.166667	654	0	0	0	0	129	289	0	0	0	0	94	0
Nfil3	97.166667	225	0	0	0	164	248	436	0	0	0	0	93	0
Tlcd1	97.000000	227	0	0	0	134	214	385	0	0	0	0	204	0
Nfkbid	97.000000	848	0	0	0	0	74	242	0	0	0	0	0	0
Nek8	97.000000	227	0	0	0	134	214	385	0	0	0	0	204	0
Hcst	97.000000	848	0	0	0	0	74	242	0	0	0	0	0	0
Fnip1	96.583333	655	0	0	0	74	142	215	0	0	0	0	73	0
Fbxo11	96.583333	488	0	0	0	95	140	274	0	0	0	0	162	0
Rhof	96.500000	917	0	0	0	0	98	143	0	0	0	0	0	0
Nr6a1	96.333333	545	0	0	0	179	178	254	0	0	0	0	0	0
Brd7	96.250000	170	0	0	0	205	201	395	0	0	0	0	184	0
Ndufs8	96.083333	524	0	0	0	101	199	241	0	0	0	0	88	0
Got1	95.833333	1030	0	0	0	0	0	120	0	0	0	0	0	0
Rbl1	95.750000	580	0	0	0	0	80	229	0	0	0	0	260	0
Med21	95.333333	1144	0	0	0	0	0	0	0	0	0	0	0	0
Casp6	95.000000	1046	0	0	0	0	0	94	0	0	0	0	0	0
Lrrc51	94.916667	240	0	0	0	95	204	312	0	0	0	0	288	0
Leprot	94.250000	319	0	0	0	123	180	322	0	0	0	0	187	0
Zswim4	93.916667	659	0	0	0	0	114	354	0	0	0	0	0	0
M6pr	93.750000	886	0	0	0	0	79	160	0	0	0	0	0	0
Kdm3b	93.583333	0	0	0	93	178	226	517	0	0	0	0	109	0
Siglecf	93.500000	1122	0	0	0	0	0	0	0	0	0	0	0	0
Med11	93.250000	888	0	0	0	0	0	140	0	0	0	0	91	0
Cdh17	93.250000	664	0	0	0	0	0	146	0	0	0	0	309	0
Pgam1	93.166667	143	0	0	131	197	175	380	0	0	0	0	92	0
Tagap	93.083333	506	0	0	0	0	177	289	0	0	0	0	145	0
Wbp4	93.000000	1116	0	0	0	0	0	0	0	0	0	0	0	0
Elf1	93.000000	1116	0	0	0	0	0	0	0	0	0	0	0	0
Vps29	92.916667	497	0	0	0	193	167	258	0	0	0	0	0	0
Rad9b	92.916667	497	0	0	0	193	167	258	0	0	0	0	0	0
Fam98a	92.416667	342	0	0	0	199	211	357	0	0	0	0	0	0
Ubap1	92.333333	297	0	0	0	87	208	271	0	0	0	0	245	0
Cd33	92.166667	1106	0	0	0	0	0	0	0	0	0	0	0	0
H2-L	91.750000	176	0	0	0	93	186	479	0	0	0	0	167	0
H2-D1	91.750000	176	0	0	0	93	186	479	0	0	0	0	167	0
Arf2	91.666667	681	0	0	0	0	0	208	0	0	0	0	211	0
Gem	91.583333	0	0	0	105	226	173	447	0	0	0	0	148	0
H2-Eb1	91.500000	702	0	0	0	0	77	187	0	0	0	0	132	0
Furin	91.500000	549	0	0	0	0	137	286	0	0	0	0	126	0
Trib1	91.416667	439	0	0	0	0	65	241	0	0	0	0	352	0
Rara	91.416667	453	0	0	0	0	158	281	0	0	0	0	205	0
Rgs2	91.166667	332	133	0	0	179	100	222	0	0	0	0	128	0
Fam122a	91.083333	191	0	0	0	194	289	419	0	0	0	0	0	0
Plcl1	90.833333	616	0	0	0	0	94	180	0	0	0	0	200	0
Ehd1	90.416667	581	0	0	0	0	95	304	0	0	0	0	105	0
Ccl12	89.333333	1072	0	0	0	0	0	0	0	0	0	0	0	0
Rasa3	89.166667	158	0	0	0	78	228	429	0	0	0	0	177	0
Cd82	89.000000	226	0	0	0	163	203	374	0	0	0	0	102	0
Fam71e1	88.666667	313	0	0	0	143	216	392	0	0	0	0	0	0
Emc10	88.666667	313	0	0	0	143	216	392	0	0	0	0	0	0
Ulk3	88.583333	524	0	0	0	0	134	220	0	0	0	0	185	0
Cyth4	88.583333	785	0	0	0	0	0	113	0	0	0	0	165	0
Coq8a	88.250000	0	0	0	0	133	173	441	0	0	0	0	312	0
Alpk2	88.250000	804	0	0	0	0	0	0	0	0	0	0	255	0
Sec22b	88.000000	603	0	0	0	163	90	200	0	0	0	0	0	0
Atf6	87.916667	165	0	0	0	124	179	401	0	0	0	0	186	0
Ube2v1	87.833333	446	0	0	0	0	157	362	0	0	0	0	89	0
Myo1c	87.666667	0	0	0	91	171	190	456	0	0	0	0	144	0
Qrich1	87.583333	345	0	0	0	95	144	248	0	0	0	0	219	0
B9d2	87.583333	529	0	0	0	0	98	297	0	0	0	0	127	0
Mto1	87.500000	489	0	0	0	83	142	336	0	0	0	0	0	0
Bcl10	87.500000	198	0	0	0	175	245	350	0	0	0	0	82	0
Cltc	87.333333	578	0	0	0	0	113	242	0	0	0	0	115	0
Hspa12a	87.166667	0	0	0	0	187	235	372	0	0	0	0	252	0
Eno4	87.166667	0	0	0	0	187	235	372	0	0	0	0	252	0
Polg2	86.833333	250	0	0	0	103	165	387	0	0	0	0	137	0
Ndrg4	86.833333	786	0	0	0	0	0	0	0	0	0	0	256	0
Gtf2h4	86.583333	0	0	0	0	109	228	357	0	0	0	0	345	0
Def6	86.583333	0	0	0	0	141	183	356	0	0	0	0	359	0
Pfkfb3	86.000000	213	0	0	0	138	179	302	0	0	0	0	200	0
Meaf6	86.000000	237	0	0	0	222	189	237	0	0	0	0	147	0
Trafd1	85.916667	788	0	0	0	0	0	125	0	0	0	0	118	0
Rpa2	85.916667	0	0	0	0	155	248	372	0	0	0	0	256	0
Tyw1	85.750000	900	0	0	0	0	0	129	0	0	0	0	0	0
Sbds	85.750000	900	0	0	0	0	0	129	0	0	0	0	0	0
Klf13	85.333333	797	0	0	0	0	0	89	0	0	0	0	138	0
Ahcyl2	85.083333	731	0	0	0	0	138	152	0	0	0	0	0	0
Tmem116	85.000000	898	0	0	0	0	0	122	0	0	0	0	0	0
Erp29	85.000000	898	0	0	0	0	0	122	0	0	0	0	0	0
Tmem109	84.750000	687	0	0	0	0	89	241	0	0	0	0	0	0
Arl6ip5	84.583333	0	0	0	0	166	185	427	0	0	0	0	237	0
Itgb1bp1	84.333333	348	0	0	0	106	170	260	0	0	0	0	128	0
Cpsf3	84.333333	348	0	0	0	106	170	260	0	0	0	0	128	0
Cox18	84.333333	396	0	0	0	109	196	311	0	0	0	0	0	0
Krcc1	84.166667	583	0	0	0	89	101	237	0	0	0	0	0	0
Cyp4v3	83.500000	317	0	0	0	177	177	251	0	0	0	0	80	0
Fam110a	83.333333	529	0	0	0	121	88	262	0	0	0	0	0	0
Hfe	83.166667	911	0	0	0	0	0	87	0	0	0	0	0	0
Ccdc50	83.166667	252	0	0	0	106	147	270	0	0	0	0	223	0
Lif	83.000000	0	0	0	161	94	130	389	0	0	0	0	222	0
Fbxl17	82.916667	422	0	0	0	88	165	232	0	0	0	0	88	0
Npepps	82.750000	700	0	0	0	0	0	119	0	0	0	0	174	0
Dst	82.750000	993	0	0	0	0	0	0	0	0	0	0	0	0
Bend6	82.750000	993	0	0	0	0	0	0	0	0	0	0	0	0
Prrg4	82.583333	438	0	0	0	0	265	288	0	0	0	0	0	0
Ly6a	82.500000	233	0	0	0	0	166	342	0	0	0	0	249	0
Dnmt1	82.416667	574	0	0	0	0	127	288	0	0	0	0	0	0
Zap70	82.166667	0	0	0	0	184	190	385	0	0	0	0	227	0
Dock10	82.166667	360	0	0	0	0	149	229	0	0	0	0	248	0
Rassf5	82.000000	0	0	0	139	127	178	359	0	0	0	0	181	0
Mettl6	81.750000	0	0	0	123	74	165	423	0	0	0	0	196	0
Eaf1	81.750000	0	0	0	123	74	165	423	0	0	0	0	196	0
Ccr8	81.500000	0	0	0	117	122	143	387	0	0	0	0	209	0
Cblb	81.333333	739	0	0	0	0	0	86	0	0	0	0	151	0
Coq10b	81.166667	827	0	0	0	0	0	0	0	0	0	0	147	0
Slc25a11	81.000000	656	0	0	0	0	82	234	0	0	0	0	0	0
Rnf167	81.000000	656	0	0	0	0	82	234	0	0	0	0	0	0
Pfn1	81.000000	656	0	0	0	0	82	234	0	0	0	0	0	0
Sun1	80.833333	481	0	0	0	0	72	152	0	0	0	0	265	0
Ccl4	80.500000	877	0	0	0	0	0	89	0	0	0	0	0	0
Ing1	80.250000	257	0	0	0	157	161	279	0	0	0	0	109	0
Il1rl1	80.250000	740	0	0	0	0	0	0	0	0	0	0	223	0
Fcgr4	80.250000	860	0	0	0	0	0	103	0	0	0	0	0	0
Anln	80.250000	857	0	0	0	0	0	106	0	0	0	0	0	0
9530077C05Rik	80.250000	857	0	0	0	0	0	106	0	0	0	0	0	0
Prkcsh	80.166667	274	0	0	0	125	150	256	0	0	0	0	157	0
Ccdc151	80.166667	274	0	0	0	125	150	256	0	0	0	0	157	0
Ssc5d	80.000000	534	0	0	0	0	0	266	0	0	0	0	160	0
Pik3ca	80.000000	352	0	0	0	117	113	259	0	0	0	0	119	0
Nat14	80.000000	534	0	0	0	0	0	266	0	0	0	0	160	0
Cfap54	79.833333	549	0	0	0	0	93	250	0	0	0	0	66	0
Got2	79.750000	229	0	0	0	234	173	321	0	0	0	0	0	0
Csk	79.750000	165	0	0	0	212	199	381	0	0	0	0	0	0
Tnfsf9	79.500000	471	0	0	0	79	105	299	0	0	0	0	0	0
Kmt2e	79.500000	390	0	0	0	121	117	326	0	0	0	0	0	0
Prss56	79.333333	321	0	0	0	0	113	325	0	0	0	0	193	0
Mon1a	79.333333	448	0	0	0	103	177	224	0	0	0	0	0	0
Parp11	79.250000	245	0	0	0	112	180	246	0	0	0	0	168	0
Mob1a	79.250000	315	0	0	0	144	181	311	0	0	0	0	0	0
Psrc1	78.916667	524	0	0	0	126	134	163	0	0	0	0	0	0
Synpo	78.666667	418	0	0	0	113	108	218	0	0	0	0	87	0
Gstt3	78.583333	519	0	0	0	106	84	234	0	0	0	0	0	0
Hccs	78.416667	177	0	0	0	119	197	298	0	0	0	0	150	0
Gm15246	78.416667	177	0	0	0	119	197	298	0	0	0	0	150	0
Slc1a5	78.250000	267	0	0	0	128	82	290	0	0	0	0	172	0
Dync1li1	78.000000	330	0	0	0	106	131	224	0	0	0	0	145	0
Atp6v1e1	77.916667	935	0	0	0	0	0	0	0	0	0	0	0	0
Fxyd5	77.833333	249	0	0	0	0	144	324	0	0	0	0	217	0
Mlec	77.750000	800	0	0	0	0	0	133	0	0	0	0	0	0
Tctex1d4	77.666667	537	0	0	0	0	95	166	0	0	0	0	134	0
Mxi1	77.666667	319	0	0	0	112	123	288	0	0	0	0	90	0
Btbd19	77.666667	537	0	0	0	0	95	166	0	0	0	0	134	0
Hspa4l	77.416667	468	0	0	0	94	104	181	0	0	0	0	82	0
Cand1	77.333333	146	0	0	0	168	233	280	0	0	0	0	101	0
Cass4	77.250000	435	0	0	0	122	92	278	0	0	0	0	0	0
Tnfrsf4	77.000000	0	0	0	0	0	177	376	0	0	0	0	371	0
Ehd4	77.000000	726	0	0	0	0	78	120	0	0	0	0	0	0
Clec4n	76.916667	923	0	0	0	0	0	0	0	0	0	0	0	0
Zfp664	76.833333	170	0	0	0	169	170	174	0	0	0	0	239	0
Ccdc92	76.833333	170	0	0	0	169	170	174	0	0	0	0	239	0
Stra8	76.750000	559	0	0	0	0	0	129	0	0	0	0	233	0
Slc7a1	76.666667	259	0	0	0	111	114	296	0	0	0	0	140	0
Slc38a1	76.333333	645	0	0	0	0	124	147	0	0	0	0	0	0
