Target_genes	Erf|Average	SRX2871267|ES_cells	SRX2871268|ES_cells	SRX2871269|ES_cells	SRX2871270|ES_cells	SRX2871271|ES_cells	SRX2871272|ES_cells	SRX209937|MEF	SRX209938|MEF	SRX2796981|Prostate_organoids	SRX2796982|Prostate_organoids	SRX2796983|Prostate_organoids	SRX2796984|Prostate_organoids	SRX2796985|Prostate_organoids	SRX2796986|Prostate_organoids	SRX2796987|Prostate_organoids	SRX2796988|Prostate_organoids	STRING
Rps3a1	497.500000	0	0	0	0	0	0	3440	3714	337	219	104	146	0	0	0	0	0
Denr	496.750000	0	0	0	0	0	0	3372	3609	331	218	222	196	0	0	0	0	0
Ppp4r3b	495.812500	0	0	0	0	0	0	3419	3581	457	242	0	234	0	0	0	0	0
Rfesd	494.875000	0	0	0	0	0	0	3653	3433	374	316	0	142	0	0	0	0	0
Lamp1	493.187500	0	0	0	0	0	0	3434	3661	410	184	91	111	0	0	0	0	0
Micu2	491.937500	0	0	0	0	0	0	3567	3688	322	176	0	118	0	0	0	0	0
Dguok	491.750000	0	0	0	0	0	0	3436	3505	541	277	109	0	0	0	0	0	0
Vps4b	491.687500	0	0	0	0	0	0	3625	3736	222	137	0	147	0	0	0	0	0
Mob1a	491.500000	0	0	0	0	0	0	3569	3697	283	211	0	104	0	0	0	0	0
Cct5	490.562500	0	0	0	0	0	0	3388	3607	295	176	180	203	0	0	0	0	0
Atpsckmt	490.562500	0	0	0	0	0	0	3388	3607	295	176	180	203	0	0	0	0	0
Atf2	490.312500	0	0	0	0	0	0	3773	3945	127	0	0	0	0	0	0	0	0
Dbr1	489.875000	0	0	0	0	0	0	3571	3706	257	95	111	98	0	0	0	0	0
Slc39a9	489.500000	0	0	0	0	0	0	3519	3831	233	158	0	91	0	0	0	0	0
Erh	489.500000	0	0	0	0	0	0	3519	3831	233	158	0	91	0	0	0	0	0
Creld2	488.937500	0	0	0	0	0	0	3522	3803	310	188	0	0	0	0	0	0	0
Alg12	488.937500	0	0	0	0	0	0	3522	3803	310	188	0	0	0	0	0	0	0
Map3k7	488.812500	0	0	0	0	0	0	3509	3748	258	223	83	0	0	0	0	0	0
Ube2d3	488.687500	0	0	0	0	0	0	3417	3660	322	118	126	176	0	0	0	0	0
Hspa4	487.625000	0	0	0	0	0	0	3392	3716	336	185	78	95	0	0	0	0	0
Zzz3	487.437500	0	0	0	0	0	0	3550	3727	198	182	0	142	0	0	0	0	0
Wdr73	487.250000	0	0	0	0	0	0	3481	3553	332	241	0	189	0	0	0	0	0
Nmb	487.250000	0	0	0	0	0	0	3481	3553	332	241	0	189	0	0	0	0	0
Smim10l1	487.000000	0	0	0	0	0	0	3608	3720	227	107	0	130	0	0	0	0	0
Gpatch3	486.375000	0	0	0	0	0	0	3600	3699	175	179	0	129	0	0	0	0	0
Sec23ip	485.875000	0	0	0	0	0	0	3448	3691	328	163	0	144	0	0	0	0	0
Mcmbp	485.875000	0	0	0	0	0	0	3448	3691	328	163	0	144	0	0	0	0	0
Luc7l2	485.875000	0	0	0	0	0	0	3628	3734	138	134	0	140	0	0	0	0	0
Zfp91	485.750000	0	0	0	0	0	0	3621	3819	180	152	0	0	0	0	0	0	0
Srcap	485.750000	0	0	0	0	0	0	3604	3672	223	129	0	144	0	0	0	0	0
Lpxn	485.750000	0	0	0	0	0	0	3621	3819	180	152	0	0	0	0	0	0	0
Haspin	485.750000	0	0	0	0	0	0	3526	3499	310	182	118	137	0	0	0	0	0
Nsun3	485.437500	0	0	0	0	0	0	3468	3676	267	150	99	107	0	0	0	0	0
Puf60	484.250000	0	0	0	0	0	0	3462	3700	307	192	0	87	0	0	0	0	0
Mms22l	484.250000	0	0	0	0	0	0	3522	3625	270	181	0	150	0	0	0	0	0
Slc26a8	482.062500	0	0	0	0	0	0	3310	3514	351	250	142	146	0	0	0	0	0
Mapk14	482.062500	0	0	0	0	0	0	3310	3514	351	250	142	146	0	0	0	0	0
Xpc	481.687500	0	0	0	0	0	0	3512	3582	275	225	0	113	0	0	0	0	0
Lsm3	481.687500	0	0	0	0	0	0	3512	3582	275	225	0	113	0	0	0	0	0
Agl	481.437500	0	0	0	0	0	0	3621	3797	177	108	0	0	0	0	0	0	0
Kpna1	480.500000	1084	681	1167	874	881	1139	959	375	160	129	103	136	0	0	0	0	0
Psmb2	480.375000	0	0	0	0	0	0	3570	3710	268	138	0	0	0	0	0	0	0
Rbm26	480.250000	0	0	0	0	0	0	3592	3848	127	117	0	0	0	0	0	0	0
Uhrf2	479.687500	0	0	0	0	0	0	3523	3709	174	141	0	128	0	0	0	0	0
4833439L19Rik	479.500000	0	0	0	0	0	0	3550	3567	269	145	0	141	0	0	0	0	0
Tmem209	479.125000	0	0	0	0	0	0	3599	3727	235	105	0	0	0	0	0	0	0
Ssmem1	479.125000	0	0	0	0	0	0	3599	3727	235	105	0	0	0	0	0	0	0
Stxbp4	476.562500	0	0	0	0	0	0	3607	3715	205	0	0	98	0	0	0	0	0
Cox11	476.562500	0	0	0	0	0	0	3607	3715	205	0	0	98	0	0	0	0	0
Coq9	476.562500	0	0	0	0	0	0	3629	3732	264	0	0	0	0	0	0	0	0
Ciapin1	476.562500	0	0	0	0	0	0	3629	3732	264	0	0	0	0	0	0	0	0
Tasor2	476.375000	0	0	0	0	0	0	3479	3745	160	157	0	81	0	0	0	0	0
Septin7	476.312500	0	0	0	0	0	0	3548	3771	210	92	0	0	0	0	0	0	0
Myef2	476.187500	0	0	0	0	0	0	3522	3726	132	82	0	157	0	0	0	0	0
Mrtfb	475.625000	0	0	0	0	0	0	3619	3518	229	144	0	100	0	0	0	0	0
Nudt1	473.875000	0	0	0	0	0	0	3423	3538	354	182	0	85	0	0	0	0	0
Ramac	472.500000	0	0	0	0	0	0	3563	3415	350	110	0	122	0	0	0	0	0
Scamp5	471.875000	0	0	0	0	0	0	3576	3723	180	71	0	0	0	0	0	0	0
Glce	471.875000	0	0	0	0	0	0	3530	3845	175	0	0	0	0	0	0	0	0
Tcf25	471.625000	0	0	0	0	0	0	3357	3553	346	165	0	125	0	0	0	0	0
Ireb2	471.125000	0	0	0	0	0	0	3501	3606	235	196	0	0	0	0	0	0	0
Sipa1l1	470.562500	0	0	0	0	0	0	3445	3740	192	152	0	0	0	0	0	0	0
Ska3	470.500000	0	0	0	0	0	0	3301	3448	353	252	0	174	0	0	0	0	0
Mrpl57	470.500000	0	0	0	0	0	0	3301	3448	353	252	0	174	0	0	0	0	0
Ssr4	470.000000	0	0	0	0	0	0	3562	3411	260	152	135	0	0	0	0	0	0
Idh3g	470.000000	0	0	0	0	0	0	3562	3411	260	152	135	0	0	0	0	0	0
Camk2d	469.937500	0	0	0	0	0	0	3531	3734	158	96	0	0	0	0	0	0	0
Micos10	469.750000	0	0	0	0	0	0	3473	3662	202	179	0	0	0	0	0	0	0
Herc1	469.750000	0	0	0	0	0	0	3584	3674	156	102	0	0	0	0	0	0	0
Slc25a4	469.437500	0	0	0	0	0	0	3525	3745	160	0	0	81	0	0	0	0	0
Ddhd2	468.812500	0	0	0	0	0	0	3540	3399	311	144	0	107	0	0	0	0	0
Ptpn4	468.500000	0	0	0	0	0	0	3605	3666	140	85	0	0	0	0	0	0	0
Rpl10a	468.312500	0	0	0	0	0	0	3255	3494	198	255	167	124	0	0	0	0	0
Ercc6l2	468.125000	0	0	0	0	0	0	3249	3538	228	205	108	162	0	0	0	0	0
Npm1	468.062500	0	0	0	0	0	0	3540	3693	123	133	0	0	0	0	0	0	0
Rps28	467.250000	0	0	0	0	0	0	3496	3664	211	105	0	0	0	0	0	0	0
Ndufa7	467.250000	0	0	0	0	0	0	3496	3664	211	105	0	0	0	0	0	0	0
Asph	466.687500	0	0	0	0	0	0	3495	3619	223	130	0	0	0	0	0	0	0
Copb2	466.500000	0	0	0	0	0	0	3561	3659	170	74	0	0	0	0	0	0	0
Ptgr2	466.437500	0	0	0	0	0	0	3492	3342	421	208	0	0	0	0	0	0	0
Slc15a4	466.125000	0	0	0	0	0	0	3445	3433	308	144	0	128	0	0	0	0	0
Ikzf5	466.125000	0	0	0	0	0	0	3458	3445	283	154	0	118	0	0	0	0	0
Acadsb	466.125000	0	0	0	0	0	0	3458	3445	283	154	0	118	0	0	0	0	0
Tubgcp5	465.187500	0	0	0	0	0	0	3628	3478	233	104	0	0	0	0	0	0	0
Supt5	465.062500	0	0	0	0	0	0	3362	3747	111	113	0	108	0	0	0	0	0
Kazald1	465.000000	0	0	0	0	0	0	3380	3734	133	193	0	0	0	0	0	0	0
Rpl12	464.750000	0	0	0	0	0	0	3416	3545	251	136	88	0	0	0	0	0	0
Lrsam1	464.750000	0	0	0	0	0	0	3416	3545	251	136	88	0	0	0	0	0	0
Sap18b	464.437500	0	0	0	0	0	0	3527	3727	177	0	0	0	0	0	0	0	0
Sap18	464.437500	0	0	0	0	0	0	3527	3727	177	0	0	0	0	0	0	0	0
Wdr6	464.375000	0	0	0	0	0	0	3506	3627	180	117	0	0	0	0	0	0	0
Qrich1	464.375000	0	0	0	0	0	0	3395	3706	214	115	0	0	0	0	0	0	0
Rc3h2	464.125000	0	0	0	0	0	0	3721	3362	218	125	0	0	0	0	0	0	0
Lrif1	463.937500	0	0	0	0	0	0	3570	3554	188	111	0	0	0	0	0	0	0
Prdx1	463.812500	0	0	0	0	0	0	3204	3444	280	179	100	214	0	0	0	0	0
Tas1r1	463.312500	0	0	0	0	0	0	3458	3605	207	143	0	0	0	0	0	0	0
Nol9	463.312500	0	0	0	0	0	0	3458	3605	207	143	0	0	0	0	0	0	0
Mre11a	463.187500	0	0	0	0	0	0	3502	3571	216	122	0	0	0	0	0	0	0
Ankrd49	463.187500	0	0	0	0	0	0	3502	3571	216	122	0	0	0	0	0	0	0
Ankfy1	462.250000	0	0	0	0	0	0	3409	3674	205	108	0	0	0	0	0	0	0
Mpc2	461.625000	0	0	0	0	0	0	3446	3507	202	127	0	104	0	0	0	0	0
Dcaf6	461.625000	0	0	0	0	0	0	3446	3507	202	127	0	104	0	0	0	0	0
Fam76a	461.500000	0	0	0	0	0	0	3546	3657	115	66	0	0	0	0	0	0	0
Srsf10	461.312500	0	0	0	0	0	0	3569	3656	156	0	0	0	0	0	0	0	0
Sugp1	460.375000	0	0	0	0	0	0	3343	3458	308	257	0	0	0	0	0	0	0
Mau2	460.375000	0	0	0	0	0	0	3343	3458	308	257	0	0	0	0	0	0	0
Trappc2	460.312500	0	0	0	0	0	0	3640	3612	113	0	0	0	0	0	0	0	0
Ofd1	460.312500	0	0	0	0	0	0	3640	3612	113	0	0	0	0	0	0	0	0
Eif5	460.125000	0	0	0	0	0	0	3473	3721	168	0	0	0	0	0	0	0	0
Cdk12	460.125000	0	0	0	0	0	0	3355	3609	224	174	0	0	0	0	0	0	0
Josd2	460.000000	0	0	0	0	0	0	3454	3166	409	199	0	132	0	0	0	0	0
Aspdh	460.000000	0	0	0	0	0	0	3454	3166	409	199	0	132	0	0	0	0	0
Btbd10	459.687500	0	0	0	0	0	0	3468	3604	121	162	0	0	0	0	0	0	0
Arf3	458.375000	0	0	0	0	0	0	3407	3656	179	92	0	0	0	0	0	0	0
Styxl1	457.937500	0	0	0	0	0	0	3410	3639	183	95	0	0	0	0	0	0	0
Mdh2	457.937500	0	0	0	0	0	0	3410	3639	183	95	0	0	0	0	0	0	0
Lsm14a	457.687500	0	0	0	0	0	0	3268	3580	204	142	0	129	0	0	0	0	0
Hsbp1	456.875000	0	0	0	0	0	0	3525	3461	185	139	0	0	0	0	0	0	0
Mettl16	456.500000	0	0	0	0	0	0	3601	3405	141	157	0	0	0	0	0	0	0
Edrf1	456.187500	0	0	0	0	0	0	3307	3458	242	197	0	95	0	0	0	0	0
Rnf4	456.062500	0	0	0	0	0	0	3371	3692	171	63	0	0	0	0	0	0	0
Rpl7a	455.437500	0	0	0	0	0	0	3367	3619	125	101	0	75	0	0	0	0	0
Med22	455.437500	0	0	0	0	0	0	3367	3619	125	101	0	75	0	0	0	0	0
Zcchc14	455.125000	0	0	0	0	0	0	3303	3453	364	162	0	0	0	0	0	0	0
Chuk	454.375000	0	0	0	0	0	0	3387	3369	254	170	0	90	0	0	0	0	0
Adnp	454.000000	0	0	0	0	0	0	3113	3282	446	300	0	123	0	0	0	0	0
Spdl1	453.625000	0	0	0	0	0	0	3501	3659	98	0	0	0	0	0	0	0	0
Polr2b	453.437500	0	0	0	0	0	0	3345	3546	155	124	0	85	0	0	0	0	0
Noa1	453.437500	0	0	0	0	0	0	3345	3546	155	124	0	85	0	0	0	0	0
Phf12	453.375000	0	0	0	0	0	0	3427	3541	184	0	0	102	0	0	0	0	0
Clec11a	453.375000	0	0	0	0	0	0	3479	3522	253	0	0	0	0	0	0	0	0
Mtfp1	453.187500	0	0	0	0	0	0	3311	3568	237	135	0	0	0	0	0	0	0
Slc35b4	453.062500	0	0	0	0	0	0	3439	3517	139	154	0	0	0	0	0	0	0
Ncapg2	450.437500	0	0	0	0	0	0	3585	3362	260	0	0	0	0	0	0	0	0
Suv39h1	450.062500	0	0	0	0	0	0	3617	3584	0	0	0	0	0	0	0	0	0
Mrps14	450.000000	0	0	0	0	0	0	3525	3316	190	169	0	0	0	0	0	0	0
Pibf1	449.687500	0	0	0	0	0	0	3407	3371	264	153	0	0	0	0	0	0	0
Dis3	449.687500	0	0	0	0	0	0	3407	3371	264	153	0	0	0	0	0	0	0
Srp19	449.437500	0	0	0	0	0	0	2764	2371	813	637	250	356	0	0	0	0	0
Dnajb4	449.000000	0	0	0	0	0	0	3350	3491	214	129	0	0	0	0	0	0	0
Fubp1	448.562500	0	0	0	0	0	0	3350	3491	207	129	0	0	0	0	0	0	0
Ncoa4	447.875000	0	0	0	0	0	0	3411	3583	172	0	0	0	0	0	0	0	0
Rps19	447.687500	0	0	0	0	0	0	3033	3512	248	163	115	92	0	0	0	0	0
Ahctf1	445.750000	0	0	0	0	0	0	3346	3110	302	160	91	123	0	0	0	0	0
Cdc20	445.625000	0	0	0	0	0	0	3452	3478	134	66	0	0	0	0	0	0	0
Pheta2	445.062500	0	0	0	0	0	0	3461	3532	128	0	0	0	0	0	0	0	0
Smdt1	445.000000	0	0	0	0	0	0	3461	3532	127	0	0	0	0	0	0	0	0
Psmd5	444.250000	0	0	0	0	0	0	3304	3604	97	103	0	0	0	0	0	0	0
Cutal	444.250000	0	0	0	0	0	0	3304	3604	97	103	0	0	0	0	0	0	0
Atf7	443.250000	0	0	0	0	0	0	3306	3547	143	96	0	0	0	0	0	0	0
Ino80	442.437500	0	0	0	0	0	0	3411	3316	184	168	0	0	0	0	0	0	0
Slc12a2	442.187500	0	121	0	0	0	0	3379	3270	153	152	0	0	0	0	0	0	0
Mrpl40	442.062500	0	0	0	0	0	0	3082	3385	293	158	0	155	0	0	0	0	0
Hira	442.062500	0	0	0	0	0	0	3082	3385	293	158	0	155	0	0	0	0	0
Prpf4	440.250000	0	0	0	0	0	0	3433	3384	127	100	0	0	0	0	0	0	0
Cdc26	440.250000	0	0	0	0	0	0	3433	3384	127	100	0	0	0	0	0	0	0
Etf1	440.187500	0	0	0	0	0	0	3201	3129	503	210	0	0	0	0	0	0	0
Cdc45	439.500000	0	0	0	0	0	0	3259	3175	315	167	116	0	0	0	0	0	0
Sec62	438.750000	0	0	0	0	0	0	3525	3495	0	0	0	0	0	0	0	0	0
Rbm39	437.562500	0	0	0	0	0	0	3135	3351	210	188	0	117	0	0	0	0	0
Zkscan2	437.000000	0	0	0	0	0	0	3424	3568	0	0	0	0	0	0	0	0	0
Fadd	436.875000	0	0	0	0	0	0	3218	3535	138	99	0	0	0	0	0	0	0
Mob1b	436.312500	0	0	0	0	0	0	3348	3299	166	168	0	0	0	0	0	0	0
Rps6	435.937500	0	0	0	0	0	0	3070	2985	359	212	107	242	0	0	0	0	0
Pcnt	433.937500	0	0	0	0	0	0	3399	3332	212	0	0	0	0	0	0	0	0
Brf1	433.625000	0	0	0	0	0	0	2784	3312	295	219	95	233	0	0	0	0	0
Nupl1	433.437500	0	0	0	0	0	0	3316	3060	180	256	0	123	0	0	0	0	0
Vmac	433.125000	0	0	0	0	0	0	3337	3363	155	75	0	0	0	0	0	0	0
Ndufa11	433.125000	0	0	0	0	0	0	3337	3363	155	75	0	0	0	0	0	0	0
Csde1	432.812500	0	0	0	0	0	0	3357	3277	195	96	0	0	0	0	0	0	0
Drg1	432.437500	0	0	0	0	0	0	3448	3205	145	121	0	0	0	0	0	0	0
Nanp	432.000000	0	0	0	0	0	0	3367	3349	116	80	0	0	0	0	0	0	0
Exo5	431.812500	0	0	0	0	0	0	3314	3418	93	84	0	0	0	0	0	0	0
Akap11	431.625000	0	0	0	0	0	0	3127	3463	176	140	0	0	0	0	0	0	0
Sh3gl1	431.500000	0	0	0	0	0	0	3117	2833	377	358	111	108	0	0	0	0	0
Chaf1a	431.500000	0	0	0	0	0	0	3117	2833	377	358	111	108	0	0	0	0	0
Yipf3	428.625000	0	0	0	0	0	0	3279	3310	142	127	0	0	0	0	0	0	0
Polr1c	428.625000	0	0	0	0	0	0	3279	3310	142	127	0	0	0	0	0	0	0
Smarca5	428.250000	0	0	0	0	0	0	3171	3371	195	115	0	0	0	0	0	0	0
Tmem116	428.187500	0	0	0	0	0	0	3371	3299	181	0	0	0	0	0	0	0	0
Erp29	428.187500	0	0	0	0	0	0	3371	3299	181	0	0	0	0	0	0	0	0
Lsm8	427.437500	0	0	0	0	0	0	3478	3257	104	0	0	0	0	0	0	0	0
Banp	426.812500	0	0	0	0	0	0	2894	3186	371	245	0	133	0	0	0	0	0
Wdr77	426.750000	0	0	0	0	0	0	3109	3267	207	163	0	82	0	0	0	0	0
Atp5pb	426.750000	0	0	0	0	0	0	3109	3267	207	163	0	82	0	0	0	0	0
Matr3	426.437500	0	0	0	0	0	0	3172	3452	113	86	0	0	0	0	0	0	0
Ift74	426.125000	0	252	0	0	0	0	3350	3070	146	0	0	0	0	0	0	0	0
Cul5	425.812500	0	0	0	0	0	0	3171	2986	217	167	118	154	0	0	0	0	0
Ppm1g	425.187500	0	0	0	0	0	0	3087	3340	262	114	0	0	0	0	0	0	0
Zfp386	423.500000	0	0	0	0	0	0	3257	3108	332	79	0	0	0	0	0	0	0
Gdi2	422.687500	0	0	0	0	0	0	3303	3124	199	0	0	137	0	0	0	0	0
Snrpg	421.625000	0	0	0	0	0	0	3291	2886	295	183	0	91	0	0	0	0	0
Tmem79	421.500000	0	0	0	0	0	0	3183	3206	213	142	0	0	0	0	0	0	0
Smg5	421.500000	0	0	0	0	0	0	3183	3206	213	142	0	0	0	0	0	0	0
1110004F10Rik	421.187500	0	0	0	0	0	0	3309	2981	183	135	0	131	0	0	0	0	0
Vdac3	421.062500	0	0	0	0	0	0	3033	3312	181	118	0	93	0	0	0	0	0
Ncapg	421.062500	0	0	0	0	0	0	3412	3200	125	0	0	0	0	0	0	0	0
Kif5a	418.375000	0	0	0	0	0	0	3321	3107	156	110	0	0	0	0	0	0	0
Dctn2	418.375000	0	0	0	0	0	0	3321	3107	156	110	0	0	0	0	0	0	0
Tmem129	418.125000	0	0	0	0	0	0	2969	3120	314	180	0	107	0	0	0	0	0
Tacc3	418.125000	0	0	0	0	0	0	2969	3120	314	180	0	107	0	0	0	0	0
Spsb3	415.687500	0	0	0	0	0	0	3042	3316	191	102	0	0	0	0	0	0	0
Nubp2	415.687500	0	0	0	0	0	0	3042	3316	191	102	0	0	0	0	0	0	0
Cdc5l	414.062500	0	0	0	0	0	0	3172	3164	184	105	0	0	0	0	0	0	0
Zfp566	413.937500	0	0	0	0	0	0	2997	3452	174	0	0	0	0	0	0	0	0
Zfp260	413.937500	0	0	0	0	0	0	2997	3452	174	0	0	0	0	0	0	0	0
Pmf1	413.625000	0	0	0	0	0	0	3188	3305	125	0	0	0	0	0	0	0	0
Rab5c	412.812500	0	0	0	0	0	0	3324	2823	231	117	0	110	0	0	0	0	0
Tmem88	412.562500	0	0	0	0	0	0	2883	3166	224	209	0	119	0	0	0	0	0
Naa38	412.562500	0	0	0	0	0	0	2883	3166	224	209	0	119	0	0	0	0	0
Cyb5d1	412.562500	0	0	0	0	0	0	2883	3166	224	209	0	119	0	0	0	0	0
Slc39a7	412.000000	0	0	0	0	0	0	3134	3110	173	175	0	0	0	0	0	0	0
Rxrb	412.000000	0	0	0	0	0	0	3134	3110	173	175	0	0	0	0	0	0	0
H2-Ke6	412.000000	0	0	0	0	0	0	3134	3110	173	175	0	0	0	0	0	0	0
Spc25	411.062500	0	0	0	0	0	0	3489	2911	82	95	0	0	0	0	0	0	0
G6pc2	411.062500	0	0	0	0	0	0	3489	2911	82	95	0	0	0	0	0	0	0
Ergic2	410.375000	0	0	0	0	0	0	3253	2771	292	156	0	94	0	0	0	0	0
Asxl1	410.187500	0	0	0	0	0	0	3134	3167	159	103	0	0	0	0	0	0	0
Pnpla6	408.812500	0	0	0	0	0	0	3130	3159	161	91	0	0	0	0	0	0	0
Timm17a	407.937500	0	0	0	0	0	0	3142	2963	300	122	0	0	0	0	0	0	0
Nudt2	407.187500	0	0	0	0	0	0	3210	3305	0	0	0	0	0	0	0	0	0
Kif24	407.187500	0	0	0	0	0	0	3210	3305	0	0	0	0	0	0	0	0	0
Snx5	406.750000	0	0	0	0	0	0	3235	2837	227	126	0	83	0	0	0	0	0
Mgme1	406.750000	0	0	0	0	0	0	3235	2837	227	126	0	83	0	0	0	0	0
Etfa	404.937500	0	0	0	0	0	0	3226	3121	132	0	0	0	0	0	0	0	0
Dnajc27	404.250000	0	0	0	0	0	0	3058	3226	84	100	0	0	0	0	0	0	0
Nol11	403.875000	0	0	0	0	0	0	3323	2728	271	140	0	0	0	0	0	0	0
Zfp286	403.125000	0	0	0	0	0	0	3235	3215	0	0	0	0	0	0	0	0	0
Cd2bp2	402.437500	0	0	0	0	0	0	2930	2360	542	309	112	186	0	0	0	0	0
Rpl17	401.312500	0	0	0	0	0	0	3149	3018	163	91	0	0	0	0	0	0	0
Taok1	399.125000	0	0	0	0	0	0	3296	2961	129	0	0	0	0	0	0	0	0
Pex14	397.562500	0	0	0	0	0	0	3259	2980	122	0	0	0	0	0	0	0	0
Dffa	397.562500	0	0	0	0	0	0	3259	2980	122	0	0	0	0	0	0	0	0
Rab6a	396.937500	0	0	0	0	0	0	3198	2796	254	103	0	0	0	0	0	0	0
Thada	396.625000	0	0	0	0	0	0	3070	2694	198	201	110	73	0	0	0	0	0
Ppil1	395.625000	0	0	0	0	0	0	2985	2498	365	207	120	155	0	0	0	0	0
BC004004	395.625000	0	0	0	0	0	0	2985	2498	365	207	120	155	0	0	0	0	0
Lyrm7	395.062500	0	0	0	0	0	0	3285	2648	226	162	0	0	0	0	0	0	0
Slc5a6	394.500000	0	0	0	0	0	0	2999	2971	200	142	0	0	0	0	0	0	0
Atraid	394.500000	0	0	0	0	0	0	2999	2971	200	142	0	0	0	0	0	0	0
Mcts2	393.937500	0	0	0	0	0	0	2772	3153	249	129	0	0	0	0	0	0	0
Cd2ap	391.750000	0	0	0	0	0	0	3068	2800	170	101	0	129	0	0	0	0	0
Troap	390.562500	0	0	0	0	0	0	3238	2789	116	106	0	0	0	0	0	0	0
Cry2	387.062500	0	0	0	0	0	0	2991	3074	128	0	0	0	0	0	0	0	0
Nfyc	386.875000	0	0	0	0	0	0	3100	2557	210	211	0	112	0	0	0	0	0
Get4	385.875000	0	0	0	0	0	0	2886	2623	226	238	79	122	0	0	0	0	0
Xpnpep3	385.687500	0	0	0	0	0	0	215	0	1626	982	1608	1740	0	0	0	0	0
St13	385.687500	0	0	0	0	0	0	215	0	1626	982	1608	1740	0	0	0	0	0
Mbtps1	385.125000	0	0	0	0	0	0	2956	2861	201	144	0	0	0	0	0	0	0
Nktr	385.062500	0	0	0	0	0	0	2978	3047	136	0	0	0	0	0	0	0	0
Thap11	381.625000	0	0	0	0	0	0	2925	3040	141	0	0	0	0	0	0	0	0
Cenpt	381.625000	0	0	0	0	0	0	2925	3040	141	0	0	0	0	0	0	0	0
Mak16	380.812500	0	0	0	0	0	0	3027	2655	240	171	0	0	0	0	0	0	0
Tcf3	380.375000	0	0	0	0	0	0	2694	2155	523	383	131	200	0	0	0	0	0
Rpp38	379.437500	0	0	0	0	0	0	2955	3013	103	0	0	0	0	0	0	0	0
Acbd7	379.437500	0	0	0	0	0	0	2955	3013	103	0	0	0	0	0	0	0	0
Ell	377.687500	0	0	0	0	0	0	2794	3027	222	0	0	0	0	0	0	0	0
Txndc9	377.312500	0	0	0	0	0	0	2873	2325	422	252	0	165	0	0	0	0	0
